region,lawaSiteID,siteName,siteType,property,dateCollected,val,lCens,rCens,week,month,year,YW,fVal,bathingSeason,Retest result? (Y/N)
Otago region,ORC-10005,Brighton Beach Otokia Creek,Beach,Enterococci,42338.63542,2,FALSE,FALSE,48,11,2015,201548,2,2015/2016,
Otago region,ORC-10005,Brighton Beach Otokia Creek,Beach,Enterococci,42345.57292,8,FALSE,FALSE,49,12,2015,201549,8,2015/2016,
Otago region,ORC-10005,Brighton Beach Otokia Creek,Beach,Enterococci,42352.54861,10,FALSE,FALSE,50,12,2015,201550,10,2015/2016,
Otago region,ORC-10005,Brighton Beach Otokia Creek,Beach,Enterococci,42359.54583,3,FALSE,FALSE,51,12,2015,201551,3,2015/2016,
Otago region,ORC-10005,Brighton Beach Otokia Creek,Beach,Enterococci,42367.50208,4,FALSE,FALSE,52,12,2015,201552,4,2015/2016,
Otago region,ORC-10005,Brighton Beach Otokia Creek,Beach,Enterococci,42374.54931,6,FALSE,FALSE,1,1,2016,201601,6,2015/2016,
Otago region,ORC-10005,Brighton Beach Otokia Creek,Beach,Enterococci,42380.55694,1,FALSE,FALSE,2,1,2016,201602,1,2015/2016,
Otago region,ORC-10005,Brighton Beach Otokia Creek,Beach,Enterococci,42387.55208,20,FALSE,FALSE,3,1,2016,201603,20,2015/2016,
Otago region,ORC-10005,Brighton Beach Otokia Creek,Beach,Enterococci,42394.56389,44,FALSE,FALSE,4,1,2016,201604,44,2015/2016,
Otago region,ORC-10005,Brighton Beach Otokia Creek,Beach,Enterococci,42402.57361,1,TRUE,FALSE,5,2,2016,201605,0.5,2015/2016,
Otago region,ORC-10005,Brighton Beach Otokia Creek,Beach,Enterococci,42409.57569,100,FALSE,FALSE,6,2,2016,201606,100,2015/2016,
Otago region,ORC-10005,Brighton Beach Otokia Creek,Beach,Enterococci,42415.56389,4,FALSE,FALSE,7,2,2016,201607,4,2015/2016,
Otago region,ORC-10005,Brighton Beach Otokia Creek,Beach,Enterococci,42423.55,2,FALSE,FALSE,8,2,2016,201608,2,2015/2016,
Otago region,ORC-10005,Brighton Beach Otokia Creek,Beach,Enterococci,42429.55694,16,FALSE,FALSE,9,2,2016,201609,16,2015/2016,
Otago region,ORC-10005,Brighton Beach Otokia Creek,Beach,Enterococci,42436.54514,2,FALSE,FALSE,10,3,2016,201610,2,2015/2016,
Otago region,ORC-10005,Brighton Beach Otokia Creek,Beach,Enterococci,42443.55,150,FALSE,FALSE,11,3,2016,201611,150,2015/2016,
Otago region,ORC-10005,Brighton Beach Otokia Creek,Beach,Enterococci,42451.5625,24,FALSE,FALSE,12,3,2016,201612,24,2015/2016,
Otago region,ORC-10005,Brighton Beach Otokia Creek,Beach,Enterococci,42709.52083,10,FALSE,FALSE,49,12,2016,201649,10,2016/2017,
Otago region,ORC-10005,Brighton Beach Otokia Creek,Beach,Enterococci,42716.57639,8,FALSE,FALSE,50,12,2016,201650,8,2016/2017,
Otago region,ORC-10005,Brighton Beach Otokia Creek,Beach,Enterococci,42723.58681,6,FALSE,FALSE,51,12,2016,201651,6,2016/2017,
Otago region,ORC-10005,Brighton Beach Otokia Creek,Beach,Enterococci,42732.57292,12,FALSE,FALSE,52,12,2016,201652,12,2016/2017,
Otago region,ORC-10005,Brighton Beach Otokia Creek,Beach,Enterococci,42739.54167,150,FALSE,FALSE,1,1,2017,201701,150,2016/2017,
Otago region,ORC-10005,Brighton Beach Otokia Creek,Beach,Enterococci,42744.54514,23,FALSE,FALSE,2,1,2017,201702,23,2016/2017,
Otago region,ORC-10005,Brighton Beach Otokia Creek,Beach,Enterococci,42751.53125,20,FALSE,FALSE,3,1,2017,201703,20,2016/2017,
Otago region,ORC-10005,Brighton Beach Otokia Creek,Beach,Enterococci,42765.56597,40,FALSE,FALSE,5,1,2017,201705,40,2016/2017,
Otago region,ORC-10005,Brighton Beach Otokia Creek,Beach,Enterococci,42773.55556,42,FALSE,FALSE,6,2,2017,201706,42,2016/2017,
Otago region,ORC-10005,Brighton Beach Otokia Creek,Beach,Enterococci,42779.55556,180,FALSE,FALSE,7,2,2017,201707,180,2016/2017,
Otago region,ORC-10005,Brighton Beach Otokia Creek,Beach,Enterococci,42786.54514,1,TRUE,FALSE,8,2,2017,201708,0.5,2016/2017,
Otago region,ORC-10005,Brighton Beach Otokia Creek,Beach,Enterococci,42793.55903,4,FALSE,FALSE,9,2,2017,201709,4,2016/2017,
Otago region,ORC-10005,Brighton Beach Otokia Creek,Beach,Enterococci,42800.57292,98,FALSE,FALSE,10,3,2017,201710,98,2016/2017,
Otago region,ORC-10005,Brighton Beach Otokia Creek,Beach,Enterococci,42807.56944,2100,FALSE,FALSE,11,3,2017,201711,2100,2016/2017,
Otago region,ORC-10005,Brighton Beach Otokia Creek,Beach,Enterococci,42815.56597,4,FALSE,FALSE,12,3,2017,201712,4,2016/2017,
Otago region,ORC-10005,Brighton Beach Otokia Creek,Beach,Enterococci,42821.5625,270,FALSE,FALSE,13,3,2017,201713,270,2016/2017,
Otago region,ORC-10005,Brighton Beach Otokia Creek,Beach,Enterococci,43073.5625,10,TRUE,FALSE,49,12,2017,201749,5,2017/2018,
Otago region,ORC-10005,Brighton Beach Otokia Creek,Beach,Enterococci,43080.55208,10,TRUE,FALSE,50,12,2017,201750,5,2017/2018,
Otago region,ORC-10005,Brighton Beach Otokia Creek,Beach,Enterococci,43087.53472,10,FALSE,FALSE,51,12,2017,201751,10,2017/2018,
Otago region,ORC-10005,Brighton Beach Otokia Creek,Beach,Enterococci,43096.54514,20,FALSE,FALSE,52,12,2017,201752,20,2017/2018,
Otago region,ORC-10005,Brighton Beach Otokia Creek,Beach,Enterococci,43103.54167,10,TRUE,FALSE,1,1,2018,201801,5,2017/2018,
Otago region,ORC-10005,Brighton Beach Otokia Creek,Beach,Enterococci,43108.5625,677,FALSE,FALSE,2,1,2018,201802,677,2017/2018,
Otago region,ORC-10005,Brighton Beach Otokia Creek,Beach,Enterococci,43111.49653,31,FALSE,FALSE,2,1,2018,201802,31,2017/2018,Y
Otago region,ORC-10005,Brighton Beach Otokia Creek,Beach,Enterococci,43115.57986,10,TRUE,FALSE,3,1,2018,201803,5,2017/2018,
Otago region,ORC-10005,Brighton Beach Otokia Creek,Beach,Enterococci,43122.56597,10,FALSE,FALSE,4,1,2018,201804,10,2017/2018,
Otago region,ORC-10005,Brighton Beach Otokia Creek,Beach,Enterococci,43129.57292,41,FALSE,FALSE,5,1,2018,201805,41,2017/2018,
Otago region,ORC-10005,Brighton Beach Otokia Creek,Beach,Enterococci,43138.54861,20,FALSE,FALSE,6,2,2018,201806,20,2017/2018,
Otago region,ORC-10005,Brighton Beach Otokia Creek,Beach,Enterococci,43143.54167,10,FALSE,FALSE,7,2,2018,201807,10,2017/2018,
Otago region,ORC-10005,Brighton Beach Otokia Creek,Beach,Enterococci,43150.56597,109,FALSE,FALSE,8,2,2018,201808,109,2017/2018,
Otago region,ORC-10005,Brighton Beach Otokia Creek,Beach,Enterococci,43157.54861,74,FALSE,FALSE,9,2,2018,201809,74,2017/2018,
Otago region,ORC-10005,Brighton Beach Otokia Creek,Beach,Enterococci,43164.57292,428,FALSE,FALSE,10,3,2018,201810,428,2017/2018,
Otago region,ORC-10005,Brighton Beach Otokia Creek,Beach,Enterococci,43171.5625,10,TRUE,FALSE,11,3,2018,201811,5,2017/2018,
Otago region,ORC-10005,Brighton Beach Otokia Creek,Beach,Enterococci,43178.60764,10,TRUE,FALSE,12,3,2018,201812,5,2017/2018,
Otago region,ORC-10005,Brighton Beach Otokia Creek,Beach,Enterococci,43186.54167,10,TRUE,FALSE,13,3,2018,201813,5,2017/2018,
