Status,Region,LawaId,SiteName,SiteType,Property,FeatureOfInterest,TimeseriesUrl,HasErrors,ResultsLog,ValueDate,TextValue
Failed,Bay of Plenty region,EBOP-10040,Hikuwai Beach End of Snell Rd,Beach,Enterococci,,http://ec2-52-6-196-14.compute-1.amazonaws.com/sos-bop/service?service=SOS&version=2.0.0&request=GetObservation&observedProperty=Enterococci_LabResult&featureOfInterest=NL713661,TRUE,"ERROR: An error was returned from the timeseries : 'The value 'NL713661' of the parameter 'featureOfInterest' is invalid'
",,
Failed,Bay of Plenty region,EBOP-10041,Maketū at Surf Club,Beach,Enterococci,,http://ec2-52-6-196-14.compute-1.amazonaws.com/sos-bop/service?service=SOS&version=2.0.0&request=GetObservation&observedProperty=Enterococci_LabResult&featureOfInterest=GO441583,TRUE,"ERROR: An error was returned from the timeseries : 'The value 'GO441583' of the parameter 'featureOfInterest' is invalid'
",,
Failed,Bay of Plenty region,EBOP-10042,Mount Maunganui at Surf Club,Beach,Enterococci,,http://ec2-52-6-196-14.compute-1.amazonaws.com/sos-bop/service?service=SOS&version=2.0.0&request=GetObservation&observedProperty=Enterococci_LabResult&featureOfInterest=EQ065035,TRUE,"ERROR: An error was returned from the timeseries : 'The value 'EQ065035' of the parameter 'featureOfInterest' is invalid'
",,
Failed,Bay of Plenty region,EBOP-10061,Ōhiwa Harbour at Reserve Boat Ramp,Beach,Enterococci,,http://ec2-52-6-196-14.compute-1.amazonaws.com/sos-bop/service?service=SOS&version=2.0.0&request=GetObservation&observedProperty=Enterococci_LabResult&featureOfInterest=ML251726,TRUE,"ERROR: An error was returned from the timeseries : 'The value 'ML251726' of the parameter 'featureOfInterest' is invalid'
",,
Failed,Bay of Plenty region,EBOP-00228,Ōhope Beach at Anne St,Beach,Enterococci,,http://ec2-52-6-196-14.compute-1.amazonaws.com/sos-bop/service?service=SOS&version=2.0.0&request=GetObservation&observedProperty=Enterococci_LabResult&featureOfInterest=ML081849,TRUE,"ERROR: An error was returned from the timeseries : 'The value 'ML081849' of the parameter 'featureOfInterest' is invalid'
",,
Failed,Bay of Plenty region,EBOP-10043,Ōhope Beach at Surf Club,Beach,Enterococci,,http://ec2-52-6-196-14.compute-1.amazonaws.com/sos-bop/service?service=SOS&version=2.0.0&request=GetObservation&observedProperty=Enterococci_LabResult&featureOfInterest=LM474063,TRUE,"ERROR: An error was returned from the timeseries : 'The value 'LM474063' of the parameter 'featureOfInterest' is invalid'
",,
Failed,Bay of Plenty region,LAWA-00678,Ōhope Beach opposite Moana St,Beach,Enterococci,,http://ec2-52-6-196-14.compute-1.amazonaws.com/sos-bop/service?service=SOS&version=2.0.0&request=GetObservation&observedProperty=Enterococci_LabResult&featureOfInterest=LL770939,TRUE,"ERROR: An error was returned from the timeseries : 'The value 'LL770939' of the parameter 'featureOfInterest' is invalid'
",,
Failed,Bay of Plenty region,LAWA-100656    ,Papamoa at Harrison's Cut,Beach,Enterococci,,http://ec2-52-6-196-14.compute-1.amazonaws.com/sos-bop/service?service=SOS&version=2.0.0&request=GetObservation&observedProperty=Enterococci_LabResult&featureOfInterest=EP886340,TRUE,"ERROR: An error was returned from the timeseries : 'The value 'EP886340' of the parameter 'featureOfInterest' is invalid'
",,
Failed,Bay of Plenty region,EBOP-10048,Pilot Bay opposite Pacific Ave,Beach,Enterococci,,http://ec2-52-6-196-14.compute-1.amazonaws.com/sos-bop/service?service=SOS&version=2.0.0&request=GetObservation&observedProperty=Enterococci_LabResult&featureOfInterest=EP057968,TRUE,"ERROR: An error was returned from the timeseries : 'The value 'EP057968' of the parameter 'featureOfInterest' is invalid'
",,
Failed,Bay of Plenty region,EBOP-10049,Piripai at Ohuirehe Rd,Beach,Enterococci,,http://ec2-52-6-196-14.compute-1.amazonaws.com/sos-bop/service?service=SOS&version=2.0.0&request=GetObservation&observedProperty=Enterococci_LabResult&featureOfInterest=KM969398,TRUE,"ERROR: An error was returned from the timeseries : 'The value 'KM969398' of the parameter 'featureOfInterest' is invalid'
",,
