region,lawaSiteID,siteName,siteType,property,dateCollected,val,lCens,rCens,week,month,year,YW,fVal,bathingSeason,Retest result? (Y/N),,Targetted flood sampling
Tasman region,TDC-10007,Kaiteriteri Beach,Beach,Enterococci,42332.47917,10,TRUE,FALSE,47,11,2015,201547,5,2015/2016,,,
Tasman region,TDC-10007,Kaiteriteri Beach,Beach,Enterococci,42339.47917,10,FALSE,FALSE,48,12,2015,201548,10,2015/2016,,,
Tasman region,TDC-10007,Kaiteriteri Beach,Beach,Enterococci,42346.44792,10,TRUE,FALSE,49,12,2015,201549,5,2015/2016,,,
Tasman region,TDC-10007,Kaiteriteri Beach,Beach,Enterococci,42353.46528,10,TRUE,FALSE,50,12,2015,201550,5,2015/2016,,,
Tasman region,TDC-10007,Kaiteriteri Beach,Beach,Enterococci,42355.5,10,TRUE,FALSE,51,12,2015,201551,5,2015/2016,,,
Tasman region,TDC-10007,Kaiteriteri Beach,Beach,Enterococci,42360.5,10,TRUE,FALSE,51,12,2015,201551,5,2015/2016,,,
Tasman region,TDC-10007,Kaiteriteri Beach,Beach,Enterococci,42367.51389,10,TRUE,FALSE,52,12,2015,201552,5,2015/2016,,,
Tasman region,TDC-10007,Kaiteriteri Beach,Beach,Enterococci,42374.48611,10,TRUE,FALSE,1,1,2016,201601,5,2015/2016,,,
Tasman region,TDC-10007,Kaiteriteri Beach,Beach,Enterococci,42376.59028,10,TRUE,FALSE,1,1,2016,201601,5,2015/2016,,,
Tasman region,TDC-10007,Kaiteriteri Beach,Beach,Enterococci,42381.45486,10,TRUE,FALSE,2,1,2016,201602,5,2015/2016,,,
Tasman region,TDC-10007,Kaiteriteri Beach,Beach,Enterococci,42383.52639,10,TRUE,FALSE,2,1,2016,201602,5,2015/2016,,,
Tasman region,TDC-10007,Kaiteriteri Beach,Beach,Enterococci,42390.32917,10,TRUE,FALSE,3,1,2016,201603,5,2015/2016,,,
Tasman region,TDC-10007,Kaiteriteri Beach,Beach,Enterococci,42395.45833,10,TRUE,FALSE,4,1,2016,201604,5,2015/2016,,,
Tasman region,TDC-10007,Kaiteriteri Beach,Beach,Enterococci,42397.45625,74,FALSE,FALSE,4,1,2016,201604,74,2015/2016,,,
Tasman region,TDC-10007,Kaiteriteri Beach,Beach,Enterococci,42402.55903,10,TRUE,FALSE,5,2,2016,201605,5,2015/2016,,,
Tasman region,TDC-10007,Kaiteriteri Beach,Beach,Enterococci,42404.47222,10,TRUE,FALSE,5,2,2016,201605,5,2015/2016,,,
Tasman region,TDC-10007,Kaiteriteri Beach,Beach,Enterococci,42409.47708,31,FALSE,FALSE,6,2,2016,201606,31,2015/2016,,,
Tasman region,TDC-10007,Kaiteriteri Beach,Beach,Enterococci,42411.42014,10,TRUE,FALSE,6,2,2016,201606,5,2015/2016,,,
Tasman region,TDC-10007,Kaiteriteri Beach,Beach,Enterococci,42416.5,10,TRUE,FALSE,7,2,2016,201607,5,2015/2016,,,
Tasman region,TDC-10007,Kaiteriteri Beach,Beach,Enterococci,42418.70833,20,FALSE,FALSE,7,2,2016,201607,20,2015/2016,,,
Tasman region,TDC-10007,Kaiteriteri Beach,Beach,Enterococci,42419.36111,30,FALSE,FALSE,8,2,2016,201608,30,2015/2016,,,
Tasman region,TDC-10007,Kaiteriteri Beach,Beach,Enterococci,42423.46528,52,FALSE,FALSE,8,2,2016,201608,52,2015/2016,,,
Tasman region,TDC-10007,Kaiteriteri Beach,Beach,Enterococci,42430.52083,10,TRUE,FALSE,9,3,2016,201609,5,2015/2016,,,
Tasman region,TDC-10007,Kaiteriteri Beach,Beach,Enterococci,42453.49653,240,FALSE,FALSE,12,3,2016,201612,240,2015/2016,,,
Tasman region,TDC-10007,Kaiteriteri Beach,Beach,Enterococci,42696.47917,10,TRUE,FALSE,47,11,2016,201647,5,2016/2017,,,
Tasman region,TDC-10007,Kaiteriteri Beach,Beach,Enterococci,42703.50694,10,TRUE,FALSE,48,11,2016,201648,5,2016/2017,,,
Tasman region,TDC-10007,Kaiteriteri Beach,Beach,Enterococci,42710.39931,10,TRUE,FALSE,49,12,2016,201649,5,2016/2017,,,
Tasman region,TDC-10007,Kaiteriteri Beach,Beach,Enterococci,42717.39722,10,FALSE,FALSE,50,12,2016,201650,10,2016/2017,,,
Tasman region,TDC-10007,Kaiteriteri Beach,Beach,Enterococci,42719.51736,10,TRUE,FALSE,50,12,2016,201650,5,2016/2017,,,
Tasman region,TDC-10007,Kaiteriteri Beach,Beach,Enterococci,42724.39236,10,FALSE,FALSE,51,12,2016,201651,10,2016/2017,,,
Tasman region,TDC-10007,Kaiteriteri Beach,Beach,Enterococci,42726.45486,10,TRUE,FALSE,51,12,2016,201651,5,2016/2017,,,
Tasman region,TDC-10007,Kaiteriteri Beach,Beach,Enterococci,42732.27431,10,TRUE,FALSE,52,12,2016,201652,5,2016/2017,,,
Tasman region,TDC-10007,Kaiteriteri Beach,Beach,Enterococci,42739.28542,10,FALSE,FALSE,1,1,2017,201701,10,2016/2017,,,
Tasman region,TDC-10007,Kaiteriteri Beach,Beach,Enterococci,42740.51042,10,TRUE,FALSE,1,1,2017,201701,5,2016/2017,,,
Tasman region,TDC-10007,Kaiteriteri Beach,Beach,Enterococci,42745.55208,10,TRUE,FALSE,2,1,2017,201702,5,2016/2017,,,
Tasman region,TDC-10007,Kaiteriteri Beach,Beach,Enterococci,42747.52083,20,FALSE,FALSE,2,1,2017,201702,20,2016/2017,,,
Tasman region,TDC-10007,Kaiteriteri Beach,Beach,Enterococci,42752.53819,10,TRUE,FALSE,3,1,2017,201703,5,2016/2017,,,
Tasman region,TDC-10007,Kaiteriteri Beach,Beach,Enterococci,42754.52778,10,FALSE,FALSE,3,1,2017,201703,10,2016/2017,,,
Tasman region,TDC-10007,Kaiteriteri Beach,Beach,Enterococci,42759.38194,10,FALSE,FALSE,4,1,2017,201704,10,2016/2017,,,
Tasman region,TDC-10007,Kaiteriteri Beach,Beach,Enterococci,42761.5,187,FALSE,FALSE,4,1,2017,201704,187,2016/2017,,,
Tasman region,TDC-10007,Kaiteriteri Beach,Beach,Enterococci,42766.40278,10,TRUE,FALSE,5,1,2017,201705,5,2016/2017,,,
Tasman region,TDC-10007,Kaiteriteri Beach,Beach,Enterococci,42773.46458,20,FALSE,FALSE,6,2,2017,201706,20,2016/2017,,,
Tasman region,TDC-10007,Kaiteriteri Beach,Beach,Enterococci,42780.55903,52,FALSE,FALSE,7,2,2017,201707,52,2016/2017,,,
