region,lawaSiteID,siteName,siteType,property,dateCollected,val,lCens,rCens,week,month,year,YW,fVal,bathingSeason,Retest result? (Y/N)
Waikato region,LAWA-100564,Buffalo Beach at Whitianga,Beach,Enterococci,42335.47708,2,FALSE,FALSE,48,11,2015,201548,2,2015/2016,
Waikato region,LAWA-100564,Buffalo Beach at Whitianga,Beach,Enterococci,42339.48819,18,FALSE,FALSE,48,12,2015,201548,18,2015/2016,
Waikato region,LAWA-100564,Buffalo Beach at Whitianga,Beach,Enterococci,42349.39722,1,FALSE,FALSE,50,12,2015,201550,1,2015/2016,
Waikato region,LAWA-100564,Buffalo Beach at Whitianga,Beach,Enterococci,42355.48194,4,FALSE,FALSE,51,12,2015,201551,4,2015/2016,
Waikato region,LAWA-100564,Buffalo Beach at Whitianga,Beach,Enterococci,42361.40764,1,FALSE,FALSE,51,12,2015,201551,1,2015/2016,
Waikato region,LAWA-100564,Buffalo Beach at Whitianga,Beach,Enterococci,42377.41319,5,FALSE,FALSE,2,1,2016,201602,5,2015/2016,
Waikato region,LAWA-100564,Buffalo Beach at Whitianga,Beach,Enterococci,42383.50556,32,FALSE,FALSE,2,1,2016,201602,32,2015/2016,
Waikato region,LAWA-100564,Buffalo Beach at Whitianga,Beach,Enterococci,42391.42361,20,FALSE,FALSE,4,1,2016,201604,20,2015/2016,
Waikato region,LAWA-100564,Buffalo Beach at Whitianga,Beach,Enterococci,42397.51667,11,FALSE,FALSE,4,1,2016,201604,11,2015/2016,
Waikato region,LAWA-100564,Buffalo Beach at Whitianga,Beach,Enterococci,42402.59375,2,FALSE,FALSE,5,2,2016,201605,2,2015/2016,
Waikato region,LAWA-100564,Buffalo Beach at Whitianga,Beach,Enterococci,42411.48194,38,FALSE,FALSE,6,2,2016,201606,38,2015/2016,
Waikato region,LAWA-100564,Buffalo Beach at Whitianga,Beach,Enterococci,42415.50556,1,FALSE,FALSE,7,2,2016,201607,1,2015/2016,
Waikato region,LAWA-100564,Buffalo Beach at Whitianga,Beach,Enterococci,42675.40278,1,FALSE,FALSE,44,11,2016,201644,1,2016/2017,
Waikato region,LAWA-100564,Buffalo Beach at Whitianga,Beach,Enterococci,42682.37222,2,FALSE,FALSE,45,11,2016,201645,2,2016/2017,
Waikato region,LAWA-100564,Buffalo Beach at Whitianga,Beach,Enterococci,42689.36806,360,FALSE,FALSE,46,11,2016,201646,360,2016/2017,
Waikato region,LAWA-100564,Buffalo Beach at Whitianga,Beach,Enterococci,42696.40972,4,FALSE,FALSE,47,11,2016,201647,4,2016/2017,
Waikato region,LAWA-100564,Buffalo Beach at Whitianga,Beach,Enterococci,42703.35417,1,FALSE,FALSE,48,11,2016,201648,1,2016/2017,
Waikato region,LAWA-100564,Buffalo Beach at Whitianga,Beach,Enterococci,42710.34375,100,FALSE,FALSE,49,12,2016,201649,100,2016/2017,
Waikato region,LAWA-100564,Buffalo Beach at Whitianga,Beach,Enterococci,42717.38542,3,FALSE,FALSE,50,12,2016,201650,3,2016/2017,
Waikato region,LAWA-100564,Buffalo Beach at Whitianga,Beach,Enterococci,42724.375,3,FALSE,FALSE,51,12,2016,201651,3,2016/2017,
Waikato region,LAWA-100564,Buffalo Beach at Whitianga,Beach,Enterococci,42740.36458,1,FALSE,FALSE,1,1,2017,201701,1,2016/2017,
Waikato region,LAWA-100564,Buffalo Beach at Whitianga,Beach,Enterococci,42745.37847,1,FALSE,FALSE,2,1,2017,201702,1,2016/2017,
Waikato region,LAWA-100564,Buffalo Beach at Whitianga,Beach,Enterococci,42752.36806,1,FALSE,FALSE,3,1,2017,201703,1,2016/2017,
Waikato region,LAWA-100564,Buffalo Beach at Whitianga,Beach,Enterococci,42759.39236,1,FALSE,FALSE,4,1,2017,201704,1,2016/2017,
Waikato region,LAWA-100564,Buffalo Beach at Whitianga,Beach,Enterococci,42766.375,160,FALSE,FALSE,5,1,2017,201705,160,2016/2017,
Waikato region,LAWA-100564,Buffalo Beach at Whitianga,Beach,Enterococci,42773.37847,1,FALSE,FALSE,6,2,2017,201706,1,2016/2017,
