"LawaSiteID","Measurement","median","MAD","count","minPerYear","nYear","nQuart","nMonth","censoredCount","CenType","Frequency","censoredPropn","censMedian","EcoliDetect","EcoliDetectAtAll","meas","Exclude","Source"
"ECAN-00207","Ammoniacal nitrogen",0.005,0,5,1,5,1,1,5,"<","quarterly",1,"<0.01",NA,NA,"NH4",FALSE,"Canterbury"
"ECAN-00207","Chloride",0.9,0.2,5,1,5,1,1,0,"0","quarterly",0,"0.9",NA,NA,"Cl",FALSE,"Canterbury"
"ECAN-00207","Dissolved reactive phosphorus",0.0028,8e-04,5,1,5,1,1,0,"0","quarterly",0,"0.0028",NA,NA,"DRP",FALSE,"Canterbury"
"ECAN-00207","E.coli",0.5,0,4,0,4,1,1,4,"<","quarterly",1,"<1","2","2","ECOLI",FALSE,"Canterbury"
"ECAN-00207","Electrical conductivity/salinity",64,4,5,1,5,1,1,0,"0","quarterly",0,"64",NA,NA,"NaCl",FALSE,"Canterbury"
"ECAN-00207","Nitrate nitrogen",0.51,0.06,5,1,5,1,1,0,"0","quarterly",0,"0.51",NA,NA,"NO3",FALSE,"Canterbury"
"ECAN-00247","Ammoniacal nitrogen",0.013,0.004,4,0,4,1,2,1,"0","quarterly",0.25,"0.013",NA,NA,"NH4",FALSE,"Canterbury"
"ECAN-00247","Chloride",12.45,0.3,4,0,4,1,2,0,"0","quarterly",0,"12.45",NA,NA,"Cl",FALSE,"Canterbury"
"ECAN-00247","Dissolved reactive phosphorus",0.00575,8e-04,4,0,4,1,2,0,"0","quarterly",0,"0.00575",NA,NA,"DRP",FALSE,"Canterbury"
"ECAN-00247","E.coli",0.5,0,4,0,4,1,2,4,"<","quarterly",1,"<1","2","2","ECOLI",FALSE,"Canterbury"
"ECAN-00247","Electrical conductivity/salinity",214,1.5,4,0,4,1,2,0,"0","quarterly",0,"214",NA,NA,"NaCl",FALSE,"Canterbury"
"ECAN-00247","Nitrate nitrogen",6.05,0.25,4,0,4,1,2,0,"0","quarterly",0,"6.05",NA,NA,"NO3",FALSE,"Canterbury"
"ECAN-00268","Ammoniacal nitrogen",0.005,0,10,2,5,4,5,9,"<","quarterly",0.9,"<0.01",NA,NA,"NH4",FALSE,"Canterbury"
"ECAN-00268","Chloride",4.55,0.2,10,2,5,4,5,0,"0","quarterly",0,"4.55",NA,NA,"Cl",FALSE,"Canterbury"
"ECAN-00268","Dissolved reactive phosphorus",0.0117,0.0014,5,1,5,2,3,0,"0","quarterly",0,"0.0117",NA,NA,"DRP",FALSE,"Canterbury"
"ECAN-00268","E.coli",0.5,0,5,1,5,2,3,5,"<","quarterly",1,"<1","2","2","ECOLI",FALSE,"Canterbury"
"ECAN-00268","Electrical conductivity/salinity",134,1,10,2,5,4,5,0,"0","quarterly",0,"134",NA,NA,"NaCl",FALSE,"Canterbury"
"ECAN-00268","Nitrate nitrogen",0.135,0.005,10,2,5,4,5,0,"0","quarterly",0,"0.135",NA,NA,"NO3",FALSE,"Canterbury"
"ECAN-00269","Ammoniacal nitrogen",3.15,0.0999999999999999,10,2,5,4,5,0,"0","quarterly",0,"3.15",NA,NA,"NH4",FALSE,"Canterbury"
"ECAN-00269","Chloride",47,1,10,2,5,4,5,0,"0","quarterly",0,"47",NA,NA,"Cl",FALSE,"Canterbury"
"ECAN-00269","Dissolved reactive phosphorus",0.61,0.05,5,1,5,2,3,0,"0","quarterly",0,"0.61",NA,NA,"DRP",FALSE,"Canterbury"
"ECAN-00269","E.coli",0.5,0,5,1,5,2,3,5,"<","quarterly",1,"<1","2","2","ECOLI",FALSE,"Canterbury"
"ECAN-00269","Electrical conductivity/salinity",389.5,3.5,10,2,5,4,5,0,"0","quarterly",0,"389.5",NA,NA,"NaCl",FALSE,"Canterbury"
"ECAN-00269","Nitrate nitrogen",0.025,0,10,2,5,4,5,9,"<","quarterly",0.9,"<0.05",NA,NA,"NO3",FALSE,"Canterbury"
"ECAN-00270","Ammoniacal nitrogen",0.1245,0.004,10,2,5,4,5,0,"0","quarterly",0,"0.1245",NA,NA,"NH4",FALSE,"Canterbury"
"ECAN-00270","Chloride",4.45,0.25,10,2,5,4,5,0,"0","quarterly",0,"4.45",NA,NA,"Cl",FALSE,"Canterbury"
"ECAN-00270","Dissolved reactive phosphorus",0.0175,0.0015,5,1,5,2,3,0,"0","quarterly",0,"0.0175",NA,NA,"DRP",FALSE,"Canterbury"
"ECAN-00270","E.coli",0.5,0,5,1,5,2,3,5,"<","quarterly",1,"<1","2","2","ECOLI",FALSE,"Canterbury"
"ECAN-00270","Electrical conductivity/salinity",148,0.5,10,2,5,4,5,0,"0","quarterly",0,"148",NA,NA,"NaCl",FALSE,"Canterbury"
"ECAN-00270","Nitrate nitrogen",0.025,0,10,2,5,4,5,9,"<","quarterly",0.9,"<0.05",NA,NA,"NO3",FALSE,"Canterbury"
"ECAN-00297","Ammoniacal nitrogen",0.005,0,19,3,5,4,5,16,"<","quarterly",0.842105263157895,"<0.01",NA,NA,"NH4",FALSE,"Canterbury"
"ECAN-00297","Chloride",2.6,0.2,20,4,5,4,5,0,"0","quarterly",0,"2.6",NA,NA,"Cl",FALSE,"Canterbury"
"ECAN-00297","Dissolved reactive phosphorus",0.0325,0.003,20,4,5,4,5,0,"0","quarterly",0,"0.0325",NA,NA,"DRP",FALSE,"Canterbury"
"ECAN-00297","E.coli",0.5,0,20,4,5,4,5,17,"<","quarterly",0.85,"<1","2","1","ECOLI",FALSE,"Canterbury"
"ECAN-00297","Electrical conductivity/salinity",219,8.5,20,4,5,4,5,0,"0","quarterly",0,"219",NA,NA,"NaCl",FALSE,"Canterbury"
"ECAN-00297","Nitrate nitrogen",0.9,0.3,20,4,5,4,5,0,"0","quarterly",0,"0.9",NA,NA,"NO3",FALSE,"Canterbury"
"GDC-00034","Ammoniacal nitrogen",0.22,0.05,9,1,5,4,7,0,"0","quarterly",0,"0.22",NA,NA,"NH4",FALSE,"Gisborne"
"GDC-00034","Chloride",41,19,9,1,5,4,7,0,"0","quarterly",0,"41",NA,NA,"Cl",FALSE,"Gisborne"
"GDC-00034","E.coli",0.8,0,9,1,5,4,7,8,"<","quarterly",0.888888888888889,"<1.6","2","1","ECOLI",FALSE,"Gisborne"
"GDC-00034","Electrical conductivity/salinity",889,212,9,1,5,4,7,0,"0","quarterly",0,"889",NA,NA,"NaCl",FALSE,"Gisborne"
"GDC-00034","Nitrate nitrogen",0.0022,0.0012,9,1,5,4,7,3,"0","quarterly",0.333333333333333,"0.0022",NA,NA,"NO3",FALSE,"Gisborne"
"GDC-00035","Ammoniacal nitrogen",5.6,0.100000000000001,7,0,4,4,5,0,"0","quarterly",0,"5.6",NA,NA,"NH4",FALSE,"Gisborne"
"GDC-00035","Chloride",47,2.9,11,1,5,4,6,0,"0","quarterly",0,"47",NA,NA,"Cl",FALSE,"Gisborne"
"GDC-00035","E.coli",0.8,0,5,0,3,4,4,5,"<","quarterly",1,"<1.6","2","2","ECOLI",FALSE,"Gisborne"
"GDC-00035","Electrical conductivity/salinity",1085,27,11,1,5,4,6,0,"0","quarterly",0,"1085",NA,NA,"NaCl",FALSE,"Gisborne"
"GDC-00035","Nitrate nitrogen",0.0046,0.0026,10,1,5,4,6,7,"<","quarterly",0.7,"<0.0092",NA,NA,"NO3",FALSE,"Gisborne"
"GW-00073","Ammoniacal nitrogen",0.022453,0.0035,20,3,5,4,8,0,"0","quarterly",0,"0.022453",NA,NA,"NH4",FALSE,"Wellington"
"GW-00073","Chloride",37.50315,0.503149999999998,20,3,5,4,8,0,"0","quarterly",0,"37.50315",NA,NA,"Cl",FALSE,"Wellington"
"GW-00073","Dissolved reactive phosphorus",0.14436615,0.01163385,20,3,5,4,8,0,"0","quarterly",0,"0.14436615",NA,NA,"DRP",FALSE,"Wellington"
"GW-00073","E.coli",0.5,0,20,3,5,4,8,20,"<","quarterly",1,"<1","2","2","ECOLI",FALSE,"Wellington"
"GW-00073","Electrical conductivity/salinity",284.60179,2.5,20,3,5,4,8,0,"0","quarterly",0,"284.60179",NA,NA,"NaCl",FALSE,"Wellington"
"GW-00073","Nitrate nitrogen",0.001,0,20,3,5,4,8,18,"<","quarterly",0.9,"<0.002",NA,NA,"NO3",FALSE,"Wellington"
"GW-00076","Ammoniacal nitrogen",0.005,0,19,3,5,4,5,18,"<","quarterly",0.947368421052632,"<0.01",NA,NA,"NH4",FALSE,"Wellington"
