"LawaSiteID","Measurement","nMeasures","nFirstYear","nLastYear","numMonths","numQuarters","numYears","proportionNeeded","Observations","KWstat","pvalue","nObs","S","VarS","D","tau","Z","p","MKProbability","AnalysisNote","prop.censored","prop.unique","no.censorlevels","Median","Sen_VarS","AnnualSenSlope","Intercept","Lci","Uci","AnalysisNoteSS","Sen_Probability","Probabilitymax","Probabilitymin","Percent.annual.change","standard","ConfCat","period","frequency","Source","TrendScore"
"EBOP-00066","Ammoniacal nitrogen",11,0,4,11,10,3,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=10/40  nY=3/10","Bay of Plenty",NA
"EBOP-00066","Chloride",11,0,4,11,10,3,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=10/40  nY=3/10","Bay of Plenty",NA
"EBOP-00066","E.coli",11,0,4,11,10,3,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=10/40  nY=3/10","Bay of Plenty",NA
"EBOP-00066","Electrical conductivity/salinity",11,0,4,11,10,3,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=10/40  nY=3/10","Bay of Plenty",NA
"EBOP-00066","Nitrate nitrogen",11,0,4,11,10,3,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=10/40  nY=3/10","Bay of Plenty",NA
"EBOP-00069","Ammoniacal nitrogen",18,0,4,18,18,5,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=18/40  nY=5/10","Bay of Plenty",NA
"EBOP-00069","Chloride",17,0,4,17,17,5,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=17/40  nY=5/10","Bay of Plenty",NA
"EBOP-00069","E.coli",18,0,4,18,18,5,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=18/40  nY=5/10","Bay of Plenty",NA
"EBOP-00069","Electrical conductivity/salinity",17,0,3,17,17,5,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=17/40  nY=5/10","Bay of Plenty",NA
"EBOP-00069","Nitrate nitrogen",18,0,4,18,18,5,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=18/40  nY=5/10","Bay of Plenty",NA
"ECAN-00207","Ammoniacal nitrogen",20,4,1,20,20,10,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=20/40 nQinLY=1/4 ","Canterbury",NA
"ECAN-00207","Chloride",22,4,1,22,22,10,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=22/40 nQinLY=1/4 ","Canterbury",NA
"ECAN-00207","Dissolved reactive phosphorus",16,4,1,16,16,10,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=16/40 nQinLY=1/4 ","Canterbury",NA
"ECAN-00207","E.coli",10,0,1,10,10,7,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=10/40 nQinLY=1/4 nY=7/10","Canterbury",NA
"ECAN-00207","Electrical conductivity/salinity",23,4,1,23,23,10,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=23/40 nQinLY=1/4 ","Canterbury",NA
"ECAN-00207","Nitrate nitrogen",22,4,1,22,22,10,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=22/40 nQinLY=1/4 ","Canterbury",NA
"ECAN-00247","Ammoniacal nitrogen",15,2,1,15,14,9,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=14/40 nQinLY=1/4 ","Canterbury",NA
"ECAN-00247","Chloride",15,2,1,15,14,9,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=14/40 nQinLY=1/4 ","Canterbury",NA
"ECAN-00247","Dissolved reactive phosphorus",8,0,1,8,8,6,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=8/40 nQinLY=1/4 nY=6/10","Canterbury",NA
"ECAN-00247","E.coli",9,1,1,9,9,9,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=9/40 nQinLY=1/4 ","Canterbury",NA
"ECAN-00247","Electrical conductivity/salinity",15,2,1,15,14,9,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=14/40 nQinLY=1/4 ","Canterbury",NA
"ECAN-00247","Nitrate nitrogen",15,2,1,15,14,9,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=14/40 nQinLY=1/4 ","Canterbury",NA
"ECAN-00268","Ammoniacal nitrogen",20,2,2,20,20,10,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=20/40 nQinLY=2/4 ","Canterbury",NA
"ECAN-00268","Chloride",20,2,2,20,20,10,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=20/40 nQinLY=2/4 ","Canterbury",NA
"ECAN-00268","Dissolved reactive phosphorus",7,0,1,7,7,7,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=7/40 nQinLY=1/4 nY=7/10","Canterbury",NA
"ECAN-00268","E.coli",10,1,1,10,10,10,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=10/40 nQinLY=1/4 ","Canterbury",NA
"ECAN-00268","Electrical conductivity/salinity",20,2,2,20,20,10,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=20/40 nQinLY=2/4 ","Canterbury",NA
"ECAN-00268","Nitrate nitrogen",20,2,2,20,20,10,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=20/40 nQinLY=2/4 ","Canterbury",NA
"ECAN-00269","Ammoniacal nitrogen",20,2,2,20,20,10,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=20/40 nQinLY=2/4 ","Canterbury",NA
"ECAN-00269","Chloride",20,2,2,20,20,10,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=20/40 nQinLY=2/4 ","Canterbury",NA
"ECAN-00269","Dissolved reactive phosphorus",7,0,1,7,7,7,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=7/40 nQinLY=1/4 nY=7/10","Canterbury",NA
"ECAN-00269","E.coli",10,1,1,10,10,10,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=10/40 nQinLY=1/4 ","Canterbury",NA
"ECAN-00269","Electrical conductivity/salinity",20,2,2,20,20,10,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=20/40 nQinLY=2/4 ","Canterbury",NA
"ECAN-00269","Nitrate nitrogen",20,2,2,20,20,10,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=20/40 nQinLY=2/4 ","Canterbury",NA
"ECAN-00270","Ammoniacal nitrogen",20,2,2,20,20,10,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=20/40 nQinLY=2/4 ","Canterbury",NA
"ECAN-00270","Chloride",20,2,2,20,20,10,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=20/40 nQinLY=2/4 ","Canterbury",NA
"ECAN-00270","Dissolved reactive phosphorus",7,0,1,7,7,7,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=7/40 nQinLY=1/4 nY=7/10","Canterbury",NA
"ECAN-00270","E.coli",10,1,1,10,10,10,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"unassessed nQ=10/40 nQinLY=1/4 ","Canterbury",NA
