"Site","Bore","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"LAWA-101500","Bore 1000147 at Maketu Rd","Ammoniacal nitrogen","2015-02-19","2019-08-13","19","0.239","0.404"
"LAWA-101500","Bore 1000147 at Maketu Rd","Chloride","2015-02-19","2019-11-06","20","15.2","21"
"LAWA-101500","Bore 1000147 at Maketu Rd","Dissolved reactive phosphorus",NA,NA,"0","Inf","-Inf"
"LAWA-101500","Bore 1000147 at Maketu Rd","E.coli","2015-09-21","2019-11-06","18","1","1"
"LAWA-101500","Bore 1000147 at Maketu Rd","Electrical conductivity/salinity","2015-02-19","2019-11-06","20","206","285"
"LAWA-101500","Bore 1000147 at Maketu Rd","Nitrate nitrogen","2015-02-19","2019-08-13","19","-0.081","0.007"
"LAWA-101500","Bore 1000147 at Maketu Rd","Nitrogen - Other","2016-06-01","2019-08-13","28","-0.001","0.008"
"LAWA-101455","Bore 1001058 73m at Taylor Reserve","Ammoniacal nitrogen","2017-09-19","2019-08-13","6","2.922","4.333"
"LAWA-101455","Bore 1001058 73m at Taylor Reserve","Chloride","2017-09-19","2019-11-05","6","11","15800"
"LAWA-101455","Bore 1001058 73m at Taylor Reserve","Dissolved reactive phosphorus",NA,NA,"0","Inf","-Inf"
"LAWA-101455","Bore 1001058 73m at Taylor Reserve","E.coli","2017-09-19","2019-11-05","6","1","1"
"LAWA-101455","Bore 1001058 73m at Taylor Reserve","Electrical conductivity/salinity","2018-05-15","2019-11-05","3","36.9","33900"
"LAWA-101455","Bore 1001058 73m at Taylor Reserve","Nitrate nitrogen","2017-09-19","2018-05-15","3","-0.012","0.015"
"LAWA-101455","Bore 1001058 73m at Taylor Reserve","Nitrogen - Other","2017-09-19","2019-05-13","7","-0.005","0.087"
"LAWA-101531","Bore 1001059 at Otamarakau Marae","Ammoniacal nitrogen","2019-05-14","2019-11-25","3","0.031","0.039"
"LAWA-101531","Bore 1001059 at Otamarakau Marae","Chloride","2019-05-14","2019-11-25","3","14","14.3"
"LAWA-101531","Bore 1001059 at Otamarakau Marae","Dissolved reactive phosphorus",NA,NA,"0","Inf","-Inf"
"LAWA-101531","Bore 1001059 at Otamarakau Marae","E.coli","2019-05-14","2019-11-25","3","1","1"
"LAWA-101531","Bore 1001059 at Otamarakau Marae","Electrical conductivity/salinity","2019-05-14","2019-11-25","3","875","909"
"LAWA-101531","Bore 1001059 at Otamarakau Marae","Nitrate nitrogen","2019-05-14","2019-11-25","3","-0.003","0.002"
"LAWA-101531","Bore 1001059 at Otamarakau Marae","Nitrogen - Other",NA,NA,"0","Inf","-Inf"
"LAWA-101453","Bore 100106 25m at Taylor Reserve","Ammoniacal nitrogen","2017-09-19","2019-08-13","9","1.218","1.48"
"LAWA-101453","Bore 100106 25m at Taylor Reserve","Chloride","2017-09-19","2019-11-05","10","24","35"
"LAWA-101453","Bore 100106 25m at Taylor Reserve","Dissolved reactive phosphorus",NA,NA,"0","Inf","-Inf"
"LAWA-101453","Bore 100106 25m at Taylor Reserve","E.coli","2017-09-19","2019-11-05","10","1","1"
"LAWA-101453","Bore 100106 25m at Taylor Reserve","Electrical conductivity/salinity","2017-09-19","2019-11-05","10","124","520"
"LAWA-101453","Bore 100106 25m at Taylor Reserve","Nitrate nitrogen","2017-09-19","2019-08-13","9","-0.003","0.001"
"LAWA-101453","Bore 100106 25m at Taylor Reserve","Nitrogen - Other","2017-09-19","2019-08-13","18","0","0.003"
"LAWA-101454","Bore 100107 45m at Taylor Reserve","Ammoniacal nitrogen","2017-09-19","2019-08-13","9","0.162","0.261"
"LAWA-101454","Bore 100107 45m at Taylor Reserve","Chloride","2017-09-19","2019-11-05","10","32","37"
"LAWA-101454","Bore 100107 45m at Taylor Reserve","Dissolved reactive phosphorus",NA,NA,"0","Inf","-Inf"
"LAWA-101454","Bore 100107 45m at Taylor Reserve","E.coli","2017-09-19","2019-11-05","10","1","2"
"LAWA-101454","Bore 100107 45m at Taylor Reserve","Electrical conductivity/salinity","2017-09-19","2019-11-05","10","130","616"
"LAWA-101454","Bore 100107 45m at Taylor Reserve","Nitrate nitrogen","2017-09-19","2019-08-13","9","-0.005","0.001"
"LAWA-101454","Bore 100107 45m at Taylor Reserve","Nitrogen - Other","2017-09-19","2019-08-13","18","-0.001","0.004"
"LAWA-101334","Bore 100113 at Omokoroa Rd","Ammoniacal nitrogen","2017-05-10","2019-12-04","10","0","0.031"
"LAWA-101334","Bore 100113 at Omokoroa Rd","Chloride","2017-05-10","2019-12-04","11","11.5","13.2"
"LAWA-101334","Bore 100113 at Omokoroa Rd","Dissolved reactive phosphorus",NA,NA,"0","Inf","-Inf"
"LAWA-101334","Bore 100113 at Omokoroa Rd","E.coli","2017-05-10","2019-12-04","11","1","1"
"LAWA-101334","Bore 100113 at Omokoroa Rd","Electrical conductivity/salinity","2017-05-10","2019-09-12","9","89.5","163"
"LAWA-101334","Bore 100113 at Omokoroa Rd","Nitrate nitrogen","2017-05-10","2019-12-04","10","0.018","0.051"
