"Site","Bore","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"LAWA-102078","BU24/0002","Ammoniacal nitrogen","2015-09-04","2019-09-03","5","0.005","0.017"
"LAWA-102078","BU24/0002","Chloride","2015-03-04","2019-12-16","22","1.9","4.1"
"LAWA-102078","BU24/0002","Dissolved reactive phosphorus","2015-09-04","2019-09-03","5","0.0137","0.0159"
"LAWA-102078","BU24/0002","E.coli","2015-03-04","2019-12-16","22","0.5","150"
"LAWA-102078","BU24/0002","Electrical conductivity/salinity","2015-03-04","2019-12-16","22","72","98"
"LAWA-102078","BU24/0002","Nitrate nitrogen","2015-03-04","2019-12-16","22","2.6","5.6"
"LAWA-102078","BU24/0002","Nitrogen - Other","2018-06-05","2019-03-20","3","0.001","0.16"
"LAWA-102044","BV24/0023","Ammoniacal nitrogen","2015-09-10","2019-09-11","6","0.005","0.005"
"LAWA-102044","BV24/0023","Chloride","2015-03-04","2019-12-17","22","5.3","8.2"
"LAWA-102044","BV24/0023","Dissolved reactive phosphorus","2015-09-10","2019-09-11","6","0.0076","0.015"
"LAWA-102044","BV24/0023","E.coli","2015-03-04","2019-12-17","22","0.5","2"
"LAWA-102044","BV24/0023","Electrical conductivity/salinity","2015-03-04","2019-12-17","22","134","193"
"LAWA-102044","BV24/0023","Nitrate nitrogen","2015-03-04","2019-12-17","29","0.8","7.6"
"LAWA-102044","BV24/0023","Nitrogen - Other","2018-06-08","2019-03-13","3","0.001","0.05"
"LAWA-102045","BV24/0024","Ammoniacal nitrogen","2015-09-10","2019-09-12","5","0.005","0.005"
"LAWA-102045","BV24/0024","Chloride","2015-03-04","2019-09-12","11","1.9","2.5"
"LAWA-102045","BV24/0024","Dissolved reactive phosphorus","2015-09-10","2019-09-12","5","0.0088","0.0105"
"LAWA-102045","BV24/0024","E.coli","2015-03-04","2019-09-12","11","0.5","0.5"
"LAWA-102045","BV24/0024","Electrical conductivity/salinity","2015-03-04","2019-09-12","11","108","114"
"LAWA-102045","BV24/0024","Nitrate nitrogen","2015-03-04","2019-09-12","11","0.15","0.24"
"LAWA-102045","BV24/0024","Nitrogen - Other",NA,NA,"0","Inf","-Inf"
"LAWA-102079","BV24/0028","Ammoniacal nitrogen","2016-09-08","2019-09-12","5","0.33","0.36"
"LAWA-102079","BV24/0028","Chloride","2016-06-23","2019-12-16","16","33","43"
