"Site","Bore","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"LAWA-100773","D43/0004","Ammoniacal nitrogen","2015-03-18","2019-06-20","17","0.005","0.005"
"LAWA-100773","D43/0004","Chloride","2015-03-18","2019-06-20","17","2.6","3.8"
"LAWA-100773","D43/0004","Dissolved reactive phosphorus","2015-03-18","2019-06-20","17","0.005","0.01"
"LAWA-100773","D43/0004","E.coli","2015-03-18","2019-06-20","17","0.5","0.5"
"LAWA-100773","D43/0004","Electrical conductivity/salinity","2015-03-18","2019-06-20","17","139","149"
"LAWA-100773","D43/0004","Nitrate nitrogen","2015-03-18","2019-06-20","34","2.2","3.1"
"LAWA-100773","D43/0004","Nitrogen - Other","2015-03-18","2019-06-20","46","0.001","3.1"
"LAWA-100773","D43/0004","Water Level",NA,NA,"0","Inf","-Inf"
"LAWA-100765","D45/0004","Ammoniacal nitrogen","2015-03-19","2019-06-19","18","0.005","0.017"
"LAWA-100765","D45/0004","Chloride","2015-03-19","2019-06-19","18","15.6","17.3"
"LAWA-100765","D45/0004","Dissolved reactive phosphorus","2015-03-19","2019-06-19","18","0.002","0.047"
"LAWA-100765","D45/0004","E.coli","2015-03-19","2019-06-19","18","0.5","4"
"LAWA-100765","D45/0004","Electrical conductivity/salinity","2015-03-19","2019-06-19","18","140","151"
"LAWA-100765","D45/0004","Nitrate nitrogen","2015-03-19","2019-06-19","36","0.79","1.9"
"LAWA-100765","D45/0004","Nitrogen - Other","2015-03-19","2019-06-19","54","0.001","1.93"
"LAWA-100765","D45/0004","Water Level",NA,NA,"0","Inf","-Inf"
"LAWA-100768","D45/0005","Ammoniacal nitrogen","2015-03-18","2019-06-20","16","0.005","0.005"
"LAWA-100768","D45/0005","Chloride","2015-03-18","2019-06-20","16","20","26"
"LAWA-100768","D45/0005","Dissolved reactive phosphorus","2015-03-18","2019-06-20","16","0.008","0.018"
"LAWA-100768","D45/0005","E.coli","2015-03-18","2019-06-20","16","0.5","0.5"
"LAWA-100768","D45/0005","Electrical conductivity/salinity","2015-03-18","2019-06-20","16","288","311"
"LAWA-100768","D45/0005","Nitrate nitrogen","2015-03-18","2019-06-20","32","3.1","4.2"
"LAWA-100768","D45/0005","Nitrogen - Other","2015-03-18","2019-06-20","44","0.001","4.3"
"LAWA-100768","D45/0005","Water Level",NA,NA,"0","Inf","-Inf"
"LAWA-100774","D46/0031","Ammoniacal nitrogen","2015-03-18","2019-03-21","15","0.005","0.005"
"LAWA-100774","D46/0031","Chloride","2015-03-18","2019-03-21","15","25","28"
"LAWA-100774","D46/0031","Dissolved reactive phosphorus","2015-03-18","2019-03-21","15","0.017","0.024"
"LAWA-100774","D46/0031","E.coli","2015-03-18","2019-03-21","15","0.5","22"
"LAWA-100774","D46/0031","Electrical conductivity/salinity","2015-03-18","2019-03-21","15","219","241"
"LAWA-100774","D46/0031","Nitrate nitrogen","2015-03-18","2019-03-21","30","1.6","4.7"
"LAWA-100774","D46/0031","Nitrogen - Other","2015-03-18","2019-03-21","41","0.001","4.7"
"LAWA-100774","D46/0031","Water Level",NA,NA,"0","Inf","-Inf"
"LAWA-100787","E43/0026","Ammoniacal nitrogen","2015-03-20","2019-03-19","17","0.005","0.005"
"LAWA-100787","E43/0026","Chloride","2015-03-20","2019-03-19","17","4.2","320"
"LAWA-100787","E43/0026","Dissolved reactive phosphorus","2015-03-20","2019-03-19","17","0.006","0.019"
"LAWA-100787","E43/0026","E.coli","2015-03-20","2019-03-19","17","0.5","4"
"LAWA-100787","E43/0026","Electrical conductivity/salinity","2015-03-20","2019-03-19","17","82","1177"
