"Site","Bore","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"LAWA-101200","555 Back Ormond Road - Williams - GPB083","Ammoniacal nitrogen","2016-02-16","2019-07-11","6","0.54","1.3"
"LAWA-101200","555 Back Ormond Road - Williams - GPB083","Chloride","2016-02-16","2019-07-11","6","37","41"
"LAWA-101200","555 Back Ormond Road - Williams - GPB083","E.coli","2017-03-23","2019-07-11","5","0.8","3.3"
"LAWA-101200","555 Back Ormond Road - Williams - GPB083","Electrical conductivity/salinity","2016-02-16","2019-07-11","7","735","876"
"LAWA-101200","555 Back Ormond Road - Williams - GPB083","Nitrate nitrogen","2016-02-16","2019-07-11","6","0.001","0.0089"
"LAWA-101200","555 Back Ormond Road - Williams - GPB083","Nitrogen - Other","2016-02-16","2019-07-11","21","0.001","1.7"
"LAWA-101168","Awapuni Rd Bore GPC031","Ammoniacal nitrogen","2015-10-28","2019-08-02","8","0.009","0.035"
"LAWA-101168","Awapuni Rd Bore GPC031","Chloride","2015-03-10","2019-08-02","13","2.4","150"
"LAWA-101168","Awapuni Rd Bore GPC031","E.coli","2015-10-28","2019-08-02","8","0.8","3.3"
"LAWA-101168","Awapuni Rd Bore GPC031","Electrical conductivity/salinity","2015-03-10","2019-08-02","13","660","1185"
"LAWA-101168","Awapuni Rd Bore GPC031","Nitrate nitrogen","2015-03-10","2019-08-02","13","0.005","1.8"
"LAWA-101168","Awapuni Rd Bore GPC031","Nitrogen - Other","2015-10-28","2019-08-02","28","0.01","1.2"
"LAWA-101169","Awapuni-McDonald Rd Bore GPC030","Ammoniacal nitrogen","2015-10-28","2019-08-02","8","0.014","0.023"
"LAWA-101169","Awapuni-McDonald Rd Bore GPC030","Chloride","2015-10-28","2019-08-02","8","10","21"
"LAWA-101169","Awapuni-McDonald Rd Bore GPC030","E.coli","2015-10-28","2019-08-02","8","0.8","0.8"
"LAWA-101169","Awapuni-McDonald Rd Bore GPC030","Electrical conductivity/salinity","2015-10-28","2019-08-02","8","462.8","647"
"LAWA-101169","Awapuni-McDonald Rd Bore GPC030","Nitrate nitrogen","2015-10-28","2019-08-02","8","0.1","1.3"
"LAWA-101169","Awapuni-McDonald Rd Bore GPC030","Nitrogen - Other","2015-10-28","2019-08-02","28","0.0054","1.4"
"LAWA-101172","Bloomfield Rd GPD132","Ammoniacal nitrogen","2015-01-20","2019-11-21","10","0.77","5.7"
"LAWA-101172","Bloomfield Rd GPD132","Chloride","2015-01-20","2019-11-21","10","210","240"
"LAWA-101172","Bloomfield Rd GPD132","E.coli","2016-06-16","2019-11-21","6","0.8","0.8"
"LAWA-101172","Bloomfield Rd GPD132","Electrical conductivity/salinity","2015-01-20","2019-05-31","9","2420","2850"
"LAWA-101172","Bloomfield Rd GPD132","Nitrate nitrogen","2017-07-13","2019-11-21","5","0.002","0.027"
"LAWA-101172","Bloomfield Rd GPD132","Nitrogen - Other","2017-07-13","2019-11-21","23","0.001","7.1"
"LAWA-101173","Brodie 47 Judd Road GPI026","Ammoniacal nitrogen","2015-03-31","2019-09-18","9","2.7","3.1"
"LAWA-101173","Brodie 47 Judd Road GPI026","Chloride","2015-03-31","2019-09-18","9","62.1","100"
"LAWA-101173","Brodie 47 Judd Road GPI026","E.coli","2017-05-25","2019-09-18","4","0.8","0.8"
"LAWA-101173","Brodie 47 Judd Road GPI026","Electrical conductivity/salinity","2015-03-31","2019-09-18","9","1033","1297"
"LAWA-101173","Brodie 47 Judd Road GPI026","Nitrate nitrogen","2016-04-20","2019-09-18","6","0.001","0.0087"
"LAWA-101173","Brodie 47 Judd Road GPI026","Nitrogen - Other","2016-04-20","2019-09-18","23","0.001","4"
"LAWA-101175","Caesar Rd No1 Bore GPG058","Ammoniacal nitrogen","2015-04-29","2019-12-13","8","0.68","3"
"LAWA-101175","Caesar Rd No1 Bore GPG058","Chloride","2015-04-29","2019-12-13","8","130","160"
"LAWA-101175","Caesar Rd No1 Bore GPG058","E.coli","2016-11-21","2019-12-13","6","0.8","0.8"
"LAWA-101175","Caesar Rd No1 Bore GPG058","Electrical conductivity/salinity","2015-04-29","2019-12-13","8","1291","1508"
"LAWA-101175","Caesar Rd No1 Bore GPG058","Nitrate nitrogen","2019-12-13","2019-12-13","1","0.002","0.002"
"LAWA-101175","Caesar Rd No1 Bore GPG058","Nitrogen - Other","2019-12-13","2019-12-13","6","0.002","2.9"
"LAWA-101176","Caesar Rd No2 Bore GPG059","Ammoniacal nitrogen","2015-04-29","2019-12-06","8","0.077","0.6"
"LAWA-101176","Caesar Rd No2 Bore GPG059","Chloride","2015-04-29","2019-12-06","8","19","27.4"
"LAWA-101176","Caesar Rd No2 Bore GPG059","E.coli","2016-11-21","2019-12-06","6","0.8","3.3"
"LAWA-101176","Caesar Rd No2 Bore GPG059","Electrical conductivity/salinity","2015-04-29","2019-12-06","8","1145","1328"
"LAWA-101176","Caesar Rd No2 Bore GPG059","Nitrate nitrogen",NA,NA,"0","Inf","-Inf"
"LAWA-101176","Caesar Rd No2 Bore GPG059","Nitrogen - Other","2019-12-06","2019-12-06","1","0.18","0.18"
"LAWA-101178","Caesar Rd No4 Bore GPG088","Ammoniacal nitrogen","2015-04-29","2019-12-13","8","0.49","2.1"
"LAWA-101178","Caesar Rd No4 Bore GPG088","Chloride","2015-04-29","2019-12-13","8","198","220"
"LAWA-101178","Caesar Rd No4 Bore GPG088","E.coli","2016-11-21","2019-12-13","6","0.8","0.8"
"LAWA-101178","Caesar Rd No4 Bore GPG088","Electrical conductivity/salinity","2015-04-29","2019-12-13","8","1371","1670"
"LAWA-101178","Caesar Rd No4 Bore GPG088","Nitrate nitrogen","2019-12-13","2019-12-13","1","0.005","0.005"
"LAWA-101178","Caesar Rd No4 Bore GPG088","Nitrogen - Other","2019-12-13","2019-12-13","6","0.005","2.3"
"LAWA-101179","Cameron Rd No1 Bore GPB099","Ammoniacal nitrogen","2015-02-03","2019-07-11","7","0.012","0.057"
"LAWA-101179","Cameron Rd No1 Bore GPB099","Chloride","2015-02-03","2019-07-11","7","16","23"
"LAWA-101179","Cameron Rd No1 Bore GPB099","E.coli","2015-02-03","2019-07-11","7","0.5","1.6"
"LAWA-101179","Cameron Rd No1 Bore GPB099","Electrical conductivity/salinity","2015-02-03","2019-07-11","7","379","585"
"LAWA-101179","Cameron Rd No1 Bore GPB099","Nitrate nitrogen","2015-02-03","2019-07-11","7","0.001","0.0036"
"LAWA-101179","Cameron Rd No1 Bore GPB099","Nitrogen - Other","2015-02-03","2019-07-11","24","0.001","0.15"
"LAWA-101180","Cameron Rd No2 Bore GPB100","Ammoniacal nitrogen","2015-02-03","2019-12-11","8","6.1","7.4"
"LAWA-101180","Cameron Rd No2 Bore GPB100","Chloride","2015-02-03","2019-12-11","8","280","524"
"LAWA-101180","Cameron Rd No2 Bore GPB100","E.coli","2017-01-27","2019-12-11","6","0.8","0.8"
"LAWA-101180","Cameron Rd No2 Bore GPB100","Electrical conductivity/salinity","2015-02-03","2019-12-11","8","241","2500"
"LAWA-101180","Cameron Rd No2 Bore GPB100","Nitrate nitrogen","2017-01-27","2019-12-11","6","0.001","0.0095"
"LAWA-101180","Cameron Rd No2 Bore GPB100","Nitrogen - Other","2017-01-27","2019-12-11","17","0.001","9.1"
"GDC-00035","Cameron Rd No4 Bore GPB102","Ammoniacal nitrogen","2015-02-03","2019-12-11","7","5.3","5.9"
"GDC-00035","Cameron Rd No4 Bore GPB102","Chloride","2015-02-03","2019-12-11","12","41","125"
"GDC-00035","Cameron Rd No4 Bore GPB102","E.coli","2017-08-24","2019-12-11","5","0.8","0.8"
