"Site","Bore","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"LAWA-101073","BQ33/0032","Ammoniacal nitrogen","2015-12-09","2019-12-11","17","0.2553744","0.3656156"
"LAWA-101073","BQ33/0032","Chloride","2015-12-09","2019-12-11","17","39.1804","44.1154"
"LAWA-101073","BQ33/0032","Dissolved reactive phosphorus","2015-12-09","2019-12-11","17","0.007","0.53"
"LAWA-101073","BQ33/0032","E.coli",NA,NA,"0","Inf","-Inf"
"LAWA-101073","BQ33/0032","Electrical conductivity/salinity","2015-12-09","2019-12-11","17","276.32162","305"
"LAWA-101073","BQ33/0032","Nitrate nitrogen","2015-12-09","2019-12-11","17","0.001","0.18"
"LAWA-101073","BQ33/0032","Nitrogen - Other","2015-12-09","2019-12-11","34","0.001","0.19"
"LAWA-101073","BQ33/0032","Water Level","2017-09-07","2019-12-11","10","Inf","-Inf"
"LAWA-101091","R25/5100","Ammoniacal nitrogen","2015-03-03","2019-12-02","20","0.072","0.1999057"
"LAWA-101091","R25/5100","Chloride","2015-03-03","2019-12-02","20","35.2239","39"
"LAWA-101091","R25/5100","Dissolved reactive phosphorus","2015-03-03","2019-12-02","20","0.04","0.39"
"LAWA-101091","R25/5100","E.coli","2015-03-03","2019-12-02","20","0.5","0.5"
"LAWA-101091","R25/5100","Electrical conductivity/salinity","2015-03-03","2019-12-02","20","310.12866","344"
"LAWA-101091","R25/5100","Nitrate nitrogen","2015-03-03","2019-12-02","20","0.001","0.01"
"LAWA-101091","R25/5100","Nitrogen - Other","2015-03-03","2019-12-02","40","0.001","0.0200248"
"LAWA-101091","R25/5100","Water Level","2015-03-03","2019-12-02","11","Inf","-Inf"
"GW-00249","R25/5135","Ammoniacal nitrogen","2015-03-02","2019-12-02","20","0.27","0.37"
"GW-00249","R25/5135","Chloride","2015-03-02","2019-12-02","20","108","132.52516"
"GW-00249","R25/5135","Dissolved reactive phosphorus","2015-03-02","2019-12-02","20","0.1589133","0.49"
"GW-00249","R25/5135","E.coli",NA,NA,"0","Inf","-Inf"
"GW-00249","R25/5135","Electrical conductivity/salinity","2015-03-02","2019-12-02","20","604.09106","639"
"GW-00249","R25/5135","Nitrate nitrogen","2015-03-02","2019-12-02","20","0.001","0.054"
"GW-00249","R25/5135","Nitrogen - Other","2015-03-02","2019-12-02","40","0.001","0.055"
"GW-00249","R25/5135","Water Level","2015-03-02","2019-12-02","15","-9790","-8740"
"LAWA-101089","R25/5164","Ammoniacal nitrogen","2015-03-02","2015-11-24","4","0.005","0.011"
"LAWA-101089","R25/5164","Chloride","2015-03-02","2015-11-24","4","29","36"
"LAWA-101089","R25/5164","Dissolved reactive phosphorus","2015-03-02","2015-11-24","4","0.032","0.086"
"LAWA-101089","R25/5164","E.coli","2015-03-02","2015-11-24","4","13","140"
"LAWA-101089","R25/5164","Electrical conductivity/salinity","2015-03-02","2015-11-24","4","114","142"
"LAWA-101089","R25/5164","Nitrate nitrogen","2015-03-02","2015-11-24","4","0.3","0.59"
"LAWA-101089","R25/5164","Nitrogen - Other","2015-03-02","2015-11-24","8","0.001","0.59"
"LAWA-101089","R25/5164","Water Level","2015-03-02","2018-06-06","4","Inf","-Inf"
"LAWA-101090","R25/5165","Ammoniacal nitrogen","2015-03-02","2019-12-02","19","0.163","0.379076"
"LAWA-101090","R25/5165","Chloride","2015-03-02","2019-12-02","19","14.2","81.6246"
"LAWA-101090","R25/5165","Dissolved reactive phosphorus","2015-03-02","2019-12-02","19","0.002","0.35"
"LAWA-101090","R25/5165","E.coli","2015-03-02","2019-12-02","19","0.5","2"
"LAWA-101090","R25/5165","Electrical conductivity/salinity","2015-03-02","2019-12-02","19","109","362"
"LAWA-101090","R25/5165","Nitrate nitrogen","2015-03-02","2019-12-02","19","0.001","1.77"
"LAWA-101090","R25/5165","Nitrogen - Other","2015-03-02","2019-12-02","38","0.001","1.78"
"LAWA-101090","R25/5165","Water Level","2015-03-02","2019-12-02","10","Inf","-Inf"
"LAWA-101093","R25/5190","Ammoniacal nitrogen","2015-03-03","2019-12-02","20","0.005","0.0719074"
