"Site","Bore","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"LAWA-101860","20","Chloride","2015-03-05","2019-12-19","20","9.1","9.9"
"LAWA-101860","20","Dissolved reactive phosphorus","2015-03-05","2019-12-19","20","0.152","0.169"
"LAWA-101860","20","E.coli","2015-03-05","2019-12-19","20","0.5","0.5"
"LAWA-101860","20","Electrical conductivity/salinity","2015-03-05","2019-12-19","20","133.2","166.6"
"LAWA-101860","20","Nitrate nitrogen","2015-03-05","2019-12-19","20","0.001","0.33"
"LAWA-101860","20","Nitrogen - Other","2015-03-05","2019-12-19","40","0.001","0.33"
"LAWA-101860","20","Water Level","2015-09-10","2019-12-19","15","4.14","6.97"
"LAWA-101842","28","Chloride","2015-03-04","2019-12-18","20","5.6","6.6"
"LAWA-101842","28","Dissolved reactive phosphorus","2015-03-04","2019-12-18","20","0.45","0.5"
"LAWA-101842","28","E.coli","2015-03-04","2019-12-18","20","0.5","0.5"
"LAWA-101842","28","Electrical conductivity/salinity","2015-03-04","2019-12-18","20","146.9","186.5"
"LAWA-101842","28","Nitrate nitrogen","2015-03-04","2019-12-18","20","0.001","0.58"
"LAWA-101842","28","Nitrogen - Other","2015-03-04","2019-12-18","40","0.001","0.58"
"LAWA-101842","28","Water Level",NA,NA,"0","Inf","-Inf"
"LAWA-101845","128","Chloride","2015-03-06","2019-12-19","20","19.7","22"
"LAWA-101845","128","Dissolved reactive phosphorus","2015-03-06","2019-12-19","20","0.032","0.179"
"LAWA-101845","128","E.coli","2015-03-06","2019-12-19","21","0.5","80"
"LAWA-101845","128","Electrical conductivity/salinity","2015-03-06","2019-12-19","21","195.3","407.1"
"LAWA-101845","128","Nitrate nitrogen","2015-03-06","2019-12-19","20","0.001","0.182"
"LAWA-101845","128","Nitrogen - Other","2015-03-06","2019-12-19","40","0.001","0.184"
"LAWA-101845","128","Water Level","2015-09-09","2016-06-08","2","2.11","2.16"
"LAWA-101864","1714","Chloride","2015-03-05","2019-12-19","21","5.7","10.2"
"LAWA-101864","1714","Dissolved reactive phosphorus","2015-03-05","2019-12-19","21","0.002","0.008"
"LAWA-101864","1714","E.coli","2015-03-05","2019-12-19","19","0.5","0.5"
"LAWA-101864","1714","Electrical conductivity/salinity","2015-01-13","2019-12-19","23","103.7","176.6"
"LAWA-101864","1714","Nitrate nitrogen","2015-03-05","2019-12-19","21","0.41","1.81"
"LAWA-101864","1714","Nitrogen - Other","2015-03-05","2019-12-19","42","0.001","1.81"
"LAWA-101864","1714","Water Level","2015-03-05","2019-12-19","21","-8.41","-6.9"
"LAWA-101863","1719","Chloride","2015-03-05","2019-12-18","20","20","26"
"LAWA-101863","1719","Dissolved reactive phosphorus","2015-03-05","2019-12-18","20","0.002","0.012"
"LAWA-101863","1719","E.coli","2015-03-05","2019-12-18","20","0.5","0.5"
"LAWA-101863","1719","Electrical conductivity/salinity","2015-03-05","2019-12-18","20","212.5","314"
"LAWA-101863","1719","Nitrate nitrogen","2015-03-05","2019-12-18","20","1.68","3.2"
"LAWA-101863","1719","Nitrogen - Other","2015-03-05","2019-12-18","40","0.001","3.2"
"LAWA-101863","1719","Water Level","2015-03-05","2019-12-18","20","-6.25","-4.3"
"LAWA-100579","1727","Chloride","2015-03-04","2019-12-18","20","5.3","6.2"
"LAWA-100579","1727","Dissolved reactive phosphorus","2015-03-04","2019-12-18","20","0.089","0.105"
"LAWA-100579","1727","E.coli","2015-03-04","2019-12-18","20","0.5","0.5"
"LAWA-100579","1727","Electrical conductivity/salinity","2015-03-04","2019-12-18","20","115.7","147.7"
"LAWA-100579","1727","Nitrate nitrogen","2015-03-04","2019-12-18","20","0.001","0.61"
"LAWA-100579","1727","Nitrogen - Other","2015-03-04","2019-12-18","40","0.001","0.61"
"LAWA-100579","1727","Water Level","2015-09-09","2019-12-18","17","3.38","5.47"
"LAWA-100581","1739","Chloride","2015-02-18","2019-11-11","19","9.5","10.3"
"LAWA-100581","1739","Dissolved reactive phosphorus","2015-02-18","2019-11-11","19","0.129","0.157"
"LAWA-100581","1739","E.coli","2015-02-18","2019-11-11","19","0.5","0.5"
"LAWA-100581","1739","Electrical conductivity/salinity","2015-02-18","2019-11-11","18","165.4","258"
"LAWA-100581","1739","Nitrate nitrogen","2015-02-18","2019-11-11","19","0.001","4.2"
"LAWA-100581","1739","Nitrogen - Other","2015-02-18","2019-11-11","38","0.001","4.2"
"LAWA-100581","1739","Water Level","2015-08-19","2019-11-11","16","-1.3","-0.563"
"LAWA-101846","1753","Chloride","2015-02-19","2019-11-12","20","4.9","16.3"
"LAWA-101846","1753","Dissolved reactive phosphorus","2015-02-19","2019-11-12","20","0.002","0.122"
"LAWA-101846","1753","E.coli","2015-02-19","2019-11-12","20","0.5","0.5"
"LAWA-101846","1753","Electrical conductivity/salinity","2015-02-19","2019-11-12","19","63.2","108.5"
"LAWA-101846","1753","Nitrate nitrogen","2015-02-19","2019-11-12","20","0.001","2.1"
"LAWA-101846","1753","Nitrogen - Other","2015-02-19","2019-11-12","40","0.001","2.2"
"LAWA-101846","1753","Water Level","2015-08-20","2019-05-07","7","6.833","9.86"
"HBRC-00147","1756","Chloride","2015-02-10","2019-11-27","20","17.7","27"
"HBRC-00147","1756","Dissolved reactive phosphorus","2015-02-10","2019-11-27","20","0.002","1.82"
"HBRC-00147","1756","E.coli","2015-02-10","2019-11-27","19","0.5","3"
"HBRC-00147","1756","Electrical conductivity/salinity","2015-02-10","2019-11-27","20","289.8","566"
"HBRC-00147","1756","Nitrate nitrogen","2015-02-10","2019-11-27","20","0.001","1.65"
"HBRC-00147","1756","Nitrogen - Other","2015-02-10","2019-11-27","40","0.001","1.67"
"HBRC-00147","1756","Water Level","2015-05-13","2019-11-27","19","-11.42","-10.65"
"HBRC-00148","1759","Chloride","2015-03-05","2018-12-05","15","6.8","8.1"
"HBRC-00148","1759","Dissolved reactive phosphorus","2015-03-05","2018-12-05","15","0.011","0.017"
"HBRC-00148","1759","E.coli","2015-03-05","2018-12-05","15","0.5","0.5"
"HBRC-00148","1759","Electrical conductivity/salinity","2015-03-05","2018-12-05","15","116.6","175.4"
"HBRC-00148","1759","Nitrate nitrogen","2015-03-05","2018-12-05","15","0.36","0.85"
"HBRC-00148","1759","Nitrogen - Other","2015-03-05","2018-12-05","30","0.001","0.85"
"HBRC-00148","1759","Water Level","2015-09-10","2018-12-05","12","2.27","3.8"
"LAWA-100590","1765","Chloride","2015-02-17","2019-11-13","19","14","16.5"
"LAWA-100590","1765","Dissolved reactive phosphorus","2015-02-17","2019-11-13","19","0.31","0.63"
"LAWA-100590","1765","E.coli","2015-02-17","2019-11-13","19","0.5","1"
"LAWA-100590","1765","Electrical conductivity/salinity","2015-02-17","2019-11-13","19","117.3","219.1"
"LAWA-100590","1765","Nitrate nitrogen","2015-02-17","2019-11-13","19","0.009","1.4"
"LAWA-100590","1765","Nitrogen - Other","2015-02-17","2019-11-13","38","0.001","1.4"
"LAWA-100590","1765","Water Level","2015-02-17","2019-11-13","16","-12.17","-3.17"
"LAWA-101857","1772","Chloride","2015-03-06","2019-12-18","20","17.4","21"
"LAWA-101857","1772","Dissolved reactive phosphorus","2015-03-06","2019-12-18","20","0.012","0.069"
"LAWA-101857","1772","E.coli","2015-03-06","2019-12-18","20","0.5","0.5"
"LAWA-101857","1772","Electrical conductivity/salinity","2015-03-06","2019-12-18","20","221.1","283"
"LAWA-101857","1772","Nitrate nitrogen","2015-03-06","2019-12-18","20","4.9","6.7"
"LAWA-101857","1772","Nitrogen - Other","2015-03-06","2019-12-18","40","0.004","6.7"
"LAWA-101857","1772","Water Level","2015-06-16","2019-12-18","16","0.66","2.96"
"LAWA-100594","1780","Chloride","2015-03-06","2019-12-18","21","18","19.4"
"LAWA-100594","1780","Dissolved reactive phosphorus","2015-03-06","2019-12-18","21","0.034","0.042"
"LAWA-100594","1780","E.coli","2015-03-06","2019-12-18","21","0.5","0.5"
"LAWA-100594","1780","Electrical conductivity/salinity","2015-03-06","2019-12-18","21","181.5","233"
"LAWA-100594","1780","Nitrate nitrogen","2015-03-06","2019-12-18","21","2.3","7"
"LAWA-100594","1780","Nitrogen - Other","2015-03-06","2019-12-18","42","0.001","7"
"LAWA-100594","1780","Water Level","2015-06-16","2019-12-18","19","0.36","2.86"
"HBRC-00155","1786","Chloride","2015-05-12","2019-11-27","18","53","77"
"HBRC-00155","1786","Dissolved reactive phosphorus","2015-05-12","2019-11-27","18","0.006","0.12"
"HBRC-00155","1786","E.coli","2015-05-12","2019-11-27","18","0.5","0.5"
"HBRC-00155","1786","Electrical conductivity/salinity","2015-05-12","2019-11-27","18","493.3","842"
"HBRC-00155","1786","Nitrate nitrogen","2015-05-12","2019-11-27","18","0.001","0.69"
"HBRC-00155","1786","Nitrogen - Other","2015-05-12","2019-11-27","36","0.001","0.69"
"HBRC-00155","1786","Water Level","2015-05-12","2019-11-27","18","-3.45","-2.65"
"HBRC-00159","1835","Chloride","2015-01-22","2019-12-11","30","96","120"
"HBRC-00159","1835","Dissolved reactive phosphorus","2015-01-22","2019-12-11","30","0.002","1.24"
"HBRC-00159","1835","E.coli","2015-01-22","2019-12-11","30","0.5","0.5"
"HBRC-00159","1835","Electrical conductivity/salinity","2015-01-22","2019-12-11","31","778","1195"
"HBRC-00159","1835","Nitrate nitrogen","2015-01-22","2019-12-11","30","0.001","0.067"
"HBRC-00159","1835","Nitrogen - Other","2015-01-22","2019-12-11","60","0.001","0.085"
"HBRC-00159","1835","Water Level","2015-01-22","2019-12-11","30","-4.36","-0.98"
"LAWA-100605","1838","Chloride","2015-02-17","2019-11-14","20","22","24"
"LAWA-100605","1838","Dissolved reactive phosphorus","2015-02-17","2019-11-14","20","0.47","1.54"
"LAWA-100605","1838","E.coli","2015-02-17","2019-11-14","20","0.5","0.5"
"LAWA-100605","1838","Electrical conductivity/salinity","2015-02-17","2019-11-14","19","477.5","610"
"LAWA-100605","1838","Nitrate nitrogen","2015-02-17","2019-11-14","20","0.001","0.22"
"LAWA-100605","1838","Nitrogen - Other","2015-02-17","2019-11-14","40","0.001","0.22"
"LAWA-100605","1838","Water Level","2015-08-18","2019-11-14","16","7.45","9.135"
"LAWA-100606","1839","Chloride","2017-05-09","2019-11-11","12","6.3","6.8"
"LAWA-100606","1839","Dissolved reactive phosphorus","2017-05-09","2019-11-11","12","0.33","0.39"
"LAWA-100606","1839","E.coli","2017-05-16","2019-11-11","11","0.5","0.5"
"LAWA-100606","1839","Electrical conductivity/salinity","2017-05-09","2019-11-11","13","130.9","165.3"
"LAWA-100606","1839","Nitrate nitrogen","2017-05-09","2019-11-11","12","0.001","0.5"
"LAWA-100606","1839","Nitrogen - Other","2017-05-09","2019-11-11","24","0.001","0.5"
"LAWA-100606","1839","Water Level","2017-05-09","2019-11-11","12","-4.742","-3.535"
"HBRC-00160","1846","Chloride","2015-02-17","2019-11-11","20","10.2","12.8"
"HBRC-00160","1846","Dissolved reactive phosphorus","2015-02-17","2019-11-11","20","1.19","1.67"
"HBRC-00160","1846","E.coli","2015-02-17","2019-11-11","20","0.5","17"
"HBRC-00160","1846","Electrical conductivity/salinity","2015-02-17","2019-11-11","20","151","241"
"HBRC-00160","1846","Nitrate nitrogen","2015-02-17","2019-11-11","20","0.001","0.92"
"HBRC-00160","1846","Nitrogen - Other","2015-02-17","2019-11-11","40","0.001","0.92"
"HBRC-00160","1846","Water Level","2015-05-19","2019-11-11","18","-13.87","0"
"LAWA-100610","1856","Chloride","2015-03-04","2019-12-18","20","12","13.1"
"LAWA-100610","1856","Dissolved reactive phosphorus","2015-03-04","2019-12-18","20","0.21","0.83"
"LAWA-100610","1856","E.coli","2015-03-04","2019-12-18","20","0.5","0.5"
"LAWA-100610","1856","Electrical conductivity/salinity","2015-06-17","2019-12-18","19","262.5","332"
"LAWA-100610","1856","Nitrate nitrogen","2015-03-04","2019-12-18","20","0.001","0.95"
"LAWA-100610","1856","Nitrogen - Other","2015-03-04","2019-12-18","40","0.001","0.95"
"LAWA-100610","1856","Water Level","2015-09-09","2019-12-18","17","3.37","4.93"
"LAWA-100611","1857","Chloride","2015-03-04","2019-12-18","20","5.7","6.7"
"LAWA-100611","1857","Dissolved reactive phosphorus","2015-03-04","2019-12-18","20","0.02","0.036"
"LAWA-100611","1857","E.coli","2015-03-04","2019-12-18","19","0.5","0.5"
"LAWA-100611","1857","Electrical conductivity/salinity","2015-06-17","2019-12-18","19","107.6","316.8"
"LAWA-100611","1857","Nitrate nitrogen","2015-03-04","2019-12-18","20","0.192","0.65"
"LAWA-100611","1857","Nitrogen - Other","2015-03-04","2019-12-18","40","0.001","0.65"
"LAWA-100611","1857","Water Level","2015-06-17","2019-12-18","18","0","2.97"
"HBRC-00165","1858","Chloride","2015-03-04","2019-12-18","20","5.4","6.7"
"HBRC-00165","1858","Dissolved reactive phosphorus","2015-03-04","2019-12-18","20","0.036","0.044"
"HBRC-00165","1858","E.coli","2015-03-04","2019-12-18","20","0.5","0.5"
"HBRC-00165","1858","Electrical conductivity/salinity","2015-03-04","2019-12-18","20","117.7","149.6"
"HBRC-00165","1858","Nitrate nitrogen","2015-03-04","2019-12-18","20","0.046","0.39"
"HBRC-00165","1858","Nitrogen - Other","2015-03-04","2019-12-18","40","0.001","0.39"
"HBRC-00165","1858","Water Level","2015-09-09","2019-12-18","17","0.947","2.98"
"LAWA-100615","1864","Chloride","2015-03-05","2019-12-19","20","20","22"
"LAWA-100615","1864","Dissolved reactive phosphorus","2015-03-05","2019-12-19","20","0.016","0.023"
"LAWA-100615","1864","E.coli","2015-03-05","2019-12-19","20","0.5","0.5"
"LAWA-100615","1864","Electrical conductivity/salinity","2015-03-05","2019-12-19","20","148","221"
"LAWA-100615","1864","Nitrate nitrogen","2015-03-05","2019-12-19","20","0.131","2.1"
"LAWA-100615","1864","Nitrogen - Other","2015-03-05","2019-12-19","40","0.001","2.1"
"LAWA-100615","1864","Water Level","2015-03-05","2019-12-19","20","-5.81","-3.87"
"LAWA-100617","1871","Chloride","2015-03-04","2019-12-18","20","5.5","6.6"
"LAWA-100617","1871","Dissolved reactive phosphorus","2015-03-04","2019-12-18","20","0.06","0.074"
"LAWA-100617","1871","E.coli","2015-03-04","2019-12-18","20","0.5","0.5"
"LAWA-100617","1871","Electrical conductivity/salinity","2015-03-04","2019-12-18","20","116.7","305.1"
"LAWA-100617","1871","Nitrate nitrogen","2015-03-04","2019-12-18","20","0.001","0.188"
"LAWA-100617","1871","Nitrogen - Other","2015-03-04","2019-12-18","40","0.001","0.188"
"LAWA-100617","1871","Water Level","2015-09-09","2019-12-18","17","0.659","2.83"
"LAWA-100626","3459","Chloride","2016-06-09","2019-12-19","13","35","45"
"LAWA-100626","3459","Dissolved reactive phosphorus","2016-06-09","2019-12-19","13","0.002","0.73"
"LAWA-100626","3459","E.coli","2017-03-07","2019-12-19","12","0.5","0.5"
"LAWA-100626","3459","Electrical conductivity/salinity","2016-06-09","2019-12-19","13","293.3","727"
"LAWA-100626","3459","Nitrate nitrogen","2016-06-09","2019-12-19","13","0.001","0.142"
"LAWA-100626","3459","Nitrogen - Other","2016-06-09","2019-12-19","26","0.001","0.146"
"LAWA-100626","3459","Water Level","2016-06-09","2019-12-19","13","-5.21","-3.54"
"LAWA-101844","3473","Chloride","2015-03-05","2019-12-19","20","20","25"
"LAWA-101844","3473","Dissolved reactive phosphorus","2015-03-05","2019-12-19","20","0.017","0.024"
"LAWA-101844","3473","E.coli","2015-03-05","2019-12-19","20","0.5","0.5"
"LAWA-101844","3473","Electrical conductivity/salinity","2015-01-13","2019-12-19","22","265","375"
"LAWA-101844","3473","Nitrate nitrogen","2015-03-05","2019-12-19","20","2.9","9.8"
"LAWA-101844","3473","Nitrogen - Other","2015-03-05","2019-12-19","40","0.001","9.8"
"LAWA-101844","3473","Water Level","2015-09-10","2019-12-19","9","-13.112","-11.041"
"LAWA-101850","3475","Chloride","2015-03-06","2019-12-18","20","24","47"
"LAWA-101850","3475","Dissolved reactive phosphorus","2015-03-06","2019-12-18","20","0.002","0.046"
"LAWA-101850","3475","E.coli","2015-03-06","2019-12-18","20","0.5","0.5"
"LAWA-101850","3475","Electrical conductivity/salinity","2015-03-06","2019-12-18","20","331.4","479"
"LAWA-101850","3475","Nitrate nitrogen","2015-03-06","2019-12-18","20","0.001","0.8"
"LAWA-101850","3475","Nitrogen - Other","2015-03-06","2019-12-18","40","0.001","0.8"
"LAWA-101850","3475","Water Level","2015-03-06","2019-12-18","17","-14.85","-12.03"
"LAWA-101853","3476","Chloride","2015-02-18","2019-11-11","20","4.7","6.4"
"LAWA-101853","3476","Dissolved reactive phosphorus","2015-02-18","2019-11-11","20","0.029","0.04"
"LAWA-101853","3476","E.coli","2015-02-18","2019-11-11","20","0.5","0.5"
"LAWA-101853","3476","Electrical conductivity/salinity","2015-02-18","2019-11-11","19","96.2","151.1"
"LAWA-101853","3476","Nitrate nitrogen","2015-02-18","2019-11-11","20","4.6","6.6"
"LAWA-101853","3476","Nitrogen - Other","2015-02-18","2019-11-11","40","0.001","6.6"
