"Site","Bore","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"HRC-00133","209005","Ammoniacal nitrogen","2015-03-10","2019-12-03","20","5e-04","0.03"
"HRC-00133","209005","Chloride","2015-03-10","2019-12-03","20","43.8","55.7"
"HRC-00133","209005","Dissolved reactive phosphorus","2015-03-10","2019-12-03","20","0.045","0.146"
"HRC-00133","209005","E.coli","2015-03-10","2019-12-03","20","0.5","9"
"HRC-00133","209005","Electrical conductivity/salinity","2015-03-10","2019-12-03","20","156.8","567.4"
"HRC-00133","209005","Nitrate nitrogen","2015-03-10","2019-12-03","20","0.005","0.441"
"HRC-00133","209005","Nitrogen - Other","2015-03-10","2019-12-03","60","0.001","0.48"
"HRC-00135","301019","Ammoniacal nitrogen","2018-09-04","2019-12-03","6","0.14","0.149"
"HRC-00135","301019","Chloride","2018-09-04","2019-12-03","6","55","55.9"
"HRC-00135","301019","Dissolved reactive phosphorus","2018-09-04","2019-12-03","6","0.013","0.036"
"HRC-00135","301019","E.coli","2018-09-04","2019-12-03","6","0.5","0.5"
"HRC-00135","301019","Electrical conductivity/salinity","2018-09-04","2019-12-03","6","620.1","631.4"
"HRC-00135","301019","Nitrate nitrogen","2018-09-04","2019-12-03","6","0.001","0.01"
"HRC-00135","301019","Nitrogen - Other","2018-09-04","2019-12-03","18","0.001","0.16"
"HRC-00141","312001","Ammoniacal nitrogen","2015-03-10","2019-12-04","20","1.87","2.17"
"HRC-00141","312001","Chloride","2015-03-10","2019-12-04","20","46.5","69.1"
"HRC-00141","312001","Dissolved reactive phosphorus","2015-03-10","2019-12-04","20","0.01","0.038"
"HRC-00141","312001","E.coli","2015-03-10","2019-12-04","20","0.5","0.5"
"HRC-00141","312001","Electrical conductivity/salinity","2015-03-10","2019-12-04","20","672.9","721.9"
"HRC-00141","312001","Nitrate nitrogen","2015-03-10","2019-12-04","20","0.001","0.016"
"HRC-00141","312001","Nitrogen - Other","2015-03-10","2019-12-04","60","0.001","2.17"
"HRC-00142","312004","Ammoniacal nitrogen","2015-03-10","2016-12-06","7","0.69","0.82"
"HRC-00142","312004","Chloride","2015-03-10","2016-12-06","7","28.4","33.4"
"HRC-00142","312004","Dissolved reactive phosphorus","2015-03-10","2016-12-06","7","0.014","0.041"
"HRC-00142","312004","E.coli","2015-03-10","2016-12-06","7","0.5","64"
"HRC-00142","312004","Electrical conductivity/salinity","2015-03-10","2016-12-06","7","447.8","462.6"
"HRC-00142","312004","Nitrate nitrogen","2015-03-10","2016-12-06","7","0.001","0.009"
"HRC-00142","312004","Nitrogen - Other","2015-03-10","2016-12-06","21","0.001","0.83"
"LAWA-101295","312020","Ammoniacal nitrogen","2015-03-10","2019-09-10","19","0.38","0.46"
"LAWA-101295","312020","Chloride","2015-03-10","2019-09-10","19","142","156"
"LAWA-101295","312020","Dissolved reactive phosphorus","2015-03-10","2019-09-10","19","0.022","0.076"
"LAWA-101295","312020","E.coli","2015-03-10","2019-09-10","19","0.5","0.5"
"LAWA-101295","312020","Electrical conductivity/salinity","2015-03-10","2019-09-10","19","1294.8","1319.2"
"LAWA-101295","312020","Nitrate nitrogen","2015-03-10","2019-09-10","19","0.001","0.05"
"LAWA-101295","312020","Nitrogen - Other","2015-03-10","2019-09-10","57","0.001","0.5"
"LAWA-101296","315027","Ammoniacal nitrogen","2016-06-30","2019-12-09","15","0.13","0.19"
"LAWA-101296","315027","Chloride","2016-06-30","2019-12-09","15","28.8","33.7"
"LAWA-101296","315027","Dissolved reactive phosphorus","2016-06-30","2019-12-09","15","0.013","0.027"
"LAWA-101296","315027","E.coli","2016-06-30","2019-12-09","15","0.5","1"
"LAWA-101296","315027","Electrical conductivity/salinity","2016-06-30","2019-12-09","15","333.3","369.9"
"LAWA-101296","315027","Nitrate nitrogen","2016-06-30","2019-12-09","15","0.001","0.05"
"LAWA-101296","315027","Nitrogen - Other","2016-06-30","2019-12-09","45","0.001","0.29"
"HRC-00154","316037","Ammoniacal nitrogen","2015-03-10","2019-12-09","20","0.004","0.02"
"HRC-00154","316037","Chloride","2015-03-10","2019-12-09","20","22.1","28"
"HRC-00154","316037","Dissolved reactive phosphorus","2015-03-10","2019-12-09","20","0.024","0.04"
"HRC-00154","316037","E.coli","2015-03-10","2019-12-09","20","0.5","1"
"HRC-00154","316037","Electrical conductivity/salinity","2015-03-10","2019-12-09","20","275.4","291.3"
"HRC-00154","316037","Nitrate nitrogen","2015-03-10","2019-12-09","20","9.98","11.3"
"HRC-00154","316037","Nitrogen - Other","2015-03-10","2019-12-09","60","0.001","11.3"
"LAWA-102712","319004","Ammoniacal nitrogen","2015-03-27","2019-12-12","8","5e-04","0.005"
"LAWA-102712","319004","Chloride","2015-03-27","2019-12-12","8","6.21","7.85"
"LAWA-102712","319004","Dissolved reactive phosphorus","2018-09-18","2019-12-12","6","0.015","0.017"
"LAWA-102712","319004","E.coli","2015-03-27","2019-12-12","7","0.5","0.5"
"LAWA-102712","319004","Electrical conductivity/salinity","2015-03-27","2019-12-12","8","68.8","80.3"
"LAWA-102712","319004","Nitrate nitrogen","2015-03-27","2019-12-12","8","0.125","0.399"
"LAWA-102712","319004","Nitrogen - Other","2015-03-27","2019-12-12","20","0.001","0.4"
"LAWA-101297","324067","Ammoniacal nitrogen","2015-03-11","2019-12-04","20","0.05","0.14"
"LAWA-101297","324067","Chloride","2015-03-11","2019-12-04","20","171","199"
"LAWA-101297","324067","Dissolved reactive phosphorus","2015-03-11","2019-12-04","20","0.012","0.097"
"LAWA-101297","324067","E.coli","2015-03-11","2019-12-04","20","0.5","63"
"LAWA-101297","324067","Electrical conductivity/salinity","2015-03-11","2019-12-04","20","1156","1268"
"LAWA-101297","324067","Nitrate nitrogen","2015-03-11","2019-12-04","20","0.001","0.021"
"LAWA-101297","324067","Nitrogen - Other","2015-03-11","2019-12-04","60","0.001","0.14"
"HRC-00187","332009","Ammoniacal nitrogen","2015-03-11","2018-06-13","13","0.04","0.19"
"HRC-00187","332009","Chloride","2015-03-11","2018-06-13","13","26.5","30.4"
"HRC-00187","332009","Dissolved reactive phosphorus","2015-03-11","2018-06-13","13","0.212","0.258"
"HRC-00187","332009","E.coli","2015-03-11","2018-06-13","13","0.5","0.5"
"HRC-00187","332009","Electrical conductivity/salinity","2015-03-11","2018-06-13","13","524.8","533.5"
"HRC-00187","332009","Nitrate nitrogen","2015-03-11","2018-06-13","13","0.001","0.016"
"HRC-00187","332009","Nitrogen - Other","2015-03-11","2018-06-13","39","0.001","0.19"
"LAWA-101298","332025","Ammoniacal nitrogen","2015-03-11","2017-12-06","8","0.67","0.84"
"LAWA-101298","332025","Chloride","2015-03-11","2017-12-06","8","47.4","55.2"
"LAWA-101298","332025","Dissolved reactive phosphorus","2015-03-11","2017-12-06","8","0.019","0.03"
"LAWA-101298","332025","E.coli","2015-03-11","2017-12-06","8","0.5","0.5"
"LAWA-101298","332025","Electrical conductivity/salinity","2015-03-11","2017-12-06","8","577.8","626.1"
"LAWA-101298","332025","Nitrate nitrogen","2015-03-11","2017-12-06","8","0.001","0.003"
"LAWA-101298","332025","Nitrogen - Other","2015-03-11","2017-12-06","24","0.001","0.84"
"LAWA-102714","332065","Ammoniacal nitrogen","2018-09-05","2019-12-04","6","0.005","0.172"
"LAWA-102714","332065","Chloride","2018-09-05","2019-12-04","6","28.8","29.8"
"LAWA-102714","332065","Dissolved reactive phosphorus","2018-09-05","2019-12-04","6","0.011","0.141"
"LAWA-102714","332065","E.coli","2018-09-05","2019-12-04","6","0.5","0.5"
"LAWA-102714","332065","Electrical conductivity/salinity","2018-09-05","2019-12-04","6","476.7","505.2"
"LAWA-102714","332065","Nitrate nitrogen","2018-09-05","2019-12-04","6","0.001","0.039"
"LAWA-102714","332065","Nitrogen - Other","2018-09-05","2019-12-04","18","0.001","0.21"
"LAWA-101299","334091","Ammoniacal nitrogen","2015-03-11","2019-10-01","18","1.86","2.03"
"LAWA-101299","334091","Chloride","2015-03-11","2019-10-01","18","40.8","49.6"
"LAWA-101299","334091","Dissolved reactive phosphorus","2015-03-11","2019-10-01","18","0.023","0.049"
"LAWA-101299","334091","E.coli","2015-03-11","2019-10-01","18","0.5","0.5"
"LAWA-101299","334091","Electrical conductivity/salinity","2015-03-11","2019-10-01","18","467","506.1"
"LAWA-101299","334091","Nitrate nitrogen","2015-03-11","2019-10-01","18","0.001","0.05"
"LAWA-101299","334091","Nitrogen - Other","2015-03-11","2019-10-01","54","0.001","2.03"
"LAWA-101300","336114","Ammoniacal nitrogen","2015-03-17","2019-12-09","20","0.21","0.37"
"LAWA-101300","336114","Chloride","2015-03-17","2019-12-09","20","24.1","31.5"
"LAWA-101300","336114","Dissolved reactive phosphorus","2015-03-17","2019-12-09","20","0.026","0.122"
"LAWA-101300","336114","E.coli","2015-03-17","2019-12-09","20","0.5","32"
"LAWA-101300","336114","Electrical conductivity/salinity","2015-03-17","2019-12-09","20","368.2","396.7"
"LAWA-101300","336114","Nitrate nitrogen","2015-03-17","2019-12-09","20","0.001","0.204"
"LAWA-101300","336114","Nitrogen - Other","2015-03-17","2019-12-09","60","0.001","0.43"
"HRC-00240","338005","Ammoniacal nitrogen","2015-03-19","2019-09-24","17","0.005","0.011"
"HRC-00240","338005","Chloride","2015-03-19","2019-09-24","17","23.3","58.9"
"HRC-00240","338005","Dissolved reactive phosphorus","2015-03-19","2019-09-24","17","0.005","0.018"
"HRC-00240","338005","E.coli","2015-03-19","2019-09-24","17","0.5","0.5"
"HRC-00240","338005","Electrical conductivity/salinity","2015-03-19","2019-09-24","17","254.5","475.4"
"HRC-00240","338005","Nitrate nitrogen","2015-03-19","2019-09-24","17","0.022","1.91"
"HRC-00240","338005","Nitrogen - Other","2015-03-19","2019-09-24","51","0.001","1.92"
"HRC-00244","339001","Ammoniacal nitrogen","2015-03-19","2019-12-16","20","0.004","0.02"
"HRC-00244","339001","Chloride","2015-03-19","2019-12-16","20","21.6","67.7"
"HRC-00244","339001","Dissolved reactive phosphorus","2015-03-19","2019-12-16","20","0.02","0.067"
"HRC-00244","339001","E.coli","2015-03-19","2019-12-16","20","0.5","8"
"HRC-00244","339001","Electrical conductivity/salinity","2015-03-19","2019-12-16","20","219.6","413.4"
"HRC-00244","339001","Nitrate nitrogen","2015-03-19","2019-12-16","20","2.73","6.41"
"HRC-00244","339001","Nitrogen - Other","2015-03-19","2019-12-16","60","0.001","6.41"
"HRC-00246","342051","Ammoniacal nitrogen","2015-03-11","2019-12-04","20","2.45","2.75"
"HRC-00246","342051","Chloride","2015-03-11","2019-12-04","20","17.5","35.6"
"HRC-00246","342051","Dissolved reactive phosphorus","2015-03-11","2019-12-04","20","0.766","0.916"
"HRC-00246","342051","E.coli","2015-03-11","2019-12-04","20","0.5","0.5"
"HRC-00246","342051","Electrical conductivity/salinity","2015-03-11","2019-12-04","20","424","524"
"HRC-00246","342051","Nitrate nitrogen","2015-03-11","2019-12-04","20","0.001","0.023"
"HRC-00246","342051","Nitrogen - Other","2015-03-11","2019-12-04","60","0.001","2.75"
"HRC-00263","346031","Ammoniacal nitrogen","2015-03-17","2019-12-09","18","0.67","0.81"
"HRC-00263","346031","Chloride","2015-03-17","2019-12-09","18","23.7","241"
"HRC-00263","346031","Dissolved reactive phosphorus","2015-03-17","2019-12-09","18","0.061","0.083"
"HRC-00263","346031","E.coli","2015-03-17","2019-12-09","18","0.5","0.5"
"HRC-00263","346031","Electrical conductivity/salinity","2015-03-17","2019-12-09","18","362.5","387"
"HRC-00263","346031","Nitrate nitrogen","2015-03-17","2019-12-09","18","0.001","0.154"
"HRC-00263","346031","Nitrogen - Other","2015-03-17","2019-12-09","54","0.001","0.9"
"LAWA-101301","347031","Ammoniacal nitrogen","2015-03-18","2015-12-16","2","0.005","0.005"
"LAWA-101301","347031","Chloride","2015-03-18","2015-12-16","2","15.9","16.4"
"LAWA-101301","347031","Dissolved reactive phosphorus","2015-03-18","2015-12-16","2","0.008","0.03"
"LAWA-101301","347031","E.coli","2015-03-18","2015-12-16","2","0.5","0.5"
"LAWA-101301","347031","Electrical conductivity/salinity","2015-03-18","2015-12-16","3","124.6","166.7"
"LAWA-101301","347031","Nitrate nitrogen","2015-03-18","2015-12-16","2","0.646","0.864"
"LAWA-101301","347031","Nitrogen - Other","2015-03-18","2015-12-16","6","0.003","0.87"
"LAWA-102715","347056","Ammoniacal nitrogen","2018-09-19","2019-12-16","6","0.005","0.043"
"LAWA-102715","347056","Chloride","2018-09-19","2019-12-16","6","22.7","30.6"
"LAWA-102715","347056","Dissolved reactive phosphorus","2018-09-19","2019-12-16","6","0.011","0.063"
"LAWA-102715","347056","E.coli","2018-09-19","2019-12-16","6","0.5","0.5"
"LAWA-102715","347056","Electrical conductivity/salinity","2018-09-19","2019-12-16","6","173.4","192.6"
"LAWA-102715","347056","Nitrate nitrogen","2018-09-19","2019-12-16","6","0.001","0.001"
"LAWA-102715","347056","Nitrogen - Other","2018-09-19","2019-12-16","18","0.001","0.04"
"LAWA-101302","348134","Ammoniacal nitrogen","2015-03-18","2019-12-16","20","0.004","0.014"
"LAWA-101302","348134","Chloride","2015-03-18","2019-12-16","20","12.7","19.4"
"LAWA-101302","348134","Dissolved reactive phosphorus","2015-03-18","2019-12-16","20","0.01","0.026"
"LAWA-101302","348134","E.coli","2015-03-18","2019-12-16","20","0.5","490"
"LAWA-101302","348134","Electrical conductivity/salinity","2015-03-18","2019-12-16","21","222.3","424.3"
"LAWA-101302","348134","Nitrate nitrogen","2015-03-18","2019-12-16","20","2.36","17.2"
"LAWA-101302","348134","Nitrogen - Other","2015-03-18","2019-12-16","60","0.001","17.2"
"LAWA-101303","352099","Ammoniacal nitrogen","2015-03-17","2019-12-10","20","0.002","0.005"
"LAWA-101303","352099","Chloride","2015-03-17","2019-12-10","20","39.3","43.6"
"LAWA-101303","352099","Dissolved reactive phosphorus","2015-03-17","2019-12-10","20","0.057","0.073"
"LAWA-101303","352099","E.coli","2015-03-17","2019-12-10","20","0.5","3"
"LAWA-101303","352099","Electrical conductivity/salinity","2015-03-17","2019-12-10","20","445.1","479"
"LAWA-101303","352099","Nitrate nitrogen","2015-03-17","2019-12-10","20","15.2","17.2"
"LAWA-101303","352099","Nitrogen - Other","2015-03-17","2019-12-10","60","0.001","17.2"
"LAWA-101304","352312","Ammoniacal nitrogen","2015-03-13","2019-12-10","20","0.62","0.76"
"LAWA-101304","352312","Chloride","2015-03-13","2019-12-10","20","35.6","37.4"
"LAWA-101304","352312","Dissolved reactive phosphorus","2015-03-13","2019-12-10","20","0.062","0.155"
"LAWA-101304","352312","E.coli","2015-03-13","2019-12-10","20","0.5","18"
"LAWA-101304","352312","Electrical conductivity/salinity","2015-03-13","2019-12-10","20","574.6","608.4"
"LAWA-101304","352312","Nitrate nitrogen","2015-03-13","2019-12-10","20","0.001","0.005"
"LAWA-101304","352312","Nitrogen - Other","2015-03-13","2019-12-10","60","0.001","0.77"
"LAWA-101305","353015","Ammoniacal nitrogen","2015-03-13","2019-12-10","20","0.005","0.01"
"LAWA-101305","353015","Chloride","2015-03-13","2019-12-10","20","30","33.1"
"LAWA-101305","353015","Dissolved reactive phosphorus","2015-03-13","2019-12-10","20","0.029","0.068"
"LAWA-101305","353015","E.coli","2015-03-13","2019-12-10","20","0.5","3"
"LAWA-101305","353015","Electrical conductivity/salinity","2015-03-13","2019-12-10","20","285.9","583.1"
"LAWA-101305","353015","Nitrate nitrogen","2015-03-13","2019-12-10","20","9.62","10.6"
"LAWA-101305","353015","Nitrogen - Other","2015-03-13","2019-12-10","60","0.001","10.7"
"LAWA-101306","353121","Ammoniacal nitrogen","2015-03-13","2019-12-10","20","5e-04","0.04"
"LAWA-101306","353121","Chloride","2015-03-13","2019-12-10","20","20.5","28.6"
"LAWA-101306","353121","Dissolved reactive phosphorus","2015-03-13","2019-12-10","20","0.046","0.169"
"LAWA-101306","353121","E.coli","2015-03-13","2019-12-10","20","0.5","1"
"LAWA-101306","353121","Electrical conductivity/salinity","2015-03-13","2019-12-10","20","290.5","583.1"
"LAWA-101306","353121","Nitrate nitrogen","2015-03-13","2019-12-10","20","2.99","3.94"
"LAWA-101306","353121","Nitrogen - Other","2015-03-13","2019-12-10","60","0.001","3.94"
"LAWA-101307","353251","Ammoniacal nitrogen","2015-03-13","2019-12-10","20","0.002","0.02"
"LAWA-101307","353251","Chloride","2015-03-13","2019-12-10","20","50.3","54.7"
"LAWA-101307","353251","Dissolved reactive phosphorus","2015-03-13","2019-12-10","20","0.01","0.124"
"LAWA-101307","353251","E.coli","2015-03-13","2019-12-10","20","0.5","1"
"LAWA-101307","353251","Electrical conductivity/salinity","2015-03-13","2019-12-10","20","464.8","583.1"
"LAWA-101307","353251","Nitrate nitrogen","2015-03-13","2019-12-10","20","16.2","17.9"
"LAWA-101307","353251","Nitrogen - Other","2015-03-13","2019-12-10","60","0.001","17.9"
"HRC-00277","353291","Ammoniacal nitrogen","2015-03-13","2019-12-10","19","5e-04","0.01"
"HRC-00277","353291","Chloride","2015-03-13","2019-12-10","19","13.4","23"
"HRC-00277","353291","Dissolved reactive phosphorus","2015-03-13","2019-12-10","19","0.013","0.085"
"HRC-00277","353291","E.coli","2015-03-13","2019-12-10","19","0.5","2"
"HRC-00277","353291","Electrical conductivity/salinity","2015-03-13","2019-12-10","19","235","583.1"
"HRC-00277","353291","Nitrate nitrogen","2015-03-13","2019-12-10","19","7.74","24.2"
"HRC-00277","353291","Nitrogen - Other","2015-03-13","2019-12-10","57","0.001","24.2"
"LAWA-101308","357109","Ammoniacal nitrogen","2015-03-18","2019-12-16","20","0.004","0.015"
"LAWA-101308","357109","Chloride","2015-03-18","2019-12-16","20","11.3","16.5"
"LAWA-101308","357109","Dissolved reactive phosphorus","2015-03-18","2019-12-16","20","0.002","0.012"
