"Site","Bore","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"LAWA-101137","188","Ammoniacal nitrogen","2018-08-30","2019-11-28","6","0.005","0.017"
"LAWA-101137","188","Chloride","2018-08-30","2019-11-28","6","3.6","4.1"
"LAWA-101137","188","Dissolved reactive phosphorus","2018-08-30","2019-11-28","6","0.005","0.007"
"LAWA-101137","188","E.coli",NA,NA,"0","Inf","-Inf"
"LAWA-101137","188","Electrical conductivity/salinity","2018-08-30","2019-11-28","6","47.7","319.4"
"LAWA-101137","188","Nitrate nitrogen","2018-08-30","2019-11-28","6","0.25","0.33"
"LAWA-101137","188","Nitrogen - Other","2018-08-30","2019-11-28","12","0.001","0.33"
"LAWA-101143","398","Ammoniacal nitrogen","2018-11-27","2018-11-27","1","0.007","0.007"
"LAWA-101143","398","Chloride","2018-11-27","2018-11-27","1","2.9","2.9"
"LAWA-101143","398","Dissolved reactive phosphorus",NA,NA,"0","Inf","-Inf"
"LAWA-101143","398","E.coli",NA,NA,"0","Inf","-Inf"
"LAWA-101143","398","Electrical conductivity/salinity","2018-08-28","2019-11-26","5","40.6","66.2"
"LAWA-101143","398","Nitrate nitrogen","2018-11-27","2018-11-27","1","0.13","0.13"
"LAWA-101143","398","Nitrogen - Other",NA,NA,"0","Inf","-Inf"
"LAWA-101150","447","Ammoniacal nitrogen","2018-08-27","2019-11-25","6","0.005","0.101"
"LAWA-101150","447","Chloride","2018-08-27","2019-11-25","6","6.1","97"
"LAWA-101150","447","Dissolved reactive phosphorus","2018-08-27","2019-11-25","6","0.015","0.082"
"LAWA-101150","447","E.coli","2019-11-25","2019-11-25","1","0.5","0.5"
"LAWA-101150","447","Electrical conductivity/salinity","2018-08-27","2019-11-25","6","56.9","75.7"
"LAWA-101150","447","Nitrate nitrogen","2018-08-27","2019-11-25","6","0.001","0.71"
"LAWA-101150","447","Nitrogen - Other","2018-08-27","2019-11-25","12","0.001","0.71"
"LAWA-101146","448","Ammoniacal nitrogen","2018-08-30","2019-11-28","6","0.005","0.005"
"LAWA-101146","448","Chloride","2018-08-30","2019-11-28","6","10.9","17.2"
"LAWA-101146","448","Dissolved reactive phosphorus","2018-08-30","2019-11-28","6","0.017","0.032"
"LAWA-101146","448","E.coli","2018-11-29","2018-11-29","1","5","5"
"LAWA-101146","448","Electrical conductivity/salinity","2018-08-30","2019-11-28","6","111.2","138"
"LAWA-101146","448","Nitrate nitrogen","2018-08-30","2019-11-28","6","1.42","2.9"
"LAWA-101146","448","Nitrogen - Other","2018-08-30","2019-11-28","12","0.001","2.9"
"LAWA-101138","548","Ammoniacal nitrogen","2018-08-27","2019-11-27","5","0.005","0.005"
"LAWA-101138","548","Chloride","2018-08-27","2019-11-27","5","3.5","6.7"
"LAWA-101138","548","Dissolved reactive phosphorus","2018-08-27","2019-11-27","5","0.012","0.019"
"LAWA-101138","548","E.coli","2018-11-28","2018-11-28","1","0.5","0.5"
"LAWA-101138","548","Electrical conductivity/salinity","2018-08-27","2019-11-27","5","107.2","155"
"LAWA-101138","548","Nitrate nitrogen","2018-08-27","2019-11-27","5","0.71","1.84"
"LAWA-101138","548","Nitrogen - Other","2018-08-27","2019-11-27","10","0.001","1.84"
"LAWA-101139","662","Ammoniacal nitrogen","2019-11-27","2019-11-27","1","0.005","0.005"
"LAWA-101139","662","Chloride","2019-11-27","2019-11-27","1","4","4"
"LAWA-101139","662","Dissolved reactive phosphorus","2019-11-27","2019-11-27","1","0.019","0.019"
"LAWA-101139","662","E.coli",NA,NA,"0","Inf","-Inf"
"LAWA-101139","662","Electrical conductivity/salinity","2019-11-27","2019-11-27","1","129.5","129.5"
"LAWA-101139","662","Nitrate nitrogen","2019-11-27","2019-11-27","1","0.8","0.8"
"LAWA-101139","662","Nitrogen - Other","2019-11-27","2019-11-27","2","0.001","0.8"
"LAWA-101147","1634","Ammoniacal nitrogen","2018-08-28","2018-11-27","2","0.0015","0.0015"
"LAWA-101147","1634","Chloride","2018-08-28","2018-11-27","2","14.8","16.5"
"LAWA-101147","1634","Dissolved reactive phosphorus",NA,NA,"0","Inf","-Inf"
"LAWA-101147","1634","E.coli",NA,NA,"0","Inf","-Inf"
"LAWA-101147","1634","Electrical conductivity/salinity","2018-08-28","2019-11-25","5","208.1","290.1"
"LAWA-101147","1634","Nitrate nitrogen","2018-08-28","2018-11-27","2","0.046","0.09"
"LAWA-101147","1634","Nitrogen - Other",NA,NA,"0","Inf","-Inf"
"MDC-00040","1733","Ammoniacal nitrogen","2018-08-28","2018-11-27","2","0.03","0.03"
"MDC-00040","1733","Chloride","2018-08-28","2018-11-27","2","5.9","6.1"
"MDC-00040","1733","Dissolved reactive phosphorus",NA,NA,"0","Inf","-Inf"
"MDC-00040","1733","E.coli",NA,NA,"0","Inf","-Inf"
"MDC-00040","1733","Electrical conductivity/salinity","2018-08-28","2019-11-25","4","138.3","145.4"
"MDC-00040","1733","Nitrate nitrogen","2018-08-28","2018-11-27","2","0.0015","0.005"
"MDC-00040","1733","Nitrogen - Other",NA,NA,"0","Inf","-Inf"
"LAWA-101152","1945","Ammoniacal nitrogen","2018-08-28","2018-11-27","2","0.0015","0.0015"
"LAWA-101152","1945","Chloride","2018-08-28","2018-11-27","2","11.5","11.6"
"LAWA-101152","1945","Dissolved reactive phosphorus",NA,NA,"0","Inf","-Inf"
"LAWA-101152","1945","E.coli",NA,NA,"0","Inf","-Inf"
"LAWA-101152","1945","Electrical conductivity/salinity","2018-08-28","2019-09-03","4","174","246"
"LAWA-101152","1945","Nitrate nitrogen","2018-08-28","2018-11-27","2","0.07","0.089"
"LAWA-101152","1945","Nitrogen - Other",NA,NA,"0","Inf","-Inf"
"LAWA-101141","2651","Ammoniacal nitrogen","2018-11-28","2019-11-27","4","0.005","0.005"
"LAWA-101141","2651","Chloride","2018-11-28","2019-11-27","4","2.2","6.4"
"LAWA-101141","2651","Dissolved reactive phosphorus","2018-11-28","2019-11-27","4","0.016","0.018"
"LAWA-101141","2651","E.coli","2018-11-28","2018-11-28","1","0.5","0.5"
"LAWA-101141","2651","Electrical conductivity/salinity","2018-11-28","2019-11-27","4","95.4","166.9"
"LAWA-101141","2651","Nitrate nitrogen","2018-11-28","2019-11-27","4","0.78","3.9"
"LAWA-101141","2651","Nitrogen - Other","2018-11-28","2019-11-27","8","0.001","3.9"
"MDC-00044","3009","Ammoniacal nitrogen","2018-08-28","2018-11-27","2","0.0015","0.0015"
"MDC-00044","3009","Chloride","2018-08-28","2018-11-27","2","4","4.1"
"MDC-00044","3009","Dissolved reactive phosphorus",NA,NA,"0","Inf","-Inf"
"MDC-00044","3009","E.coli",NA,NA,"0","Inf","-Inf"
"MDC-00044","3009","Electrical conductivity/salinity","2018-08-28","2019-11-26","5","42.2","85.3"
"MDC-00044","3009","Nitrate nitrogen","2018-08-28","2018-11-27","2","0.27","0.81"
"MDC-00044","3009","Nitrogen - Other",NA,NA,"0","Inf","-Inf"
"MDC-00046","3069","Ammoniacal nitrogen","2018-08-29","2019-11-27","5","0.005","0.005"
"MDC-00046","3069","Chloride","2018-08-29","2019-11-27","5","3","3.9"
"MDC-00046","3069","Dissolved reactive phosphorus","2018-08-29","2019-11-27","5","0.004","0.008"
"MDC-00046","3069","E.coli","2018-11-28","2018-11-28","1","0.5","0.5"
"MDC-00046","3069","Electrical conductivity/salinity","2018-08-29","2019-11-27","5","138.2","179.3"
"MDC-00046","3069","Nitrate nitrogen","2018-08-29","2019-11-27","5","0.44","0.89"
"MDC-00046","3069","Nitrogen - Other","2018-08-29","2019-11-27","10","0.001","0.89"
"LAWA-101142","3120","Ammoniacal nitrogen","2018-08-28","2018-11-27","2","0.0015","0.0015"
"LAWA-101142","3120","Chloride","2018-08-28","2018-11-27","2","4.6","5.3"
"LAWA-101142","3120","Dissolved reactive phosphorus",NA,NA,"0","Inf","-Inf"
"LAWA-101142","3120","E.coli",NA,NA,"0","Inf","-Inf"
"LAWA-101142","3120","Electrical conductivity/salinity","2018-08-28","2019-11-25","5","99.3","139.9"
"LAWA-101142","3120","Nitrate nitrogen","2018-08-28","2018-11-27","2","0.91","1.3"
"LAWA-101142","3120","Nitrogen - Other",NA,NA,"0","Inf","-Inf"
"LAWA-101151","3217","Ammoniacal nitrogen","2018-11-27","2018-11-27","1","0.42","0.42"
"LAWA-101151","3217","Chloride","2018-11-27","2018-11-27","1","52","52"
"LAWA-101151","3217","Dissolved reactive phosphorus",NA,NA,"0","Inf","-Inf"
"LAWA-101151","3217","E.coli",NA,NA,"0","Inf","-Inf"
"LAWA-101151","3217","Electrical conductivity/salinity","2018-11-27","2019-11-26","4","251","489.6"
"LAWA-101151","3217","Nitrate nitrogen","2018-11-27","2018-11-27","1","0.01","0.01"
"LAWA-101151","3217","Nitrogen - Other",NA,NA,"0","Inf","-Inf"
"LAWA-101145","3278","Ammoniacal nitrogen","2018-08-27","2019-11-25","6","0.005","0.068"
"LAWA-101145","3278","Chloride","2018-08-27","2019-11-25","6","6.4","99"
"LAWA-101145","3278","Dissolved reactive phosphorus","2018-08-27","2019-11-25","6","0.016","0.087"
"LAWA-101145","3278","E.coli",NA,NA,"0","Inf","-Inf"
"LAWA-101145","3278","Electrical conductivity/salinity","2018-08-27","2019-11-25","6","414.5","538"
"LAWA-101145","3278","Nitrate nitrogen","2018-08-27","2019-11-25","6","0.001","0.67"
"LAWA-101145","3278","Nitrogen - Other","2018-08-27","2019-11-25","12","0.001","0.67"
"LAWA-101136","4118","Ammoniacal nitrogen","2018-08-27","2019-11-27","5","0.005","0.005"
"LAWA-101136","4118","Chloride","2018-08-27","2019-11-27","5","3.3","4.8"
"LAWA-101136","4118","Dissolved reactive phosphorus","2018-08-27","2019-11-27","5","0.006","0.01"
"LAWA-101136","4118","E.coli","2018-11-28","2018-11-28","1","0.5","0.5"
"LAWA-101136","4118","Electrical conductivity/salinity","2018-08-27","2019-11-27","5","6.54","130.5"
"LAWA-101136","4118","Nitrate nitrogen","2018-08-27","2019-11-27","5","0.7","1.38"
"LAWA-101136","4118","Nitrogen - Other","2018-08-27","2019-11-27","10","0.001","1.38"
"MDC-00055","4402","Ammoniacal nitrogen","2018-08-28","2018-11-27","2","0.0015","0.005"
"MDC-00055","4402","Chloride","2018-08-28","2018-11-27","2","9","9.1"
"MDC-00055","4402","Dissolved reactive phosphorus",NA,NA,"0","Inf","-Inf"
"MDC-00055","4402","E.coli",NA,NA,"0","Inf","-Inf"
"MDC-00055","4402","Electrical conductivity/salinity","2018-08-28","2019-11-26","5","108.3","266"
"MDC-00055","4402","Nitrate nitrogen","2018-08-28","2018-11-27","2","0.13","0.15"
"MDC-00055","4402","Nitrogen - Other",NA,NA,"0","Inf","-Inf"
