"Site","Bore","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"LAWA-101879","Aupouri GW at 1 Kaka St (Ahipara NGMP site)","Ammoniacal nitrogen","2015-03-10","2018-09-24","16","0.08","0.33"
"LAWA-101879","Aupouri GW at 1 Kaka St (Ahipara NGMP site)","Chloride","2015-03-10","2018-09-24","16","30","38"
"LAWA-101879","Aupouri GW at 1 Kaka St (Ahipara NGMP site)","Dissolved reactive phosphorus","2015-03-10","2018-03-13","5","0.002","0.01"
"LAWA-101879","Aupouri GW at 1 Kaka St (Ahipara NGMP site)","E.coli",NA,NA,"0","Inf","-Inf"
"LAWA-101879","Aupouri GW at 1 Kaka St (Ahipara NGMP site)","Electrical conductivity/salinity","2015-03-10","2018-12-04","16","190.4","210.8"
"LAWA-101879","Aupouri GW at 1 Kaka St (Ahipara NGMP site)","Nitrate nitrogen","2015-03-10","2018-09-24","16","0.26","0.59"
"LAWA-101879","Aupouri GW at 1 Kaka St (Ahipara NGMP site)","Nitrogen - Other",NA,NA,"0","Inf","-Inf"
"LAWA-102245","Aupouri GW at 87 Hukatere Rd new bore (NGMP site)","Ammoniacal nitrogen","2016-03-15","2019-06-11","13","0.07","0.09"
"LAWA-102245","Aupouri GW at 87 Hukatere Rd new bore (NGMP site)","Chloride","2016-03-15","2019-06-11","13","24","29"
"LAWA-102245","Aupouri GW at 87 Hukatere Rd new bore (NGMP site)","Dissolved reactive phosphorus","2016-03-15","2019-03-04","4","0.18","0.24"
"LAWA-102245","Aupouri GW at 87 Hukatere Rd new bore (NGMP site)","E.coli",NA,NA,"0","Inf","-Inf"
"LAWA-102245","Aupouri GW at 87 Hukatere Rd new bore (NGMP site)","Electrical conductivity/salinity","2016-03-15","2019-06-11","13","332.8","388.2"
"LAWA-102245","Aupouri GW at 87 Hukatere Rd new bore (NGMP site)","Nitrate nitrogen","2016-03-15","2019-06-11","13","0.0015","0.005"
