"Site","Bore","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"LAWA-101558","F40/0025","Ammoniacal nitrogen","2015-03-31","2019-12-04","20","0.0025","0.012"
"LAWA-101558","F40/0025","Chloride","2015-03-31","2019-12-04","20","0.7","2.3"
"LAWA-101558","F40/0025","Dissolved reactive phosphorus","2015-03-31","2019-12-04","20","5e-04","0.019"
"LAWA-101558","F40/0025","E.coli","2017-09-20","2019-12-04","10","0.5","4"
"LAWA-101558","F40/0025","Electrical conductivity/salinity","2015-03-31","2019-12-04","20","106","120"
"LAWA-101558","F40/0025","Nitrate nitrogen","2017-09-20","2019-12-04","10","0.33","0.84"
"LAWA-101558","F40/0025","Nitrogen - Other","2017-09-20","2019-12-04","30","5e-04","0.78"
"LAWA-102432","F40/0045","Ammoniacal nitrogen","2015-03-31","2019-12-04","20","0.0025","0.006"
"LAWA-102432","F40/0045","Chloride","2015-03-31","2019-12-04","20","1.1","4.3"
"LAWA-102432","F40/0045","Dissolved reactive phosphorus","2015-03-31","2019-12-04","20","0.002","0.011"
"LAWA-102432","F40/0045","E.coli","2015-03-31","2019-12-04","19","0.5","1"
"LAWA-102432","F40/0045","Electrical conductivity/salinity","2015-03-31","2019-12-04","20","138","315"
"LAWA-102432","F40/0045","Nitrate nitrogen","2017-09-20","2019-12-04","10","2","4.2"
"LAWA-102432","F40/0045","Nitrogen - Other","2017-09-20","2019-12-04","30","5e-04","4.7"
"LAWA-101559","F40/0206","Ammoniacal nitrogen","2015-03-31","2019-12-04","19","0.0025","0.009"
"LAWA-101559","F40/0206","Chloride","2015-03-31","2019-12-04","19","0.8","5.6"
"LAWA-101559","F40/0206","Dissolved reactive phosphorus","2015-03-31","2019-12-04","19","5e-04","0.008"
"LAWA-101559","F40/0206","E.coli","2016-12-07","2019-12-04","13","0.5","0.8"
"LAWA-101559","F40/0206","Electrical conductivity/salinity","2015-03-31","2019-12-04","19","128","160"
"LAWA-101559","F40/0206","Nitrate nitrogen","2017-09-20","2019-12-04","10","0.71","1.08"
"LAWA-101559","F40/0206","Nitrogen - Other","2017-09-20","2019-12-04","30","5e-04","0.94"
"LAWA-101560","F41/0104","Ammoniacal nitrogen","2015-04-01","2019-11-26","19","0.21","0.26"
"LAWA-101560","F41/0104","Chloride","2015-04-01","2019-11-26","19","0.8","1.8"
"LAWA-101560","F41/0104","Dissolved reactive phosphorus","2015-04-01","2019-11-26","19","0.005","0.022"
"LAWA-101560","F41/0104","E.coli","2017-09-06","2019-11-26","10","0.5","0.5"
"LAWA-101560","F41/0104","Electrical conductivity/salinity","2015-04-01","2019-11-26","19","266","325"
"LAWA-101560","F41/0104","Nitrate nitrogen","2017-09-06","2019-11-26","10","0.23","0.51"
"LAWA-101560","F41/0104","Nitrogen - Other","2017-09-06","2019-11-26","30","5e-04","0.37"
"LAWA-101562","F41/0162","Ammoniacal nitrogen","2015-03-31","2019-12-04","20","0.0025","0.013"
"LAWA-101562","F41/0162","Chloride","2015-03-31","2019-12-04","20","3","5"
"LAWA-101562","F41/0162","Dissolved reactive phosphorus","2015-03-31","2019-12-04","20","0.002","0.023"
"LAWA-101562","F41/0162","E.coli","2015-03-31","2019-12-04","20","0.5","1.6"
"LAWA-101562","F41/0162","Electrical conductivity/salinity","2015-03-31","2019-12-04","20","217","248"
"LAWA-101562","F41/0162","Nitrate nitrogen","2017-09-20","2019-12-04","10","0.28","0.41"
"LAWA-101562","F41/0162","Nitrogen - Other","2017-09-20","2019-12-04","30","5e-04","0.42"
"LAWA-101564","F41/0300","Ammoniacal nitrogen","2015-03-31","2019-12-04","20","0.0025","0.009"
"LAWA-101564","F41/0300","Chloride","2015-03-31","2019-12-04","20","3.4","6.1"
"LAWA-101564","F41/0300","Dissolved reactive phosphorus","2015-03-31","2019-12-04","20","0.002","0.038"
"LAWA-101564","F41/0300","E.coli","2015-03-31","2019-12-04","19","0.5","0.8"
"LAWA-101564","F41/0300","Electrical conductivity/salinity","2015-03-31","2019-12-04","20","509","572"
"LAWA-101564","F41/0300","Nitrate nitrogen","2017-09-20","2019-12-04","10","1.17","1.92"
"LAWA-101564","F41/0300","Nitrogen - Other","2017-09-20","2019-12-04","30","5e-04","2"
"LAWA-101566","F41/0438","Ammoniacal nitrogen","2015-04-01","2019-12-16","41","0.0025","0.074"
"LAWA-101566","F41/0438","Chloride","2015-04-01","2019-11-26","25","1.2","2"
"LAWA-101566","F41/0438","Dissolved reactive phosphorus","2015-04-01","2019-12-16","41","5e-04","0.006"
"LAWA-101566","F41/0438","E.coli","2015-04-01","2019-12-16","40","0.5","345"
"LAWA-101566","F41/0438","Electrical conductivity/salinity","2015-04-01","2019-11-26","25","143","203"
"LAWA-101566","F41/0438","Nitrate nitrogen","2017-09-06","2019-12-16","30","0.067","0.38"
"LAWA-101566","F41/0438","Nitrogen - Other","2017-09-06","2019-12-16","74","5e-04","0.3"
"LAWA-101568","F42/0113","Ammoniacal nitrogen","2015-04-01","2019-11-26","20","0.21","0.34"
"LAWA-101568","F42/0113","Chloride","2015-04-01","2019-11-26","20","2.8","3.6"
"LAWA-101568","F42/0113","Dissolved reactive phosphorus","2015-04-01","2019-11-26","20","0.037","0.11"
"LAWA-101568","F42/0113","E.coli","2015-04-01","2019-11-26","20","0.5","0.8"
"LAWA-101568","F42/0113","Electrical conductivity/salinity","2015-04-01","2019-11-26","20","144","165"
"LAWA-101568","F42/0113","Nitrate nitrogen","2017-09-06","2019-11-26","10","0.31","0.4"
"LAWA-101568","F42/0113","Nitrogen - Other","2017-09-06","2019-11-26","30","0.0016","0.151"
"LAWA-101570","G40/0175","Ammoniacal nitrogen","2015-03-31","2019-12-04","20","0.0025","0.018"
"LAWA-101570","G40/0175","Chloride","2015-03-31","2019-12-04","20","1.4","1.7"
"LAWA-101570","G40/0175","Dissolved reactive phosphorus","2015-03-31","2019-12-04","20","0.01","0.019"
"LAWA-101570","G40/0175","E.coli","2015-03-31","2019-12-04","20","0.5","4"
"LAWA-101570","G40/0175","Electrical conductivity/salinity","2015-03-31","2019-12-04","20","108","121"
"LAWA-101570","G40/0175","Nitrate nitrogen","2017-09-20","2019-12-04","10","0.85","1.16"
"LAWA-101570","G40/0175","Nitrogen - Other","2017-09-20","2019-12-04","30","5e-04","1.06"
"LAWA-101572","G40/0206","Ammoniacal nitrogen","2017-08-03","2018-05-08","4","0.0025","0.01"
"LAWA-101572","G40/0206","Chloride","2017-08-03","2018-05-08","4","2.3","2.8"
"LAWA-101572","G40/0206","Dissolved reactive phosphorus","2017-08-03","2018-05-08","4","0.093","0.12"
"LAWA-101572","G40/0206","E.coli","2017-08-03","2018-05-08","4","0.5","0.5"
"LAWA-101572","G40/0206","Electrical conductivity/salinity","2017-08-03","2018-05-08","4","162","167"
"LAWA-101572","G40/0206","Nitrate nitrogen","2017-08-03","2018-05-08","4","1.59","1.76"
"LAWA-101572","G40/0206","Nitrogen - Other","2017-08-03","2018-05-08","12","5e-04","1.79"
"LAWA-101575","G40/0367","Ammoniacal nitrogen","2015-03-31","2019-11-25","23","0.0025","0.44"
"LAWA-101575","G40/0367","Chloride","2015-03-31","2019-11-25","23","0.9","2.2"
"LAWA-101575","G40/0367","Dissolved reactive phosphorus","2015-03-31","2019-11-25","23","5e-04","0.008"
"LAWA-101575","G40/0367","E.coli","2015-03-31","2019-11-25","23","0.5","0.8"
"LAWA-101575","G40/0367","Electrical conductivity/salinity","2015-03-31","2019-11-25","23","131","246"
"LAWA-101575","G40/0367","Nitrate nitrogen","2017-09-20","2019-11-25","12","0.49","2.4"
"LAWA-101575","G40/0367","Nitrogen - Other","2017-09-20","2019-11-25","36","5e-04","1.86"
"LAWA-101577","G40/0411","Ammoniacal nitrogen","2017-08-03","2019-11-25","10","0.0025","0.073"
"LAWA-101577","G40/0411","Chloride","2017-08-03","2019-11-25","10","2.4","4.2"
"LAWA-101577","G40/0411","Dissolved reactive phosphorus","2017-08-03","2019-11-25","10","0.0097","0.036"
"LAWA-101577","G40/0411","E.coli","2017-08-03","2019-11-25","10","0.5","1"
"LAWA-101577","G40/0411","Electrical conductivity/salinity","2017-08-03","2019-11-25","10","179","247"
"LAWA-101577","G40/0411","Nitrate nitrogen","2017-08-03","2019-11-25","10","4.7","8.8"
"LAWA-101577","G40/0411","Nitrogen - Other","2017-08-03","2019-11-25","30","5e-04","9.9"
"LAWA-101578","G41/0211","Ammoniacal nitrogen","2015-03-31","2019-12-04","12","0.0025","0.016"
"LAWA-101578","G41/0211","Chloride","2015-03-31","2019-12-04","12","1.3","1.7"
"LAWA-101578","G41/0211","Dissolved reactive phosphorus","2015-03-31","2019-12-04","12","0.002","0.011"
"LAWA-101578","G41/0211","E.coli","2015-03-31","2019-12-04","12","0.5","0.8"
"LAWA-101578","G41/0211","Electrical conductivity/salinity","2015-03-31","2019-12-04","12","303","336"
"LAWA-101578","G41/0211","Nitrate nitrogen","2017-09-20","2019-12-04","7","1.08","1.63"
"LAWA-101578","G41/0211","Nitrogen - Other","2017-09-20","2019-12-04","21","5e-04","1.2"
"LAWA-101580","G41/0254","Ammoniacal nitrogen","2015-03-30","2019-11-27","20","0.0025","0.01"
"LAWA-101580","G41/0254","Chloride","2015-03-30","2019-11-27","20","3.6","12"
"LAWA-101580","G41/0254","Dissolved reactive phosphorus","2015-03-30","2019-11-27","20","0.009","0.021"
"LAWA-101580","G41/0254","E.coli","2015-03-30","2019-11-27","20","0.5","11"
"LAWA-101580","G41/0254","Electrical conductivity/salinity","2015-03-30","2019-11-27","20","126","200"
"LAWA-101580","G41/0254","Nitrate nitrogen","2017-09-19","2019-11-27","10","2.9","5.1"
"LAWA-101580","G41/0254","Nitrogen - Other","2017-09-19","2019-11-27","30","5e-04","5.3"
"LAWA-101584","G41/0487","Ammoniacal nitrogen","2017-08-03","2019-11-25","10","0.0025","0.0025"
"LAWA-101584","G41/0487","Chloride","2017-08-03","2019-11-25","10","0.7","2.1"
"LAWA-101584","G41/0487","Dissolved reactive phosphorus","2017-08-03","2019-11-25","10","0.0017","0.0023"
"LAWA-101584","G41/0487","E.coli","2017-08-03","2019-11-25","10","0.5","0.5"
"LAWA-101584","G41/0487","Electrical conductivity/salinity","2017-08-03","2019-11-25","10","104","127"
"LAWA-101584","G41/0487","Nitrate nitrogen","2017-08-03","2019-11-25","10","0.18","0.28"
"LAWA-101584","G41/0487","Nitrogen - Other","2017-08-03","2019-11-25","30","5e-04","0.33"
"LAWA-101585","G42/0123","Ammoniacal nitrogen","2015-03-30","2019-11-27","20","0.0025","0.005"
"LAWA-101585","G42/0123","Chloride","2015-03-30","2019-11-27","20","3.9","5.4"
"LAWA-101585","G42/0123","Dissolved reactive phosphorus","2015-03-30","2019-11-27","20","0.005","0.015"
"LAWA-101585","G42/0123","E.coli","2015-03-30","2019-11-27","20","0.5","0.8"
"LAWA-101585","G42/0123","Electrical conductivity/salinity","2015-03-30","2019-11-27","20","163","181"
