"Site","Bore","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"TRC-00013","GND0508","Ammoniacal nitrogen","2015-02-04","2018-03-28","14","0.0015","0.056"
"TRC-00013","GND0508","Chloride","2017-03-09","2019-12-04","16","11.4","18.9"
"TRC-00013","GND0508","Dissolved reactive phosphorus","2017-03-09","2019-03-12","5","0.006","0.014"
"TRC-00013","GND0508","E.coli","2015-02-04","2018-03-28","14","0.5","3"
"TRC-00013","GND0508","Electrical conductivity/salinity","2015-02-04","2019-03-12","17","9.8","115"
"TRC-00013","GND0508","Nitrate nitrogen","2015-02-04","2019-12-04","27","0.225","3.6"
"TRC-00013","GND0508","Water Level","2015-02-04","2018-06-19","15","4.555","9.11"
"LAWA-101105","GND0514","Ammoniacal nitrogen","2015-01-27","2019-12-13","20","0.0015","0.005"
"LAWA-101105","GND0514","Chloride","2018-03-15","2019-12-13","8","26","28.7"
"LAWA-101105","GND0514","Dissolved reactive phosphorus","2018-03-15","2019-12-13","8","0.002","0.012"
"LAWA-101105","GND0514","E.coli","2015-01-27","2019-12-13","20","0.5","260"
"LAWA-101105","GND0514","Electrical conductivity/salinity","2015-01-27","2019-12-13","21","16.3","205"
"LAWA-101105","GND0514","Nitrate nitrogen","2015-01-27","2019-12-13","20","2.609","6.6"
"LAWA-101105","GND0514","Water Level","2015-01-27","2019-12-13","20","1.035","2.531"
"LAWA-101107","GND0636","Ammoniacal nitrogen","2015-02-12","2019-12-19","22","0.0015","0.01"
"LAWA-101107","GND0636","Chloride","2017-12-18","2019-12-19","10","30","46"
"LAWA-101107","GND0636","Dissolved reactive phosphorus","2017-12-18","2019-12-19","10","0.006","0.022"
"LAWA-101107","GND0636","E.coli","2015-02-12","2019-12-19","22","0.5","14.6"
"LAWA-101107","GND0636","Electrical conductivity/salinity","2015-02-12","2019-12-19","23","295","3090"
"LAWA-101107","GND0636","Nitrate nitrogen","2015-02-12","2019-12-19","22","5.9","9.599"
"LAWA-101107","GND0636","Water Level","2015-02-12","2019-12-19","21","1.477","3.8"
"LAWA-101108","GND0827","Ammoniacal nitrogen","2015-01-29","2019-12-04","20","0.0015","0.036"
"LAWA-101108","GND0827","Chloride","2017-03-08","2019-12-04","21","13","63"
"LAWA-101108","GND0827","Dissolved reactive phosphorus","2017-03-08","2019-12-04","11","0.036","0.059"
"LAWA-101108","GND0827","E.coli","2015-01-29","2019-12-04","20","0.5","135"
"LAWA-101108","GND0827","Electrical conductivity/salinity","2015-01-29","2019-12-04","23","332","4490"
"LAWA-101108","GND0827","Nitrate nitrogen","2015-01-29","2019-12-04","32","2.2","12.7"
"LAWA-101108","GND0827","Water Level","2015-01-29","2015-05-01","2","5.21","5.665"
"LAWA-101109","GND0829","Ammoniacal nitrogen","2015-01-28","2019-12-16","21","0.0015","0.031"
