"Site","Bore","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"LAWA-101287","Agnews Res GW @ Kokatahi","Ammoniacal nitrogen","2015-03-27","2019-12-13","20","0.0015","0.04"
"LAWA-101287","Agnews Res GW @ Kokatahi","Chloride","2015-03-27","2019-12-13","20","2.2","4"
"LAWA-101287","Agnews Res GW @ Kokatahi","Dissolved reactive phosphorus","2015-03-27","2018-03-05","4","0.003","0.004"
"LAWA-101287","Agnews Res GW @ Kokatahi","E.coli","2015-03-27","2019-12-13","19","1","93"
"LAWA-101287","Agnews Res GW @ Kokatahi","Electrical conductivity/salinity","2015-03-27","2019-12-13","20","38","78"
"LAWA-101287","Agnews Res GW @ Kokatahi","Nitrate nitrogen","2015-03-27","2019-12-13","17","0.79","1.9"
"LAWA-101287","Agnews Res GW @ Kokatahi","Nitrogen - Other",NA,NA,"0","Inf","-Inf"
"LAWA-101287","Agnews Res GW @ Kokatahi","Water Level","2015-03-27","2019-12-13","20","1.55","2.2"
"LAWA-101288","Anderson Farm GW @ Kowhitirangi","Ammoniacal nitrogen","2015-03-27","2019-12-16","20","0.0015","0.007"
"LAWA-101288","Anderson Farm GW @ Kowhitirangi","Chloride","2015-03-27","2019-12-16","20","1.9","2.9"
"LAWA-101288","Anderson Farm GW @ Kowhitirangi","Dissolved reactive phosphorus","2015-03-27","2018-03-05","4","0.005","0.006"
"LAWA-101288","Anderson Farm GW @ Kowhitirangi","E.coli","2015-03-27","2019-12-16","19","0.5","5"
"LAWA-101288","Anderson Farm GW @ Kowhitirangi","Electrical conductivity/salinity","2015-03-27","2019-12-16","20","64","77"
"LAWA-101288","Anderson Farm GW @ Kowhitirangi","Nitrate nitrogen","2015-03-27","2019-12-16","17","0.91","1.5"
"LAWA-101288","Anderson Farm GW @ Kowhitirangi","Nitrogen - Other",NA,NA,"0","Inf","-Inf"
"LAWA-101288","Anderson Farm GW @ Kowhitirangi","Water Level","2015-03-27","2019-12-16","21","6.79","9.41"
"LAWA-101266","Becker Farm GW @ Orwell Ck Rd","Ammoniacal nitrogen","2015-03-05","2019-06-18","9","0.0025","0.005"
"LAWA-101266","Becker Farm GW @ Orwell Ck Rd","Chloride","2015-03-05","2019-06-18","9","3.9","10.5"
"LAWA-101266","Becker Farm GW @ Orwell Ck Rd","Dissolved reactive phosphorus","2015-03-05","2019-06-18","9","0.0017","0.026"
"LAWA-101266","Becker Farm GW @ Orwell Ck Rd","E.coli","2015-03-05","2019-06-18","5","1","2"
"LAWA-101266","Becker Farm GW @ Orwell Ck Rd","Electrical conductivity/salinity","2015-03-05","2019-06-18","10","57","69.5"
"LAWA-101266","Becker Farm GW @ Orwell Ck Rd","Nitrate nitrogen","2015-03-05","2019-06-18","9","0.98","2.8"
"LAWA-101266","Becker Farm GW @ Orwell Ck Rd","Nitrogen - Other","2015-03-05","2019-06-18","36","5e-04","3"
"LAWA-101266","Becker Farm GW @ Orwell Ck Rd","Water Level","2015-03-05","2019-06-18","11","6.93","18.34"
"LAWA-101267","Begg Farm GW @ Granville Rd Totara Flat","Ammoniacal nitrogen","2015-03-05","2019-06-18","9","0.0025","0.008"
"LAWA-101267","Begg Farm GW @ Granville Rd Totara Flat","Chloride","2015-03-05","2019-06-18","9","6.6","9.4"
"LAWA-101267","Begg Farm GW @ Granville Rd Totara Flat","Dissolved reactive phosphorus","2015-03-05","2019-06-18","9","0.002","0.0063"
"LAWA-101267","Begg Farm GW @ Granville Rd Totara Flat","E.coli","2015-03-05","2019-06-18","5","1","26"
"LAWA-101267","Begg Farm GW @ Granville Rd Totara Flat","Electrical conductivity/salinity","2015-03-05","2019-06-18","10","92","118.3"
"LAWA-101267","Begg Farm GW @ Granville Rd Totara Flat","Nitrate nitrogen","2015-03-05","2019-06-18","9","1.68","6.1"
"LAWA-101267","Begg Farm GW @ Granville Rd Totara Flat","Nitrogen - Other","2015-03-05","2019-06-18","36","5e-04","6.3"
"LAWA-101267","Begg Farm GW @ Granville Rd Totara Flat","Water Level","2015-03-05","2019-06-18","11","2.32","3.42"
"LAWA-101289","Bertacco Farm GW @ Ahaura","Ammoniacal nitrogen","2015-04-16","2019-12-05","20","0.0015","0.01"
"LAWA-101289","Bertacco Farm GW @ Ahaura","Chloride","2015-04-16","2019-12-05","20","6","7.4"
"LAWA-101289","Bertacco Farm GW @ Ahaura","Dissolved reactive phosphorus","2015-04-16","2018-03-26","3","0.01","0.02"
"LAWA-101289","Bertacco Farm GW @ Ahaura","E.coli","2015-04-16","2019-12-05","20","0.5","2"
"LAWA-101289","Bertacco Farm GW @ Ahaura","Electrical conductivity/salinity","2015-04-16","2019-12-05","21","86.4","118.7"
"LAWA-101289","Bertacco Farm GW @ Ahaura","Nitrate nitrogen","2015-04-16","2019-12-05","17","4.5","5.7"
"LAWA-101289","Bertacco Farm GW @ Ahaura","Nitrogen - Other",NA,NA,"0","Inf","-Inf"
"LAWA-101289","Bertacco Farm GW @ Ahaura","Water Level","2015-11-02","2018-03-07","3","21.57","26.63"
"LAWA-101268","Boatmans @ Reefton","Ammoniacal nitrogen","2015-02-25","2019-06-26","10","0.0025","0.021"
"LAWA-101268","Boatmans @ Reefton","Chloride","2015-02-25","2019-06-26","10","2.3","3.8"
"LAWA-101268","Boatmans @ Reefton","Dissolved reactive phosphorus","2015-02-25","2019-06-26","10","5e-04","0.0036"
"LAWA-101268","Boatmans @ Reefton","E.coli","2015-02-25","2019-06-26","6","1","2"
"LAWA-101268","Boatmans @ Reefton","Electrical conductivity/salinity","2015-02-25","2019-06-26","10","48","88.7"
"LAWA-101268","Boatmans @ Reefton","Nitrate nitrogen","2015-02-25","2019-06-26","10","0.06","0.51"
"LAWA-101268","Boatmans @ Reefton","Nitrogen - Other","2015-02-25","2019-06-26","40","0.0013","0.67"
"LAWA-101268","Boatmans @ Reefton","Water Level","2015-02-25","2019-06-26","10","3.98","7.35"
"LAWA-101269","Brookshaws Res GW @ Totara Flat","Ammoniacal nitrogen","2015-02-16","2019-06-18","9","0.0025","0.014"
"LAWA-101269","Brookshaws Res GW @ Totara Flat","Chloride","2015-02-16","2019-06-18","9","4","8.7"
"LAWA-101269","Brookshaws Res GW @ Totara Flat","Dissolved reactive phosphorus","2015-02-16","2019-06-18","9","5e-04","0.0029"
"LAWA-101269","Brookshaws Res GW @ Totara Flat","E.coli","2015-02-16","2019-06-18","6","0.5","79"
"LAWA-101269","Brookshaws Res GW @ Totara Flat","Electrical conductivity/salinity","2015-02-16","2019-06-18","10","78","125.5"
"LAWA-101269","Brookshaws Res GW @ Totara Flat","Nitrate nitrogen","2015-02-16","2019-06-18","10","1.58","9.5"
"LAWA-101269","Brookshaws Res GW @ Totara Flat","Nitrogen - Other","2015-02-16","2019-06-18","36","5e-04","9.6"
"LAWA-101269","Brookshaws Res GW @ Totara Flat","Water Level","2015-02-16","2019-06-18","10","2.42","5.5"
"LAWA-101270","Burke Ck @ Reefton","Ammoniacal nitrogen","2015-02-27","2019-06-26","9","0.0025","0.007"
"LAWA-101270","Burke Ck @ Reefton","Chloride","2015-02-27","2019-06-26","9","4.2","5.4"
"LAWA-101270","Burke Ck @ Reefton","Dissolved reactive phosphorus","2015-02-27","2019-06-26","9","5e-04","0.0097"
"LAWA-101270","Burke Ck @ Reefton","E.coli","2015-07-08","2019-06-26","4","1","11"
"LAWA-101270","Burke Ck @ Reefton","Electrical conductivity/salinity","2015-02-27","2019-06-26","10","108","137"
"LAWA-101270","Burke Ck @ Reefton","Nitrate nitrogen","2015-02-27","2019-06-26","10","5.2","9.7"
"LAWA-101270","Burke Ck @ Reefton","Nitrogen - Other","2015-02-27","2019-06-26","36","5e-04","9.8"
"LAWA-101270","Burke Ck @ Reefton","Water Level","2015-02-27","2019-06-26","10","0.88","7.72"
"LAWA-101290","Colemans Farm GW @ Kowhitirangi","Ammoniacal nitrogen","2015-03-27","2019-12-16","20","0.0015","0.1"
"LAWA-101290","Colemans Farm GW @ Kowhitirangi","Chloride","2015-03-27","2019-12-16","20","2","3"
"LAWA-101290","Colemans Farm GW @ Kowhitirangi","Dissolved reactive phosphorus","2015-03-27","2018-03-05","4","0.005","0.006"
"LAWA-101290","Colemans Farm GW @ Kowhitirangi","E.coli","2015-03-27","2019-12-16","19","0.5","2"
"LAWA-101290","Colemans Farm GW @ Kowhitirangi","Electrical conductivity/salinity","2015-03-27","2019-12-16","20","57","89"
"LAWA-101290","Colemans Farm GW @ Kowhitirangi","Nitrate nitrogen","2015-03-27","2019-12-16","17","0.67","1"
"LAWA-101290","Colemans Farm GW @ Kowhitirangi","Nitrogen - Other",NA,NA,"0","Inf","-Inf"
"LAWA-101290","Colemans Farm GW @ Kowhitirangi","Water Level","2015-03-27","2019-12-16","19","0.18","3.44"
"LAWA-101271","Garvey ck @ Reefton","Ammoniacal nitrogen","2015-02-27","2019-08-01","10","0.0025","0.005"
"LAWA-101271","Garvey ck @ Reefton","Chloride","2015-02-27","2019-08-01","10","5","8.8"
"LAWA-101271","Garvey ck @ Reefton","Dissolved reactive phosphorus","2015-02-27","2019-08-01","10","5e-04","0.004"
"LAWA-101271","Garvey ck @ Reefton","E.coli","2015-07-08","2019-08-01","5","1","2"
"LAWA-101271","Garvey ck @ Reefton","Electrical conductivity/salinity","2015-02-27","2019-08-01","10","99","123"
"LAWA-101271","Garvey ck @ Reefton","Nitrate nitrogen","2015-01-27","2019-08-01","11","4.5","8.2"
"LAWA-101271","Garvey ck @ Reefton","Nitrogen - Other","2015-02-27","2019-08-01","39","5e-04","8.2"
"LAWA-101271","Garvey ck @ Reefton","Water Level","2015-02-27","2019-08-01","10","4.55","6.66"
"LAWA-101272","Havill @ Ikamatua","Ammoniacal nitrogen","2015-03-05","2019-06-18","9","0.0025","0.015"
"LAWA-101272","Havill @ Ikamatua","Chloride","2015-03-05","2019-06-18","9","6.8","11.4"
"LAWA-101272","Havill @ Ikamatua","Dissolved reactive phosphorus","2015-03-05","2019-06-18","9","0.00157","0.022"
"LAWA-101272","Havill @ Ikamatua","E.coli","2015-03-05","2019-06-18","5","0.5","2"
"LAWA-101272","Havill @ Ikamatua","Electrical conductivity/salinity","2015-03-05","2019-06-18","10","98","130.9"
"LAWA-101272","Havill @ Ikamatua","Nitrate nitrogen","2015-03-05","2019-06-18","10","4.9","7.1"
"LAWA-101272","Havill @ Ikamatua","Nitrogen - Other","2015-03-05","2019-06-18","36","5e-04","7.3"
"LAWA-101272","Havill @ Ikamatua","Water Level",NA,NA,"0","Inf","-Inf"
"LAWA-101291","Hunter Farms New GW @ Atarau","Ammoniacal nitrogen","2015-04-16","2019-12-05","20","0.0015","0.06"
"LAWA-101291","Hunter Farms New GW @ Atarau","Chloride","2015-04-16","2019-12-05","20","5.1","15.2"
"LAWA-101291","Hunter Farms New GW @ Atarau","Dissolved reactive phosphorus","2015-04-16","2018-03-07","4","0.005","0.008"
"LAWA-101291","Hunter Farms New GW @ Atarau","E.coli","2015-04-16","2019-12-05","19","1","1600"
"LAWA-101291","Hunter Farms New GW @ Atarau","Electrical conductivity/salinity","2015-04-16","2019-12-05","20","87.8","166"
"LAWA-101291","Hunter Farms New GW @ Atarau","Nitrate nitrogen","2015-04-16","2019-12-05","17","3.7","9.9"
"LAWA-101291","Hunter Farms New GW @ Atarau","Nitrogen - Other",NA,NA,"0","Inf","-Inf"
"LAWA-101291","Hunter Farms New GW @ Atarau","Water Level","2015-04-16","2019-12-05","20","1.205","2.85"
"LAWA-101274","Karamea well @ Baker ck","Ammoniacal nitrogen","2015-02-12","2019-07-11","10","0.0025","1.87"
"LAWA-101274","Karamea well @ Baker ck","Chloride","2015-02-12","2019-07-11","10","9.5","88"
"LAWA-101274","Karamea well @ Baker ck","Dissolved reactive phosphorus","2015-02-12","2019-07-11","10","0.0018","0.06"
"LAWA-101274","Karamea well @ Baker ck","E.coli","2015-02-12","2019-07-11","7","1","1760"
"LAWA-101274","Karamea well @ Baker ck","Electrical conductivity/salinity","2015-02-12","2019-07-11","10","86","375.1"
"LAWA-101274","Karamea well @ Baker ck","Nitrate nitrogen","2015-02-12","2019-07-11","10","5e-04","6.2"
"LAWA-101274","Karamea well @ Baker ck","Nitrogen - Other","2015-02-12","2019-07-11","38","5e-04","6.2"
"LAWA-101274","Karamea well @ Baker ck","Water Level","2015-02-12","2019-07-11","10","2.37","3.36"
"LAWA-101275","Karamea well @ Blackwater","Ammoniacal nitrogen","2015-02-12","2019-07-11","10","0.0025","0.7"
"LAWA-101275","Karamea well @ Blackwater","Chloride","2015-02-12","2019-07-11","10","24","56"
"LAWA-101275","Karamea well @ Blackwater","Dissolved reactive phosphorus","2015-02-12","2019-07-11","10","0.0041","2.2"
"LAWA-101275","Karamea well @ Blackwater","E.coli","2015-02-12","2019-07-11","7","1","12"
"LAWA-101275","Karamea well @ Blackwater","Electrical conductivity/salinity","2015-02-12","2019-07-11","10","204","411"
"LAWA-101275","Karamea well @ Blackwater","Nitrate nitrogen","2015-02-12","2019-07-11","10","1.67","15.4"
"LAWA-101275","Karamea well @ Blackwater","Nitrogen - Other","2015-02-12","2019-07-11","38","0.0024","16.4"
"LAWA-101275","Karamea well @ Blackwater","Water Level","2015-02-12","2019-07-11","9","3.61","5.57"
