"Site","Bore","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"LAWA-101676","60_12","Ammoniacal nitrogen","2015-03-19","2019-11-27","22","0.01","0.095"
"LAWA-101676","60_12","Chloride","2015-03-19","2019-11-27","22","1.9","21"
"LAWA-101676","60_12","Dissolved reactive phosphorus","2015-03-19","2019-11-27","7","0.038","0.054"
"LAWA-101676","60_12","E.coli",NA,NA,"0","Inf","-Inf"
"LAWA-101676","60_12","Electrical conductivity/salinity","2015-03-19","2019-11-27","24","123","266"
"LAWA-101676","60_12","Nitrate nitrogen","2015-03-19","2019-11-27","24","0.25","1.82"
"LAWA-101677","60_124","Ammoniacal nitrogen","2015-12-16","2019-11-27","7","0.01","0.01"
"LAWA-101677","60_124","Chloride","2015-12-16","2019-11-27","7","11.2","15.8"
"LAWA-101677","60_124","Dissolved reactive phosphorus","2015-12-16","2019-11-27","6","0.028","0.034"
"LAWA-101677","60_124","E.coli",NA,NA,"0","Inf","-Inf"
"LAWA-101677","60_124","Electrical conductivity/salinity","2015-12-16","2019-11-27","7","507","562"
"LAWA-101677","60_124","Nitrate nitrogen","2015-12-16","2019-11-27","7","1.76","3.8"
"LAWA-101678","60_190","Ammoniacal nitrogen","2015-01-08","2019-11-27","16","0.01","0.01"
"LAWA-101678","60_190","Chloride","2015-01-08","2019-11-27","18","37","45"
"LAWA-101678","60_190","Dissolved reactive phosphorus","2015-12-17","2019-11-27","6","0.004","0.012"
"LAWA-101678","60_190","E.coli","2016-12-14","2016-12-14","1","1","1"
"LAWA-101678","60_190","Electrical conductivity/salinity","2015-01-08","2019-11-27","18","199","231"
"LAWA-101678","60_190","Nitrate nitrogen","2015-01-08","2019-11-27","18","0.05","0.19"
"LAWA-101679","60_316","Ammoniacal nitrogen","2015-12-16","2019-11-28","8","0.01","0.01"
"LAWA-101679","60_316","Chloride","2015-12-16","2019-11-28","8","34","36"
"LAWA-101679","60_316","Dissolved reactive phosphorus","2015-12-16","2019-11-28","6","0.058","0.067"
