"LAWAID","Parameter","Year","Median"
"arc-00098","TLI",2019,4.38960820024746
"arc-00099","TLI",2019,4.10842173294666
"arc-00100","TLI",2019,3.51133258935406
"arc-10002","TLI",2019,4.29847442416856
"ebop-00087","CHLA",2019,3
"ebop-00087","NH4N",2019,0.003
"ebop-00087","pH",2019,7.7
"ebop-00087","Secchi",2019,6.9499999045
"ebop-00087","TLI",2019,3.33083034790226
"ebop-00087","TN",2019,186
"ebop-00087","TP",2019,10
"ebop-00088","CHLA",2019,8.9
"ebop-00088","NH4N",2019,0.012
"ebop-00088","pH",2019,7.65
"ebop-00088","Secchi",2019,3.1
"ebop-00088","TLI",2019,4.87586724937929
"ebop-00088","TN",2019,610
"ebop-00088","TP",2019,34
"ebop-00089","CHLA",2019,2
"ebop-00089","NH4N",2019,0.002
"ebop-00089","pH",2019,7.5
"ebop-00089","Secchi",2019,10.5
"ebop-00089","TLI",2019,2.85734876921389
"ebop-00089","TN",2019,88
"ebop-00089","TP",2019,13
"ebop-00090","CHLA",2019,3.9
"ebop-00090","NH4N",2019,0.005
"ebop-00090","pH",2019,7.4
"ebop-00090","Secchi",2019,5.7
"ebop-00090","TLI",2019,3.62016299364888
"ebop-00090","TN",2019,352
"ebop-00090","TP",2019,10
"ebop-00091","CHLA",2019,13.3
"ebop-00091","NH4N",2019,0.008
"ebop-00091","pH",2019,7.9
"ebop-00091","Secchi",2019,2.3
"ebop-00091","TLI",2019,4.68182421221965
"ebop-00091","TN",2019,421
"ebop-00091","TP",2019,41
"ebop-00092","CHLA",2019,4.75
"ebop-00092","NH4N",2019,0.003
"ebop-00092","pH",2019,7.3
"ebop-00092","Secchi",2019,6.7
"ebop-00092","TLI",2019,3.59174860348598
"ebop-00092","TN",2019,167.5
"ebop-00092","TP",2019,20
"ebop-00093","CHLA",2019,7.7
"ebop-00093","NH4N",2019,0.003
"ebop-00093","pH",2019,7.5
"ebop-00093","Secchi",2019,2.85
"ebop-00093","TLI",2019,4.42926142428319
"ebop-00093","TN",2019,299
"ebop-00093","TP",2019,33
"ebop-00094","CHLA",2019,6.4
"ebop-00094","NH4N",2019,0.003
"ebop-00094","pH",2019,7.4
"ebop-00094","Secchi",2019,5.225
"ebop-00094","TLI",2019,3.80807518519084
"ebop-00094","TN",2019,187.5
"ebop-00094","TP",2019,22
"ebop-00095","CHLA",2019,1
"ebop-00095","NH4N",2019,0.0035
"ebop-00095","pH",2019,7.3
"ebop-00095","Secchi",2019,13
"ebop-00095","TLI",2019,2.42344311371211
"ebop-00095","TN",2019,106
"ebop-00095","TP",2019,7.5
"ebop-00096","CHLA",2019,4.3
"ebop-00096","NH4N",2019,0.002
"ebop-00096","pH",2019,7.5
"ebop-00096","Secchi",2019,4.925
"ebop-00096","TLI",2019,4.00763839445407
"ebop-00096","TN",2019,194
"ebop-00096","TP",2019,53
"ebop-00097","CHLA",2019,10.1
"ebop-00097","NH4N",2019,0.008
"ebop-00097","pH",2019,6.95
"ebop-00097","Secchi",2019,3.05
"ebop-00097","TLI",2019,4.1711895445031
"ebop-00097","TN",2019,313
"ebop-00097","TP",2019,18
"ebop-00098","CHLA",2019,10.3
"ebop-00098","NH4N",2019,0.012
"ebop-00098","pH",2019,7
"ebop-00098","Secchi",2019,2.925
"ebop-00098","TLI",2019,4.17993972479831
"ebop-00098","TN",2019,317
"ebop-00098","TP",2019,17
"ebop-00099","CHLA",2019,1.4
"ebop-00099","NH4N",2019,0.002
"ebop-00099","pH",2019,7.6
