"LAWAID","Parameter","Trend15"
"nrc-00085","TP",-99
"nrc-00085","NH4N",-99
"nrc-00085","TN",-99
"nrc-00085","Secchi",-99
"nrc-00085","CHLA",-99
"nrc-00085","ECOLI",-99
"nrc-00075","TP",-99
"nrc-00075","NH4N",-99
"nrc-00075","TN",-99
"nrc-00075","Secchi",-99
"nrc-00075","CHLA",-99
"nrc-00075","ECOLI",-99
"nrc-00087","TP",-99
"nrc-00087","NH4N",-99
"nrc-00087","TN",-99
"nrc-00087","Secchi",-99
"nrc-00087","CHLA",-99
"nrc-00087","ECOLI",-99
"nrc-00090","TP",-99
"nrc-00090","NH4N",-99
"nrc-00090","TN",-99
"nrc-00090","Secchi",-99
"nrc-00090","CHLA",-99
"nrc-00090","ECOLI",-99
"nrc-00095","TP",2
"nrc-00095","NH4N",-99
"nrc-00095","TN",2
"nrc-00095","Secchi",-99
"nrc-00095","CHLA",2
"nrc-00095","ECOLI",-99
"nrc-00078","TP",-99
"nrc-00078","NH4N",-99
"nrc-00078","TN",-99
"nrc-00078","Secchi",-99
"nrc-00078","CHLA",-99
"nrc-00078","ECOLI",-99
"nrc-00072","TP",-99
"nrc-00072","NH4N",-99
"nrc-00072","TN",-99
"nrc-00072","Secchi",-99
"nrc-00072","CHLA",-99
"nrc-00072","ECOLI",-99
"nrc-00082","TP",-99
"nrc-00082","NH4N",-99
"nrc-00082","TN",-99
"nrc-00082","Secchi",-99
"nrc-00082","CHLA",-99
"nrc-00082","ECOLI",-99
"nrc-00093","TP",-99
"nrc-00093","NH4N",-99
"nrc-00093","TN",-99
"nrc-00093","Secchi",-99
"nrc-00093","CHLA",-99
"nrc-00093","ECOLI",-99
"nrc-00074","TP",-99
"nrc-00074","NH4N",-99
"nrc-00074","TN",-99
"nrc-00074","Secchi",-99
"nrc-00074","CHLA",-99
"nrc-00074","ECOLI",-99
"nrc-00076","TP",-99
"nrc-00076","NH4N",-99
"nrc-00076","TN",-99
"nrc-00076","Secchi",-99
"nrc-00076","CHLA",-99
"nrc-00076","ECOLI",-99
"nrc-00084","TP",-99
"nrc-00084","NH4N",-99
"nrc-00084","TN",-99
"nrc-00084","Secchi",-99
"nrc-00084","CHLA",-99
"nrc-00084","ECOLI",-99
"nrc-00086","TP",-99
"nrc-00086","NH4N",-99
"nrc-00086","TN",-99
"nrc-00086","Secchi",-99
"nrc-00086","CHLA",-99
"nrc-00086","ECOLI",-99
"nrc-00094","TP",-99
"nrc-00094","NH4N",-99
"nrc-00094","TN",-99
"nrc-00094","Secchi",-99
