"Lake","FENZID","TLIYear","TLI","MixingPattern","GeomorphicType"
"lake tomarata",21871,2009,4.1,"Polymictic","Aeolian"
"lake tomarata",21871,2010,3.6,"Polymictic","Aeolian"
"lake tomarata",21871,2011,4.6,"Polymictic","Aeolian"
"lake tomarata",21871,2012,4.4,"Polymictic","Aeolian"
"lake tomarata",21871,2013,4.7,"Polymictic","Aeolian"
"lake tomarata",21871,2014,5,"Polymictic","Aeolian"
"lake tomarata",21871,2015,4.2,"Polymictic","Aeolian"
"lake tomarata",21871,2016,4.4,"Polymictic","Aeolian"
"lake tomarata",21871,2017,4.5,"Polymictic","Aeolian"
"lake tomarata",21871,2018,4.4,"Polymictic","Aeolian"
"lake tomarata",21871,2019,4.2,"Polymictic","Aeolian"
"lake pupuke",50151,2009,3.9,"Stratified","Volcanic"
"lake pupuke",50151,2010,3.7,"Stratified","Volcanic"
"lake pupuke",50151,2011,3.7,"Stratified","Volcanic"
"lake pupuke",50151,2012,3.5,"Stratified","Volcanic"
"lake pupuke",50151,2013,3.6,"Stratified","Volcanic"
"lake pupuke",50151,2014,3.6,"Stratified","Volcanic"
"lake pupuke",50151,2015,3.9,"Stratified","Volcanic"
"lake pupuke",50151,2016,4.2,"Stratified","Volcanic"
"lake pupuke",50151,2017,4.4,"Stratified","Volcanic"
"lake pupuke",50151,2018,3.9,"Stratified","Volcanic"
"lake pupuke",50151,2019,4.1,"Stratified","Volcanic"
"lake rototoa",50270,2009,3.4,"Stratified","Aeolian"
"lake rototoa",50270,2010,3.2,"Stratified","Aeolian"
"lake rototoa",50270,2011,3.4,"Stratified","Aeolian"
"lake rototoa",50270,2012,3.3,"Stratified","Aeolian"
"lake rototoa",50270,2013,3.1,"Stratified","Aeolian"
"lake rototoa",50270,2014,3.3,"Stratified","Aeolian"
"lake rototoa",50270,2015,3.3,"Stratified","Aeolian"
"lake rototoa",50270,2016,3.5,"Stratified","Aeolian"
"lake rototoa",50270,2017,3.5,"Stratified","Aeolian"
"lake rototoa",50270,2018,3.5,"Stratified","Aeolian"
"lake rototoa",50270,2019,3.4,"Stratified","Aeolian"
"lake wainamu",45819,2009,4.2,"Stratified","Aeolian"
"lake wainamu",45819,2010,4.3,"Stratified","Aeolian"
"lake wainamu",45819,2011,4.3,"Stratified","Aeolian"
"lake wainamu",45819,2012,4.6,"Stratified","Aeolian"
"lake wainamu",45819,2013,4.3,"Stratified","Aeolian"
"lake wainamu",45819,2014,5,"Stratified","Aeolian"
"lake wainamu",45819,2015,4.3,"Stratified","Aeolian"
"lake wainamu",45819,2016,4.2,"Stratified","Aeolian"
"lake wainamu",45819,2017,4.3,"Stratified","Aeolian"
"lake wainamu",45819,2018,4.5,"Stratified","Aeolian"
"lake wainamu",45819,2019,4.2,"Stratified","Aeolian"
"lake okareka site 1",15325,2004,3.3,"Stratified","Volcanic"
"lake okareka site 1",15325,2005,3.2,"Stratified","Volcanic"
"lake okareka site 1",15325,2006,3.4,"Stratified","Volcanic"
"lake okareka site 1",15325,2007,3.3,"Stratified","Volcanic"
"lake okareka site 1",15325,2008,3.3,"Stratified","Volcanic"
"lake okareka site 1",15325,2009,3.1,"Stratified","Volcanic"
"lake okareka site 1",15325,2010,3.2,"Stratified","Volcanic"
"lake okareka site 1",15325,2011,3.3,"Stratified","Volcanic"
"lake okareka site 1",15325,2012,3.2,"Stratified","Volcanic"
"lake okareka site 1",15325,2013,3.2,"Stratified","Volcanic"
"lake okareka site 1",15325,2014,3.1,"Stratified","Volcanic"
"lake okareka site 1",15325,2015,3.2,"Stratified","Volcanic"
"lake okareka site 1",15325,2016,3.3,"Stratified","Volcanic"
"lake okareka site 1",15325,2017,3.4,"Stratified","Volcanic"
"lake okareka site 1",15325,2018,3.4,"Stratified","Volcanic"
"lake okareka site 1",15325,2019,3.1,"Stratified","Volcanic"
"lake okaro site 1",14290,2004,5.4,"Stratified","Volcanic"
"lake okaro site 1",14290,2005,5.6,"Stratified","Volcanic"
"lake okaro site 1",14290,2006,5.1,"Stratified","Volcanic"
"lake okaro site 1",14290,2007,5.2,"Stratified","Volcanic"
"lake okaro site 1",14290,2008,5.2,"Stratified","Volcanic"
"lake okaro site 1",14290,2009,4.7,"Stratified","Volcanic"
"lake okaro site 1",14290,2010,5.1,"Stratified","Volcanic"
"lake okaro site 1",14290,2011,5.2,"Stratified","Volcanic"
"lake okaro site 1",14290,2012,5.5,"Stratified","Volcanic"
"lake okaro site 1",14290,2013,4.8,"Stratified","Volcanic"
"lake okaro site 1",14290,2014,4.3,"Stratified","Volcanic"
"lake okaro site 1",14290,2015,4.6,"Stratified","Volcanic"
"lake okaro site 1",14290,2016,4.9,"Stratified","Volcanic"
"lake okaro site 1",14290,2017,5.1,"Stratified","Volcanic"
"lake okaro site 1",14290,2018,5.2,"Stratified","Volcanic"
"lake okaro site 1",14290,2019,4.3,"Stratified","Volcanic"
"lake okataina site 1",54731,2004,3.1,"Stratified","Volcanic"
"lake okataina site 1",54731,2005,2.7,"Stratified","Volcanic"
"lake okataina site 1",54731,2006,2.7,"Stratified","Volcanic"
"lake okataina site 1",54731,2007,2.9,"Stratified","Volcanic"
"lake okataina site 1",54731,2008,2.9,"Stratified","Volcanic"
"lake okataina site 1",54731,2009,2.8,"Stratified","Volcanic"
"lake okataina site 1",54731,2010,2.8,"Stratified","Volcanic"
"lake okataina site 1",54731,2011,2.9,"Stratified","Volcanic"
"lake okataina site 1",54731,2012,2.9,"Stratified","Volcanic"
"lake okataina site 1",54731,2013,2.6,"Stratified","Volcanic"
"lake okataina site 1",54731,2014,2.8,"Stratified","Volcanic"
"lake okataina site 1",54731,2015,2.9,"Stratified","Volcanic"
"lake okataina site 1",54731,2016,2.8,"Stratified","Volcanic"
"lake okataina site 1",54731,2017,2.9,"Stratified","Volcanic"
"lake okataina site 1",54731,2018,2.9,"Stratified","Volcanic"
"lake okataina site 1",54731,2019,2.7,"Stratified","Volcanic"
