"LawaSiteID","Year","Measurement","Value","LFENZID","SiteID","Agency","Region","Long","Lat","LType","GeomorphicLType"
"arc-00098",2004,"TLI",NA,21871,"lake tomarata","arc","auckland",174.509673830416,-36.6692624260836,"Polymictic","Aeolian"
"arc-00098",2005,"TLI",NA,21871,"lake tomarata","arc","auckland",174.509673830416,-36.6692624260836,"Polymictic","Aeolian"
"arc-00098",2006,"TLI",NA,21871,"lake tomarata","arc","auckland",174.509673830416,-36.6692624260836,"Polymictic","Aeolian"
"arc-00098",2007,"TLI",NA,21871,"lake tomarata","arc","auckland",174.509673830416,-36.6692624260836,"Polymictic","Aeolian"
"arc-00098",2008,"TLI",NA,21871,"lake tomarata","arc","auckland",174.509673830416,-36.6692624260836,"Polymictic","Aeolian"
"arc-00098",2009,"TLI",4.06745818253735,21871,"lake tomarata","arc","auckland",174.509673830416,-36.6692624260836,"Polymictic","Aeolian"
"arc-00098",2010,"TLI",3.61844892281411,21871,"lake tomarata","arc","auckland",174.509673830416,-36.6692624260836,"Polymictic","Aeolian"
"arc-00098",2011,"TLI",4.57182846218866,21871,"lake tomarata","arc","auckland",174.509673830416,-36.6692624260836,"Polymictic","Aeolian"
"arc-00098",2012,"TLI",4.35061951660178,21871,"lake tomarata","arc","auckland",174.509673830416,-36.6692624260836,"Polymictic","Aeolian"
"arc-00098",2013,"TLI",4.74384788641441,21871,"lake tomarata","arc","auckland",174.509673830416,-36.6692624260836,"Polymictic","Aeolian"
"arc-00098",2014,"TLI",4.95071833708031,21871,"lake tomarata","arc","auckland",174.509673830416,-36.6692624260836,"Polymictic","Aeolian"
"arc-00098",2015,"TLI",4.18813914103226,21871,"lake tomarata","arc","auckland",174.509673830416,-36.6692624260836,"Polymictic","Aeolian"
"arc-00098",2016,"TLI",4.38960820024746,21871,"lake tomarata","arc","auckland",174.509673830416,-36.6692624260836,"Polymictic","Aeolian"
"arc-00098",2017,"TLI",4.51713570889927,21871,"lake tomarata","arc","auckland",174.509673830416,-36.6692624260836,"Polymictic","Aeolian"
"arc-00098",2018,"TLI",4.40845385446751,21871,"lake tomarata","arc","auckland",174.509673830416,-36.6692624260836,"Polymictic","Aeolian"
"arc-00098",2019,"TLI",4.18877780874059,21871,"lake tomarata","arc","auckland",174.509673830416,-36.6692624260836,"Polymictic","Aeolian"
"arc-00099",2004,"TLI",NA,50151,"lake pupuke","arc","auckland",174.586700000235,-36.7835100004189,"Stratified","Volcanic"
"arc-00099",2005,"TLI",NA,50151,"lake pupuke","arc","auckland",174.586700000235,-36.7835100004189,"Stratified","Volcanic"
"arc-00099",2006,"TLI",NA,50151,"lake pupuke","arc","auckland",174.586700000235,-36.7835100004189,"Stratified","Volcanic"
"arc-00099",2007,"TLI",NA,50151,"lake pupuke","arc","auckland",174.586700000235,-36.7835100004189,"Stratified","Volcanic"
"arc-00099",2008,"TLI",NA,50151,"lake pupuke","arc","auckland",174.586700000235,-36.7835100004189,"Stratified","Volcanic"
"arc-00099",2009,"TLI",3.86220059646068,50151,"lake pupuke","arc","auckland",174.586700000235,-36.7835100004189,"Stratified","Volcanic"
"arc-00099",2010,"TLI",3.65240822080798,50151,"lake pupuke","arc","auckland",174.586700000235,-36.7835100004189,"Stratified","Volcanic"
