"LAWAID","Parameter","NOFDate","NOFValue"
"arc-00099","TP","2003-10-01",20
"arc-10002","TP","2004-10-01",30
"ebop-00087","TP","2004-10-01",6
"ebop-00088","TP","2004-10-01",94
"ebop-00089","TP","2004-10-01",6
"ebop-00090","TP","2004-10-01",9
"ebop-00091","TP","2004-10-01",25.5
"ebop-00092","TP","2004-10-01",28.5
"ebop-00094","TP","2004-10-01",29
"ebop-00095","TP","2004-10-01",8
"ebop-00096","TP","2004-10-01",31
"ebop-00097","TP","2004-10-01",30
"ebop-00098","TP","2004-10-01",22
"ebop-00100","TP","2004-10-01",8
"ecan-00325","TP","2004-10-01",88
"ecan-00334","TP","2004-10-01",200
"ecan-00347","TP","2004-10-01",70.5
"ecan-00348","TP","2004-10-01",12
"ecan-00369","TP","2004-10-01",180
"ecan-00370","TP","2004-10-01",170
"ecan-00371","TP","2004-10-01",250
"ew-00142","TP","2004-10-01",77
"ew-00143","TP","2004-10-01",28
"ew-00145","TP","2004-10-01",30
"ew-00146","TP","2004-10-01",42
"ew-00147","TP","2004-10-01",65
"ew-00149","TP","2004-10-01",24
"ew-00151","TP","2004-10-01",243
"lawa-102689","TP","2004-10-01",56
"nrc-00095","TP","2004-10-01",175
"orc-00027","TP","2004-10-01",25
"orc-00028","TP","2004-10-01",25
"orc-00035","TP","2004-10-01",73
"orc-00036","TP","2004-10-01",42
"orc-00037","TP","2004-10-01",5
"orc-00038","TP","2004-10-01",25
"trc-00051","TP","2004-10-01",14
"trc-00051","TP","2004-10-01",56
"trc-00053","TP","2004-10-01",22
"trc-00053","TP","2004-10-01",19
"ebop-00087","TP","2005-10-01",9
"ebop-00088","TP","2005-10-01",55
"ebop-00089","TP","2005-10-01",5
"ebop-00090","TP","2005-10-01",21
"ebop-00091","TP","2005-10-01",48
"ebop-00092","TP","2005-10-01",45
"ebop-00094","TP","2005-10-01",29
"ebop-00095","TP","2005-10-01",7
"ebop-00096","TP","2005-10-01",43
"ebop-00097","TP","2005-10-01",21
"ebop-00098","TP","2005-10-01",18
"ebop-00100","TP","2005-10-01",5
"ecan-00325","TP","2005-10-01",140
"ecan-00331","TP","2005-10-01",4
"ecan-00334","TP","2005-10-01",130
"ecan-00347","TP","2005-10-01",440
"ecan-00348","TP","2005-10-01",39
"ecan-00369","TP","2005-10-01",140
"ecan-00370","TP","2005-10-01",130
"ecan-00371","TP","2005-10-01",170
"nrc-00095","TP","2005-10-01",204
"orc-00027","TP","2005-10-01",5
"orc-00028","TP","2005-10-01",25
"orc-00031","TP","2005-10-01",11
"orc-00033","TP","2005-10-01",62
"orc-00036","TP","2005-10-01",50
"orc-00037","TP","2005-10-01",2.5
"orc-00038","TP","2005-10-01",25
"trc-00051","TP","2005-10-01",24
"trc-00051","TP","2005-10-01",12
"trc-00053","TP","2005-10-01",15
"trc-00053","TP","2005-10-01",23
"arc-00099","TP","2006-10-01",36
"ebop-00087","TP","2006-10-01",9
"ebop-00089","TP","2006-10-01",5
"ebop-00091","TP","2006-10-01",44
"ebop-00092","TP","2006-10-01",14
"ebop-00094","TP","2006-10-01",20
"ebop-00095","TP","2006-10-01",8
"ebop-00097","TP","2006-10-01",31
"ebop-00098","TP","2006-10-01",28
"ebop-00100","TP","2006-10-01",5
"ecan-00325","TP","2006-10-01",420
"ecan-00331","TP","2006-10-01",4
"ecan-00334","TP","2006-10-01",240
"ecan-00347","TP","2006-10-01",102.5
"ecan-00348","TP","2006-10-01",74
"ecan-00369","TP","2006-10-01",250
"ecan-00370","TP","2006-10-01",270
"ecan-00371","TP","2006-10-01",270
"es-000142","TP","2006-10-01",41
"es-000157","TP","2006-10-01",45
"es-000158","TP","2006-10-01",46
"es-000159","TP","2006-10-01",40
"ew-00142","TP","2006-10-01",123
"ew-00143","TP","2006-10-01",26
"ew-00145","TP","2006-10-01",15
"ew-00146","TP","2006-10-01",87
"ew-00147","TP","2006-10-01",142
"ew-00149","TP","2006-10-01",20
"ew-00151","TP","2006-10-01",191
"lawa-100263","TP","2006-10-01",5
"lawa-100266","TP","2006-10-01",5
"nrc-00071","TP","2006-10-01",38
"nrc-00072","TP","2006-10-01",11
"nrc-00075","TP","2006-10-01",7
"nrc-00079","TP","2006-10-01",20
"nrc-00080","TP","2006-10-01",13
"nrc-00081","TP","2006-10-01",14
"nrc-00082","TP","2006-10-01",12
"nrc-00083","TP","2006-10-01",11
"nrc-00085","TP","2006-10-01",9
"nrc-00087","TP","2006-10-01",4
"nrc-00088","TP","2006-10-01",2
"nrc-00089","TP","2006-10-01",13
"nrc-00090","TP","2006-10-01",5
"nrc-00093","TP","2006-10-01",20
"orc-00028","TP","2006-10-01",25
"orc-00035","TP","2006-10-01",168
"orc-00036","TP","2006-10-01",68
"orc-00037","TP","2006-10-01",11
"orc-00038","TP","2006-10-01",25
"trc-00051","TP","2006-10-01",12
