"LawaSiteID","CouncilSiteID","LFENZID","Agency","Region","LType","Measurement","nMeasures","frequency","period","TrendScore","ConfCat","AnalysisNote","AnalysisNoteSS","nFirstYear","nLastYear","numMonths","numQuarters","numYears","Observations","KWstat","pvalue","nObs","S","VarS","D","tau","Z","p","MKProbability","prop.censored","prop.unique","no.censorlevels","Median","Sen_VarS","AnnualSenSlope","Intercept","Lci","Uci","Sen_Probability","Probabilitymax","Probabilitymin","Percent.annual.change","standard"
"nrc-00085","100425",23681,"nrc","northland","Polymictic","TP",52,"unassessed, nM=52(162); nQ=52(54); nY=14(13)",15,NA,NA,NA,NA,1,0,52,52,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nrc-00085","100425",23681,"nrc","northland","Polymictic","NH4N",52,"unassessed, nM=52(162); nQ=52(54); nY=14(13)",15,NA,NA,NA,NA,1,0,52,52,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nrc-00085","100425",23681,"nrc","northland","Polymictic","TN",52,"unassessed, nM=52(162); nQ=52(54); nY=14(13)",15,NA,NA,NA,NA,1,0,52,52,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nrc-00085","100425",23681,"nrc","northland","Polymictic","Secchi",52,"unassessed, nM=52(162); nQ=52(54); nY=14(13)",15,NA,NA,NA,NA,1,0,52,52,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nrc-00085","100425",23681,"nrc","northland","Polymictic","CHLA",0,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nrc-00085","100425",23681,"nrc","northland","Polymictic","ECOLI",0,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nrc-00075","100438",21918,"nrc","northland","Stratified","TP",52,"unassessed, nM=52(162); nQ=49(54); nY=14(13)",15,NA,NA,NA,NA,4,0,52,49,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nrc-00075","100438",21918,"nrc","northland","Stratified","NH4N",51,"unassessed, nM=51(162); nQ=48(54); nY=14(13)",15,NA,NA,NA,NA,3,0,51,48,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nrc-00075","100438",21918,"nrc","northland","Stratified","TN",52,"unassessed, nM=52(162); nQ=49(54); nY=14(13)",15,NA,NA,NA,NA,4,0,52,49,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nrc-00075","100438",21918,"nrc","northland","Stratified","Secchi",51,"unassessed, nM=51(162); nQ=48(54); nY=14(13)",15,NA,NA,NA,NA,3,0,51,48,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nrc-00075","100438",21918,"nrc","northland","Stratified","CHLA",0,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nrc-00075","100438",21918,"nrc","northland","Stratified","ECOLI",0,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nrc-00087","100442",21917,"nrc","northland","Stratified","TP",56,"unassessed, nM=56(162); nQ=52(54); nY=14(13)",15,NA,NA,NA,NA,4,0,56,52,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nrc-00087","100442",21917,"nrc","northland","Stratified","NH4N",55,"unassessed, nM=55(162); nQ=51(54); nY=14(13)",15,NA,NA,NA,NA,3,0,55,51,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nrc-00087","100442",21917,"nrc","northland","Stratified","TN",56,"unassessed, nM=56(162); nQ=52(54); nY=14(13)",15,NA,NA,NA,NA,4,0,56,52,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nrc-00087","100442",21917,"nrc","northland","Stratified","Secchi",53,"unassessed, nM=53(162); nQ=49(54); nY=14(13)",15,NA,NA,NA,NA,2,0,53,49,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nrc-00087","100442",21917,"nrc","northland","Stratified","CHLA",0,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nrc-00087","100442",21917,"nrc","northland","Stratified","ECOLI",0,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nrc-00090","100448",21926,"nrc","northland","Stratified","TP",56,"unassessed, nM=56(162); nQ=52(54); nY=14(13)",15,NA,NA,NA,NA,4,0,56,52,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nrc-00090","100448",21926,"nrc","northland","Stratified","NH4N",55,"unassessed, nM=55(162); nQ=51(54); nY=14(13)",15,NA,NA,NA,NA,3,0,55,51,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nrc-00090","100448",21926,"nrc","northland","Stratified","TN",56,"unassessed, nM=56(162); nQ=52(54); nY=14(13)",15,NA,NA,NA,NA,4,0,56,52,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
