"LAWAID","Parameter","Year","Median"
"","TLI",2019,6.33916874766729
"arc-00098","TLI",2019,4.40559910444691
"arc-00099","TLI",2019,4.1560562608775
"arc-00100","TLI",2019,3.47839466842206
"arc-10002","TLI",2019,4.25562402491791
"ebop-00087","CHLA",2019,3
"ebop-00087","NH4N",2019,0.003
"ebop-00087","pH",2019,7.72
"ebop-00087","Secchi",2019,6.9499999045
"ebop-00087","TLI",2019,3.33083034790226
"ebop-00087","TN",2019,183
"ebop-00087","TP",2019,10
"ebop-00088","CHLA",2019,8.875
"ebop-00088","NH4N",2019,0.489
"ebop-00088","pH",2019,7.63
"ebop-00088","Secchi",2019,2.90000004768372
"ebop-00088","TLI",2019,8.60096433482357
"ebop-00088","TN",2019,1000.5
"ebop-00088","TP",2019,69.5
"ebop-00089","CHLA",2019,1.9
"ebop-00089","NH4N",2019,0.002
"ebop-00089","pH",2019,7.5
"ebop-00089","Secchi",2019,10.6
"ebop-00089","TLI",2019,2.85939198213139
"ebop-00089","TN",2019,88
"ebop-00089","TP",2019,14
"ebop-00090","CHLA",2019,3.9
"ebop-00090","NH4N",2019,0.005
"ebop-00090","pH",2019,7.415
"ebop-00090","Secchi",2019,5.7
"ebop-00090","TLI",2019,3.62016299364888
"ebop-00090","TN",2019,352
"ebop-00090","TP",2019,10
"ebop-00091","CHLA",2019,10.3
"ebop-00091","NH4N",2019,0.007
"ebop-00091","pH",2019,7.8
"ebop-00091","Secchi",2019,2.6
"ebop-00091","TLI",2019,4.52131610136231
"ebop-00091","TN",2019,398
"ebop-00091","TP",2019,33.5
"ebop-00092","CHLA",2019,4.75
"ebop-00092","NH4N",2019,0.003
"ebop-00092","pH",2019,7.28
"ebop-00092","Secchi",2019,6.7
"ebop-00092","TLI",2019,3.59174860348598
"ebop-00092","TN",2019,167.5
"ebop-00092","TP",2019,20
"ebop-00094","CHLA",2019,6.3
"ebop-00094","NH4N",2019,0.003
"ebop-00094","pH",2019,7.4
"ebop-00094","Secchi",2019,5.25
"ebop-00094","TLI",2019,3.80821369190944
"ebop-00094","TN",2019,191.5
"ebop-00094","TP",2019,24
"ebop-00095","CHLA",2019,0.9
"ebop-00095","NH4N",2019,0.003
"ebop-00095","pH",2019,7.2
"ebop-00095","Secchi",2019,13.2
"ebop-00095","TLI",2019,2.41957434728581
"ebop-00095","TN",2019,103
"ebop-00095","TP",2019,7
"ebop-00096","CHLA",2019,4.3
"ebop-00096","NH4N",2019,0.002
"ebop-00096","pH",2019,7.49
"ebop-00096","Secchi",2019,4.925
"ebop-00096","TLI",2019,4.00073676864256
"ebop-00096","TN",2019,194
"ebop-00096","TP",2019,53
"ebop-00097","CHLA",2019,10.1
"ebop-00097","NH4N",2019,0.008
"ebop-00097","pH",2019,6.975
"ebop-00097","Secchi",2019,3.05
"ebop-00097","TLI",2019,4.1711895445031
"ebop-00097","TN",2019,313
"ebop-00097","TP",2019,18
"ebop-00098","CHLA",2019,10.3
"ebop-00098","NH4N",2019,0.012
"ebop-00098","pH",2019,6.97
"ebop-00098","Secchi",2019,2.925
"ebop-00098","TLI",2019,4.17993972479831
"ebop-00098","TN",2019,317
"ebop-00098","TP",2019,17
"ebop-00100","CHLA",2019,1.9
"ebop-00100","NH4N",2019,0.002
"ebop-00100","pH",2019,7.12
"ebop-00100","Secchi",2019,7.55
"ebop-00100","TLI",2019,2.74876914669702
"ebop-00100","TN",2019,170
"ebop-00100","TP",2019,4
"ecan-00325","CHLA",2019,25.5
"ecan-00325","ECOLI",2019,25
"ecan-00325","NH4N",2019,0.005
"ecan-00325","pH",2019,7.73
"ecan-00325","TLI",2019,6.57651876846468
"ecan-00325","TN",2019,1605
"ecan-00325","TP",2019,225
"ecan-00326","TLI",2019,2.05263618423414
"ecan-00327","TLI",2019,2.60322977063365
"ecan-00328","TLI",2019,2.70039379660923
"ecan-00329","TLI",2019,3.385848316336
"ecan-00330","TLI",2019,3.86708794520404
"ecan-00331","TLI",2019,3.62711964870809
"ecan-00332","TLI",2019,3.27910053764597
"ecan-00333","TLI",2019,3.34543231452784
"ecan-00334","CHLA",2019,80
"ecan-00334","ECOLI",2019,5
"ecan-00334","NH4N",2019,0.0145
"ecan-00334","pH",2019,8.38
"ecan-00334","Secchi",2019,0.1
"ecan-00334","TLI",2019,6.89980865364384
"ecan-00334","TN",2019,2200
"ecan-00334","TP",2019,210
"ecan-00335","TLI",2019,3.08377021240779
"ecan-00336","TLI",2019,1.47397263759327
"ecan-00337","TLI",2019,4.08618053228212
"ecan-00338","TLI",2019,2.99181214564513
"ecan-00339","TLI",2019,2.95259464100229
"ecan-00340","TLI",2019,3.10750794316789
"ecan-00341","TLI",2019,3.00796682001755
"ecan-00342","TLI",2019,4.61131736585929
"ecan-00343","TLI",2019,3.33510024893836
"ecan-00344","TLI",2019,3.96608375842702
"ecan-00345","TLI",2019,1.38430617516983
"ecan-00346","TLI",2019,1.60170559688303
"ecan-00347","CHLA",2019,33
"ecan-00347","ECOLI",2019,7
"ecan-00347","NH4N",2019,0.15
"ecan-00347","pH",2019,7.8
"ecan-00347","TLI",2019,6.07924510534989
"ecan-00347","TN",2019,835
"ecan-00347","TP",2019,82.5
"ecan-00348","CHLA",2019,1.75
"ecan-00348","ECOLI",2019,192
"ecan-00348","NH4N",2019,0.0285
"ecan-00348","pH",2019,7.45
"ecan-00348","TLI",2019,4.25088214086446
"ecan-00348","TN",2019,1750
"ecan-00348","TP",2019,7
"ecan-00349","TLI",2019,1.82289608380285
"ecan-00351","TLI",2019,5.52635182257321
"ecan-00354","TLI",2019,1.83180355285883
"ecan-00355","TLI",2019,1.49925873035477
"ecan-00357","TLI",2019,3.94123722273892
"ecan-00358","TLI",2019,4.08297481405656
"ecan-00359","TLI",2019,4.03910955530414
"ecan-00363","TLI",2019,7.28196935591521
