"LawaSiteID","CouncilSiteID","LFENZID","Agency","Region","LType","Measurement","nMeasures","frequency","period","TrendScore","ConfCat","AnalysisNote","AnalysisNoteSS","nFirstYear","nLastYear","numMonths","numQuarters","numYears","Observations","KWstat","pvalue","nObs","S","VarS","D","tau","Z","p","MKProbability","prop.censored","prop.unique","no.censorlevels","Median","Sen_VarS","AnnualSenSlope","Intercept","Lci","Uci","Sen_Probability","Probabilitymax","Probabilitymin","Percent.annual.change","standard"
"nrc-00085","100425",23681,"nrc","northland","Polymictic","TP",56,"quarterly",15,2,"Very likely improving","ok",1,1,4,56,56,15,56,4.20224567099567,0.240437147130956,56,-277,19843,1540,-0.17987012987013,-1.9593201996641,0.0500752995951715,0.0250376497975857,0,0.375,0,12,19843,-0.367732215594719,14.5281589822137,-0.788239578637959,0,0.0242182781303149,0.00449509536395287,0.0910021080749476,-3.06443512995599,NA
"nrc-00085","100425",23681,"nrc","northland","Polymictic","NH4N",56,"quarterly",15,-1,"Likely degrading","ok",1,1,4,56,56,15,56,6.68070037042117,0.0828021508054096,56,117,19931,1540,0.075974025974026,0.821662458510338,0.411269031049492,0.794365484475254,0,0.482142857142857,0,8,19931,0.149902121910906,6.96942291186252,-0.18579960529891,0.419900688820577,0.794365484475254,0.659401853894455,0.891117638438153,1.87377652388633,NA
"nrc-00085","100425",23681,"nrc","northland","Polymictic","TN",56,"quarterly",15,2,"Very likely improving","ok",1,1,4,56,56,15,56,0.660244923070901,0.882512459054087,56,-427,20017,1540,-0.277272727272727,-3.01099548658791,0.00260392723083834,0.00130196361541912,0,0.946428571428571,0,693,20017,-13.5466100827156,786.13294431867,-22.096806871316,-6.41897091125343,0.0012426247601367,0.00118576991830865,0.00130196361541912,-1.95477778971365,NA
"nrc-00085","100425",23681,"nrc","northland","Polymictic","Secchi",56,"quarterly",15,2,"Very likely improving","ok",1,1,4,56,56,15,56,3.06853281853282,0.381178987518679,56,229,19981.6666666667,1540,0.148701298701299,1.61294289609207,0.106756914564631,0.0533784572823155,0.0178571428571429,0.75,1,2.605,19994.3333333333,0.0562866826992423,2.21802905644271,0,0.124937059744731,0.0549894744640531,0.0706468416804735,0.0422110480004208,2.16071718615134,NA
"nrc-00085","100425",23681,"nrc","northland","Polymictic","CHLA",56,"quarterly",15,1,"Likely improving","ok",1,1,4,56,56,15,56,2.46331610672032,0.481957177610756,56,-122,20006.6666666667,1540,-0.0792207792207792,-0.85545664100825,0.392298398358396,0.196149199179198,0,0.821428571428571,0,3.65,20006.6666666667,-0.0846220847897315,4.2317768329294,-0.400370250910669,0.0805252788949113,0.192260497395884,0.171726357338473,0.214230593318243,-2.31841328191045,NA
"nrc-00085","100425",23681,"nrc","northland","Polymictic","ECOLI",0,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nrc-00075","100438",21918,"nrc","northland","Stratified","TP",56,"unassessed, nM=56(162); nQ=53(54); nY=15(13)",15,NA,NA,NA,NA,4,4,56,53,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nrc-00075","100438",21918,"nrc","northland","Stratified","NH4N",55,"unassessed, nM=55(162); nQ=52(54); nY=15(13)",15,NA,NA,NA,NA,3,4,55,52,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nrc-00075","100438",21918,"nrc","northland","Stratified","TN",56,"unassessed, nM=56(162); nQ=53(54); nY=15(13)",15,NA,NA,NA,NA,4,4,56,53,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nrc-00075","100438",21918,"nrc","northland","Stratified","Secchi",55,"unassessed, nM=55(162); nQ=52(54); nY=15(13)",15,NA,NA,NA,NA,3,4,55,52,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nrc-00075","100438",21918,"nrc","northland","Stratified","CHLA",55,"unassessed, nM=55(162); nQ=52(54); nY=15(13)",15,NA,NA,NA,NA,4,4,55,52,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nrc-00075","100438",21918,"nrc","northland","Stratified","ECOLI",1,"unassessed, nM=1(162); nQ=1(54); nY=1(13)",15,NA,NA,NA,NA,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nrc-00087","100442",21917,"nrc","northland","Stratified","TP",60,"quarterly",15,2,"Very likely improving","ok",1,4,4,60,56,15,56,1.9783960115714,0.576902780076134,56,-208,17438,1540,-0.135064935064935,-1.56755218881649,0.116985677536177,0.0584928387680884,0.0357142857142857,0.142857142857143,1,2,17438,0,2,0,0,0.0567452004526425,3.38755506867905e-07,0.964251392450539,0,NA
"nrc-00087","100442",21917,"nrc","northland","Stratified","NH4N",59,"quarterly",15,0,"Indeterminate","ok",1,3,4,59,55,15,55,6.75775433791909,0.0800331611851018,55,-1,16007,1485,-0.000673400673400673,0,1,0.5,0.472727272727273,0.145454545454545,1,2,16307,0,2,0,0,0.493752082716729,9.97343098366743e-05,0.999887150060016,0,NA
"nrc-00087","100442",21917,"nrc","northland","Stratified","TN",60,"quarterly",15,2,"Very likely improving","ok",1,4,4,60,56,15,56,4.07340644790995,0.2536458805292,56,-703,19972.3333333333,1540,-0.456493506493507,-4.96732652712477,6.78822349682944e-07,3.39411174832271e-07,0,0.696428571428571,0,130,19972.3333333333,-2.61034422439758,147.946116542733,-3.18389135357601,-2.03751887994074,3.15501554104536e-07,1.03045851407302e-07,9.24796908163827e-07,-2.00795709569045,NA
"nrc-00087","100442",21917,"nrc","northland","Stratified","Secchi",57,"unassessed, nM=57(162); nQ=53(54); nY=15(13)",15,NA,NA,NA,NA,2,4,57,53,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
