"LAWAID","BandingRule","Year","NOFMedian"
"ebop-00087","NitrogenMed_Band","2015to2019","B"
"ebop-00088","NitrogenMed_Band","2015to2019","C"
"ebop-00089","NitrogenMed_Band","2015to2019","A"
"ebop-00090","NitrogenMed_Band","2015to2019","B"
"ebop-00091","NitrogenMed_Band","2015to2019","B"
"ebop-00092","NitrogenMed_Band","2015to2019","B"
"ebop-00094","NitrogenMed_Band","2015to2019","B"
"ebop-00095","NitrogenMed_Band","2015to2019","A"
"ebop-00096","NitrogenMed_Band","2015to2019","B"
"ebop-00097","NitrogenMed_Band","2015to2019","B"
"ebop-00098","NitrogenMed_Band","2015to2019","B"
"ebop-00100","NitrogenMed_Band","2015to2019","B"
"ecan-00325","NitrogenMed_Band","2015to2019","D"
"ecan-00331","NitrogenMed_Band","2015to2019",NA
"ecan-00334","NitrogenMed_Band","2015to2019","D"
"ecan-00347","NitrogenMed_Band","2015to2019","D"
"ecan-00348","NitrogenMed_Band","2015to2019","D"
"ecan-00363","NitrogenMed_Band","2015to2019",NA
"ecan-00369","NitrogenMed_Band","2015to2019","D"
"ecan-00370","NitrogenMed_Band","2015to2019","D"
"ecan-00371","NitrogenMed_Band","2015to2019","D"
"ecan-00372","NitrogenMed_Band","2015to2019","D"
"es-000142","NitrogenMed_Band","2015to2019","D"
"es-000157","NitrogenMed_Band","2015to2019","C"
"es-000158","NitrogenMed_Band","2015to2019","D"
"es-000159","NitrogenMed_Band","2015to2019","D"
"es-00144","NitrogenMed_Band","2015to2019","C"
"ew-00142","NitrogenMed_Band","2015to2019","D"
"ew-00144","NitrogenMed_Band","2015to2019","B"
"ew-00146","NitrogenMed_Band","2015to2019","D"
"ew-00147","NitrogenMed_Band","2015to2019","D"
"ew-00151","NitrogenMed_Band","2015to2019","D"
"gw-00257","NitrogenMed_Band","2015to2019","C"
"gw-00258","NitrogenMed_Band","2015to2019","B"
"gw-00262","NitrogenMed_Band","2015to2019","C"
"gw-00263","NitrogenMed_Band","2015to2019","B"
"hbrc-00176","NitrogenMed_Band","2015to2019","C"
"hrc-00331","NitrogenMed_Band","2015to2019",NA
"hrc-00333","NitrogenMed_Band","2015to2019","D"
"hrc-00335","NitrogenMed_Band","2015to2019",NA
"hrc-00337","NitrogenMed_Band","2015to2019",NA
"lawa-100207","NitrogenMed_Band","2015to2019","C"
"lawa-100208","NitrogenMed_Band","2015to2019","C"
"lawa-100209","NitrogenMed_Band","2015to2019","D"
"lawa-100210","NitrogenMed_Band","2015to2019","D"
"lawa-100215","NitrogenMed_Band","2015to2019","C"
"lawa-100243","NitrogenMed_Band","2015to2019","D"
"lawa-102689","NitrogenMed_Band","2015to2019",NA
"lawa-102706","NitrogenMed_Band","2015to2019","D"
"orc-00027","NitrogenMed_Band","2015to2019","A"
"orc-00028","NitrogenMed_Band","2015to2019","A"
"orc-00031","NitrogenMed_Band","2015to2019","B"
"orc-00033","NitrogenMed_Band","2015to2019","D"
"orc-00034","NitrogenMed_Band","2015to2019","B"
"orc-00035","NitrogenMed_Band","2015to2019","B"
"orc-00036","NitrogenMed_Band","2015to2019","B"
"orc-00037","NitrogenMed_Band","2015to2019","A"
"orc-00038","NitrogenMed_Band","2015to2019","A"
"trc-00051","NitrogenMed_Band","2015to2019",NA
"trc-00051","NitrogenMed_Band","2015to2019",NA
"trc-00053","NitrogenMed_Band","2015to2019",NA
"trc-00053","NitrogenMed_Band","2015to2019",NA
"wcrc-00064","NitrogenMed_Band","2015to2019","B"
"lawa-102686","NitrogenMed_Band","2015to2019","B"
"lawa-102687","NitrogenMed_Band","2015to2019","A"
"lawa-102688","NitrogenMed_Band","2015to2019","A"
"lawa-102765","NitrogenMed_Band","2015to2019","A"
"nrc-00075","NitrogenMed_Band","2015to2019",NA
"nrc-00087","NitrogenMed_Band","2015to2019",NA
"nrc-00090","NitrogenMed_Band","2015to2019",NA
"nrc-00095","NitrogenMed_Band","2015to2019","B"
"ew-00145","NitrogenMed_Band","2015to2019","D"
"ew-00149","NitrogenMed_Band","2015to2019","D"
"hbrc-00171","NitrogenMed_Band","2015to2019","C"
"lawa-102219","NitrogenMed_Band","2015to2019","C"
"lawa-102220","NitrogenMed_Band","2015to2019","C"
"lawa-102221","NitrogenMed_Band","2015to2019","C"
"arc-00099","NitrogenMed_Band","2015to2019",NA
"ew-00143","NitrogenMed_Band","2015to2019","D"
"ew-00150","NitrogenMed_Band","2015to2019","D"
"lawa-100211","NitrogenMed_Band","2015to2019","A"
"lawa-100213","NitrogenMed_Band","2015to2019","A"
"lawa-100263","NitrogenMed_Band","2015to2019","A"
"lawa-100264","NitrogenMed_Band","2015to2019","A"
"lawa-100266","NitrogenMed_Band","2015to2019","A"
"lawa-102303","NitrogenMed_Band","2015to2019","D"
"lawa-102304","NitrogenMed_Band","2015to2019","D"
"lawa-102305","NitrogenMed_Band","2015to2019","D"
"lawa-102705","NitrogenMed_Band","2015to2019",NA
"lawa-102707","NitrogenMed_Band","2015to2019",NA
"hbrc-00170","NitrogenMed_Band","2015to2019",NA
"arc-00098","NitrogenMed_Band","2015to2019",NA
"arc-00100","NitrogenMed_Band","2015to2019",NA
"arc-10002","NitrogenMed_Band","2015to2019",NA
"nrc-00071","NitrogenMed_Band","2015to2019",NA
"nrc-00072","NitrogenMed_Band","2015to2019",NA
"nrc-00073","NitrogenMed_Band","2015to2019",NA
"nrc-00074","NitrogenMed_Band","2015to2019",NA
"nrc-00076","NitrogenMed_Band","2015to2019",NA
"nrc-00077","NitrogenMed_Band","2015to2019",NA
"nrc-00078","NitrogenMed_Band","2015to2019",NA
"nrc-00079","NitrogenMed_Band","2015to2019",NA
"nrc-00080","NitrogenMed_Band","2015to2019",NA
"nrc-00081","NitrogenMed_Band","2015to2019",NA
"nrc-00082","NitrogenMed_Band","2015to2019",NA
"nrc-00083","NitrogenMed_Band","2015to2019",NA
"nrc-00084","NitrogenMed_Band","2015to2019",NA
"nrc-00085","NitrogenMed_Band","2015to2019",NA
"nrc-00086","NitrogenMed_Band","2015to2019",NA
"nrc-00088","NitrogenMed_Band","2015to2019",NA
"nrc-00089","NitrogenMed_Band","2015to2019",NA
"nrc-00091","NitrogenMed_Band","2015to2019",NA
"nrc-00092","NitrogenMed_Band","2015to2019",NA
"nrc-00093","NitrogenMed_Band","2015to2019",NA
"nrc-00094","NitrogenMed_Band","2015to2019",NA
"nrc-00096","NitrogenMed_Band","2015to2019",NA
"wcrc-00065","NitrogenMed_Band","2015to2019","B"
"wcrc-00067","NitrogenMed_Band","2015to2019","C"
"hrc-00329","NitrogenMed_Band","2015to2019",NA
"hrc-00332","NitrogenMed_Band","2015to2019",NA
"hrc-00339","NitrogenMed_Band","2015to2019",NA
"hrc-00341","NitrogenMed_Band","2015to2019",NA
"hrc-00342","NitrogenMed_Band","2015to2019",NA
"lawa-100250","NitrogenMed_Band","2015to2019",NA
"lawa-102308","NitrogenMed_Band","2015to2019",NA
"lawa-102708","NitrogenMed_Band","2015to2019",NA
"lawa-102709","NitrogenMed_Band","2015to2019",NA
"lawa-102711","NitrogenMed_Band","2015to2019",NA
"ecan-00326","NitrogenMed_Band","2015to2019",NA
"ecan-00327","NitrogenMed_Band","2015to2019",NA
"ecan-00328","NitrogenMed_Band","2015to2019",NA
"ecan-00329","NitrogenMed_Band","2015to2019",NA
"ecan-00330","NitrogenMed_Band","2015to2019",NA
"ecan-00332","NitrogenMed_Band","2015to2019",NA
"ecan-00333","NitrogenMed_Band","2015to2019",NA
"ecan-00335","NitrogenMed_Band","2015to2019",NA
"ecan-00336","NitrogenMed_Band","2015to2019",NA
"ecan-00337","NitrogenMed_Band","2015to2019",NA
"ecan-00338","NitrogenMed_Band","2015to2019",NA
"ecan-00339","NitrogenMed_Band","2015to2019",NA
"ecan-00340","NitrogenMed_Band","2015to2019",NA
"ecan-00341","NitrogenMed_Band","2015to2019",NA
"ecan-00342","NitrogenMed_Band","2015to2019",NA
"ecan-00343","NitrogenMed_Band","2015to2019",NA
"ecan-00344","NitrogenMed_Band","2015to2019",NA
"ecan-00345","NitrogenMed_Band","2015to2019",NA
"ecan-00346","NitrogenMed_Band","2015to2019",NA
"ecan-00349","NitrogenMed_Band","2015to2019",NA
"ecan-00351","NitrogenMed_Band","2015to2019",NA
"ecan-00354","NitrogenMed_Band","2015to2019",NA
"ecan-00355","NitrogenMed_Band","2015to2019",NA
"ecan-00357","NitrogenMed_Band","2015to2019",NA
"ecan-00358","NitrogenMed_Band","2015to2019",NA
"ecan-00359","NitrogenMed_Band","2015to2019",NA
"ecan-00367","NitrogenMed_Band","2015to2019",NA
"ecan-00368","NitrogenMed_Band","2015to2019",NA
"lawa-101983","NitrogenMed_Band","2015to2019",NA
"trc-00051","NitrogenMed_Band","2015to2019",NA
"trc-00053","NitrogenMed_Band","2015to2019",NA
"lawa-101984","NitrogenMed_Band","2015to2019",NA
"lawa-101985","NitrogenMed_Band","2015to2019",NA
"trc-00051","NitrogenMed_Band","2015to2019",NA
"trc-00053","NitrogenMed_Band","2015to2019",NA
"ebop-00087","PhosphorusMed_Band","2015to2019","A"
"ebop-00088","PhosphorusMed_Band","2015to2019","C"
"ebop-00089","PhosphorusMed_Band","2015to2019","B"
"ebop-00090","PhosphorusMed_Band","2015to2019","A"
"ebop-00091","PhosphorusMed_Band","2015to2019","C"
"ebop-00092","PhosphorusMed_Band","2015to2019","C"
"ebop-00094","PhosphorusMed_Band","2015to2019","C"
"ebop-00095","PhosphorusMed_Band","2015to2019","A"
"ebop-00096","PhosphorusMed_Band","2015to2019","D"
"ebop-00097","PhosphorusMed_Band","2015to2019","B"
"ebop-00098","PhosphorusMed_Band","2015to2019","B"
"ebop-00100","PhosphorusMed_Band","2015to2019","A"
"ecan-00325","PhosphorusMed_Band","2015to2019","D"
"ecan-00331","PhosphorusMed_Band","2015to2019",NA
"ecan-00334","PhosphorusMed_Band","2015to2019","D"
"ecan-00347","PhosphorusMed_Band","2015to2019","D"
"ecan-00348","PhosphorusMed_Band","2015to2019","A"
"ecan-00363","PhosphorusMed_Band","2015to2019",NA
"ecan-00369","PhosphorusMed_Band","2015to2019","D"
"ecan-00370","PhosphorusMed_Band","2015to2019","D"
"ecan-00371","PhosphorusMed_Band","2015to2019","D"
"ecan-00372","PhosphorusMed_Band","2015to2019","D"
"es-000142","PhosphorusMed_Band","2015to2019","C"
"es-000157","PhosphorusMed_Band","2015to2019","C"
"es-000158","PhosphorusMed_Band","2015to2019","C"
"es-000159","PhosphorusMed_Band","2015to2019","C"
"es-00144","PhosphorusMed_Band","2015to2019","C"
"ew-00142","PhosphorusMed_Band","2015to2019","D"
"ew-00144","PhosphorusMed_Band","2015to2019","B"
"ew-00146","PhosphorusMed_Band","2015to2019","D"
"ew-00147","PhosphorusMed_Band","2015to2019","D"
"ew-00151","PhosphorusMed_Band","2015to2019","D"
"gw-00257","PhosphorusMed_Band","2015to2019","C"
"gw-00258","PhosphorusMed_Band","2015to2019","D"
"gw-00262","PhosphorusMed_Band","2015to2019","C"
"gw-00263","PhosphorusMed_Band","2015to2019","D"
"hbrc-00176","PhosphorusMed_Band","2015to2019","C"
"hrc-00331","PhosphorusMed_Band","2015to2019",NA
"hrc-00333","PhosphorusMed_Band","2015to2019","D"
"hrc-00335","PhosphorusMed_Band","2015to2019",NA
"hrc-00337","PhosphorusMed_Band","2015to2019",NA
"lawa-100207","PhosphorusMed_Band","2015to2019","C"
"lawa-100208","PhosphorusMed_Band","2015to2019","C"
"lawa-100209","PhosphorusMed_Band","2015to2019","B"
"lawa-100210","PhosphorusMed_Band","2015to2019","C"
"lawa-100215","PhosphorusMed_Band","2015to2019","C"
"lawa-100243","PhosphorusMed_Band","2015to2019","D"
"lawa-102689","PhosphorusMed_Band","2015to2019",NA
"lawa-102706","PhosphorusMed_Band","2015to2019","D"
"orc-00027","PhosphorusMed_Band","2015to2019","A"
"orc-00028","PhosphorusMed_Band","2015to2019","B"
"orc-00031","PhosphorusMed_Band","2015to2019","C"
"orc-00033","PhosphorusMed_Band","2015to2019","C"
"orc-00034","PhosphorusMed_Band","2015to2019","C"
"orc-00035","PhosphorusMed_Band","2015to2019","C"
"orc-00036","PhosphorusMed_Band","2015to2019","C"
"orc-00037","PhosphorusMed_Band","2015to2019","A"
"orc-00038","PhosphorusMed_Band","2015to2019","B"
"trc-00051","PhosphorusMed_Band","2015to2019",NA
"trc-00051","PhosphorusMed_Band","2015to2019",NA
"trc-00053","PhosphorusMed_Band","2015to2019",NA
"trc-00053","PhosphorusMed_Band","2015to2019",NA
"wcrc-00064","PhosphorusMed_Band","2015to2019","A"
"lawa-102686","PhosphorusMed_Band","2015to2019",NA
"lawa-102687","PhosphorusMed_Band","2015to2019","A"
"lawa-102688","PhosphorusMed_Band","2015to2019","A"
"lawa-102765","PhosphorusMed_Band","2015to2019","A"
"nrc-00075","PhosphorusMed_Band","2015to2019",NA
"nrc-00087","PhosphorusMed_Band","2015to2019",NA
"nrc-00090","PhosphorusMed_Band","2015to2019",NA
"nrc-00095","PhosphorusMed_Band","2015to2019","C"
"ew-00145","PhosphorusMed_Band","2015to2019","B"
"ew-00149","PhosphorusMed_Band","2015to2019","C"
"hbrc-00171","PhosphorusMed_Band","2015to2019","D"
"lawa-102219","PhosphorusMed_Band","2015to2019","B"
"lawa-102220","PhosphorusMed_Band","2015to2019","C"
"lawa-102221","PhosphorusMed_Band","2015to2019","C"
"arc-00099","PhosphorusMed_Band","2015to2019",NA
"ew-00143","PhosphorusMed_Band","2015to2019","C"
"ew-00150","PhosphorusMed_Band","2015to2019","C"
"lawa-100211","PhosphorusMed_Band","2015to2019","A"
"lawa-100213","PhosphorusMed_Band","2015to2019","A"
"lawa-100263","PhosphorusMed_Band","2015to2019","A"
"lawa-100264","PhosphorusMed_Band","2015to2019","A"
"lawa-100266","PhosphorusMed_Band","2015to2019","A"
"lawa-102303","PhosphorusMed_Band","2015to2019","D"
"lawa-102304","PhosphorusMed_Band","2015to2019","D"
"lawa-102305","PhosphorusMed_Band","2015to2019","D"
"lawa-102705","PhosphorusMed_Band","2015to2019",NA
"lawa-102707","PhosphorusMed_Band","2015to2019",NA
"hbrc-00170","PhosphorusMed_Band","2015to2019",NA
"arc-00098","PhosphorusMed_Band","2015to2019",NA
"arc-00100","PhosphorusMed_Band","2015to2019",NA
"arc-10002","PhosphorusMed_Band","2015to2019",NA
"nrc-00071","PhosphorusMed_Band","2015to2019",NA
"nrc-00072","PhosphorusMed_Band","2015to2019",NA
"nrc-00073","PhosphorusMed_Band","2015to2019",NA
"nrc-00074","PhosphorusMed_Band","2015to2019",NA
"nrc-00076","PhosphorusMed_Band","2015to2019",NA
"nrc-00077","PhosphorusMed_Band","2015to2019",NA
"nrc-00078","PhosphorusMed_Band","2015to2019",NA
"nrc-00079","PhosphorusMed_Band","2015to2019",NA
"nrc-00080","PhosphorusMed_Band","2015to2019",NA
"nrc-00081","PhosphorusMed_Band","2015to2019",NA
"nrc-00082","PhosphorusMed_Band","2015to2019",NA
"nrc-00083","PhosphorusMed_Band","2015to2019",NA
"nrc-00084","PhosphorusMed_Band","2015to2019",NA
"nrc-00085","PhosphorusMed_Band","2015to2019",NA
"nrc-00086","PhosphorusMed_Band","2015to2019",NA
"nrc-00088","PhosphorusMed_Band","2015to2019",NA
"nrc-00089","PhosphorusMed_Band","2015to2019",NA
"nrc-00091","PhosphorusMed_Band","2015to2019",NA
"nrc-00092","PhosphorusMed_Band","2015to2019",NA
"nrc-00093","PhosphorusMed_Band","2015to2019",NA
"nrc-00094","PhosphorusMed_Band","2015to2019",NA
"nrc-00096","PhosphorusMed_Band","2015to2019",NA
"wcrc-00065","PhosphorusMed_Band","2015to2019","A"
"wcrc-00067","PhosphorusMed_Band","2015to2019","B"
"hrc-00329","PhosphorusMed_Band","2015to2019",NA
"hrc-00332","PhosphorusMed_Band","2015to2019",NA
"hrc-00339","PhosphorusMed_Band","2015to2019",NA
"hrc-00341","PhosphorusMed_Band","2015to2019",NA
"hrc-00342","PhosphorusMed_Band","2015to2019",NA
"lawa-100250","PhosphorusMed_Band","2015to2019",NA
"lawa-102308","PhosphorusMed_Band","2015to2019",NA
"lawa-102708","PhosphorusMed_Band","2015to2019",NA
"lawa-102709","PhosphorusMed_Band","2015to2019",NA
"lawa-102711","PhosphorusMed_Band","2015to2019",NA
"ecan-00326","PhosphorusMed_Band","2015to2019",NA
"ecan-00327","PhosphorusMed_Band","2015to2019",NA
"ecan-00328","PhosphorusMed_Band","2015to2019",NA
"ecan-00329","PhosphorusMed_Band","2015to2019",NA
"ecan-00330","PhosphorusMed_Band","2015to2019",NA
"ecan-00332","PhosphorusMed_Band","2015to2019",NA
"ecan-00333","PhosphorusMed_Band","2015to2019",NA
"ecan-00335","PhosphorusMed_Band","2015to2019",NA
"ecan-00336","PhosphorusMed_Band","2015to2019",NA
"ecan-00337","PhosphorusMed_Band","2015to2019",NA
"ecan-00338","PhosphorusMed_Band","2015to2019",NA
"ecan-00339","PhosphorusMed_Band","2015to2019",NA
"ecan-00340","PhosphorusMed_Band","2015to2019",NA
"ecan-00341","PhosphorusMed_Band","2015to2019",NA
"ecan-00342","PhosphorusMed_Band","2015to2019",NA
"ecan-00343","PhosphorusMed_Band","2015to2019",NA
"ecan-00344","PhosphorusMed_Band","2015to2019",NA
"ecan-00345","PhosphorusMed_Band","2015to2019",NA
"ecan-00346","PhosphorusMed_Band","2015to2019",NA
"ecan-00349","PhosphorusMed_Band","2015to2019",NA
"ecan-00351","PhosphorusMed_Band","2015to2019",NA
"ecan-00354","PhosphorusMed_Band","2015to2019",NA
"ecan-00355","PhosphorusMed_Band","2015to2019",NA
"ecan-00357","PhosphorusMed_Band","2015to2019",NA
"ecan-00358","PhosphorusMed_Band","2015to2019",NA
"ecan-00359","PhosphorusMed_Band","2015to2019",NA
"ecan-00367","PhosphorusMed_Band","2015to2019",NA
"ecan-00368","PhosphorusMed_Band","2015to2019",NA
"lawa-101983","PhosphorusMed_Band","2015to2019",NA
"trc-00051","PhosphorusMed_Band","2015to2019",NA
"trc-00053","PhosphorusMed_Band","2015to2019",NA
"lawa-101984","PhosphorusMed_Band","2015to2019",NA
"lawa-101985","PhosphorusMed_Band","2015to2019",NA
"trc-00051","PhosphorusMed_Band","2015to2019",NA
"trc-00053","PhosphorusMed_Band","2015to2019",NA
"ebop-00087","AmmoniacalMed_Band","2015to2019","A"
"ebop-00088","AmmoniacalMed_Band","2015to2019","A"
"ebop-00089","AmmoniacalMed_Band","2015to2019","A"
"ebop-00090","AmmoniacalMed_Band","2015to2019","A"
"ebop-00091","AmmoniacalMed_Band","2015to2019","A"
"ebop-00092","AmmoniacalMed_Band","2015to2019","A"
"ebop-00094","AmmoniacalMed_Band","2015to2019","A"
"ebop-00095","AmmoniacalMed_Band","2015to2019","A"
"ebop-00096","AmmoniacalMed_Band","2015to2019","A"
"ebop-00097","AmmoniacalMed_Band","2015to2019","A"
"ebop-00098","AmmoniacalMed_Band","2015to2019","A"
"ebop-00100","AmmoniacalMed_Band","2015to2019","A"
"ecan-00325","AmmoniacalMed_Band","2015to2019","A"
"ecan-00331","AmmoniacalMed_Band","2015to2019",NA
"ecan-00334","AmmoniacalMed_Band","2015to2019","A"
"ecan-00347","AmmoniacalMed_Band","2015to2019","B"
"ecan-00348","AmmoniacalMed_Band","2015to2019","A"
"ecan-00363","AmmoniacalMed_Band","2015to2019",NA
"ecan-00369","AmmoniacalMed_Band","2015to2019","A"
"ecan-00370","AmmoniacalMed_Band","2015to2019","A"
"ecan-00371","AmmoniacalMed_Band","2015to2019","A"
"ecan-00372","AmmoniacalMed_Band","2015to2019","B"
"es-000142","AmmoniacalMed_Band","2015to2019",NA
"es-000157","AmmoniacalMed_Band","2015to2019",NA
"es-000158","AmmoniacalMed_Band","2015to2019",NA
"es-000159","AmmoniacalMed_Band","2015to2019",NA
"es-00144","AmmoniacalMed_Band","2015to2019","A"
"ew-00142","AmmoniacalMed_Band","2015to2019","A"
"ew-00144","AmmoniacalMed_Band","2015to2019","A"
"ew-00146","AmmoniacalMed_Band","2015to2019","A"
"ew-00147","AmmoniacalMed_Band","2015to2019","A"
"ew-00151","AmmoniacalMed_Band","2015to2019","A"
"gw-00257","AmmoniacalMed_Band","2015to2019","A"
"gw-00258","AmmoniacalMed_Band","2015to2019","A"
"gw-00262","AmmoniacalMed_Band","2015to2019","A"
"gw-00263","AmmoniacalMed_Band","2015to2019","A"
"hbrc-00176","AmmoniacalMed_Band","2015to2019","B"
"hrc-00331","AmmoniacalMed_Band","2015to2019",NA
"hrc-00333","AmmoniacalMed_Band","2015to2019","A"
"hrc-00335","AmmoniacalMed_Band","2015to2019",NA
"hrc-00337","AmmoniacalMed_Band","2015to2019",NA
"lawa-100207","AmmoniacalMed_Band","2015to2019","A"
"lawa-100208","AmmoniacalMed_Band","2015to2019","A"
"lawa-100209","AmmoniacalMed_Band","2015to2019","A"
"lawa-100210","AmmoniacalMed_Band","2015to2019","A"
"lawa-100215","AmmoniacalMed_Band","2015to2019","A"
"lawa-100243","AmmoniacalMed_Band","2015to2019","A"
"lawa-102689","AmmoniacalMed_Band","2015to2019",NA
"lawa-102706","AmmoniacalMed_Band","2015to2019","A"
"orc-00027","AmmoniacalMed_Band","2015to2019","A"
"orc-00028","AmmoniacalMed_Band","2015to2019","A"
"orc-00031","AmmoniacalMed_Band","2015to2019","A"
"orc-00033","AmmoniacalMed_Band","2015to2019","A"
"orc-00034","AmmoniacalMed_Band","2015to2019","A"
"orc-00035","AmmoniacalMed_Band","2015to2019","A"
"orc-00036","AmmoniacalMed_Band","2015to2019","A"
"orc-00037","AmmoniacalMed_Band","2015to2019","A"
"orc-00038","AmmoniacalMed_Band","2015to2019","A"
"trc-00051","AmmoniacalMed_Band","2015to2019",NA
"trc-00051","AmmoniacalMed_Band","2015to2019",NA
"trc-00053","AmmoniacalMed_Band","2015to2019",NA
"trc-00053","AmmoniacalMed_Band","2015to2019",NA
"wcrc-00064","AmmoniacalMed_Band","2015to2019","A"
"lawa-102686","AmmoniacalMed_Band","2015to2019","A"
"lawa-102687","AmmoniacalMed_Band","2015to2019","A"
"lawa-102688","AmmoniacalMed_Band","2015to2019","A"
"lawa-102765","AmmoniacalMed_Band","2015to2019","A"
"nrc-00075","AmmoniacalMed_Band","2015to2019",NA
"nrc-00087","AmmoniacalMed_Band","2015to2019",NA
"nrc-00090","AmmoniacalMed_Band","2015to2019",NA
"nrc-00095","AmmoniacalMed_Band","2015to2019","A"
"ew-00145","AmmoniacalMed_Band","2015to2019","B"
"ew-00149","AmmoniacalMed_Band","2015to2019","A"
"hbrc-00171","AmmoniacalMed_Band","2015to2019","B"
