"Lake","FENZID","TLIYear","TLI","MixingPattern","GeomorphicType"
"",16939,2015,5.6,"","Aeolian"
"",16939,2016,6.4,"","Aeolian"
"",16939,2017,6.5,"","Aeolian"
"",16939,2018,6.3,"","Aeolian"
"",16939,2019,6.3,"","Aeolian"
"lake tomarata",21871,1993,3.4,"Polymictic","Aeolian"
"lake tomarata",21871,1994,4.5,"Polymictic","Aeolian"
"lake tomarata",21871,1996,5,"Polymictic","Aeolian"
"lake tomarata",21871,1997,4.4,"Polymictic","Aeolian"
"lake tomarata",21871,1998,5,"Polymictic","Aeolian"
"lake tomarata",21871,1999,4.2,"Polymictic","Aeolian"
"lake tomarata",21871,2000,4.6,"Polymictic","Aeolian"
"lake tomarata",21871,2001,4.6,"Polymictic","Aeolian"
"lake tomarata",21871,2002,4.2,"Polymictic","Aeolian"
"lake tomarata",21871,2003,4.3,"Polymictic","Aeolian"
"lake tomarata",21871,2004,4.7,"Polymictic","Aeolian"
"lake tomarata",21871,2005,4.1,"Polymictic","Aeolian"
"lake tomarata",21871,2006,4.7,"Polymictic","Aeolian"
"lake tomarata",21871,2007,4.3,"Polymictic","Aeolian"
"lake tomarata",21871,2009,4,"Polymictic","Aeolian"
"lake tomarata",21871,2010,3.5,"Polymictic","Aeolian"
"lake tomarata",21871,2011,4.5,"Polymictic","Aeolian"
"lake tomarata",21871,2012,4.4,"Polymictic","Aeolian"
"lake tomarata",21871,2013,4.8,"Polymictic","Aeolian"
"lake tomarata",21871,2014,4.9,"Polymictic","Aeolian"
"lake tomarata",21871,2015,4.2,"Polymictic","Aeolian"
"lake tomarata",21871,2016,4.4,"Polymictic","Aeolian"
"lake tomarata",21871,2017,4.5,"Polymictic","Aeolian"
"lake tomarata",21871,2018,4.4,"Polymictic","Aeolian"
"lake tomarata",21871,2019,4.2,"Polymictic","Aeolian"
"lake pupuke",50151,1994,4.5,"Stratified","Volcanic"
"lake pupuke",50151,1996,4.3,"Stratified","Volcanic"
"lake pupuke",50151,1997,4.3,"Stratified","Volcanic"
"lake pupuke",50151,1998,4.4,"Stratified","Volcanic"
"lake pupuke",50151,1999,2.4,"Stratified","Volcanic"
"lake pupuke",50151,2000,4.4,"Stratified","Volcanic"
"lake pupuke",50151,2001,5,"Stratified","Volcanic"
"lake pupuke",50151,2002,4.6,"Stratified","Volcanic"
"lake pupuke",50151,2003,4.8,"Stratified","Volcanic"
"lake pupuke",50151,2004,3.8,"Stratified","Volcanic"
"lake pupuke",50151,2005,4.3,"Stratified","Volcanic"
"lake pupuke",50151,2006,3.8,"Stratified","Volcanic"
"lake pupuke",50151,2007,4,"Stratified","Volcanic"
"lake pupuke",50151,2009,3.6,"Stratified","Volcanic"
"lake pupuke",50151,2010,3.5,"Stratified","Volcanic"
"lake pupuke",50151,2011,3.6,"Stratified","Volcanic"
"lake pupuke",50151,2012,3.5,"Stratified","Volcanic"
"lake pupuke",50151,2013,3.5,"Stratified","Volcanic"
"lake pupuke",50151,2014,3.6,"Stratified","Volcanic"
"lake pupuke",50151,2015,3.7,"Stratified","Volcanic"
"lake pupuke",50151,2016,4.6,"Stratified","Volcanic"
"lake pupuke",50151,2017,4.4,"Stratified","Volcanic"
"lake pupuke",50151,2018,3.6,"Stratified","Volcanic"
"lake pupuke",50151,2019,4.2,"Stratified","Volcanic"
"lake rototoa",50270,1993,2.1,"Stratified","Aeolian"
"lake rototoa",50270,1994,2.2,"Stratified","Aeolian"
"lake rototoa",50270,1996,2.4,"Stratified","Aeolian"
"lake rototoa",50270,1997,3.9,"Stratified","Aeolian"
"lake rototoa",50270,1998,4.2,"Stratified","Aeolian"
"lake rototoa",50270,1999,2.8,"Stratified","Aeolian"
"lake rototoa",50270,2000,4.3,"Stratified","Aeolian"
"lake rototoa",50270,2001,4.2,"Stratified","Aeolian"
"lake rototoa",50270,2002,4.3,"Stratified","Aeolian"
"lake rototoa",50270,2003,4,"Stratified","Aeolian"
"lake rototoa",50270,2004,4.1,"Stratified","Aeolian"
"lake rototoa",50270,2005,2.5,"Stratified","Aeolian"
"lake rototoa",50270,2006,3,"Stratified","Aeolian"
"lake rototoa",50270,2007,2.4,"Stratified","Aeolian"
"lake rototoa",50270,2009,3.3,"Stratified","Aeolian"
"lake rototoa",50270,2010,3.2,"Stratified","Aeolian"
"lake rototoa",50270,2011,3.3,"Stratified","Aeolian"
"lake rototoa",50270,2012,3.2,"Stratified","Aeolian"
"lake rototoa",50270,2013,3,"Stratified","Aeolian"
"lake rototoa",50270,2014,3.2,"Stratified","Aeolian"
"lake rototoa",50270,2015,3.2,"Stratified","Aeolian"
"lake rototoa",50270,2016,3.5,"Stratified","Aeolian"
"lake rototoa",50270,2017,3.6,"Stratified","Aeolian"
"lake rototoa",50270,2018,3.6,"Stratified","Aeolian"
"lake rototoa",50270,2019,3.2,"Stratified","Aeolian"
"lake wainamu",45819,1993,3.8,"Stratified","Aeolian"
"lake wainamu",45819,1994,4.4,"Stratified","Aeolian"
"lake wainamu",45819,1996,4.2,"Stratified","Aeolian"
"lake wainamu",45819,1997,4.6,"Stratified","Aeolian"
"lake wainamu",45819,1998,5.2,"Stratified","Aeolian"
"lake wainamu",45819,1999,4.9,"Stratified","Aeolian"
"lake wainamu",45819,2000,4.5,"Stratified","Aeolian"
