"LawaSiteID","Year","Measurement","Value","LFENZID","SiteID","Agency","Region","Long","Lat","LType","GeomorphicLType"
"arc-00098",1993,"TLI",3.38249584445027,21871,"lake tomarata","ac","auckland",174.649010000401,-36.1927500004372,"Polymictic","Aeolian"
"arc-00098",1994,"TLI",4.5422963901485,21871,"lake tomarata","ac","auckland",174.649010000401,-36.1927500004372,"Polymictic","Aeolian"
"arc-00098",1995,"TLI",NA,21871,"lake tomarata","ac","auckland",174.649010000401,-36.1927500004372,"Polymictic","Aeolian"
"arc-00098",1996,"TLI",4.99321226019052,21871,"lake tomarata","ac","auckland",174.649010000401,-36.1927500004372,"Polymictic","Aeolian"
"arc-00098",1997,"TLI",4.41660513016666,21871,"lake tomarata","ac","auckland",174.649010000401,-36.1927500004372,"Polymictic","Aeolian"
"arc-00098",1998,"TLI",4.95438882882079,21871,"lake tomarata","ac","auckland",174.649010000401,-36.1927500004372,"Polymictic","Aeolian"
"arc-00098",1999,"TLI",4.21502549719798,21871,"lake tomarata","ac","auckland",174.649010000401,-36.1927500004372,"Polymictic","Aeolian"
"arc-00098",2000,"TLI",4.62049677092695,21871,"lake tomarata","ac","auckland",174.649010000401,-36.1927500004372,"Polymictic","Aeolian"
"arc-00098",2001,"TLI",4.60931393719337,21871,"lake tomarata","ac","auckland",174.649010000401,-36.1927500004372,"Polymictic","Aeolian"
"arc-00098",2002,"TLI",4.19072601333192,21871,"lake tomarata","ac","auckland",174.649010000401,-36.1927500004372,"Polymictic","Aeolian"
"arc-00098",2003,"TLI",4.31037954925158,21871,"lake tomarata","ac","auckland",174.649010000401,-36.1927500004372,"Polymictic","Aeolian"
"arc-00098",2004,"TLI",4.65531904983426,21871,"lake tomarata","ac","auckland",174.649010000401,-36.1927500004372,"Polymictic","Aeolian"
"arc-00098",2005,"TLI",4.12387474035434,21871,"lake tomarata","ac","auckland",174.649010000401,-36.1927500004372,"Polymictic","Aeolian"
"arc-00098",2006,"TLI",4.69710411823734,21871,"lake tomarata","ac","auckland",174.649010000401,-36.1927500004372,"Polymictic","Aeolian"
"arc-00098",2007,"TLI",4.25442499317141,21871,"lake tomarata","ac","auckland",174.649010000401,-36.1927500004372,"Polymictic","Aeolian"
"arc-00098",2008,"TLI",NA,21871,"lake tomarata","ac","auckland",174.649010000401,-36.1927500004372,"Polymictic","Aeolian"
"arc-00098",2009,"TLI",4.04837418787142,21871,"lake tomarata","ac","auckland",174.649010000401,-36.1927500004372,"Polymictic","Aeolian"
