"Site","Var","StartDate","EndDate","nMeas","nMeas5","MinVal","MaxVal"
"ek783777_int","Secchi","2004-01-22","2019-12-10","339","69","1.35","4.9"
"ek783777_int","NH4N","2004-01-22","2019-12-10","222","80","0.001","0.18"
"ek783777_int","TP","2004-01-22","2019-12-10","229","80","0.009","0.07"
"ek783777_int","TN","2004-01-22","2019-12-10","227","80","0.221","1.811"
"ek783777_int","CHLA","2004-01-22","2019-12-10","217","71","2","78.1"
"ek783777_int","pH","2004-02-19","2019-12-10","214","75","4.5","8.7"
"el805168_int","Secchi","2004-01-22","2019-12-10","336","71","1.075","5.25"
"el805168_int","NH4N","2004-01-22","2019-12-10","225","80","0","0.124"
"el805168_int","TP","2004-01-22","2019-12-10","228","80","0.009","0.065"
"el805168_int","TN","2004-01-22","2019-12-10","228","80","0.21","0.9"
"el805168_int","CHLA","2004-01-22","2019-12-10","218","71","1.9","77.1"
"el805168_int","pH","2004-02-19","2019-12-10","212","74","4.5","8.1"
"fi680541_int","Secchi","2004-01-21","2019-12-11","379","61","0.300000011920929","7.35"
"fi680541_int","NH4N","2004-01-21","2019-12-11","376","55","0.001","1260"
"fi680541_int","TP","2004-02-23","2019-12-11","393","70","0.009","231"
"fi680541_int","TN","2004-01-21","2019-12-11","368","55","0.202","2940.5"
"fi680541_int","CHLA","2004-01-21","2019-12-11","374","55","0.899999976158142","283"
"fi680541_int","pH","2004-01-21","2019-12-11","383","59","6.5","10.5"
"fj164707_int","Secchi","2004-01-20","2019-12-11","329","71","2.5","12.6"
"fj164707_int","NH4N","2004-01-20","2019-12-11","214","71","-0.002","0.036"
"fj164707_int","TP","2004-01-20","2019-12-11","216","71","0.001","0.027"
"fj164707_int","TN","2004-01-20","2019-12-11","214","71","0.09","0.416"
"fj164707_int","CHLA","2004-01-20","2019-12-11","215","71","0.4","8.6"
"fj164707_int","pH","2004-01-20","2019-12-11","222","75","4.5","8.1"
"fj988648_int","Secchi","2004-01-20","2019-12-10","343","71","3.95","12.63"
"fj988648_int","NH4N","2004-01-20","2019-12-10","216","70","-0.006","0.045"
"fj988648_int","TP","2004-01-20","2019-12-10","221","71","0.004","0.048"
"fj988648_int","TN","2004-01-20","2019-12-10","216","70","0.051","0.276"
"fj988648_int","CHLA","2004-01-20","2019-12-10","218","70","0.3","4.6"
"fj988648_int","pH","2004-01-20","2019-12-10","216","74","4.5","8.3"
"fk427028_int","Secchi","2004-01-20","2019-12-10","219","71","2.900000095","12.19999981"
"fk427028_int","NH4N","2004-01-20","2019-12-10","216","71","-0.003","0.036"
"fk427028_int","TP","2004-01-20","2019-12-10","220","71","0.004","0.031"
"fk427028_int","TN","2004-01-20","2019-12-10","217","70","0.0485","0.568"
"fk427028_int","CHLA","2004-01-20","2019-12-10","219","71","1","19.3"
"fk427028_int","pH","2004-01-20","2019-12-10","226","75","6.7","8.6"
"fl274353_int","Secchi","2004-01-19","2019-12-15","488","63","1.18","5.86"
"fl274353_int","NH4N","2004-01-19","2019-12-15","218","71","0","0.37"
"fl274353_int","TP","2004-01-19","2019-12-15","220","70","0.009","0.401"
"fl274353_int","TN","2004-01-19","2019-12-15","217","70","0.145","2.443"
"fl274353_int","CHLA","2004-01-19","2019-12-15","219","70","1","117"
"fl274353_int","pH","2004-01-19","2019-12-15","225","75","6.8","9.7"
"fl479468_int","Secchi","2004-01-19","2019-12-15","275","71","1.59","10.2"
"fl479468_int","NH4N","2004-01-19","2019-12-15","215","71","-0.003","0.133"
"fl479468_int","TP","2004-01-19","2019-12-15","218","71","0.007","0.051"
"fl479468_int","TN","2004-01-19","2019-12-15","215","71","0.09","0.573"
"fl479468_int","CHLA","2004-01-19","2019-12-15","215","71","1.3","32.4"
"fl479468_int","pH","2004-01-19","2019-12-15","221","75","6.3","8.2"
"gi084907_int","Secchi","2004-01-22","2019-12-11","220","72","0.9","10.3"
"gi084907_int","NH4N","2004-01-22","2019-12-11","217","72","-0.008","0.052"
"gi084907_int","TP","2004-01-22","2019-12-11","218","71","0.006","0.098"
"gi084907_int","TN","2004-01-22","2019-12-11","217","72","0.09","0.366"
"gi084907_int","CHLA","2004-01-22","2019-12-11","217","72","1.1","17.8"
"gi084907_int","pH","2004-01-22","2019-12-11","224","76","6.4","8"
"gi617624_int","Secchi","2004-01-21","2019-12-11","219","71","2.55","10.75"
"gi617624_int","NH4N","2004-01-21","2019-12-11","221","72","0","0.097"
"gi617624_int","TP","2004-01-21","2019-12-11","219","72","0.004","0.021"
"gi617624_int","TN","2004-01-21","2019-12-11","216","72","0.136","0.708"
"gi617624_int","CHLA","2004-01-21","2019-12-11","220","72","1.2","15"
"gi617624_int","pH","2004-01-21","2019-12-11","226","76","1.8","8.2"
"gk015589_int","Secchi","2004-01-19","2019-12-15","336","66","0","15.85"
"gk015589_int","NH4N","2004-01-19","2019-12-15","210","65","-0.002","0.057"
"gk015589_int","TP","2004-01-19","2019-12-15","213","65","0.001","0.049"
"gk015589_int","TN","2004-01-19","2019-12-15","212","65","0.051","0.438"
"gk015589_int","CHLA","2004-01-19","2019-12-15","213","65","0.3","12.7"
"gk015589_int","pH","2004-01-19","2019-12-15","215","69","6.7","8.5"
"gl051366_int","Secchi","2004-01-19","2019-12-09","218","69","1.52","10.2"
"gl051366_int","NH4N","2004-01-19","2019-12-09","217","70","0","0.153"
"gl051366_int","TP","2004-01-19","2019-12-09","220","70","0.005","0.117"
"gl051366_int","TN","2004-01-19","2019-12-09","218","70","0.1","0.584"
"gl051366_int","CHLA","2004-01-19","2019-12-09","219","70","1","116"
"gl051366_int","pH","2004-01-19","2019-12-09","224","74","6.3","8.6"
"hl030557_int","Secchi","2004-01-19","2019-12-15","339","69","0.57","5.55"
"hl030557_int","NH4N","2004-01-19","2019-12-15","226","79","-0.001","0.276"
"hl030557_int","TP","2004-01-19","2019-12-15","227","79","0.01","0.158"
"hl030557_int","TN","2004-01-19","2019-12-15","224","78","0.12","1.999"
"hl030557_int","CHLA","2004-01-19","2019-12-15","219","70","2.3","96.4"
"hl030557_int","pH","2004-01-19","2019-12-15","224","74","6.9","9.2"
"hl508168_int","Secchi","2004-01-19","2019-12-15","345","71","3.7","20.25"
"hl508168_int","NH4N","2004-01-19","2019-12-15","216","71","-0.001","0.039"
"hl508168_int","TP","2004-01-19","2019-12-15","219","71","0.001","0.032"
"hl508168_int","TN","2004-01-19","2019-12-15","217","71","0.052","0.425"
"hl508168_int","CHLA","2004-01-19","2019-12-15","217","69","0.3","6.7"
"hl508168_int","pH","2004-01-19","2019-12-15","225","75","6.4","8.5"
