"Site","Var","StartDate","EndDate","nMeas","nMeas5","MinVal","MaxVal"
"6303","CHLA","2004-02-25","2019-04-05","83","18","6e-04","45"
"6303","ECOLI","2004-08-20","2019-04-05","70","16","1.6","58"
"6303","NH4N","2004-02-25","2019-04-05","158","35","0.005","0.211"
"6303","pH","2009-04-15","2019-04-05","224","41","5.47","8.34"
"6303","Secchi","2004-02-25","2019-06-27","103","22","0.9","5.9"
"6303","TN","2009-04-15","2019-04-05","99","35","0.29","1.1"
"6303","TP","2004-02-25","2019-04-05","159","35","0.004","0.31"
"7605","CHLA","2004-03-04","2019-04-08","107","18","6e-04","0.06"
"7605","ECOLI","2004-08-13","2019-04-08","70","16","1","106"
"7605","NH4N","2004-03-04","2019-04-08","230","36","0","0.752"
"7605","pH","2009-04-16","2019-04-08","1875","122","6.25","10.01"
"7605","Secchi","2004-03-04","2019-06-28","105","17","-6","8.8"
"7605","TN","2009-04-16","2019-04-08","137","36","0.13","0.65"
"7605","TP","2004-03-04","2019-04-08","230","36","0.004","0.134"
"44616","CHLA","2004-02-26","2019-04-05","92","15","0.001","0.0463"
"44616","ECOLI","2004-08-20","2019-04-05","67","13","1","108"
"44616","NH4N","2004-02-26","2019-04-05","167","30","0.003","0.44"
"44616","pH","2009-04-15","2019-04-05","399","37","5.63","8.18"
"44616","Secchi","2004-02-26","2019-06-27","104","18","0.3","4"
"44616","TN","2009-04-15","2019-04-05","93","30","0.08","0.53"
"44616","TP","2004-02-26","2019-04-05","172","30","0.005","0.33"
"45001","CHLA","2004-02-26","2019-04-05","108","16","6e-04","42.3"
"45001","ECOLI","2004-08-20","2019-04-05","68","14","1","10"
"45001","NH4N","2004-02-26","2019-04-05","182","32","0.004","0.509"
"45001","pH","2009-04-15","2019-04-05","782","78","6.04","8.68"
"45001","Secchi","2004-02-26","2019-06-27","105","20","0","8.2"
"45001","TN","2009-04-15","2019-04-05","96","32","0.03","0.67"
"45001","TP","2004-02-26","2019-04-05","182","32","0.004","0.8"
