"Site","Var","StartDate","EndDate","nMeas","nMeas5","MinVal","MaxVal"
"lake onoke 1","NH4N","2009-08-24","2019-06-18","114","42","0.005","0.072"
"lake onoke 1","TP","2009-08-24","2019-06-18","114","42","0.008","0.34"
"lake onoke 1","Secchi","2009-08-24","2019-06-18","107","37","0.1","1.29"
"lake onoke 1","TN","2009-08-24","2019-06-18","114","42","0.15","1.75"
"lake onoke 1","CHLA","2009-08-24","2019-06-18","114","42","3","45"
"lake onoke 1","pH","2009-08-24","2016-06-24","78","6","5.93","8.83"
"lake onoke 1","ECOLI","2009-11-20","2012-05-30","27","0","7","4700"
"lake wairarapa alsops bay","NH4N","2012-07-27","2019-06-25","52","26","0.005","0.084"
"lake wairarapa alsops bay","TP","2012-07-27","2019-06-25","52","26","0.006","0.22"
"lake wairarapa alsops bay","Secchi","2012-07-27","2019-06-25","51","25","0.075","1.62"
"lake wairarapa alsops bay","TN","2012-07-27","2019-06-25","52","26","0.15","1.47"
"lake wairarapa alsops bay","CHLA","2012-07-27","2019-06-25","52","26","3","46"
"lake wairarapa alsops bay","pH","2012-07-27","2016-05-24","28","2","6.7","8.62"
"lake wairarapa alsops bay","ECOLI",NA,NA,"0","0","Inf","-Inf"
"lake wairarapa middle","NH4N","2014-01-24","2019-06-25","63","41","0.005","0.107"
"lake wairarapa middle","TP","2014-01-24","2019-06-25","63","41","0.01","0.35"
"lake wairarapa middle","Secchi","2014-01-24","2019-06-25","61","39","0.07","0.97"
"lake wairarapa middle","TN","2014-01-24","2019-06-25","63","41","0.11","1.67"
"lake wairarapa middle","CHLA","2014-01-24","2019-06-25","63","41","3","111"
"lake wairarapa middle","pH","2014-01-24","2016-06-24","28","6","6.99","8.97"
"lake wairarapa middle","ECOLI",NA,NA,"0","0","Inf","-Inf"
"lake wairarapa site 2","NH4N","2004-01-28","2019-06-25","103","41","0.005","0.062"
"lake wairarapa site 2","TP","2004-01-28","2019-06-25","103","41","0.013","0.34"
"lake wairarapa site 2","Secchi","2004-01-28","2019-06-25","100","39","0.08","1.23"
"lake wairarapa site 2","TN","2004-01-28","2019-06-25","103","41","0.083","1.58"
"lake wairarapa site 2","CHLA","2004-01-28","2019-06-25","103","41","2.4","79"
"lake wairarapa site 2","pH","2005-02-08","2016-06-24","64","6","6.07","9"
"lake wairarapa site 2","ECOLI","2004-01-28","2012-03-29","25","0","1","100"
