"Site","Var","StartDate","EndDate","nMeas","nMeas5","MinVal","MaxVal"
"100425","TP","2004-01-20","2018-11-27","53","12","0.006","0.095"
"100425","NH4N","2005-12-08","2018-11-27","52","12","0.001","0.159"
"100425","TN","2004-01-20","2018-11-27","53","12","0.502","1.2"
"100425","Secchi","2004-01-20","2018-11-27","53","12","1.1","5.65"
"100425","CHLA","2004-01-20","2004-01-20","1","0","0.01","0.01"
"100425","ECOLI",NA,NA,"0","0","Inf","-Inf"
"100438","TP","2004-02-22","2018-11-07","54","12","0.002","0.074"
"100438","NH4N","2004-02-22","2018-11-07","53","12","0.001","0.039"
"100438","TN","2004-02-22","2018-11-07","54","12","0.237","0.434"
"100438","Secchi","2004-02-22","2018-11-07","53","12","4.15","13.4"
"100438","CHLA",NA,NA,"0","0","Inf","-Inf"
"100438","ECOLI",NA,NA,"0","0","Inf","-Inf"
"100442","TP","2004-02-22","2018-11-07","58","12","0.001","0.05"
"100442","NH4N","2004-02-22","2018-11-07","57","12","0.001","0.032"
"100442","TN","2004-02-22","2018-11-07","58","12","0.1","0.283"
"100442","Secchi","2004-02-22","2018-11-07","55","12","5.75","18.2"
"100442","CHLA",NA,NA,"0","0","Inf","-Inf"
"100442","ECOLI",NA,NA,"0","0","Inf","-Inf"
"100448","TP","2004-02-22","2018-11-20","58","12","0.002","0.083"
"100448","NH4N","2004-02-22","2018-11-20","57","12","0.001","0.021"
"100448","TN","2004-02-22","2018-11-20","58","12","0.138","0.308"
"100448","Secchi","2004-02-22","2018-11-20","55","12","3.2","15.5"
"100448","CHLA",NA,NA,"0","0","Inf","-Inf"
"100448","ECOLI",NA,NA,"0","0","Inf","-Inf"
"100501","TP","2004-01-06","2018-12-19","123","35","0.011","0.811"
"100501","NH4N","2010-11-15","2018-12-19","56","35","0.006","0.11"
"100501","TN","2004-01-06","2018-12-19","124","35","0.2","9"
"100501","Secchi","2004-06-09","2018-12-19","96","35","0.15","2.88"
"100501","CHLA","2004-01-06","2018-12-19","118","35","0.0012","0.21"
