"Site","Var","StartDate","EndDate","nMeas","nMeas5","MinVal","MaxVal"
"lake oingo - lake centre","TP","2011-01-18","2012-10-17","36","0","0.009","0.42"
"lake oingo - lake centre","TN","2011-01-18","2012-10-17","17","0","0.63","1.25"
"lake oingo - lake centre","Secchi","2011-02-28","2012-10-17","17","0","1.1","3.1"
"lake oingo - lake centre","ECOLI","2011-01-18","2012-10-17","18","0","1","45"
"lake oingo - lake centre","CHLA","2011-01-18","2012-10-17","18","0","1.4","18.3"
"lake oingo - lake centre","pH","2011-01-18","2012-10-17","34","0","6.46","9.94"
"lake opouahi top","TP","2008-05-21","2019-05-23","132","30","0.008","0.198"
"lake opouahi top","TN","2008-05-21","2019-05-23","64","15","0.1","1.61"
"lake opouahi top","Secchi","2008-05-21","2019-05-23","64","15","1.25","8.1"
"lake opouahi top","ECOLI","2008-05-21","2019-05-23","62","15","1","120"
"lake opouahi top","CHLA","2008-05-21","2017-12-01","55","5","0.6","25"
"lake opouahi top","pH","2008-05-21","2019-05-23","70","15","7.6","8.9"
"lake runanga - lake centre","TP","2011-01-18","2012-10-17","36","0","0.079","0.69"
"lake runanga - lake centre","TN","2011-01-18","2012-10-17","18","0","0.97","9"
"lake runanga - lake centre","Secchi","2011-01-18","2012-10-17","18","0","0.1","1.55"
"lake runanga - lake centre","ECOLI","2011-01-18","2012-10-17","18","0","1","35"
"lake runanga - lake centre","CHLA","2011-01-18","2012-10-17","18","0","3","450"
"lake runanga - lake centre","pH","2011-01-18","2012-10-17","34","0","7.3","9.66"
"lake tutira top","TP","2008-05-21","2019-05-23","262","80","0.004","0.069"
"lake tutira top","TN","2008-05-21","2019-05-23","130","40","0.16","1.46"
"lake tutira top","Secchi","2008-05-21","2019-05-23","123","39","0","9.9"
"lake tutira top","ECOLI","2008-05-21","2019-05-23","131","39","1","31"
"lake tutira top","CHLA","2008-09-17","2017-11-28","104","10","0.63","62"
"lake tutira top","pH","2008-05-21","2019-05-23","145","40","7.3","9.4"
"lake waikareiti top","TP","2012-11-08","2015-07-16","24","0","0.004","0.008"
"lake waikareiti top","TN","2012-11-08","2015-07-16","12","0","0.11","0.16"
"lake waikareiti top","Secchi","2012-11-08","2015-07-16","12","0","6.6","14.94"
"lake waikareiti top","ECOLI",NA,NA,"0","0","Inf","-Inf"
"lake waikareiti top","CHLA","2012-11-08","2015-07-16","12","0","1","4.3"
"lake waikareiti top","pH","2012-11-08","2015-07-16","12","0","7.4","8.4"
"lake waikaremoana top","TP","2012-11-07","2016-01-25","34","2","0.004","0.013"
"lake waikaremoana top","TN","2012-11-07","2016-01-25","17","1","0.1","0.13"
"lake waikaremoana top","Secchi","2012-11-07","2016-01-25","16","1","7.3","15.45"
"lake waikaremoana top","ECOLI",NA,NA,"0","0","Inf","-Inf"
"lake waikaremoana top","CHLA","2012-11-07","2016-01-25","18","1","0.2","300"
"lake waikaremoana top","pH","2012-11-07","2016-01-25","18","1","7.4","8.6"
"lake waikopiro top","TP","2008-05-21","2019-05-23","160","58","0.0085","0.13"
"lake waikopiro top","TN","2008-05-21","2019-05-23","80","29","0.21","2.6"
"lake waikopiro top","Secchi","2008-05-21","2019-05-23","76","27","0.65","6.1"
"lake waikopiro top","ECOLI","2008-05-21","2019-05-23","84","29","1","150"
"lake waikopiro top","CHLA","2008-05-21","2017-11-28","54","6","0.27","134"
"lake waikopiro top","pH","2008-05-21","2019-05-23","83","29","7.2","10.2"
