"Site","Var","StartDate","EndDate","nMeas","nMeas5","MinVal","MaxVal"
"6303","NH4N","1993-02-26","2019-12-11","126","23","0.005","0.211"
"6303","CHLA","1993-06-03","2019-12-11","119","23","6e-04","0.19"
"6303","TP","1993-02-26","2019-12-11","125","23","0.004","0.31"
"6303","Secchi","1993-06-03","2019-12-11","99","21","1","6"
"6303","ECOLI","2004-08-20","2019-12-11","74","21","1","58"
"6303","TN","1993-02-26","2019-12-11","117","23","0","3.006"
"6303","pH","1993-02-26","2019-12-11","111","12","6.1","8.25"
"44616","NH4N","1993-02-26","2019-12-11","126","20","0.005","0.44"
"44616","CHLA","1993-06-03","2019-12-11","120","20","0.001","0.0463"
"44616","TP","1993-02-26","2019-12-11","127","20","0.005","0.33"
"44616","Secchi","1993-02-26","2019-12-11","97","18","0","3"
"44616","ECOLI","2004-08-20","2019-12-11","71","18","1","280"
"44616","TN","1993-02-26","2019-12-11","116","20","0","2.075"
"44616","pH","1993-02-26","2019-12-11","105","10","6.9","8.3"
"45001","NH4N","1993-02-26","2019-12-11","126","21","0.005","0.27"
"45001","CHLA","1993-06-03","2019-12-11","120","21","6e-04","0.1143"
"45001","TP","1993-02-26","2019-12-11","127","21","0.004","0.14"
"45001","Secchi","1993-06-03","2019-12-11","97","19","2","8"
"45001","ECOLI","1993-06-03","2019-12-11","75","19","1","10"
"45001","TN","1993-02-26","2019-12-11","117","22","0","2.019"
"45001","pH","1993-02-26","2019-12-11","111","12","6.86","8.8"
"7605","NH4N","1993-02-16","2019-09-26","130","22","0","0.13"
"7605","CHLA","1994-02-22","2019-12-20","123","22","6e-04","0.06"
"7605","TP","1993-02-16","2019-09-26","129","22","0.004","0.045"
"7605","Secchi","1993-11-17","2019-09-26","48","17","0","9"
"7605","ECOLI","2004-08-13","2019-12-20","76","22","1","106"
"7605","TN","1994-02-22","2019-09-26","116","22","0","5.004"
"7605","pH","1993-02-16","2019-12-20","126","21","7.3","9.48"
