"Site","Var","StartDate","EndDate","nMeas","nMeas5","MinVal","MaxVal"
"lake alice (composite)","NH4N","2014-11-27","2020-02-25","21","15","0.005","0.21"
"lake alice (composite)","TP","2014-11-27","2020-02-25","21","15","0.046","0.278"
"lake alice (composite)","TN","2014-11-27","2020-02-25","21","15","0.79","2.42"
"lake alice (composite)","ECOLI","2014-11-27","2020-02-25","18","12","4","44"
"lake alice (composite)","CHLA","2014-11-27","2020-02-25","21","15","1.9","139"
"lake dudding (composite)","NH4N","2014-02-19","2020-03-12","31","23","0.008","1.213"
"lake dudding (composite)","TP","2014-02-19","2020-03-12","31","23","0.032","0.239"
"lake dudding (composite)","TN","2014-02-19","2020-03-12","31","23","0.687","2.733"
"lake dudding (composite)","ECOLI","2014-02-19","2020-03-12","31","23","4","340"
"lake dudding (composite)","CHLA","2014-02-19","2020-03-12","31","23","1.9","153"
"lake heaton (composite)","NH4N","2014-02-19","2020-02-25","24","15","0.001","0.839"
"lake heaton (composite)","TP","2014-02-19","2020-02-25","24","15","0.06","1.27"
"lake heaton (composite)","TN","2014-02-19","2020-02-25","24","15","0.75","3.84"
"lake heaton (composite)","ECOLI","2014-02-19","2020-02-25","21","12","0","1200"
"lake heaton (composite)","CHLA","2014-02-19","2020-02-25","24","15","1.9","209"
"lake herbert (composite)","NH4N","2015-03-25","2020-02-25","19","15","0.006","0.2"
"lake herbert (composite)","TP","2015-03-25","2020-02-25","19","15","0.028","0.824"
"lake herbert (composite)","TN","2015-03-25","2020-02-25","19","15","0.55","4.66"
"lake herbert (composite)","ECOLI","2015-03-25","2020-02-25","16","12","4","420"
"lake herbert (composite)","CHLA","2015-03-25","2020-02-25","19","15","1.9","66"
"lake horowhenua composite","NH4N","2013-07-17","2019-12-13","64","34","0.01","3"
"lake horowhenua composite","TP","2013-07-17","2019-12-13","64","34","0.023","1.33"
"lake horowhenua composite","TN","2013-07-17","2019-12-13","64","34","1.01","4.7"
"lake horowhenua composite","ECOLI","2013-07-17","2019-12-13","63","33","4","230"
"lake horowhenua composite","CHLA","2013-07-17","2019-12-13","64","34","1.9","718"
"lake kohata (composite)","NH4N","2015-12-17","2020-02-25","17","16","0.008","0.16"
"lake kohata (composite)","TP","2015-12-17","2020-02-25","17","16","0.018","0.106"
"lake kohata (composite)","TN","2015-12-17","2020-02-25","17","16","0.7","1.36"
"lake kohata (composite)","ECOLI","2015-12-17","2020-02-25","14","13","4","180"
"lake kohata (composite)","CHLA","2015-12-17","2020-02-25","17","16","1.9","76"
"lake koitiata (composite)","NH4N","2014-11-27","2020-02-25","18","16","0.005","0.084"
"lake koitiata (composite)","TP","2014-11-27","2020-02-25","18","16","0.015","0.033"
"lake koitiata (composite)","TN","2014-11-27","2020-02-25","18","16","0.96","1.21"
"lake koitiata (composite)","ECOLI","2014-11-27","2020-02-25","15","13","4","95"
"lake koitiata (composite)","CHLA","2014-11-27","2020-02-25","18","16","1.9","19"
"lake koputara (composite)","NH4N","2014-11-27","2020-02-25","22","16","0","1.91"
"lake koputara (composite)","TP","2014-11-27","2020-02-25","22","16","0.107","2.98"
"lake koputara (composite)","TN","2014-11-27","2020-02-25","22","16","1.27","7.43"
"lake koputara (composite)","ECOLI","2014-11-27","2020-02-25","19","13","4","140"
"lake koputara (composite)","CHLA","2014-11-27","2020-02-25","22","16","1.9","394"
"lake pauri composite","NH4N","2014-02-04","2020-03-12","30","22","0","0.126"
"lake pauri composite","TP","2014-02-04","2020-03-12","30","22","0.029","0.111"
"lake pauri composite","TN","2014-02-04","2020-03-12","30","22","0.82","1.86"
"lake pauri composite","ECOLI","2014-02-04","2020-03-12","28","20","0","160"
"lake pauri composite","CHLA","2014-02-04","2020-03-12","30","22","1.9","172"
"lake waipu (composite)","NH4N","2015-10-30","2020-02-25","19","17","0.01","1.56"
"lake waipu (composite)","TP","2015-10-30","2020-02-25","19","17","0.149","1.13"
"lake waipu (composite)","TN","2015-10-30","2020-02-25","19","17","1.31","5.79"
"lake waipu (composite)","ECOLI",NA,NA,"0","0","Inf","-Inf"
"lake waipu (composite)","CHLA",NA,NA,"0","0","Inf","-Inf"
"lake westmere (composite)","NH4N","2016-03-03","2020-02-25","15","15","0.01","0.75"
"lake westmere (composite)","TP","2016-03-03","2020-02-25","15","15","0.037","0.346"
"lake westmere (composite)","TN","2016-03-03","2020-02-25","15","15","0.63","2.06"
"lake westmere (composite)","ECOLI","2016-03-03","2020-02-25","12","12","4","44"
"lake westmere (composite)","CHLA","2016-03-03","2020-02-25","15","15","2.6","218"
"lake william (composite)","NH4N","2015-12-17","2020-02-25","14","13","0.006","0.129"
"lake william (composite)","TP","2015-12-17","2020-02-25","16","15","0.058","0.673"
"lake william (composite)","TN","2015-12-17","2020-02-25","16","15","0.97","1.99"
"lake william (composite)","ECOLI","2015-12-17","2020-02-25","13","12","4","54"
"lake william (composite)","CHLA","2016-03-03","2020-02-25","15","15","2.8","72"
"lake wiritoa composite","NH4N","2014-02-04","2020-03-12","30","22","0.001","0.15"
"lake wiritoa composite","TP","2014-02-04","2020-03-12","30","22","0.021","0.414"
"lake wiritoa composite","TN","2014-02-04","2020-03-12","30","22","0.694","1.48"
"lake wiritoa composite","ECOLI","2014-02-04","2020-03-12","30","22","4","97"
"lake wiritoa composite","CHLA","2014-02-04","2020-03-12","30","22","1.9","98"
"omanuka lagoon (composite)","NH4N","2014-11-27","2020-02-25","21","15","0.002","0.26"
"omanuka lagoon (composite)","TP","2014-11-27","2020-02-25","21","15","0.066","1.13"
"omanuka lagoon (composite)","TN","2014-11-27","2020-02-25","21","15","1.32","5.69"
"omanuka lagoon (composite)","ECOLI","2014-11-27","2020-02-25","18","12","4","560"
"omanuka lagoon (composite)","CHLA","2014-11-27","2020-02-25","21","15","1.9","240"
"pukepuke lagoon (composite)","NH4N","2015-06-18","2020-02-25","19","16","0.01","0.598"
"pukepuke lagoon (composite)","TP","2015-06-18","2020-02-25","19","16","0.067","1.94"
"pukepuke lagoon (composite)","TN","2015-06-18","2020-02-25","19","16","1.16","7.15"
"pukepuke lagoon (composite)","ECOLI","2015-06-18","2020-02-25","19","16","4","2000"
"pukepuke lagoon (composite)","CHLA","2015-06-18","2020-02-25","19","16","1.9","183"
