"Site","Var","StartDate","EndDate","nMeas","nMeas5","MinVal","MaxVal"
"l brunner @ gyb cashmere bay - 4m","TP","2004-01-26","2019-11-21","95","25","0.002","0.029"
"l brunner @ gyb cashmere bay - 4m","NH4N","2004-01-26","2019-11-21","95","25","0.002","0.077"
"l brunner @ gyb cashmere bay - 4m","TN","2004-01-26","2019-11-21","95","25","0.13","0.385"
"l brunner @ gyb cashmere bay - 4m","Secchi","2004-01-26","2019-12-18","137","48","2","8.96"
"l brunner @ gyb cashmere bay - 4m","CHLA","2004-01-26","2019-11-21","94","23","0.2","9.7"
"l brunner @ gyb mid lake - 0-25m tube","TP","2004-01-26","2019-12-18","151","48","0.003","0.0155223"
"l brunner @ gyb mid lake - 0-25m tube","NH4N","2004-01-26","2019-12-18","152","48","0.001","0.03267"
"l brunner @ gyb mid lake - 0-25m tube","TN","2004-01-26","2019-12-18","151","48","0.138355","0.327"
"l brunner @ gyb mid lake - 0-25m tube","Secchi","2004-01-26","2019-12-18","146","48","3.03","9.3"
"l brunner @ gyb mid lake - 0-25m tube","CHLA","2004-01-26","2019-12-18","151","47","0.1","9.98"
"l. haupiri @ h2 5m","TP","2009-03-23","2019-11-21","59","24","0.01","0.023"
"l. haupiri @ h2 5m","NH4N","2009-03-23","2019-11-21","59","24","0.007","0.052"
"l. haupiri @ h2 5m","TN","2009-03-23","2019-11-21","59","24","0.236","0.511"
"l. haupiri @ h2 5m","Secchi","2007-12-14","2019-11-21","60","24","1.41","3.13"
"l. haupiri @ h2 5m","CHLA","2009-03-23","2019-11-21","59","24","0.1","10.7"
