"Site","Var","StartDate","EndDate","nMeas","nMeas5","MinVal","MaxVal"
"sq10805","NH4N","2005-07-11","2019-10-16","56","16","0.006","0.058"
"sq10805","TP","2005-07-11","2019-10-16","56","16","0.004","0.039"
"sq10805","TN","2005-07-11","2019-10-16","56","16","0.08","1.14"
"sq10805","ECOLI","2005-07-11","2019-10-16","56","16","1","261"
"sq10805","pH","2005-07-11","2019-10-16","53","16","6.71","9.06"
"sq10805","CHLA","2013-04-22","2019-10-16","26","16","0.2","21"
"sq10805","Secchi",NA,NA,"0","0","Inf","-Inf"
"sq20601","NH4N","2004-01-14","2019-12-19","193","50","0.005","0.57"
"sq20601","TP","2004-01-14","2019-12-19","193","50","0.038","4.5"
"sq20601","TN","2004-01-14","2019-12-19","193","50","0.47","8.8"
"sq20601","ECOLI","2006-12-07","2019-12-19","152","50","1","2400"
"sq20601","pH","2004-01-14","2019-12-19","190","49","6.87","9.84"
"sq20601","CHLA","2004-01-14","2019-12-19","191","50","0.4","400"
"sq20601","Secchi","2019-09-27","2019-12-19","2","2","0.13","0.26"
"sq30079","NH4N",NA,NA,"0","0","Inf","-Inf"
"sq30079","TP","2004-12-06","2018-12-21","64","15","0.001","0.099"
"sq30079","TN","2004-12-06","2018-12-21","65","15","0.02","0.13"
"sq30079","ECOLI",NA,NA,"0","0","Inf","-Inf"
"sq30079","pH",NA,NA,"0","0","Inf","-Inf"
"sq30079","CHLA","2004-12-06","2018-12-21","66","15","0.2","2.9"
"sq30079","Secchi",NA,NA,"0","0","Inf","-Inf"
"sq30141","NH4N",NA,NA,"0","0","Inf","-Inf"
"sq30141","TP","2005-03-16","2019-12-12","66","19","0.002","0.024"
"sq30141","TN","2005-03-16","2019-12-12","66","19","0.044","0.17"
"sq30141","ECOLI",NA,NA,"0","0","Inf","-Inf"
"sq30141","pH",NA,NA,"0","0","Inf","-Inf"
"sq30141","CHLA","2005-03-16","2019-12-12","68","20","0.2","6.6"
"sq30141","Secchi",NA,NA,"0","0","Inf","-Inf"
"sq30147","NH4N",NA,NA,"0","0","Inf","-Inf"
"sq30147","TP","2004-12-06","2019-12-12","69","20","0.002","0.02"
"sq30147","TN","2004-12-06","2019-12-12","69","20","0.043","0.18"
"sq30147","ECOLI",NA,NA,"0","0","Inf","-Inf"
"sq30147","pH",NA,NA,"0","0","Inf","-Inf"
"sq30147","CHLA","2004-12-06","2019-12-12","71","20","0.2","11.1"
"sq30147","Secchi",NA,NA,"0","0","Inf","-Inf"
"sq30486","NH4N",NA,NA,"0","0","Inf","-Inf"
"sq30486","TP","2004-12-06","2019-12-12","69","19","0.002","0.035"
"sq30486","TN","2004-12-06","2019-12-12","68","18","0.2","1.22"
"sq30486","ECOLI",NA,NA,"0","0","Inf","-Inf"
"sq30486","pH",NA,NA,"0","0","Inf","-Inf"
