"Site","Var","StartDate","EndDate","nMeas","nMeas5","MinVal","MaxVal"
"lrt00e300","NH4N","2004-02-23","2019-10-17","64","16","0.003","0.138"
"lrt00e300","TP","2004-02-23","2019-10-17","64","16","0.01","0.27"
"lrt00e300","TN","2004-02-23","2019-10-17","64","16","0.15","1.5"
"lrt00e300","pH","2004-02-23","2019-10-17","64","16","6.8","8.6"
"lrt00e300","CHLA",NA,NA,"0","0","Inf","-Inf"
"lrt00e300","Secchi",NA,NA,"0","0","Inf","-Inf"
"lrt00e300","ECOLI",NA,NA,"0","0","Inf","-Inf"
"lrt00e450","NH4N","2004-02-23","2019-10-17","64","16","0.003","0.183"
"lrt00e450","TP","2004-02-23","2019-10-17","64","16","0.004","0.326"
"lrt00e450","TN","2004-02-23","2019-10-17","64","16","0.18","1.46"
"lrt00e450","pH","2004-02-23","2019-10-17","64","16","6.6","8.5"
"lrt00e450","CHLA",NA,NA,"0","0","Inf","-Inf"
"lrt00e450","Secchi",NA,NA,"0","0","Inf","-Inf"
"lrt00e450","ECOLI",NA,NA,"0","0","Inf","-Inf"
"lrt00h300","NH4N","2004-02-23","2019-10-17","64","16","0.003","0.381"
"lrt00h300","TP","2004-02-23","2019-10-17","64","16","0.008","0.458"
"lrt00h300","TN","2004-02-23","2019-10-17","64","16","0.53","1.72"
"lrt00h300","pH","2004-02-23","2019-10-17","64","16","6.5","7.3"
"lrt00h300","CHLA",NA,NA,"0","0","Inf","-Inf"
"lrt00h300","Secchi",NA,NA,"0","0","Inf","-Inf"
"lrt00h300","ECOLI",NA,NA,"0","0","Inf","-Inf"
"lrt00h450","NH4N","2004-02-23","2019-10-17","64","16","0.003","0.336"
"lrt00h450","TP","2004-02-23","2019-10-17","64","16","0.005","0.672"
"lrt00h450","TN","2004-02-23","2019-10-17","64","16","0.3","2.24"
"lrt00h450","pH","2004-02-23","2019-10-17","64","16","6.5","7.2"
"lrt00h450","CHLA",NA,NA,"0","0","Inf","-Inf"
"lrt00h450","Secchi",NA,NA,"0","0","Inf","-Inf"
"lrt00h450","ECOLI",NA,NA,"0","0","Inf","-Inf"
"lrt00p100","NH4N",NA,NA,"0","0","Inf","-Inf"
"lrt00p100","TP",NA,NA,"0","0","Inf","-Inf"
"lrt00p100","TN",NA,NA,"0","0","Inf","-Inf"
"lrt00p100","pH",NA,NA,"0","0","Inf","-Inf"
"lrt00p100","CHLA","2004-02-23","2010-10-19","28","0","1","11.2"
"lrt00p100","Secchi",NA,NA,"0","0","Inf","-Inf"
"lrt00p100","ECOLI",NA,NA,"0","0","Inf","-Inf"
"lrt00p300","NH4N",NA,NA,"0","0","Inf","-Inf"
"lrt00p300","TP",NA,NA,"0","0","Inf","-Inf"
"lrt00p300","TN",NA,NA,"0","0","Inf","-Inf"
"lrt00p300","pH",NA,NA,"0","0","Inf","-Inf"
"lrt00p300","CHLA","2004-02-23","2019-10-17","62","16","7e-04","13.9"
"lrt00p300","Secchi",NA,NA,"0","0","Inf","-Inf"
"lrt00p300","ECOLI",NA,NA,"0","0","Inf","-Inf"
"lrt00p450","NH4N",NA,NA,"0","0","Inf","-Inf"
"lrt00p450","TP",NA,NA,"0","0","Inf","-Inf"
"lrt00p450","TN",NA,NA,"0","0","Inf","-Inf"
"lrt00p450","pH",NA,NA,"0","0","Inf","-Inf"
"lrt00p450","CHLA","2004-02-23","2019-10-17","63","16","9e-04","13.4"
"lrt00p450","Secchi",NA,NA,"0","0","Inf","-Inf"
"lrt00p450","ECOLI",NA,NA,"0","0","Inf","-Inf"
"lrt00s300","NH4N",NA,NA,"0","0","Inf","-Inf"
"lrt00s300","TP",NA,NA,"0","0","Inf","-Inf"
"lrt00s300","TN",NA,NA,"0","0","Inf","-Inf"
"lrt00s300","pH","2004-02-23","2019-10-17","59","16","6.9","8.8"
"lrt00s300","CHLA",NA,NA,"0","0","Inf","-Inf"
"lrt00s300","Secchi","2004-02-23","2019-10-17","64","16","0.09","4.91"
"lrt00s300","ECOLI","2008-03-18","2019-10-17","19","13","1","1733"
"lrt00s450","NH4N",NA,NA,"0","0","Inf","-Inf"
"lrt00s450","TP",NA,NA,"0","0","Inf","-Inf"
"lrt00s450","TN",NA,NA,"0","0","Inf","-Inf"
"lrt00s450","pH","2004-02-23","2019-10-17","59","16","6.9","8.5"
"lrt00s450","CHLA",NA,NA,"0","0","Inf","-Inf"
"lrt00s450","Secchi","2004-02-23","2019-10-17","64","16","0.12","5.8"
"lrt00s450","ECOLI","2008-03-18","2019-10-17","19","13","1","14"
