"Site","Var","StartDate","EndDate","nMeas","nMeas5","MinVal","MaxVal"
"lake george ne","NH4N","2012-04-12","2019-12-11","44","27","0.005","0.26"
"lake george ne","CHLA","2012-04-12","2019-12-11","44","27","5e-04","0.09"
"lake george ne","TP","2012-04-12","2019-12-11","44","27","0.007","0.23"
"lake george ne","Secchi","2015-05-28","2019-10-16","24","16","0.15","2.18"
"lake george ne","TN","2012-04-12","2019-12-11","44","27","0.33","2.4"
"lake george ne","ECOLI","2015-01-22","2019-12-11","39","27","8","1100"
"lake george ne","pH","2012-04-12","2019-12-11","44","27","6.4","7.8"
"lake george sw","NH4N","2012-04-12","2019-12-11","40","23","0.005","0.075"
"lake george sw","CHLA","2012-04-12","2019-12-11","40","23","7e-04","0.09"
"lake george sw","TP","2012-04-12","2019-12-11","40","23","0.007","0.23"
"lake george sw","Secchi","2015-05-28","2019-10-16","22","14","0.1","2.08"
"lake george sw","TN","2012-04-12","2019-12-11","40","23","0.24","3.6"
"lake george sw","ECOLI","2015-01-22","2019-12-11","35","23","9","1200"
"lake george sw","pH","2012-04-12","2019-12-11","40","23","6.6","7.9"
"lake manapouri at pomona island top","NH4N","2006-01-19","2019-12-18","87","32","0.005","0.036"
"lake manapouri at pomona island top","CHLA","2006-01-19","2019-12-18","85","31","2e-04","0.0047"
"lake manapouri at pomona island top","TP","2006-01-19","2019-12-18","87","32","0.001","0.03"
"lake manapouri at pomona island top","Secchi","2006-01-19","2019-12-18","89","32","6","15.9"
"lake manapouri at pomona island top","TN","2006-01-19","2019-12-18","88","32","0.064","0.58"
"lake manapouri at pomona island top","ECOLI",NA,NA,"0","0","Inf","-Inf"
"lake manapouri at pomona island top","pH","2006-01-19","2019-12-18","88","32","6.4","7.4"
"lake manapouri at stony point top","NH4N","2006-01-19","2019-12-18","88","32","0.005","0.027"
"lake manapouri at stony point top","CHLA","2006-01-19","2019-12-18","85","31","2e-04","0.0033"
"lake manapouri at stony point top","TP","2006-01-19","2019-12-18","88","32","0.001","0.03"
"lake manapouri at stony point top","Secchi","2006-01-19","2019-12-18","85","32","5.85","15.7"
"lake manapouri at stony point top","TN","2006-01-19","2019-12-18","89","32","0.063","0.16"
"lake manapouri at stony point top","ECOLI",NA,NA,"0","0","Inf","-Inf"
"lake manapouri at stony point top","pH","2006-01-19","2019-12-18","89","32","6.4","7.4"
"lake manapouri near frazers beach top","NH4N","2006-01-19","2019-12-18","88","32","0.005","0.016"
"lake manapouri near frazers beach top","CHLA","2006-01-19","2019-12-18","86","31","2e-04","0.0041"
"lake manapouri near frazers beach top","TP","2006-01-19","2019-12-18","88","32","0.001","1.5"
"lake manapouri near frazers beach top","Secchi","2006-01-19","2019-12-18","83","31","6.45","15.8"
"lake manapouri near frazers beach top","TN","2006-01-19","2019-12-18","89","32","0.066","0.23"
"lake manapouri near frazers beach top","ECOLI",NA,NA,"0","0","Inf","-Inf"
"lake manapouri near frazers beach top","pH","2006-01-19","2019-12-18","89","32","6.4","7.6"
"lake te anau at blue gum point top","NH4N","2006-01-19","2019-12-18","87","33","0.005","0.052"
"lake te anau at blue gum point top","CHLA","2006-01-19","2019-12-18","87","32","2e-04","0.003"
"lake te anau at blue gum point top","TP","2006-01-19","2019-12-18","88","33","0.001","0.02"
"lake te anau at blue gum point top","Secchi","2006-01-19","2019-12-18","80","33","2.8","15.6"
"lake te anau at blue gum point top","TN","2006-01-19","2019-12-18","90","33","0.042","0.185"
"lake te anau at blue gum point top","ECOLI",NA,NA,"0","0","Inf","-Inf"
"lake te anau at blue gum point top","pH","2006-01-19","2019-12-18","90","33","6.4","7.6"
"lake te anau at south fiord top","NH4N","2006-01-19","2019-12-18","88","32","0.005","0.037"
"lake te anau at south fiord top","CHLA","2006-01-19","2019-12-18","85","31","2e-04","0.003"
"lake te anau at south fiord top","TP","2006-01-19","2019-12-18","89","33","0.001","0.71"
"lake te anau at south fiord top","Secchi","2006-01-19","2019-12-18","86","32","3.2","16.9"
"lake te anau at south fiord top","TN","2006-01-19","2019-12-18","90","33","0.068","0.13"
"lake te anau at south fiord top","ECOLI",NA,NA,"0","0","Inf","-Inf"
"lake te anau at south fiord top","pH","2006-01-19","2019-12-18","90","33","6.4","7.6"
"lake vincent centre","NH4N","2013-03-19","2019-12-18","43","35","0.005","0.161"
"lake vincent centre","CHLA","2013-03-19","2019-12-18","43","35","5e-04","0.017"
"lake vincent centre","TP","2013-03-19","2019-12-18","43","35","0.014","0.058"
"lake vincent centre","Secchi","2015-01-23","2019-11-29","22","18","1.1","3.88"
"lake vincent centre","TN","2013-03-19","2019-12-18","43","35","0.53","1.59"
"lake vincent centre","ECOLI","2016-01-22","2019-12-18","35","35","4","250"
"lake vincent centre","pH","2013-03-19","2019-12-18","43","35","7.2","8.1"
"lake vincent north","NH4N","2013-03-19","2019-12-18","43","35","0.005","0.127"
"lake vincent north","CHLA","2013-03-19","2019-12-18","43","35","4e-04","0.018"
"lake vincent north","TP","2013-03-19","2019-12-18","43","35","0.011","0.062"
"lake vincent north","Secchi","2015-01-23","2019-12-18","32","28","1.62","5.1"
"lake vincent north","TN","2013-03-19","2019-12-18","43","35","0.46","1.61"
