"Site","Var","StartDate","EndDate","nMeas","nMeas5","MinVal","MaxVal"
"lake dunstan at dead mans point","NH4N","2004-02-17","2019-12-10","134","48","0.005","0.029"
"lake dunstan at dead mans point","TP","2004-02-17","2019-12-10","158","77","0.001","0.059"
"lake dunstan at dead mans point","TN","2004-02-17","2019-12-10","134","47","0.01","0.25"
"lake dunstan at dead mans point","ECOLI","2004-01-21","2019-12-10","142","48","1","600"
"lake dunstan at dead mans point","CHLA","2004-02-17","2019-12-10","131","48","3e-04","4"
"lake dunstan at dead mans point","pH","2004-04-14","2019-12-10","113","48","7.3","8.4"
"lake dunstan at dead mans point","Secchi",NA,NA,"0","0","Inf","-Inf"
"lake hawea outflow at dam","NH4N","2004-02-17","2018-07-19","118","31","0.005","0.029"
"lake hawea outflow at dam","TP","2004-02-17","2018-07-19","128","43","0.001","0.05"
"lake hawea outflow at dam","TN","2004-02-17","2018-07-19","116","30","0.01","0.19"
"lake hawea outflow at dam","ECOLI","2004-02-17","2018-07-19","118","31","1","10"
"lake hawea outflow at dam","CHLA","2004-02-17","2018-07-19","117","31","3e-04","3"
"lake hawea outflow at dam","pH","2004-04-14","2018-07-19","96","31","7","8.1"
"lake hawea outflow at dam","Secchi",NA,NA,"0","0","Inf","-Inf"
"lake hawea south open water 10m","NH4N","2016-09-21","2019-12-20","40","40","0.005","0.005"
"lake hawea south open water 10m","TP","2016-09-21","2019-12-20","41","41","0.001","0.058"
"lake hawea south open water 10m","TN","2016-09-21","2019-12-20","40","40","0.016","0.108"
"lake hawea south open water 10m","ECOLI","2017-10-19","2019-12-20","25","25","1","1"
"lake hawea south open water 10m","CHLA","2016-09-21","2019-12-20","40","40","0.00015","0.43"
"lake hawea south open water 10m","pH","2017-10-19","2019-12-20","25","25","7.4","7.6"
"lake hawea south open water 10m","Secchi","2016-09-21","2019-12-20","39","39","2.6","20.8"
"lake hayes at bendemeer bay","NH4N","2005-04-26","2018-07-17","85","31","0.005","0.12"
"lake hayes at bendemeer bay","TP","2005-04-26","2018-07-17","85","31","0.01","0.089"
"lake hayes at bendemeer bay","TN","2005-04-26","2018-07-17","84","30","0.14","0.93"
"lake hayes at bendemeer bay","ECOLI","2005-04-26","2018-07-17","86","31","1","1200"
"lake hayes at bendemeer bay","CHLA","2005-04-26","2018-07-17","84","31","0.0021","51"
"lake hayes at bendemeer bay","pH","2005-06-15","2018-07-17","79","31","7.57","9.9"
"lake hayes at bendemeer bay","Secchi",NA,NA,"0","0","Inf","-Inf"
"lake hayes at mid lake 10m","NH4N","2016-09-22","2019-11-19","37","37","0.005","0.133"
"lake hayes at mid lake 10m","TP","2016-09-22","2019-11-19","33","33","0.004","0.061"
"lake hayes at mid lake 10m","TN","2016-09-22","2019-11-19","37","37","0.23","0.83"
"lake hayes at mid lake 10m","ECOLI","2018-01-19","2019-11-19","21","21","1","6"
"lake hayes at mid lake 10m","CHLA","2016-09-22","2019-11-19","37","37","0.00044","26"
"lake hayes at mid lake 10m","pH","2018-01-19","2019-11-19","21","21","7.8","9.1"
"lake hayes at mid lake 10m","Secchi","2016-09-22","2019-11-19","38","38","2.1","15.8"
"lake johnson at south beach huts","NH4N","2005-04-26","2018-07-17","73","31","0.005","0.56"
"lake johnson at south beach huts","TP","2005-04-26","2018-07-17","73","31","0.022","0.2"
"lake johnson at south beach huts","TN","2005-04-26","2018-07-17","72","30","0.48","2.4"
"lake johnson at south beach huts","ECOLI","2005-04-26","2018-07-17","72","31","1","310"
"lake johnson at south beach huts","CHLA","2005-04-26","2018-07-17","72","31","0.0039","130"
"lake johnson at south beach huts","pH","2005-06-15","2018-07-17","71","31","7","9.6"
"lake johnson at south beach huts","Secchi",NA,NA,"0","0","Inf","-Inf"
"lake onslow at boat ramp","NH4N","2004-01-27","2019-12-17","115","39","0.005","0.03"
"lake onslow at boat ramp","TP","2004-01-27","2019-12-17","114","39","0.008","0.158"
"lake onslow at boat ramp","TN","2004-01-27","2019-12-17","115","39","0.13","0.63"
"lake onslow at boat ramp","ECOLI","2004-01-27","2019-12-17","110","35","1","90"
"lake onslow at boat ramp","CHLA","2006-05-31","2019-12-17","97","39","5e-04","6.5"
"lake onslow at boat ramp","pH","2004-01-27","2019-12-17","102","35","5.8","8.2"
"lake onslow at boat ramp","Secchi",NA,NA,"0","0","Inf","-Inf"
"lake tuakitoto at outlet","NH4N","2004-02-11","2019-12-05","163","48","0.005","0.55"
"lake tuakitoto at outlet","TP","2004-02-11","2019-12-05","163","48","0.012","0.3"
"lake tuakitoto at outlet","TN","2004-02-11","2019-12-05","163","48","0.05","3.1"
"lake tuakitoto at outlet","ECOLI","2004-02-11","2019-12-05","162","48","3.3","2200"
"lake tuakitoto at outlet","CHLA","2004-02-11","2019-12-05","128","45","6e-04","41"
"lake tuakitoto at outlet","pH","2004-02-11","2019-12-05","132","48","6.7","9.9"
"lake tuakitoto at outlet","Secchi",NA,NA,"0","0","Inf","-Inf"
"lake waihola at end of jetty","NH4N","2004-02-11","2018-07-12","117","31","0.005","0.092"
"lake waihola at end of jetty","TP","2004-02-11","2018-07-12","117","31","0.011","0.26"
"lake waihola at end of jetty","TN","2004-02-11","2018-07-12","117","31","0.14","1.48"
"lake waihola at end of jetty","ECOLI","2004-01-14","2018-07-12","221","43","1","1500"
"lake waihola at end of jetty","CHLA","2004-02-11","2018-07-12","113","31","0.013","50"
"lake waihola at end of jetty","pH","2004-02-11","2018-07-12","107","31","6.7","8.55"
"lake waihola at end of jetty","Secchi",NA,NA,"0","0","Inf","-Inf"
