"CouncilSiteID","SiteID","LawaSiteID","LFENZID","LType","GeomorphicLType","Region","Agency","Lat","Long","accessDate"
"6303","lake tomarata","arc-00098",21871,"Polymictic","Aeolian","auckland","arc",-36.1927500004372,174.649010000401,"09-Sep-2019"
"7605","lake pupuke","arc-00099",50151,"Stratified","Volcanic","auckland","arc",-36.7835100004189,174.586700000235,"09-Sep-2019"
"45001","lake rototoa","arc-00100",50270,"Stratified","Aeolian","auckland","arc",-36.5137799997612,174.238660000489,"09-Sep-2019"
"44616","lake wainamu","arc-10002",45819,"Stratified","Aeolian","auckland","arc",-36.889339999764,174.466880000102,"09-Sep-2019"
"FK427028_INT","lake okareka site 1","ebop-00087",15325,"Stratified","Volcanic","bay of plenty","boprc",-38.1673603256056,176.35889350614,"09-Sep-2019"
"FI680541_INT","lake okaro site 1","ebop-00088",14290,"Stratified","Volcanic","bay of plenty","boprc",-38.298866966033,176.393775440022,"09-Sep-2019"
"GK015589_INT","lake okataina site 1","ebop-00089",54731,"Stratified","Volcanic","bay of plenty","boprc",-38.1149218683115,176.423732816386,"09-Sep-2019"
"GI617624_INT","lake rerewhakaaitu site 1","ebop-00090",40071,"Polymictic","Volcanic","bay of plenty","boprc",-38.2876822849198,176.500660159196,"09-Sep-2019"
"HL030557_INT","lake rotoehu site 3","ebop-00091",40188,"Polymictic","Volcanic","bay of plenty","boprc",-38.0243948262179,176.534936227251,"09-Sep-2019"
"FL274353_INT","lake rotoiti okawa bay","ebop-00093",54730,"Stratified","Volcanic","bay of plenty","boprc",-38.0485108935717,176.334769071366,"09-Sep-2019"
"FL479468_INT","lake rotoiti site 3","ebop-00094",54730,"Stratified","Volcanic","bay of plenty","boprc",-38.0375134972271,176.358886774093,"09-Sep-2019"
"GL051366_INT","lake rotoiti site 4","ebop-00092",54730,"Stratified","Volcanic","bay of plenty","boprc",-38.047185493196,176.427293524685,"09-Sep-2019"
"HL508168_INT","lake rotoma site 1","ebop-00095",40102,"Stratified","Volcanic","bay of plenty","boprc",-38.056091541784,176.5879539096,"09-Sep-2019"
"GI084907_INT","lake rotomahana site 2","ebop-00096",54733,"Stratified","Volcanic","bay of plenty","boprc",-38.2637533538028,176.439886853147,"09-Sep-2019"
"EK783777_INT","lake rotorua site 2","ebop-00098",11133,"Polymictic","Volcanic","bay of plenty","boprc",-38.1001701618011,176.282668966356,"09-Sep-2019"
"EL805168_INT","lake rotorua site 5","ebop-00097",11133,"Polymictic","Volcanic","bay of plenty","boprc",-38.0667878334008,176.283396143314,"09-Sep-2019"
"FJ988648_INT","lake tarawera site 5","ebop-00099",54732,"Stratified","Volcanic","bay of plenty","boprc",-38.1996604122387,176.424419794318,"09-Sep-2019"
"FJ164707_INT","lake tikitapu site 1","ebop-00100",15312,"Stratified","Volcanic","bay of plenty","boprc",-38.1952486848919,176.33051672887,"09-Sep-2019"
"SQ30079","lake sumner off charleys point","ecan-00326",54738,"Stratified","Glacial","canterbury","ecan",-42.7000545016094,172.190079767718,"09-Sep-2019"
"SQ30140","lake sheppard mid lake","ecan-00364",39357,"Polymictic","Glacial","canterbury","ecan",-42.7613209628524,172.251912416806,"09-Sep-2019"
"SQ30141","lake taylor mid lake","ecan-00327",39356,"Stratified","Glacial","canterbury","ecan",-42.7696423149379,172.2374900068,"09-Sep-2019"
"SQ30147","lake katrine mid lake","ecan-00328",39364,"Stratified","Glacial","canterbury","ecan",-42.7180229903476,172.200037837705,"09-Sep-2019"
"SQ32640","lake forsyth at catons bay","lawa-101984",47579,"Brackish","Shoreline","canterbury","ecan",-43.7905937844029,172.758638446754,"09-Sep-2019"
"SQ32801","lake emma centre, surface","ecan-00342",41299,"Polymictic","Glacial","canterbury","ecan",-43.6354061240519,171.107330848913,"09-Sep-2019"
"SQ32802","lake camp centre, surface","ecan-00343",41306,"Polymictic","Glacial","canterbury","ecan",-43.6147393990935,171.055929666188,"09-Sep-2019"
"SQ32804","lake clearwater centre, surface","ecan-00344",41305,"Polymictic","Glacial","canterbury","ecan",-43.6038440169452,171.052153456875,"09-Sep-2019"
"SQ32908","lake tekapo centre, surface","ecan-00345",47228,"Stratified","Glacial","canterbury","ecan",-43.9346611422597,170.527998090914,"09-Sep-2019"
"SQ32909","lake ohau mid lake","ecan-00346",45514,"Stratified","Glacial","canterbury","ecan",-44.2731125870855,169.878326750225,"09-Sep-2019"
"SQ33147","lake forsyth at recorder","ecan-00347",47579,"Brackish","Shoreline","canterbury","ecan",-43.7999330328771,172.736459466584,"09-Sep-2019"
"SQ33593","lake ellesmere at kaituna lagoon","ecan-00372",48177,"Brackish","Shoreline","canterbury","ecan",-43.7951118587767,172.663609005614,"09-Sep-2019"
"SQ30486","lake hawdon mid lake","ecan-00329",48669,"Polymictic","Glacial","canterbury","ecan",-43.1040090329566,171.85058179225,"09-Sep-2019"
"SQ30497","lake pearson north basin","ecan-00330",48660,"Polymictic","Glacial","canterbury","ecan",-43.099264145515,171.782031967847,"09-Sep-2019"
"SQ30521","lake sarah mid lake","ecan-00332",48673,"Polymictic","Glacial","canterbury","ecan",-43.0482453648117,171.776197010399,"09-Sep-2019"
"SQ30525","lake grasmere mid lake","ecan-00333",48663,"Polymictic","Glacial","canterbury","ecan",-43.0625263081479,171.776414981115,"09-Sep-2019"
"SQ30953","lake ellesmere off timber yard point","ecan-00369",48177,"Brackish","Shoreline","canterbury","ecan",-43.794976180795,172.395786042931,"09-Sep-2019"
"SQ30954","lake ellesmere mid-lake","ecan-00334",48177,"Brackish","Shoreline","canterbury","ecan",-43.7845987203961,172.454017354757,"09-Sep-2019"
"SQ30955","lake ellesmere off selwyn river mouth","ecan-00370",48177,"Brackish","Shoreline","canterbury","ecan",-43.7501770117331,172.434347867016,"09-Sep-2019"
"SQ30956","lake ellesmere off taumutu","ecan-00371",48177,"Brackish","Shoreline","canterbury","ecan",-43.8426136373841,172.385191152115,"09-Sep-2019"
"SQ31043","lake lyndon mid lake","ecan-00335",48597,"Stratified","Glacial","canterbury","ecan",-43.2999102746262,171.703637051303,"09-Sep-2019"
"SQ31045","lake coleridge mid lake, near island","ecan-00336",48451,"Stratified","Glacial","canterbury","ecan",-43.2860602146766,171.484399540275,"09-Sep-2019"
"SQ31047","lake georgina mid lake","ecan-00337",48447,"Polymictic","Glacial","canterbury","ecan",-43.3177046437917,171.568863187848,"09-Sep-2019"
"SQ31051","lake ida mid lake","ecan-00338",48455,"Polymictic","Glacial","canterbury","ecan",-43.2354097769768,171.5383835601,"09-Sep-2019"
"SQ31065","lake selfe mid lake","ecan-00339",48213,"Stratified","Glacial","canterbury","ecan",-43.2412934461352,171.521950376803,"09-Sep-2019"
"SQ31093","lake heron main basin","ecan-00340",47892,"Stratified","Glacial","canterbury","ecan",-43.4843191352548,171.168920411186,"09-Sep-2019"
"SQ31096","lake alexandrina mid lake, surface","ecan-00341",47193,"Stratified","Glacial","canterbury","ecan",-43.9334309450786,170.45382149692,"09-Sep-2019"
"SQ20601","wainono lagoon off lake road","ecan-00325",12469,"Polymictic","Shoreline","canterbury","ecan",-44.7024444055899,171.146043923122,"09-Sep-2019"
"SQ20927","lake middleton mid lake","ecan-00362",45504,"Polymictic","Glacial","canterbury","ecan",-44.278692375364,169.848698694963,"09-Sep-2019"
"SQ34907","lake benmore centre- northern arm","ecan-00354",7409,"Stratified","Dam","canterbury","ecan",-44.448945973633,170.21169206782,"09-Sep-2019"
"SQ34908","lake pukaki - southern end","ecan-00355",46564,"Stratified","Glacial","canterbury","ecan",-44.0963252953063,170.199450701414,"09-Sep-2019"
"SQ34980","lake forsyth at birdlings flat","lawa-101985",47579,"Brackish","Shoreline","canterbury","ecan",-43.8252395243101,172.709301634397,"09-Sep-2019"
"SQ35175","lake rotorua by east arm","ecan-00363",25994,"Polymictic","Shoreline","canterbury","ecan",-42.407615256367,173.583490311712,"09-Sep-2019"
"SQ35362","lake emily mid lake","ecan-00357",47860,"Polymictic","Glacial","canterbury","ecan",-43.5508744588358,171.226328722247,"09-Sep-2019"
"SQ35363","maori lake - front","ecan-00358",47859,"Polymictic","Glacial","canterbury","ecan",-43.5753941529199,171.182268982952,"09-Sep-2019"
"SQ35364","maori lake - back","ecan-00359",45724,"Polymictic","Glacial","canterbury","ecan",-43.5705317757312,171.167518333242,"09-Sep-2019"
"SQ35639","lake benmore ahuriri arm","ecan-00367",7409,"Stratified","Dam","canterbury","ecan",-44.5316283928935,170.109336081806,"09-Sep-2019"
"SQ35640","lake benmore above dam","ecan-00368",7409,"Stratified","Dam","canterbury","ecan",-44.5618778055826,170.204937460237,"09-Sep-2019"
"SQ35641","lake aviemore mid lake","ecan-00349",7408,"Stratified","Dam","canterbury","ecan",-44.6325048737933,170.29602237832,"09-Sep-2019"
"SQ10805","kellands pond second point","ecan-00331",45501,"Polymictic","Artificial","canterbury","ecan",-44.2990370843077,170.065721678928,"09-Sep-2019"
"SQ35888","lake denny mid lake","ecan-00351",41293,"Polymictic","Glacial","canterbury","ecan",-43.6705678687313,171.121797633901,"09-Sep-2019"
"SQ34548","coopers lagoon/muriwai above beach culvert","ecan-00348",47568,"Polymictic","Shoreline","canterbury","ecan",-43.8691838692639,172.302377495289,"09-Sep-2019"
"SQ36148","lake opuha above dam","lawa-101983",-16,"Stratified","Dam","canterbury","ecan",-43.9963266083464,170.887256919136,"09-Sep-2019"
"Waituna Lagoon at Lagoon Centre","waituna lagoon at lagoon centre","es-000142",54742,"Icoll","Shoreline","southland","es",-46.5638468025694,168.585736733704,"09-Sep-2019"
"Waituna Lagoon at Lagoon South","waituna lagoon at lagoon south","es-000158",54742,"Icoll","Shoreline","southland","es",-46.5789352373036,168.588373793728,"09-Sep-2019"
"Waituna Lagoon at Lagoon West","waituna lagoon at lagoon west","es-000159",54742,"Icoll","Shoreline","southland","es",-46.5639413340518,168.572835832534,"09-Sep-2019"
"Waituna Lagoon at Lagoon East","waituna lagoon at lagoon east","es-000157",54742,"Icoll","Shoreline","southland","es",-46.56665103645,168.612953908959,"09-Sep-2019"
"Lake George NE","lake george ne","es-00144",28543,"Polymictic","Unknown","southland","es",-46.3594988881867,167.865095433909,"09-Sep-2019"
"Lake Te Anau at South Fiord Top","lake te anau at south fiord top","lawa-100263",52566,"Stratified","Glacial","southland","es",-45.3453130111552,167.668640568176,"09-Sep-2019"
