"CouncilSiteID","SiteID","LawaSiteID","LFENZID","LType","GeomorphicLType","Region","Agency","Lat","Long","accessDate"
"6303","lake tomarata","arc-00098","21871","Polymictic","Aeolian","auckland","arc",-36.6692624260836,174.509673830416,"23-Jun-2020"
"7605","lake pupuke","arc-00099","50151","Stratified","Volcanic","auckland","arc",-36.7835100004189,174.586700000235,"23-Jun-2020"
"45001","lake rototoa","arc-00100","50270","Stratified","Aeolian","auckland","arc",-36.5137799997612,174.238660000489,"23-Jun-2020"
"44616","lake wainamu","arc-10002","45819","Stratified","Aeolian","auckland","arc",-36.889339999764,174.466880000102,"23-Jun-2020"
"645519","makarau","arc-00061","","","Geothermal","auckland","arc",-36.576039425937,174.50665072424,"23-Jun-2020"
"FK427028_INT","lake okareka site 1","ebop-00087","15325","Stratified","Volcanic","bay of plenty","boprc",-38.1673603256056,176.35889350614,"23-Jun-2020"
"FI680541_INT","lake okaro site 1","ebop-00088","14290","Stratified","Volcanic","bay of plenty","boprc",-38.298866966033,176.393775440022,"23-Jun-2020"
"GK015589_INT","lake okataina site 1","ebop-00089","54731","Stratified","Volcanic","bay of plenty","boprc",-38.1149218683115,176.423732816386,"23-Jun-2020"
"GI617624_INT","lake rerewhakaaitu site 1","ebop-00090","40071","Polymictic","Volcanic","bay of plenty","boprc",-38.2876822849198,176.500660159196,"23-Jun-2020"
"HL030557_INT","lake rotoehu site 3","ebop-00091","40188","Polymictic","Volcanic","bay of plenty","boprc",-38.0243948262179,176.534936227251,"23-Jun-2020"
"FL274353_INT","lake rotoiti okawa bay","ebop-00093","54730","Stratified","Volcanic","bay of plenty","boprc",-38.0485108935717,176.334769071366,"23-Jun-2020"
"FL479468_INT","lake rotoiti site 3","ebop-00094","54730","Stratified","Volcanic","bay of plenty","boprc",-38.0375134972271,176.358886774093,"23-Jun-2020"
"GL051366_INT","lake rotoiti site 4","ebop-00092","54730","Stratified","Volcanic","bay of plenty","boprc",-38.047185493196,176.427293524685,"23-Jun-2020"
"HL508168_INT","lake rotoma site 1","ebop-00095","40102","Stratified","Volcanic","bay of plenty","boprc",-38.056091541784,176.5879539096,"23-Jun-2020"
