"CouncilSiteID","Date","Value","Method","Measurement","Censored","centype"
"lake george ne","01-Mar-18",0.005,"","NH4N",TRUE,"Left"
"lake george ne","01-Mar-18",0.015,"","CHLA",FALSE,"FALSE"
"lake george ne","01-Mar-18",0.037,"","TP",FALSE,"FALSE"
"lake george ne","01-Mar-18",0.65,"","Secchi",FALSE,"FALSE"
"lake george ne","01-Mar-18",0.66,"","TN",FALSE,"FALSE"
"lake george ne","01-Mar-18",1100,"","ECOLI",FALSE,"FALSE"
"lake george ne","01-Mar-18",6.8,"","pH",FALSE,"FALSE"
"lake george ne","02-Aug-18",0.005,"","NH4N",TRUE,"Left"
"lake george ne","02-Aug-18",0.026,"","CHLA",FALSE,"FALSE"
"lake george ne","02-Aug-18",0.032,"","TP",FALSE,"FALSE"
"lake george ne","02-Aug-18",0.6,"","Secchi",FALSE,"FALSE"
"lake george ne","02-Aug-18",0.61,"","TN",FALSE,"FALSE"
"lake george ne","02-Aug-18",62,"","ECOLI",FALSE,"FALSE"
"lake george ne","02-Aug-18",7.4,"","pH",FALSE,"FALSE"
"lake george ne","02-Dec-16",0.0013,"","CHLA",FALSE,"FALSE"
"lake george ne","02-Dec-16",0.005,"","NH4N",TRUE,"Left"
"lake george ne","02-Dec-16",0.02,"","TP",FALSE,"FALSE"
"lake george ne","02-Dec-16",0.43,"","TN",FALSE,"FALSE"
"lake george ne","02-Dec-16",110,"","ECOLI",FALSE,"FALSE"
"lake george ne","02-Dec-16",7.3,"","pH",FALSE,"FALSE"
"lake george ne","02-Mar-17",0.003,"","CHLA",FALSE,"FALSE"
"lake george ne","02-Mar-17",0.005,"","NH4N",TRUE,"Left"
"lake george ne","02-Mar-17",0.022,"","TP",FALSE,"FALSE"
"lake george ne","02-Mar-17",0.43,"","TN",FALSE,"FALSE"
"lake george ne","02-Mar-17",20,"","ECOLI",FALSE,"FALSE"
"lake george ne","02-Mar-17",7.6,"","pH",FALSE,"FALSE"
"lake george ne","03-Jul-18",0.006,"","NH4N",FALSE,"FALSE"
"lake george ne","03-Jul-18",0.03,"","TP",FALSE,"FALSE"
"lake george ne","03-Jul-18",0.044,"","CHLA",FALSE,"FALSE"
"lake george ne","03-Jul-18",0.55,"","Secchi",FALSE,"FALSE"
"lake george ne","03-Jul-18",0.56,"","TN",FALSE,"FALSE"
"lake george ne","03-Jul-18",40,"","ECOLI",FALSE,"FALSE"
"lake george ne","03-Jul-18",7.1,"","pH",FALSE,"FALSE"
"lake george ne","03-Mar-15",0.001,"","CHLA",FALSE,"FALSE"
"lake george ne","03-Mar-15",0.005,"","NH4N",TRUE,"Left"
"lake george ne","03-Mar-15",0.007,"","TP",FALSE,"FALSE"
"lake george ne","03-Mar-15",0.34,"","TN",FALSE,"FALSE"
"lake george ne","03-Mar-15",10,"","ECOLI",FALSE,"FALSE"
"lake george ne","03-Mar-15",7.5,"","pH",FALSE,"FALSE"
"lake george ne","03-Oct-18",0.007,"","NH4N",FALSE,"FALSE"
"lake george ne","03-Oct-18",0.015,"","CHLA",FALSE,"FALSE"
"lake george ne","03-Oct-18",0.054,"","TP",FALSE,"FALSE"
"lake george ne","03-Oct-18",0.3,"","Secchi",FALSE,"FALSE"
"lake george ne","03-Oct-18",0.85,"","TN",FALSE,"FALSE"
"lake george ne","03-Oct-18",60,"","ECOLI",FALSE,"FALSE"
"lake george ne","03-Oct-18",7.3,"","pH",FALSE,"FALSE"
"lake george ne","04-Sep-17",0.005,"","CHLA",FALSE,"FALSE"
"lake george ne","04-Sep-17",0.005,"","NH4N",TRUE,"Left"
"lake george ne","04-Sep-17",0.041,"","TP",FALSE,"FALSE"
"lake george ne","04-Sep-17",0.48,"","TN",FALSE,"FALSE"
"lake george ne","04-Sep-17",0.85,"","Secchi",FALSE,"FALSE"
"lake george ne","04-Sep-17",40,"","ECOLI",FALSE,"FALSE"
"lake george ne","04-Sep-17",7.3,"","pH",FALSE,"FALSE"
"lake george ne","06-Dec-17",0.0016,"","CHLA",FALSE,"FALSE"
"lake george ne","06-Dec-17",0.005,"","NH4N",TRUE,"Left"
"lake george ne","06-Dec-17",0.01,"","TP",FALSE,"FALSE"
"lake george ne","06-Dec-17",0.39,"","TN",FALSE,"FALSE"
"lake george ne","06-Dec-17",2.18,"","Secchi",FALSE,"FALSE"
"lake george ne","06-Dec-17",20,"","ECOLI",FALSE,"FALSE"
"lake george ne","06-Dec-17",7.8,"","pH",FALSE,"FALSE"
"lake george ne","06-Jun-13",0.0018,"","CHLA",FALSE,"FALSE"
"lake george ne","06-Jun-13",0.01,"","NH4N",TRUE,"Left"
"lake george ne","06-Jun-13",0.02,"","TP",FALSE,"FALSE"
"lake george ne","06-Jun-13",0.6,"","TN",FALSE,"FALSE"
"lake george ne","06-Jun-13",7.1,"","pH",FALSE,"FALSE"
"lake george ne","06-Jun-17",0.003,"","CHLA",FALSE,"FALSE"
"lake george ne","06-Jun-17",0.005,"","NH4N",TRUE,"Left"
"lake george ne","06-Jun-17",0.019,"","TP",FALSE,"FALSE"
"lake george ne","06-Jun-17",0.4,"","TN",FALSE,"FALSE"
"lake george ne","06-Jun-17",10,"","ECOLI",FALSE,"FALSE"
"lake george ne","06-Jun-17",7.4,"","pH",FALSE,"FALSE"
"lake george ne","11-Aug-16",0.0019,"","CHLA",FALSE,"FALSE"
"lake george ne","11-Aug-16",0.014,"","NH4N",FALSE,"FALSE"
"lake george ne","11-Aug-16",0.023,"","TP",FALSE,"FALSE"
"lake george ne","11-Aug-16",0.67,"","TN",FALSE,"FALSE"
"lake george ne","11-Aug-16",10,"","ECOLI",TRUE,"Left"
"lake george ne","11-Aug-16",7.4,"","pH",FALSE,"FALSE"
"lake george ne","11-Sep-18",0.007,"","NH4N",FALSE,"FALSE"
"lake george ne","11-Sep-18",0.021,"","CHLA",FALSE,"FALSE"
"lake george ne","11-Sep-18",0.038,"","TP",FALSE,"FALSE"
"lake george ne","11-Sep-18",0.6,"","Secchi",FALSE,"FALSE"
"lake george ne","11-Sep-18",0.66,"","TN",FALSE,"FALSE"
"lake george ne","11-Sep-18",45,"","ECOLI",FALSE,"FALSE"
"lake george ne","11-Sep-18",7.3,"","pH",FALSE,"FALSE"
"lake george ne","12-Apr-12",0.01,"","NH4N",TRUE,"Left"
"lake george ne","12-Apr-12",0.022,"","CHLA",FALSE,"FALSE"
"lake george ne","12-Apr-12",0.105,"","TP",FALSE,"FALSE"
"lake george ne","12-Apr-12",1.19,"","TN",FALSE,"FALSE"
"lake george ne","12-Apr-12",7.4,"","pH",FALSE,"FALSE"
"lake george ne","12-Jun-18",0.005,"","NH4N",TRUE,"Left"
"lake george ne","12-Jun-18",0.027,"","TP",FALSE,"FALSE"
"lake george ne","12-Jun-18",0.09,"","CHLA",FALSE,"FALSE"
"lake george ne","12-Jun-18",0.69,"","TN",FALSE,"FALSE"
"lake george ne","12-Jun-18",0.7,"","Secchi",FALSE,"FALSE"
"lake george ne","12-Jun-18",46,"","ECOLI",FALSE,"FALSE"
"lake george ne","12-Jun-18",7.3,"","pH",FALSE,"FALSE"
"lake george ne","13-May-19",0.005,"","NH4N",TRUE,"Left"
"lake george ne","13-May-19",0.032,"","CHLA",FALSE,"FALSE"
"lake george ne","13-May-19",0.15,"","Secchi",FALSE,"FALSE"
"lake george ne","13-May-19",0.165,"","TP",FALSE,"FALSE"
"lake george ne","13-May-19",1.21,"","TN",FALSE,"FALSE"
"lake george ne","13-May-19",110,"","ECOLI",FALSE,"FALSE"
"lake george ne","13-May-19",7.4,"","pH",FALSE,"FALSE"
"lake george ne","13-Nov-18",0.006,"","CHLA",FALSE,"FALSE"
"lake george ne","13-Nov-18",0.007,"","NH4N",FALSE,"FALSE"
