"CouncilSiteID","Date","Value","Method","Measurement","Censored","centype"
"lake alice (composite)","02-Aug-16",0.04,"","NH4N",FALSE,"FALSE"
"lake alice (composite)","02-Aug-16",0.101,"","TP",FALSE,"FALSE"
"lake alice (composite)","02-Aug-16",1.27,"","TN",FALSE,"FALSE"
"lake alice (composite)","02-Aug-16",21,"","ECOLI",FALSE,"FALSE"
"lake alice (composite)","02-Aug-16",7.2,"","CHLA",FALSE,"FALSE"
"lake alice (composite)","03-Mar-16",0.06,"","NH4N",FALSE,"FALSE"
"lake alice (composite)","03-Mar-16",0.093,"","TP",FALSE,"FALSE"
"lake alice (composite)","03-Mar-16",1.19,"","TN",FALSE,"FALSE"
"lake alice (composite)","03-Mar-16",1.9,"","CHLA",FALSE,"FALSE"
"lake alice (composite)","03-Mar-16",4,"","ECOLI",FALSE,"FALSE"
"lake alice (composite)","07-Dec-18",0.01,"","NH4N",TRUE,"Left"
"lake alice (composite)","07-Dec-18",0.278,"","TP",FALSE,"FALSE"
"lake alice (composite)","07-Dec-18",139,"","CHLA",FALSE,"FALSE"
"lake alice (composite)","07-Dec-18",2.42,"","TN",FALSE,"FALSE"
"lake alice (composite)","07-Dec-18",4,"","ECOLI",TRUE,"Left"
"lake alice (composite)","13-Dec-16",0.06,"","NH4N",FALSE,"FALSE"
"lake alice (composite)","13-Dec-16",0.236,"","TP",FALSE,"FALSE"
"lake alice (composite)","13-Dec-16",16,"","ECOLI",FALSE,"FALSE"
"lake alice (composite)","13-Dec-16",2.33,"","TN",FALSE,"FALSE"
"lake alice (composite)","13-Dec-16",65,"","CHLA",FALSE,"FALSE"
"lake alice (composite)","14-Sep-18",0.03,"","NH4N",FALSE,"FALSE"
"lake alice (composite)","14-Sep-18",0.179,"","TP",FALSE,"FALSE"
"lake alice (composite)","14-Sep-18",1.48,"","TN",FALSE,"FALSE"
"lake alice (composite)","14-Sep-18",15,"","CHLA",FALSE,"FALSE"
"lake alice (composite)","14-Sep-18",4,"","ECOLI",FALSE,"FALSE"
"lake alice (composite)","15-Mar-17",0.04,"","NH4N",FALSE,"FALSE"
"lake alice (composite)","15-Mar-17",0.084,"","TP",FALSE,"FALSE"
"lake alice (composite)","15-Mar-17",0.85,"","TN",FALSE,"FALSE"
"lake alice (composite)","15-Mar-17",1.9,"","CHLA",TRUE,"Left"
"lake alice (composite)","15-Mar-17",4,"","ECOLI",TRUE,"Left"
"lake alice (composite)","17-Dec-15",0.03,"","NH4N",FALSE,"FALSE"
"lake alice (composite)","17-Dec-15",0.157,"","TP",FALSE,"FALSE"
"lake alice (composite)","17-Dec-15",1.01,"","TN",FALSE,"FALSE"
"lake alice (composite)","17-Dec-15",27,"","CHLA",FALSE,"FALSE"
"lake alice (composite)","17-Dec-15",4,"","ECOLI",TRUE,"Left"
"lake alice (composite)","17-Jul-18",0.04,"","NH4N",FALSE,"FALSE"
"lake alice (composite)","17-Jul-18",0.09,"","TP",FALSE,"FALSE"
"lake alice (composite)","17-Jul-18",1.21,"","TN",FALSE,"FALSE"
"lake alice (composite)","17-Jul-18",1.9,"","CHLA",TRUE,"Left"
"lake alice (composite)","17-Jul-18",8,"","ECOLI",FALSE,"FALSE"
"lake alice (composite)","18-Jun-15",0.01,"","NH4N",TRUE,"Left"
"lake alice (composite)","18-Jun-15",0.1,"","TP",FALSE,"FALSE"
"lake alice (composite)","18-Jun-15",1.28,"","TN",FALSE,"FALSE"
"lake alice (composite)","18-Jun-15",1.9,"","CHLA",FALSE,"FALSE"
"lake alice (composite)","18-Jun-15",8,"","ECOLI",FALSE,"FALSE"
"lake alice (composite)","21-Dec-17",0.05,"","NH4N",FALSE,"FALSE"
"lake alice (composite)","21-Dec-17",0.103,"","TP",FALSE,"FALSE"
"lake alice (composite)","21-Dec-17",1.18,"","TN",FALSE,"FALSE"
"lake alice (composite)","21-Dec-17",19,"","CHLA",FALSE,"FALSE"
"lake alice (composite)","21-Sep-16",0.02,"","NH4N",FALSE,"FALSE"
"lake alice (composite)","21-Sep-16",0.136,"","TP",FALSE,"FALSE"
"lake alice (composite)","21-Sep-16",1.09,"","TN",FALSE,"FALSE"
"lake alice (composite)","21-Sep-16",28,"","CHLA",FALSE,"FALSE"
"lake alice (composite)","21-Sep-16",4,"","ECOLI",TRUE,"Left"
"lake alice (composite)","22-Jan-15",0.02,"","NH4N",FALSE,"FALSE"
"lake alice (composite)","22-Jan-15",0.115,"","TP",FALSE,"FALSE"
"lake alice (composite)","22-Jan-15",1.66,"","TN",FALSE,"FALSE"
"lake alice (composite)","22-Jan-15",44,"","ECOLI",FALSE,"FALSE"
"lake alice (composite)","22-Jan-15",46,"","CHLA",FALSE,"FALSE"
"lake alice (composite)","23-Mar-18",0.16,"","TP",FALSE,"FALSE"
"lake alice (composite)","23-Mar-18",0.21,"","NH4N",FALSE,"FALSE"
"lake alice (composite)","23-Mar-18",1.5,"","TN",FALSE,"FALSE"
"lake alice (composite)","23-Mar-18",11,"","CHLA",FALSE,"FALSE"
"lake alice (composite)","25-Mar-15",0.03,"","NH4N",FALSE,"FALSE"
"lake alice (composite)","25-Mar-15",0.073,"","TP",FALSE,"FALSE"
"lake alice (composite)","25-Mar-15",1.29,"","TN",FALSE,"FALSE"
"lake alice (composite)","25-Mar-15",4,"","ECOLI",FALSE,"FALSE"
"lake alice (composite)","25-Mar-15",4.6,"","CHLA",FALSE,"FALSE"
"lake alice (composite)","27-Nov-14",0.005,"","NH4N",FALSE,"FALSE"
"lake alice (composite)","27-Nov-14",0.096,"","TP",FALSE,"FALSE"
"lake alice (composite)","27-Nov-14",0.948,"","TN",FALSE,"FALSE"
"lake alice (composite)","27-Nov-14",1.9,"","CHLA",FALSE,"FALSE"
"lake alice (composite)","27-Nov-14",16,"","ECOLI",FALSE,"FALSE"
"lake alice (composite)","27-Sep-17",0.02,"","NH4N",FALSE,"FALSE"
"lake alice (composite)","27-Sep-17",0.046,"","TP",FALSE,"FALSE"
"lake alice (composite)","27-Sep-17",0.83,"","TN",FALSE,"FALSE"
"lake alice (composite)","27-Sep-17",2.9,"","CHLA",FALSE,"FALSE"
"lake alice (composite)","28-Sep-15",0.01,"","NH4N",FALSE,"FALSE"
"lake alice (composite)","28-Sep-15",0.092,"","TP",FALSE,"FALSE"
"lake alice (composite)","28-Sep-15",0.79,"","TN",FALSE,"FALSE"
"lake alice (composite)","28-Sep-15",2.9,"","CHLA",FALSE,"FALSE"
"lake alice (composite)","28-Sep-15",4,"","ECOLI",TRUE,"Left"
"lake dudding (composite)","06-Dec-18",0.03,"","NH4N",FALSE,"FALSE"
"lake dudding (composite)","06-Dec-18",0.143,"","TP",FALSE,"FALSE"
"lake dudding (composite)","06-Dec-18",1.71,"","TN",FALSE,"FALSE"
"lake dudding (composite)","06-Dec-18",1.9,"","CHLA",TRUE,"Left"
"lake dudding (composite)","06-Dec-18",4,"","ECOLI",TRUE,"Left"
"lake dudding (composite)","13-Aug-15",0.01,"","NH4N",TRUE,"Left"
"lake dudding (composite)","13-Aug-15",0.145,"","TP",FALSE,"FALSE"
"lake dudding (composite)","13-Aug-15",2.06,"","TN",FALSE,"FALSE"
"lake dudding (composite)","13-Aug-15",44,"","ECOLI",FALSE,"FALSE"
"lake dudding (composite)","13-Aug-15",5.8,"","CHLA",FALSE,"FALSE"
"lake dudding (composite)","13-May-14",0.239,"","TP",FALSE,"FALSE"
"lake dudding (composite)","13-May-14",1.213,"","NH4N",FALSE,"FALSE"
"lake dudding (composite)","13-May-14",2.733,"","TN",FALSE,"FALSE"
"lake dudding (composite)","13-May-14",4,"","ECOLI",TRUE,"Left"
"lake dudding (composite)","13-May-14",9,"","CHLA",FALSE,"FALSE"
"lake dudding (composite)","14-Feb-19",0.052,"","TP",FALSE,"FALSE"
"lake dudding (composite)","14-Feb-19",0.08,"","NH4N",FALSE,"FALSE"
"lake dudding (composite)","14-Feb-19",1,"","TN",FALSE,"FALSE"
"lake dudding (composite)","14-Feb-19",4,"","ECOLI",TRUE,"Left"
"lake dudding (composite)","14-Feb-19",9.4,"","CHLA",FALSE,"FALSE"
"lake dudding (composite)","14-Nov-14",0.01,"","NH4N",TRUE,"Left"
"lake dudding (composite)","14-Nov-14",0.032,"","TP",FALSE,"FALSE"
"lake dudding (composite)","14-Nov-14",0.687,"","TN",FALSE,"FALSE"
"lake dudding (composite)","14-Nov-14",2.8,"","CHLA",FALSE,"FALSE"
"lake dudding (composite)","14-Nov-14",68,"","ECOLI",FALSE,"FALSE"
"lake dudding (composite)","16-Aug-18",0.02,"","NH4N",FALSE,"FALSE"
"lake dudding (composite)","16-Aug-18",0.042,"","TP",FALSE,"FALSE"
"lake dudding (composite)","16-Aug-18",1.21,"","TN",FALSE,"FALSE"
"lake dudding (composite)","16-Aug-18",19,"","CHLA",FALSE,"FALSE"
"lake dudding (composite)","16-Aug-18",190,"","ECOLI",FALSE,"FALSE"
