"CouncilSiteID","Date","Value","Method","Measurement","Censored","centype"
"lake dunstan at dead mans point","01-Feb-11",0.01,"","NH4N",TRUE,"Left"
"lake dunstan at dead mans point","01-Feb-11",0.015,"","TP",FALSE,"FALSE"
"lake dunstan at dead mans point","01-Feb-11",0.07,"","TN",FALSE,"FALSE"
"lake dunstan at dead mans point","01-Feb-11",1,"","ECOLI",FALSE,"FALSE"
"lake dunstan at dead mans point","01-Feb-11",2.1,"","CHLA",TRUE,"Left"
"lake dunstan at dead mans point","01-Feb-11",8,"","pH",FALSE,"FALSE"
"lake dunstan at dead mans point","01-Jun-10",0.01,"","NH4N",TRUE,"Left"
"lake dunstan at dead mans point","01-Jun-10",0.028,"","TP",FALSE,"FALSE"
"lake dunstan at dead mans point","01-Jun-10",0.08,"","TN",FALSE,"FALSE"
"lake dunstan at dead mans point","01-Jun-10",1,"","ECOLI",TRUE,"Left"
"lake dunstan at dead mans point","01-Jun-10",2,"","CHLA",TRUE,"Left"
"lake dunstan at dead mans point","01-Jun-10",7.6,"","pH",FALSE,"FALSE"
"lake dunstan at dead mans point","02-Dec-10",0.01,"","NH4N",FALSE,"FALSE"
"lake dunstan at dead mans point","02-Dec-10",0.07,"","TN",FALSE,"FALSE"
"lake dunstan at dead mans point","02-Dec-10",2,"","CHLA",TRUE,"Left"
"lake dunstan at dead mans point","02-Dec-10",600,"","ECOLI",FALSE,"FALSE"
"lake dunstan at dead mans point","02-Dec-10",8.2,"","pH",FALSE,"FALSE"
"lake dunstan at dead mans point","02-Mar-06",0.008,"","TP",FALSE,"FALSE"
"lake dunstan at dead mans point","02-Mar-06",0.01,"","NH4N",FALSE,"FALSE"
"lake dunstan at dead mans point","02-Mar-06",0.08,"","TN",FALSE,"FALSE"
"lake dunstan at dead mans point","02-Mar-06",1.9,"","CHLA",TRUE,"Left"
"lake dunstan at dead mans point","02-Mar-06",2,"","ECOLI",FALSE,"FALSE"
"lake dunstan at dead mans point","02-Mar-06",7.3,"","pH",FALSE,"FALSE"
"lake dunstan at dead mans point","03-Aug-05",0.005,"","TP",FALSE,"FALSE"
"lake dunstan at dead mans point","03-Aug-05",0.1,"","TN",FALSE,"FALSE"
"lake dunstan at dead mans point","03-Aug-05",1,"","ECOLI",FALSE,"FALSE"
"lake dunstan at dead mans point","03-Aug-05",1.9,"","CHLA",TRUE,"Left"
"lake dunstan at dead mans point","03-Mar-10",1,"","ECOLI",TRUE,"Left"
"lake dunstan at dead mans point","05-Dec-06",0.01,"","NH4N",TRUE,"Left"
"lake dunstan at dead mans point","05-Dec-06",0.019,"","TP",FALSE,"FALSE"
"lake dunstan at dead mans point","05-Dec-06",0.18,"","TN",FALSE,"FALSE"
"lake dunstan at dead mans point","05-Dec-06",14,"","ECOLI",FALSE,"FALSE"
"lake dunstan at dead mans point","05-Oct-04",0.005,"","TP",TRUE,"Left"
"lake dunstan at dead mans point","05-Oct-04",0.01,"","NH4N",TRUE,"Left"
"lake dunstan at dead mans point","05-Oct-04",0.1,"","TN",FALSE,"FALSE"
"lake dunstan at dead mans point","05-Oct-04",1,"","ECOLI",TRUE,"Left"
"lake dunstan at dead mans point","05-Oct-04",1.9,"","CHLA",TRUE,"Left"
"lake dunstan at dead mans point","06-Oct-11",0.01,"","NH4N",TRUE,"Left"
"lake dunstan at dead mans point","06-Oct-11",0.01,"","TP",FALSE,"FALSE"
"lake dunstan at dead mans point","06-Oct-11",0.11,"","TN",TRUE,"Left"
"lake dunstan at dead mans point","06-Oct-11",1,"","ECOLI",TRUE,"Left"
"lake dunstan at dead mans point","06-Oct-11",3,"","CHLA",TRUE,"Left"
"lake dunstan at dead mans point","06-Oct-11",7.9,"","pH",FALSE,"FALSE"
"lake dunstan at dead mans point","07-Feb-06",3,"","ECOLI",FALSE,"FALSE"
"lake dunstan at dead mans point","08-Apr-09",0.01,"","NH4N",TRUE,"Left"
"lake dunstan at dead mans point","08-Apr-09",0.014,"","TP",FALSE,"FALSE"
