"CouncilSiteID","Date","Value","Method","Measurement","Censored","centype"
"l brunner @ gyb cashmere bay - 4m","01-Jul-08",0.0113,"","TP",FALSE,"FALSE"
"l brunner @ gyb cashmere bay - 4m","01-Jul-08",0.021,"","NH4N",FALSE,"FALSE"
"l brunner @ gyb cashmere bay - 4m","01-Jul-08",0.2567,"","TN",FALSE,"FALSE"
"l brunner @ gyb cashmere bay - 4m","01-Jul-08",3.3,"","Secchi",FALSE,"FALSE"
"l brunner @ gyb cashmere bay - 4m","01-Jul-08",3.7,"","CHLA",FALSE,"FALSE"
"l brunner @ gyb cashmere bay - 4m","02-Aug-06",0.0062,"","TP",FALSE,"FALSE"
"l brunner @ gyb cashmere bay - 4m","02-Aug-06",0.008,"","NH4N",FALSE,"FALSE"
"l brunner @ gyb cashmere bay - 4m","02-Aug-06",0.239,"","TN",FALSE,"FALSE"
"l brunner @ gyb cashmere bay - 4m","02-Aug-06",1.7,"","CHLA",FALSE,"FALSE"
"l brunner @ gyb cashmere bay - 4m","02-Jul-15",0.008,"","TP",FALSE,"FALSE"
"l brunner @ gyb cashmere bay - 4m","02-Jul-15",0.016,"","NH4N",FALSE,"FALSE"
"l brunner @ gyb cashmere bay - 4m","02-Jul-15",0.248,"","TN",FALSE,"FALSE"
"l brunner @ gyb cashmere bay - 4m","02-Jul-15",0.446,"","CHLA",FALSE,"FALSE"
"l brunner @ gyb cashmere bay - 4m","02-Jul-15",5.98,"","Secchi",FALSE,"FALSE"
"l brunner @ gyb cashmere bay - 4m","02-Mar-05",0.00513,"","NH4N",FALSE,"FALSE"
"l brunner @ gyb cashmere bay - 4m","02-Mar-05",0.0083067,"","TP",FALSE,"FALSE"
"l brunner @ gyb cashmere bay - 4m","02-Mar-05",0.158392,"","TN",FALSE,"FALSE"
"l brunner @ gyb cashmere bay - 4m","02-Mar-05",1.87061,"","CHLA",FALSE,"FALSE"
"l brunner @ gyb cashmere bay - 4m","02-Mar-05",4.5,"","Secchi",FALSE,"FALSE"
"l brunner @ gyb cashmere bay - 4m","03-Feb-09",0.007,"","TP",FALSE,"FALSE"
"l brunner @ gyb cashmere bay - 4m","03-Feb-09",0.027,"","NH4N",FALSE,"FALSE"
"l brunner @ gyb cashmere bay - 4m","03-Feb-09",0.216,"","TN",FALSE,"FALSE"
"l brunner @ gyb cashmere bay - 4m","03-Feb-09",1,"","CHLA",FALSE,"FALSE"
"l brunner @ gyb cashmere bay - 4m","03-Feb-09",4.35,"","Secchi",FALSE,"FALSE"
"l brunner @ gyb cashmere bay - 4m","05-Sep-13",5.07,"","Secchi",FALSE,"FALSE"
"l brunner @ gyb cashmere bay - 4m","06-Dec-06",0.0106,"","TP",FALSE,"FALSE"
