"CouncilSiteID","Date","Value","Method","Measurement","Censored","centype","QC"
"lake onoke 1","01-Aug-16",0.019,"","NH4N",FALSE,"FALSE",""
"lake onoke 1","01-Aug-16",0.021,"","TP",FALSE,"FALSE",""
"lake onoke 1","01-Aug-16",0.26,"","Secchi",FALSE,"FALSE",""
"lake onoke 1","01-Aug-16",0.61,"","TN",FALSE,"FALSE",""
"lake onoke 1","01-Aug-16",3,"","CHLA",TRUE,"Left",""
"lake onoke 1","01-May-15",0.019,"","NH4N",FALSE,"FALSE",""
"lake onoke 1","01-May-15",0.028,"","TP",FALSE,"FALSE",""
"lake onoke 1","01-May-15",0.38,"","TN",FALSE,"FALSE",""
"lake onoke 1","01-May-15",4,"","CHLA",TRUE,"Left",""
"lake onoke 1","01-May-15",7.1,"","pH",FALSE,"FALSE",""
"lake onoke 1","01-May-15",NA,"","Secchi",FALSE,"FALSE",""
"lake onoke 1","01-Oct-12",0.01,"","NH4N",TRUE,"Left",""
"lake onoke 1","01-Oct-12",0.051,"","TP",FALSE,"FALSE",""
"lake onoke 1","01-Oct-12",0.395,"","Secchi",FALSE,"FALSE",""
"lake onoke 1","01-Oct-12",0.52,"","TN",FALSE,"FALSE",""
"lake onoke 1","01-Oct-12",12,"","CHLA",FALSE,"FALSE",""
"lake onoke 1","01-Oct-12",NA,"","pH",FALSE,"FALSE",""
"lake onoke 1","02-Jul-12",0.021,"","NH4N",FALSE,"FALSE",""
"lake onoke 1","02-Jul-12",0.026,"","TP",FALSE,"FALSE",""
"lake onoke 1","02-Jul-12",0.68,"","TN",FALSE,"FALSE",""
"lake onoke 1","02-Jul-12",0.95,"","Secchi",TRUE,"Right",""
"lake onoke 1","02-Jul-12",3,"","CHLA",TRUE,"Left",""
"lake onoke 1","02-Jul-12",7.35,"","pH",FALSE,"FALSE",""
"lake onoke 1","02-Mar-12",0.014,"","NH4N",FALSE,"FALSE",""
"lake onoke 1","02-Mar-12",0.042,"","TP",FALSE,"FALSE",""
"lake onoke 1","02-Mar-12",0.305,"","Secchi",FALSE,"FALSE",""
"lake onoke 1","02-Mar-12",0.43,"","TN",FALSE,"FALSE",""
"lake onoke 1","02-Mar-12",1200,"","ECOLI",FALSE,"FALSE",""
"lake onoke 1","02-Mar-12",3,"","CHLA",TRUE,"Left",""
"lake onoke 1","02-Mar-12",7.4,"","pH",FALSE,"FALSE",""
"lake onoke 1","03-Jun-16",0.01,"","NH4N",TRUE,"Left",""
"lake onoke 1","03-Jun-16",0.026,"","TP",FALSE,"FALSE",""
"lake onoke 1","03-Jun-16",0.47,"","TN",FALSE,"FALSE",""
"lake onoke 1","03-Jun-16",0.6,"","Secchi",FALSE,"FALSE",""
"lake onoke 1","03-Jun-16",3,"","CHLA",TRUE,"Left",""
"lake onoke 1","03-Jun-16",7.32,"","pH",FALSE,"FALSE",""
"lake onoke 1","03-Sep-13",0.01,"","NH4N",TRUE,"Left",""
"lake onoke 1","03-Sep-13",0.038,"","TP",FALSE,"FALSE",""
"lake onoke 1","03-Sep-13",0.42,"","Secchi",FALSE,"FALSE",""
"lake onoke 1","03-Sep-13",0.94,"","TN",FALSE,"FALSE",""
"lake onoke 1","03-Sep-13",5,"","CHLA",FALSE,"FALSE",""
"lake onoke 1","03-Sep-13",7.55,"","pH",FALSE,"FALSE",""
"lake onoke 1","04-Jun-15",0.01,"","NH4N",TRUE,"Left",""
"lake onoke 1","04-Jun-15",0.051,"","TP",FALSE,"FALSE",""
"lake onoke 1","04-Jun-15",0.4,"","TN",FALSE,"FALSE",""
"lake onoke 1","04-Jun-15",0.77,"","Secchi",FALSE,"FALSE",""
"lake onoke 1","04-Jun-15",3,"","CHLA",TRUE,"Left",""
"lake onoke 1","04-Jun-15",7.79,"","pH",FALSE,"FALSE",""
"lake onoke 1","06-Apr-16",0.02,"","NH4N",FALSE,"FALSE",""
"lake onoke 1","06-Apr-16",0.036,"","TP",FALSE,"FALSE",""
"lake onoke 1","06-Apr-16",0.28,"","TN",FALSE,"FALSE",""
"lake onoke 1","06-Apr-16",0.54,"","Secchi",FALSE,"FALSE",""
"lake onoke 1","06-Apr-16",3,"","CHLA",TRUE,"Left",""
"lake onoke 1","06-Apr-16",7.22,"","pH",FALSE,"FALSE",""
"lake onoke 1","06-Dec-11",0.016,"","NH4N",FALSE,"FALSE",""
"lake onoke 1","06-Dec-11",0.027,"","TP",FALSE,"FALSE",""
"lake onoke 1","06-Dec-11",0.45,"","TN",FALSE,"FALSE",""
"lake onoke 1","06-Dec-11",0.8,"","Secchi",TRUE,"Right",""
"lake onoke 1","06-Dec-11",3,"","CHLA",TRUE,"Left",""
"lake onoke 1","06-Dec-11",36,"","ECOLI",FALSE,"FALSE",""
"lake onoke 1","06-Dec-11",7,"","pH",FALSE,"FALSE",""
"lake onoke 1","06-May-10",0.0129,"","NH4N",FALSE,"FALSE",""
"lake onoke 1","06-May-10",0.036,"","TP",FALSE,"FALSE",""
"lake onoke 1","06-May-10",0.39,"","Secchi",FALSE,"FALSE",""
"lake onoke 1","06-May-10",0.41,"","TN",FALSE,"FALSE",""
"lake onoke 1","06-May-10",110,"","ECOLI",FALSE,"FALSE",""
"lake onoke 1","06-May-10",3,"","CHLA",TRUE,"Left",""
"lake onoke 1","06-May-10",5.93,"","pH",FALSE,"FALSE",""
"lake onoke 1","07-Dec-15",0.017,"","NH4N",FALSE,"FALSE",""
"lake onoke 1","07-Dec-15",0.021,"","TP",FALSE,"FALSE",""
"lake onoke 1","07-Dec-15",0.3,"","TN",FALSE,"FALSE",""
"lake onoke 1","07-Dec-15",0.36,"","Secchi",FALSE,"FALSE",""
"lake onoke 1","07-Dec-15",3,"","CHLA",TRUE,"Left",""
"lake onoke 1","07-Dec-15",7.58,"","pH",FALSE,"FALSE",""
"lake onoke 1","09-May-19",0.005,"","NH4N",TRUE,"Left",""
"lake onoke 1","09-May-19",0.024,"","TP",FALSE,"FALSE",""
"lake onoke 1","09-May-19",0.42,"","TN",FALSE,"FALSE",""
"lake onoke 1","09-May-19",0.8,"","Secchi",TRUE,"Right",""
"lake onoke 1","09-May-19",3,"","CHLA",TRUE,"Left",""
"lake onoke 1","09-Oct-17",0.005,"","NH4N",TRUE,"Left",""
"lake onoke 1","09-Oct-17",0.027,"","TP",FALSE,"FALSE",""
"lake onoke 1","09-Oct-17",0.6,"","TN",FALSE,"FALSE",""
"lake onoke 1","09-Oct-17",3,"","CHLA",TRUE,"Left",""
"lake onoke 1","10-Apr-17",0.01,"","NH4N",TRUE,"Left",""
"lake onoke 1","10-Apr-17",0.057,"","TP",FALSE,"FALSE",""
"lake onoke 1","10-Apr-17",0.44,"","Secchi",FALSE,"FALSE",""
"lake onoke 1","10-Apr-17",0.58,"","TN",FALSE,"FALSE",""
"lake onoke 1","10-Apr-17",3,"","CHLA",TRUE,"Left",""
"lake onoke 1","10-Dec-18",0.005,"","NH4N",TRUE,"Left",""
"lake onoke 1","10-Dec-18",0.08,"","TP",FALSE,"FALSE",""
"lake onoke 1","10-Dec-18",0.23,"","Secchi",FALSE,"FALSE",""
"lake onoke 1","10-Dec-18",0.6,"","TN",FALSE,"FALSE",""
"lake onoke 1","10-Dec-18",5,"","CHLA",FALSE,"FALSE",""
"lake onoke 1","11-Jan-17",0.01,"","NH4N",TRUE,"Left",""
"lake onoke 1","11-Jan-17",0.037,"","TP",FALSE,"FALSE",""
"lake onoke 1","11-Jan-17",0.56,"","TN",FALSE,"FALSE",""
"lake onoke 1","11-Jan-17",4,"","CHLA",FALSE,"FALSE",""
"lake onoke 1","11-Mar-10",0.01,"","NH4N",TRUE,"Left",""
"lake onoke 1","11-Mar-10",0.016,"","TP",FALSE,"FALSE",""
"lake onoke 1","11-Mar-10",0.15,"","TN",FALSE,"FALSE",""
"lake onoke 1","11-Mar-10",3.3,"","CHLA",FALSE,"FALSE",""
"lake onoke 1","11-Mar-10",64,"","ECOLI",FALSE,"FALSE",""
"lake onoke 1","11-Mar-10",7.97,"","pH",FALSE,"FALSE",""
"lake onoke 1","11-May-17",0.026,"","TP",FALSE,"FALSE",""
"lake onoke 1","11-May-17",0.032,"","NH4N",FALSE,"FALSE",""
"lake onoke 1","11-May-17",0.7,"","Secchi",TRUE,"Right",""
"lake onoke 1","11-May-17",0.8,"","TN",FALSE,"FALSE",""
"lake onoke 1","11-May-17",3,"","CHLA",TRUE,"Left",""
"lake onoke 1","11-Sep-17",0.016,"","NH4N",FALSE,"FALSE",""
"lake onoke 1","11-Sep-17",0.053,"","TP",FALSE,"FALSE",""
"lake onoke 1","11-Sep-17",0.22,"","Secchi",FALSE,"FALSE",""
"lake onoke 1","11-Sep-17",0.58,"","TN",FALSE,"FALSE",""
"lake onoke 1","11-Sep-17",3,"","CHLA",TRUE,"Left",""
"lake onoke 1","12-Dec-13",0.01,"","NH4N",TRUE,"Left",""
"lake onoke 1","12-Dec-13",0.02,"","TP",FALSE,"FALSE",""
"lake onoke 1","12-Dec-13",0.5,"","TN",FALSE,"FALSE",""
"lake onoke 1","12-Dec-13",0.855,"","Secchi",FALSE,"FALSE",""
"lake onoke 1","12-Dec-13",3,"","CHLA",TRUE,"Left",""
"lake onoke 1","12-Dec-13",7.53,"","pH",FALSE,"FALSE",""
"lake onoke 1","12-Dec-17",0.005,"","NH4N",FALSE,"FALSE",""
"lake onoke 1","12-Dec-17",0.009,"","TP",FALSE,"FALSE",""
"lake onoke 1","12-Dec-17",0.21,"","TN",FALSE,"FALSE",""
"lake onoke 1","12-Dec-17",0.8,"","Secchi",FALSE,"FALSE",""
"lake onoke 1","12-Dec-17",3,"","CHLA",TRUE,"Left",""
"lake onoke 1","13-Apr-12",0.026,"","NH4N",FALSE,"FALSE",""
"lake onoke 1","13-Apr-12",0.135,"","Secchi",FALSE,"FALSE",""
"lake onoke 1","13-Apr-12",0.23,"","TP",FALSE,"FALSE",""
"lake onoke 1","13-Apr-12",0.86,"","TN",FALSE,"FALSE",""
"lake onoke 1","13-Apr-12",10,"","CHLA",TRUE,"Left",""
"lake onoke 1","13-Apr-12",4700,"","ECOLI",FALSE,"FALSE",""
"lake onoke 1","13-Apr-12",7.65,"","pH",FALSE,"FALSE",""
"lake onoke 1","13-Dec-16",0.029,"","TP",FALSE,"FALSE",""
"lake onoke 1","13-Dec-16",0.035,"","NH4N",FALSE,"FALSE",""
"lake onoke 1","13-Dec-16",0.42,"","TN",FALSE,"FALSE",""
"lake onoke 1","13-Dec-16",0.62,"","Secchi",FALSE,"FALSE",""
"lake onoke 1","13-Dec-16",3,"","CHLA",TRUE,"Left",""
"lake onoke 1","13-Feb-19",0.005,"","NH4N",TRUE,"Left",""
"lake onoke 1","13-Feb-19",0.023,"","TP",FALSE,"FALSE",""
"lake onoke 1","13-Feb-19",0.3,"","TN",FALSE,"FALSE",""
"lake onoke 1","13-Feb-19",0.65,"","Secchi",TRUE,"Right",""
"lake onoke 1","13-Feb-19",4,"","CHLA",FALSE,"FALSE",""
