"CouncilSiteID","Date","Value","Method","Measurement","Censored","centype","QC"
"lake oingo - lake centre","10-May-12",0.017,"","TP",TRUE,"Right",""
"lake oingo - lake centre","10-May-12",0.017,"","TP",TRUE,"Right",""
"lake oingo - lake centre","10-May-12",0.75,"","TN",TRUE,"Right",""
"lake oingo - lake centre","10-May-12",1.45,"","Secchi",TRUE,"Right",""
"lake oingo - lake centre","10-May-12",10,"","ECOLI",TRUE,"Right",""
"lake oingo - lake centre","10-May-12",3,"","CHLA",TRUE,"Right",""
"lake oingo - lake centre","10-May-12",8.7,"","pH",TRUE,"Right",""
"lake oingo - lake centre","10-May-12",8.9,"","pH",TRUE,"Right",""
"lake oingo - lake centre","14-Apr-11",0.009,"","TP",FALSE,"FALSE",""
"lake oingo - lake centre","14-Apr-11",0.009,"","TP",FALSE,"FALSE",""
"lake oingo - lake centre","14-Apr-11",1.4,"","CHLA",FALSE,"FALSE",""
"lake oingo - lake centre","14-Apr-11",3.1,"","Secchi",FALSE,"FALSE",""
"lake oingo - lake centre","14-Apr-11",42,"","ECOLI",FALSE,"FALSE",""
"lake oingo - lake centre","14-Apr-11",9.14,"","pH",FALSE,"FALSE",""
"lake oingo - lake centre","17-Oct-11",0.22,"","TP",FALSE,"FALSE",""
"lake oingo - lake centre","17-Oct-11",0.22,"","TP",FALSE,"FALSE",""
"lake oingo - lake centre","17-Oct-11",0.93,"","TN",FALSE,"FALSE",""
"lake oingo - lake centre","17-Oct-11",1.2,"","Secchi",FALSE,"FALSE",""
"lake oingo - lake centre","17-Oct-11",18,"","ECOLI",FALSE,"FALSE",""
"lake oingo - lake centre","17-Oct-11",3,"","CHLA",TRUE,"Left",""
"lake oingo - lake centre","17-Oct-11",9.38,"","pH",FALSE,"FALSE",""
"lake oingo - lake centre","17-Oct-11",9.4,"","pH",FALSE,"FALSE",""
"lake oingo - lake centre","17-Oct-12",0.089,"","TP",FALSE,"FALSE",""
"lake oingo - lake centre","17-Oct-12",0.089,"","TP",FALSE,"FALSE",""
"lake oingo - lake centre","17-Oct-12",0.84,"","TN",FALSE,"FALSE",""
"lake oingo - lake centre","17-Oct-12",1.1,"","Secchi",FALSE,"FALSE",""
"lake oingo - lake centre","17-Oct-12",1.7,"","CHLA",FALSE,"FALSE",""
"lake oingo - lake centre","17-Oct-12",7,"","ECOLI",FALSE,"FALSE",""
"lake oingo - lake centre","17-Oct-12",8.8,"","pH",FALSE,"FALSE",""
"lake oingo - lake centre","17-Oct-12",8.98,"","pH",FALSE,"FALSE",""
"lake oingo - lake centre","18-Jan-11",0.014,"","TP",FALSE,"FALSE",""
"lake oingo - lake centre","18-Jan-11",0.014,"","TP",FALSE,"FALSE",""
"lake oingo - lake centre","18-Jan-11",0.76,"","TN",FALSE,"FALSE",""
"lake oingo - lake centre","18-Jan-11",45,"","ECOLI",FALSE,"FALSE",""
"lake oingo - lake centre","18-Jan-11",5.2,"","CHLA",FALSE,"FALSE",""
"lake oingo - lake centre","18-Jan-11",9.4,"","pH",FALSE,"FALSE",""
"lake oingo - lake centre","18-Jan-11",9.43,"","pH",FALSE,"FALSE",""
"lake oingo - lake centre","18-Jul-11",0.022,"","TP",FALSE,"FALSE",""
"lake oingo - lake centre","18-Jul-11",0.022,"","TP",FALSE,"FALSE",""
"lake oingo - lake centre","18-Jul-11",0.9,"","TN",FALSE,"FALSE",""
"lake oingo - lake centre","18-Jul-11",1,"","ECOLI",TRUE,"Left",""
"lake oingo - lake centre","18-Jul-11",2.1,"","Secchi",TRUE,"Right",""
"lake oingo - lake centre","18-Jul-11",6,"","CHLA",FALSE,"FALSE",""
"lake oingo - lake centre","18-Jul-11",7.24,"","pH",FALSE,"FALSE",""
"lake oingo - lake centre","18-Jul-11",8.4,"","pH",FALSE,"FALSE",""
"lake oingo - lake centre","18-Jul-12",0.063,"","TP",TRUE,"Left",""
"lake oingo - lake centre","18-Jul-12",0.063,"","TP",TRUE,"Left",""
"lake oingo - lake centre","18-Jul-12",0.89,"","TN",TRUE,"Left",""
"lake oingo - lake centre","18-Jul-12",1.65,"","Secchi",TRUE,"Left",""
"lake oingo - lake centre","18-Jul-12",12.9,"","CHLA",TRUE,"Left",""
"lake oingo - lake centre","18-Jul-12",3,"","ECOLI",TRUE,"Left",""
"lake oingo - lake centre","18-Jul-12",7.83,"","pH",TRUE,"Left",""
"lake oingo - lake centre","18-Jul-12",8,"","pH",TRUE,"Left",""
"lake oingo - lake centre","19-Jun-12",0.025,"","TP",FALSE,"FALSE",""
"lake oingo - lake centre","19-Jun-12",0.025,"","TP",FALSE,"FALSE",""
"lake oingo - lake centre","19-Jun-12",0.63,"","TN",FALSE,"FALSE",""
"lake oingo - lake centre","19-Jun-12",1,"","ECOLI",TRUE,"Left",""
"lake oingo - lake centre","19-Jun-12",1.7,"","Secchi",FALSE,"FALSE",""
"lake oingo - lake centre","19-Jun-12",7.4,"","CHLA",FALSE,"FALSE",""
"lake oingo - lake centre","19-Jun-12",7.7,"","pH",FALSE,"FALSE",""
"lake oingo - lake centre","19-Jun-12",8.3,"","pH",FALSE,"FALSE",""
"lake oingo - lake centre","20-Jun-11",0.014,"","TP",FALSE,"FALSE",""
"lake oingo - lake centre","20-Jun-11",0.014,"","TP",FALSE,"FALSE",""
"lake oingo - lake centre","20-Jun-11",0.86,"","TN",FALSE,"FALSE",""
"lake oingo - lake centre","20-Jun-11",1,"","ECOLI",TRUE,"Left",""
"lake oingo - lake centre","20-Jun-11",2,"","Secchi",TRUE,"Right",""
"lake oingo - lake centre","20-Jun-11",2.5,"","CHLA",FALSE,"FALSE",""
"lake oingo - lake centre","20-Jun-11",6.46,"","pH",FALSE,"FALSE",""
"lake oingo - lake centre","20-Jun-11",8,"","pH",FALSE,"FALSE",""
"lake oingo - lake centre","21-Dec-11",0.092,"","TP",FALSE,"FALSE",""
"lake oingo - lake centre","21-Dec-11",0.092,"","TP",FALSE,"FALSE",""
"lake oingo - lake centre","21-Dec-11",0.94,"","TN",FALSE,"FALSE",""
"lake oingo - lake centre","21-Dec-11",1,"","ECOLI",FALSE,"FALSE",""
"lake oingo - lake centre","21-Dec-11",1.2,"","Secchi",FALSE,"FALSE",""
"lake oingo - lake centre","21-Dec-11",2.7,"","CHLA",FALSE,"FALSE",""
"lake oingo - lake centre","21-Dec-11",9.3,"","pH",FALSE,"FALSE",""
"lake oingo - lake centre","21-Dec-11",9.94,"","pH",FALSE,"FALSE",""
"lake oingo - lake centre","22-Nov-11",0.085,"","TP",FALSE,"FALSE",""
"lake oingo - lake centre","22-Nov-11",0.085,"","TP",FALSE,"FALSE",""
"lake oingo - lake centre","22-Nov-11",0.84,"","TN",FALSE,"FALSE",""
"lake oingo - lake centre","22-Nov-11",2,"","ECOLI",FALSE,"FALSE",""
"lake oingo - lake centre","22-Nov-11",2.2,"","Secchi",TRUE,"Right",""
"lake oingo - lake centre","22-Nov-11",3,"","CHLA",TRUE,"Left",""
