"CouncilSiteID","Date","Value","Method","Measurement","Censored","centype","QC"
"100425",2011-08-01,0.021,"","TP",FALSE,"FALSE",""
"100425",2011-08-01,0.064,"","NH4N",FALSE,"FALSE",""
"100425",2011-08-01,0.931,"","TN",FALSE,"FALSE",""
"100425",2011-08-01,1.25,"","Secchi",FALSE,"FALSE",""
"100425",2011-08-01,22,"","CHLA",FALSE,"FALSE",""
"100425",2011-08-01,6.79,"","pH",FALSE,"FALSE",""
"100425",2010-03-02,0.002,"","NH4N",FALSE,"FALSE",""
"100425",2010-03-02,0.013,"","TP",FALSE,"FALSE",""
"100425",2010-03-02,0.864,"","TN",FALSE,"FALSE",""
"100425",2010-03-02,1.75,"","Secchi",FALSE,"FALSE",""
"100425",2010-03-02,15.5,"","CHLA",FALSE,"FALSE",""
"100425",2010-03-02,7.8,"","pH",FALSE,"FALSE",""
"100425",2016-08-04,0.008,"","TP",FALSE,"FALSE",""
"100425",2016-08-04,0.01,"","NH4N",FALSE,"FALSE",""
"100425",2016-08-04,0.553,"","TN",FALSE,"FALSE",""
"100425",2016-08-04,2.75,"","Secchi",FALSE,"FALSE",""
"100425",2016-08-04,3.6,"","CHLA",FALSE,"FALSE",""
"100425",2016-08-04,5.9,"","pH",FALSE,"FALSE",""
"100425",2015-11-04,0.009,"","NH4N",FALSE,"FALSE",""
"100425",2015-11-04,0.011,"","TP",FALSE,"FALSE",""
"100425",2015-11-04,0.515,"","TN",FALSE,"FALSE",""
"100425",2015-11-04,1.3,"","CHLA",FALSE,"FALSE",""
"100425",2015-11-04,3.75,"","Secchi",FALSE,"FALSE",""
"100425",2015-11-04,8.06,"","pH",FALSE,"FALSE",""
"100425",2007-11-05,0.004,"","NH4N",FALSE,"FALSE",""
"100425",2007-11-05,0.018,"","TP",FALSE,"FALSE",""
"100425",2007-11-05,0.79,"","TN",FALSE,"FALSE",""
"100425",2007-11-05,1.18,"","Secchi",FALSE,"FALSE",""
"100425",2007-11-05,27.6,"","CHLA",FALSE,"FALSE",""
"100425",2007-11-05,6.3,"","pH",FALSE,"FALSE",""
"100425",2012-11-05,0.014,"","NH4N",FALSE,"FALSE",""
"100425",2012-11-05,0.017,"","TP",FALSE,"FALSE",""
"100425",2012-11-05,0.691,"","TN",FALSE,"FALSE",""
"100425",2012-11-05,1.75,"","Secchi",FALSE,"FALSE",""
"100425",2012-11-05,6.79,"","pH",FALSE,"FALSE",""
"100425",2012-11-05,9.7,"","CHLA",FALSE,"FALSE",""
"100425",2007-08-06,0.004,"","NH4N",FALSE,"FALSE",""
"100425",2007-08-06,0.095,"","TP",FALSE,"FALSE",""
"100425",2007-08-06,0.693,"","TN",FALSE,"FALSE",""
"100425",2007-08-06,1.39,"","Secchi",FALSE,"FALSE",""
"100425",2007-08-06,23.1,"","CHLA",FALSE,"FALSE",""
"100425",2007-08-06,7.1,"","pH",FALSE,"FALSE",""
"100425",2012-08-06,0.017,"","TP",FALSE,"FALSE",""
"100425",2012-08-06,0.146,"","NH4N",FALSE,"FALSE",""
"100425",2012-08-06,0.897,"","TN",FALSE,"FALSE",""
"100425",2012-08-06,2.75,"","Secchi",FALSE,"FALSE",""
"100425",2012-08-06,3.7,"","CHLA",FALSE,"FALSE",""
"100425",2012-08-06,6.6,"","pH",FALSE,"FALSE",""
"100425",2014-05-06,0.01,"","TP",FALSE,"FALSE",""
"100425",2014-05-06,0.06,"","NH4N",FALSE,"FALSE",""
