"CouncilSiteID","Date","Value","Method","Measurement","Censored","centype","QC"
"ek783777_int","01-Aug-10",2.54,"","Secchi",FALSE,"FALSE",""
"ek783777_int","02-Aug-10",0.014,"","NH4N",FALSE,"FALSE",""
"ek783777_int","02-Aug-10",0.024,"","TP",FALSE,"FALSE",""
"ek783777_int","02-Aug-10",0.29,"","TN",FALSE,"FALSE",""
"ek783777_int","02-Aug-10",11.8,"","CHLA",FALSE,"FALSE",""
"ek783777_int","02-Aug-10",2.54,"","Secchi",FALSE,"FALSE",""
"ek783777_int","02-Aug-10",7.1,"","pH",FALSE,"FALSE",""
"ek783777_int","04-Apr-19",0.022,"","NH4N",FALSE,"FALSE",""
"ek783777_int","04-Apr-19",0.036,"","TP",FALSE,"FALSE",""
"ek783777_int","04-Apr-19",0.423,"","TN",FALSE,"FALSE",""
"ek783777_int","05-Apr-04",0.014,"","NH4N",FALSE,"FALSE",""
"ek783777_int","05-Apr-04",0.07,"","TP",FALSE,"FALSE",""
"ek783777_int","05-Apr-04",0.739,"","TN",FALSE,"FALSE",""
"ek783777_int","05-Apr-04",1.5,"","Secchi",FALSE,"FALSE",""
"ek783777_int","05-Apr-04",48.5,"","CHLA",FALSE,"FALSE",""
"ek783777_int","05-Apr-04",5.6,"","pH",FALSE,"FALSE",""
"ek783777_int","05-Aug-08",1.98,"","Secchi",FALSE,"FALSE",""
"ek783777_int","06-Aug-08",0.012,"","NH4N",FALSE,"FALSE",""
"ek783777_int","06-Aug-08",0.022,"","TP",FALSE,"FALSE",""
"ek783777_int","06-Aug-08",0.459,"","TN",FALSE,"FALSE",""
"ek783777_int","06-Aug-08",1.98,"","Secchi",FALSE,"FALSE",""
"ek783777_int","06-Aug-08",32.5,"","CHLA",FALSE,"FALSE",""
"ek783777_int","06-Aug-08",6.4,"","pH",FALSE,"FALSE",""
"ek783777_int","06-Oct-09",1.45,"","Secchi",FALSE,"FALSE",""
"ek783777_int","07-Feb-19",0.024,"","TP",FALSE,"FALSE",""
"ek783777_int","07-Feb-19",0.093,"","NH4N",FALSE,"FALSE",""
"ek783777_int","07-Feb-19",0.371,"","TN",FALSE,"FALSE",""
"ek783777_int","07-Mar-19",0.006,"","NH4N",FALSE,"FALSE",""
"ek783777_int","07-Mar-19",0.03,"","TP",FALSE,"FALSE",""
"ek783777_int","07-Mar-19",0.413,"","TN",FALSE,"FALSE",""
"ek783777_int","07-Oct-09",0.005,"","NH4N",FALSE,"FALSE",""
"ek783777_int","07-Oct-09",0.02,"","TP",FALSE,"FALSE",""
"ek783777_int","07-Oct-09",0.271,"","TN",FALSE,"FALSE",""
"ek783777_int","07-Oct-09",1.45,"","Secchi",FALSE,"FALSE",""
"ek783777_int","07-Oct-09",10.2,"","CHLA",FALSE,"FALSE",""
"ek783777_int","09-Dec-13",3.25,"","Secchi",FALSE,"FALSE",""
"ek783777_int","10-Dec-13",0.004,"","NH4N",FALSE,"FALSE",""
"ek783777_int","10-Dec-13",0.013,"","TP",FALSE,"FALSE",""
"ek783777_int","10-Dec-13",0.261,"","TN",FALSE,"FALSE",""
"ek783777_int","10-Dec-13",3.25,"","Secchi",FALSE,"FALSE",""
"ek783777_int","10-Dec-13",7.4,"","pH",FALSE,"FALSE",""
"ek783777_int","10-Dec-13",7.6,"","CHLA",FALSE,"FALSE",""
"ek783777_int","10-Dec-19",0.017,"","TP",FALSE,"FALSE",""
"ek783777_int","10-Dec-19",0.034,"","NH4N",FALSE,"FALSE",""
"ek783777_int","10-Dec-19",0.317,"","TN",FALSE,"FALSE",""
"ek783777_int","10-Dec-19",2.45,"","Secchi",FALSE,"FALSE",""
"ek783777_int","10-Dec-19",7.11,"","pH",FALSE,"FALSE",""
"ek783777_int","10-Dec-19",7.5,"","CHLA",FALSE,"FALSE",""
"ek783777_int","11-Apr-19",0.008,"","NH4N",FALSE,"FALSE",""
"ek783777_int","11-Apr-19",0.033,"","TP",FALSE,"FALSE",""
"ek783777_int","11-Apr-19",0.41,"","TN",FALSE,"FALSE",""
"ek783777_int","11-Dec-12",3.325,"","Secchi",FALSE,"FALSE",""
"ek783777_int","11-Dec-18",0.017,"","TP",FALSE,"FALSE",""
"ek783777_int","11-Dec-18",0.02,"","NH4N",FALSE,"FALSE",""
"ek783777_int","11-Dec-18",0.315,"","TN",FALSE,"FALSE",""
"ek783777_int","11-Dec-18",2.7,"","Secchi",FALSE,"FALSE",""
"ek783777_int","11-Dec-18",7.14,"","pH",FALSE,"FALSE",""
"ek783777_int","11-Dec-18",7.3,"","CHLA",FALSE,"FALSE",""
"ek783777_int","12-Dec-06",2,"","Secchi",FALSE,"FALSE",""
"ek783777_int","12-Dec-07",3.045,"","Secchi",FALSE,"FALSE",""
"ek783777_int","12-Dec-12",0.011,"","TP",FALSE,"FALSE",""
"ek783777_int","12-Dec-12",0.025,"","NH4N",FALSE,"FALSE",""
"ek783777_int","12-Dec-12",0.28,"","TN",FALSE,"FALSE",""
"ek783777_int","12-Dec-12",3.325,"","Secchi",FALSE,"FALSE",""
"ek783777_int","12-Dec-12",5.4,"","CHLA",FALSE,"FALSE",""
"ek783777_int","12-Dec-12",7.3,"","pH",FALSE,"FALSE",""
"ek783777_int","12-Dec-16",0.009,"","NH4N",FALSE,"FALSE",""
"ek783777_int","12-Dec-16",0.014,"","TP",FALSE,"FALSE",""
"ek783777_int","12-Dec-16",0.272,"","TN",FALSE,"FALSE",""
"ek783777_int","12-Dec-16",10.1,"","CHLA",FALSE,"FALSE",""
"ek783777_int","12-Dec-16",3.5,"","Secchi",FALSE,"FALSE",""
"ek783777_int","12-Dec-16",6.69,"","pH",FALSE,"FALSE",""
"ek783777_int","12-Dec-17",0.009,"","NH4N",FALSE,"FALSE",""
"ek783777_int","12-Dec-17",0.021,"","TP",FALSE,"FALSE",""
"ek783777_int","12-Dec-17",0.297,"","TN",FALSE,"FALSE",""
"ek783777_int","12-Dec-17",10.1,"","CHLA",FALSE,"FALSE",""
"ek783777_int","12-Dec-17",2.4,"","Secchi",FALSE,"FALSE",""
"ek783777_int","12-Dec-17",7.26,"","pH",FALSE,"FALSE",""
"ek783777_int","13-Dec-05",1.74,"","Secchi",FALSE,"FALSE",""
"ek783777_int","13-Dec-06",0.006,"","NH4N",FALSE,"FALSE",""
"ek783777_int","13-Dec-06",0.038,"","TP",FALSE,"FALSE",""
"ek783777_int","13-Dec-06",0.46,"","TN",FALSE,"FALSE",""
"ek783777_int","13-Dec-06",18.2,"","CHLA",FALSE,"FALSE",""
"ek783777_int","13-Dec-06",2,"","Secchi",FALSE,"FALSE",""
"ek783777_int","13-Dec-06",6.7,"","pH",FALSE,"FALSE",""
"ek783777_int","13-Dec-07",0.029,"","TP",FALSE,"FALSE",""
"ek783777_int","13-Dec-07",0.037,"","NH4N",FALSE,"FALSE",""
"ek783777_int","13-Dec-07",0.503,"","TN",FALSE,"FALSE",""
"ek783777_int","13-Dec-07",18.5,"","CHLA",FALSE,"FALSE",""
"ek783777_int","13-Dec-07",3.045,"","Secchi",FALSE,"FALSE",""
"ek783777_int","13-Dec-07",6.9,"","pH",FALSE,"FALSE",""
"ek783777_int","13-Dec-17",0.009,"","NH4N",FALSE,"FALSE",""
"ek783777_int","13-Dec-17",0.021,"","TP",FALSE,"FALSE",""
"ek783777_int","13-Dec-17",0.297,"","TN",FALSE,"FALSE",""
"ek783777_int","13-Dec-17",10.1,"","CHLA",FALSE,"FALSE",""
"ek783777_int","13-Dec-17",2.4,"","Secchi",FALSE,"FALSE",""
"ek783777_int","13-Dec-17",7.3,"","pH",FALSE,"FALSE",""
"ek783777_int","13-Jan-09",3,"","Secchi",FALSE,"FALSE",""
"ek783777_int","13-Nov-06",3.14,"","Secchi",FALSE,"FALSE",""
"ek783777_int","13-Nov-17",0.019,"","TP",FALSE,"FALSE",""
"ek783777_int","13-Nov-17",0.022,"","NH4N",FALSE,"FALSE",""
"ek783777_int","13-Nov-17",0.356,"","TN",FALSE,"FALSE",""
"ek783777_int","13-Nov-17",10.3,"","CHLA",FALSE,"FALSE",""
"ek783777_int","13-Nov-17",2.5,"","Secchi",FALSE,"FALSE",""
"ek783777_int","13-Nov-17",6.89,"","pH",FALSE,"FALSE",""
"ek783777_int","14-Apr-15",2.9,"","Secchi",FALSE,"FALSE",""
"ek783777_int","14-Aug-12",2.3,"","Secchi",FALSE,"FALSE",""
"ek783777_int","14-Dec-05",0.008,"","NH4N",FALSE,"FALSE",""
"ek783777_int","14-Dec-05",0.048,"","TP",FALSE,"FALSE",""
"ek783777_int","14-Dec-05",0.352,"","TN",FALSE,"FALSE",""
"ek783777_int","14-Dec-05",1.74,"","Secchi",FALSE,"FALSE",""
"ek783777_int","14-Dec-05",21.1,"","CHLA",FALSE,"FALSE",""
"ek783777_int","14-Dec-05",7,"","pH",FALSE,"FALSE",""
"ek783777_int","14-Dec-09",2.975,"","Secchi",FALSE,"FALSE",""
"ek783777_int","14-Dec-10",2.95,"","Secchi",FALSE,"FALSE",""
"ek783777_int","14-Feb-17",0.004,"","NH4N",FALSE,"FALSE",""
"ek783777_int","14-Feb-17",0.014,"","TP",FALSE,"FALSE",""
"ek783777_int","14-Feb-17",0.255,"","TN",FALSE,"FALSE",""
"ek783777_int","14-Feb-17",4.25,"","Secchi",FALSE,"FALSE",""
"ek783777_int","14-Feb-17",5.1,"","CHLA",FALSE,"FALSE",""
"ek783777_int","14-Feb-17",7.31,"","pH",FALSE,"FALSE",""
"ek783777_int","14-Feb-19",0.006,"","NH4N",FALSE,"FALSE",""
"ek783777_int","14-Feb-19",0.02,"","TP",FALSE,"FALSE",""
"ek783777_int","14-Feb-19",0.302,"","TN",FALSE,"FALSE",""
"ek783777_int","14-Jan-09",0.024,"","TP",FALSE,"FALSE",""
"ek783777_int","14-Jan-09",0.241,"","TN",FALSE,"FALSE",""
"ek783777_int","14-Jan-09",17.3,"","CHLA",FALSE,"FALSE",""
"ek783777_int","14-Jan-09",3,"","Secchi",FALSE,"FALSE",""
"ek783777_int","14-Jan-09",6.7,"","pH",FALSE,"FALSE",""
"ek783777_int","14-Jan-14",3.6,"","Secchi",FALSE,"FALSE",""
"ek783777_int","14-Jun-16",0.004,"","NH4N",FALSE,"FALSE",""
"ek783777_int","14-Jun-16",0.022,"","TP",FALSE,"FALSE",""
"ek783777_int","14-Jun-16",0.319,"","TN",FALSE,"FALSE",""
"ek783777_int","14-Jun-16",18.5,"","CHLA",FALSE,"FALSE",""
"ek783777_int","14-Jun-16",2.25,"","Secchi",FALSE,"FALSE",""
"ek783777_int","14-Jun-16",6.55,"","pH",FALSE,"FALSE",""
"ek783777_int","14-Mar-17",0.018,"","TP",FALSE,"FALSE",""
"ek783777_int","14-Mar-17",0.084,"","NH4N",FALSE,"FALSE",""
"ek783777_int","14-Mar-17",0.346,"","TN",FALSE,"FALSE",""
"ek783777_int","14-Mar-17",6.8,"","pH",FALSE,"FALSE",""
"ek783777_int","14-Mar-17",8.7,"","CHLA",FALSE,"FALSE",""
"ek783777_int","14-Mar-19",0.018,"","NH4N",FALSE,"FALSE",""
"ek783777_int","14-Mar-19",0.027,"","TP",FALSE,"FALSE",""
"ek783777_int","14-Mar-19",0.358,"","TN",FALSE,"FALSE",""
"ek783777_int","14-May-13",2.8,"","Secchi",FALSE,"FALSE",""
"ek783777_int","14-May-19",0.019,"","NH4N",FALSE,"FALSE",""
"ek783777_int","14-May-19",0.033,"","TP",FALSE,"FALSE",""
"ek783777_int","14-May-19",0.353,"","TN",FALSE,"FALSE",""
"ek783777_int","14-May-19",12.3,"","CHLA",FALSE,"FALSE",""
"ek783777_int","14-May-19",2.95,"","Secchi",FALSE,"FALSE",""
"ek783777_int","14-May-19",7.08,"","pH",FALSE,"FALSE",""
"ek783777_int","14-Nov-06",0.031,"","TP",FALSE,"FALSE",""
"ek783777_int","14-Nov-06",0.587,"","TN",FALSE,"FALSE",""
"ek783777_int","14-Nov-06",15.3,"","CHLA",FALSE,"FALSE",""
"ek783777_int","14-Nov-06",3.14,"","Secchi",FALSE,"FALSE",""
"ek783777_int","14-Nov-06",6.8,"","pH",FALSE,"FALSE",""
"ek783777_int","14-Nov-07",3.475,"","Secchi",FALSE,"FALSE",""
"ek783777_int","14-Nov-12",0.01,"","TP",FALSE,"FALSE",""
"ek783777_int","14-Nov-12",0.038,"","NH4N",FALSE,"FALSE",""
"ek783777_int","14-Nov-12",0.284,"","TN",FALSE,"FALSE",""
"ek783777_int","14-Nov-12",4.9,"","CHLA",FALSE,"FALSE",""
"ek783777_int","14-Nov-12",7.2,"","pH",FALSE,"FALSE",""
"ek783777_int","14-Nov-17",0.019,"","TP",FALSE,"FALSE",""
"ek783777_int","14-Nov-17",0.022,"","NH4N",FALSE,"FALSE",""
"ek783777_int","14-Nov-17",0.356,"","TN",FALSE,"FALSE",""
"ek783777_int","14-Nov-17",10.3,"","CHLA",FALSE,"FALSE",""
"ek783777_int","14-Nov-17",2.5,"","Secchi",FALSE,"FALSE",""
"ek783777_int","14-Nov-17",6.9,"","pH",FALSE,"FALSE",""
"ek783777_int","15-Apr-14",3.1,"","Secchi",FALSE,"FALSE",""
"ek783777_int","15-Apr-15",0.019,"","NH4N",FALSE,"FALSE",""
"ek783777_int","15-Apr-15",0.031,"","TP",FALSE,"FALSE",""
"ek783777_int","15-Apr-15",0.339,"","TN",FALSE,"FALSE",""
"ek783777_int","15-Apr-15",16.3,"","CHLA",FALSE,"FALSE",""
"ek783777_int","15-Apr-15",2.9,"","Secchi",FALSE,"FALSE",""
"ek783777_int","15-Apr-15",7.5,"","pH",FALSE,"FALSE",""
"ek783777_int","15-Apr-19",0.019,"","NH4N",FALSE,"FALSE",""
"ek783777_int","15-Apr-19",0.027,"","TP",FALSE,"FALSE",""
"ek783777_int","15-Apr-19",0.332,"","TN",FALSE,"FALSE",""
"ek783777_int","15-Apr-19",12.2,"","CHLA",FALSE,"FALSE",""
"ek783777_int","15-Apr-19",2.4,"","Secchi",FALSE,"FALSE",""
"ek783777_int","15-Apr-19",7.06,"","pH",FALSE,"FALSE",""
"ek783777_int","15-Aug-06",2.12,"","Secchi",FALSE,"FALSE",""
"ek783777_int","15-Aug-12",0.012,"","NH4N",FALSE,"FALSE",""
"ek783777_int","15-Aug-12",0.012,"","TP",FALSE,"FALSE",""
"ek783777_int","15-Aug-12",0.367,"","TN",FALSE,"FALSE",""
"ek783777_int","15-Aug-12",2.3,"","Secchi",FALSE,"FALSE",""
"ek783777_int","15-Aug-12",7.1,"","pH",FALSE,"FALSE",""
"ek783777_int","15-Aug-12",9.1,"","CHLA",FALSE,"FALSE",""
"ek783777_int","15-Aug-17",0.005,"","NH4N",FALSE,"FALSE",""
"ek783777_int","15-Aug-17",0.016,"","TP",FALSE,"FALSE",""
"ek783777_int","15-Aug-17",0.377,"","TN",FALSE,"FALSE",""
"ek783777_int","15-Aug-17",14.5,"","CHLA",FALSE,"FALSE",""
"ek783777_int","15-Aug-17",2.4,"","Secchi",FALSE,"FALSE",""
