"CouncilSiteID","Date","Value","Method","Measurement","Censored","centype","QC"
"lake alice (composite)","02-Aug-16",0.04,"","NH4N",FALSE,"FALSE",""
"lake alice (composite)","02-Aug-16",0.101,"","TP",FALSE,"FALSE",""
"lake alice (composite)","02-Aug-16",1.27,"","TN",FALSE,"FALSE",""
"lake alice (composite)","02-Aug-16",21,"","ECOLI",FALSE,"FALSE",""
"lake alice (composite)","02-Aug-16",7.2,"","CHLA",FALSE,"FALSE",""
"lake alice (composite)","03-Mar-16",0.06,"","NH4N",FALSE,"FALSE",""
"lake alice (composite)","03-Mar-16",0.093,"","TP",FALSE,"FALSE",""
"lake alice (composite)","03-Mar-16",1.19,"","TN",FALSE,"FALSE",""
"lake alice (composite)","03-Mar-16",1.9,"","CHLA",FALSE,"FALSE",""
"lake alice (composite)","03-Mar-16",4,"","ECOLI",FALSE,"FALSE",""
"lake alice (composite)","07-Dec-18",0.01,"","NH4N",TRUE,"Left",""
"lake alice (composite)","07-Dec-18",0.278,"","TP",FALSE,"FALSE",""
"lake alice (composite)","07-Dec-18",139,"","CHLA",FALSE,"FALSE",""
"lake alice (composite)","07-Dec-18",2.42,"","TN",FALSE,"FALSE",""
"lake alice (composite)","07-Dec-18",4,"","ECOLI",TRUE,"Left",""
"lake alice (composite)","07-Mar-19",0.09,"","NH4N",FALSE,"FALSE",""
"lake alice (composite)","07-Mar-19",0.119,"","TP",FALSE,"FALSE",""
"lake alice (composite)","07-Mar-19",1.61,"","TN",FALSE,"FALSE",""
"lake alice (composite)","07-Mar-19",27,"","CHLA",FALSE,"FALSE",""
"lake alice (composite)","07-Mar-19",4,"","ECOLI",FALSE,"FALSE",""
"lake alice (composite)","10-Jul-19",0.093,"","TP",FALSE,"FALSE",""
"lake alice (composite)","10-Jul-19",0.106,"","NH4N",FALSE,"FALSE",""
"lake alice (composite)","10-Jul-19",1.68,"","TN",FALSE,"FALSE",""
"lake alice (composite)","10-Jul-19",1.9,"","CHLA",FALSE,"FALSE",""
"lake alice (composite)","10-Jul-19",8,"","ECOLI",FALSE,"FALSE",""
"lake alice (composite)","13-Dec-16",0.06,"","NH4N",FALSE,"FALSE",""
"lake alice (composite)","13-Dec-16",0.236,"","TP",FALSE,"FALSE",""
"lake alice (composite)","13-Dec-16",16,"","ECOLI",FALSE,"FALSE",""
"lake alice (composite)","13-Dec-16",2.33,"","TN",FALSE,"FALSE",""
"lake alice (composite)","13-Dec-16",65,"","CHLA",FALSE,"FALSE",""
"lake alice (composite)","14-Sep-18",0.03,"","NH4N",FALSE,"FALSE",""
"lake alice (composite)","14-Sep-18",0.179,"","TP",FALSE,"FALSE",""
"lake alice (composite)","14-Sep-18",1.48,"","TN",FALSE,"FALSE",""
"lake alice (composite)","14-Sep-18",15,"","CHLA",FALSE,"FALSE",""
"lake alice (composite)","14-Sep-18",4,"","ECOLI",FALSE,"FALSE",""
"lake alice (composite)","15-Mar-17",0.04,"","NH4N",FALSE,"FALSE",""
"lake alice (composite)","15-Mar-17",0.084,"","TP",FALSE,"FALSE",""
"lake alice (composite)","15-Mar-17",0.85,"","TN",FALSE,"FALSE",""
"lake alice (composite)","15-Mar-17",1.9,"","CHLA",TRUE,"Left",""
"lake alice (composite)","15-Mar-17",4,"","ECOLI",TRUE,"Left",""
"lake alice (composite)","17-Dec-15",0.03,"","NH4N",FALSE,"FALSE",""
"lake alice (composite)","17-Dec-15",0.157,"","TP",FALSE,"FALSE",""
"lake alice (composite)","17-Dec-15",1.01,"","TN",FALSE,"FALSE",""
"lake alice (composite)","17-Dec-15",27,"","CHLA",FALSE,"FALSE",""
"lake alice (composite)","17-Dec-15",4,"","ECOLI",TRUE,"Left",""
"lake alice (composite)","17-Jul-18",0.04,"","NH4N",FALSE,"FALSE",""
"lake alice (composite)","17-Jul-18",0.09,"","TP",FALSE,"FALSE",""
"lake alice (composite)","17-Jul-18",1.21,"","TN",FALSE,"FALSE",""
"lake alice (composite)","17-Jul-18",1.9,"","CHLA",TRUE,"Left",""
"lake alice (composite)","17-Jul-18",8,"","ECOLI",FALSE,"FALSE",""
"lake alice (composite)","18-Jun-15",0.01,"","NH4N",TRUE,"Left",""
"lake alice (composite)","18-Jun-15",0.1,"","TP",FALSE,"FALSE",""
"lake alice (composite)","18-Jun-15",1.28,"","TN",FALSE,"FALSE",""
"lake alice (composite)","18-Jun-15",1.9,"","CHLA",FALSE,"FALSE",""
"lake alice (composite)","18-Jun-15",8,"","ECOLI",FALSE,"FALSE",""
"lake alice (composite)","21-Dec-17",0.05,"","NH4N",FALSE,"FALSE",""
"lake alice (composite)","21-Dec-17",0.103,"","TP",FALSE,"FALSE",""
"lake alice (composite)","21-Dec-17",1.18,"","TN",FALSE,"FALSE",""
"lake alice (composite)","21-Dec-17",19,"","CHLA",FALSE,"FALSE",""
"lake alice (composite)","21-Sep-16",0.02,"","NH4N",FALSE,"FALSE",""
"lake alice (composite)","21-Sep-16",0.136,"","TP",FALSE,"FALSE",""
"lake alice (composite)","21-Sep-16",1.09,"","TN",FALSE,"FALSE",""
"lake alice (composite)","21-Sep-16",28,"","CHLA",FALSE,"FALSE",""
"lake alice (composite)","21-Sep-16",4,"","ECOLI",TRUE,"Left",""
"lake alice (composite)","22-Jan-15",0.02,"","NH4N",FALSE,"FALSE",""
"lake alice (composite)","22-Jan-15",0.115,"","TP",FALSE,"FALSE",""
"lake alice (composite)","22-Jan-15",1.66,"","TN",FALSE,"FALSE",""
"lake alice (composite)","22-Jan-15",44,"","ECOLI",FALSE,"FALSE",""
"lake alice (composite)","22-Jan-15",46,"","CHLA",FALSE,"FALSE",""
"lake alice (composite)","23-Mar-18",0.16,"","TP",FALSE,"FALSE",""
"lake alice (composite)","23-Mar-18",0.21,"","NH4N",FALSE,"FALSE",""
"lake alice (composite)","23-Mar-18",1.5,"","TN",FALSE,"FALSE",""
"lake alice (composite)","23-Mar-18",11,"","CHLA",FALSE,"FALSE",""
"lake alice (composite)","25-Feb-20",0.019,"","NH4N",FALSE,"FALSE",""
"lake alice (composite)","25-Feb-20",0.225,"","TP",FALSE,"FALSE",""
"lake alice (composite)","25-Feb-20",1.29,"","TN",FALSE,"FALSE",""
"lake alice (composite)","25-Feb-20",24,"","CHLA",FALSE,"FALSE",""
"lake alice (composite)","25-Feb-20",4,"","ECOLI",FALSE,"FALSE",""
"lake alice (composite)","25-Mar-15",0.03,"","NH4N",FALSE,"FALSE",""
"lake alice (composite)","25-Mar-15",0.073,"","TP",FALSE,"FALSE",""
"lake alice (composite)","25-Mar-15",1.29,"","TN",FALSE,"FALSE",""
"lake alice (composite)","25-Mar-15",4,"","ECOLI",FALSE,"FALSE",""
"lake alice (composite)","25-Mar-15",4.6,"","CHLA",FALSE,"FALSE",""
"lake alice (composite)","27-Nov-14",0.005,"","NH4N",FALSE,"FALSE",""
"lake alice (composite)","27-Nov-14",0.096,"","TP",FALSE,"FALSE",""
"lake alice (composite)","27-Nov-14",0.948,"","TN",FALSE,"FALSE",""
"lake alice (composite)","27-Nov-14",1.9,"","CHLA",FALSE,"FALSE",""
"lake alice (composite)","27-Nov-14",16,"","ECOLI",FALSE,"FALSE",""
"lake alice (composite)","27-Sep-17",0.02,"","NH4N",FALSE,"FALSE",""
"lake alice (composite)","27-Sep-17",0.046,"","TP",FALSE,"FALSE",""
"lake alice (composite)","27-Sep-17",0.83,"","TN",FALSE,"FALSE",""
"lake alice (composite)","27-Sep-17",2.9,"","CHLA",FALSE,"FALSE",""
"lake alice (composite)","28-Nov-19",0.041,"","NH4N",FALSE,"FALSE",""
"lake alice (composite)","28-Nov-19",0.137,"","TP",FALSE,"FALSE",""
"lake alice (composite)","28-Nov-19",1.37,"","TN",FALSE,"FALSE",""
"lake alice (composite)","28-Nov-19",20,"","CHLA",FALSE,"FALSE",""
"lake alice (composite)","28-Nov-19",4,"","ECOLI",FALSE,"FALSE",""
"lake alice (composite)","28-Sep-15",0.01,"","NH4N",FALSE,"FALSE",""
"lake alice (composite)","28-Sep-15",0.092,"","TP",FALSE,"FALSE",""
"lake alice (composite)","28-Sep-15",0.79,"","TN",FALSE,"FALSE",""
"lake alice (composite)","28-Sep-15",2.9,"","CHLA",FALSE,"FALSE",""
"lake alice (composite)","28-Sep-15",4,"","ECOLI",TRUE,"Left",""
"lake dudding (composite)","04-Dec-19",0.035,"","NH4N",FALSE,"FALSE",""
"lake dudding (composite)","04-Dec-19",0.089,"","TP",FALSE,"FALSE",""
"lake dudding (composite)","04-Dec-19",1.65,"","TN",FALSE,"FALSE",""
"lake dudding (composite)","04-Dec-19",4,"","ECOLI",TRUE,"Left",""
"lake dudding (composite)","04-Dec-19",56,"","CHLA",FALSE,"FALSE",""
"lake dudding (composite)","06-Dec-18",0.03,"","NH4N",FALSE,"FALSE",""
"lake dudding (composite)","06-Dec-18",0.143,"","TP",FALSE,"FALSE",""
