"CouncilSiteID","SiteID","LawaSiteID","LFENZID","LType","GeomorphicLType","Region","Agency","Catchment","Lat","Long","accessDate"
"6303","lake tomarata","arc-00098","21871","Polymictic","Aeolian","auckland","ac","",-36.1927500004372,174.649010000401,"14-Aug-2020"
"7605","lake pupuke","arc-00099","50151","Stratified","Volcanic","auckland","ac","",-36.7835100004189,174.586700000235,"14-Aug-2020"
"45001","lake rototoa","arc-00100","50270","Stratified","Aeolian","auckland","ac","",-36.5137799997612,174.238660000489,"14-Aug-2020"
"44616","lake wainamu","arc-10002","45819","Stratified","Aeolian","auckland","ac","",-36.889339999764,174.466880000102,"14-Aug-2020"
"FK427028_INT","lake okareka at site 1 (integrated)","ebop-00087","15325","Stratified","Volcanic","bay of plenty","boprc","tarawera",-38.1673603256056,176.35889350614,"14-Aug-2020"
"FI680541_INT","lake okaro at site 1 (integrated)","ebop-00088","14290","Stratified","Volcanic","bay of plenty","boprc","åœkaro",-38.298866966033,176.393775440022,"14-Aug-2020"
"GK015589_INT","lake okataina at site 1 (integrated)","ebop-00089","54731","Stratified","Volcanic","bay of plenty","boprc","lake okataina",-38.1149218683115,176.423732816386,"14-Aug-2020"
"GI617624_INT","lake rerewhakaaitu at site 1 (integrated)","ebop-00090","40071","Polymictic","Volcanic","bay of plenty","boprc","rangitaiki",-38.2876822849198,176.500660159196,"14-Aug-2020"
"HL030557_INT","lake rotoehu at site 3 (integrated)","ebop-00091","40188","Polymictic","Volcanic","bay of plenty","boprc","lake rotoehu",-38.0243948262179,176.534936227251,"14-Aug-2020"
"FL479468_INT","lake rotoiti at site 3 (integrated)","ebop-00094","54730","Stratified","Volcanic","bay of plenty","boprc","kaituna",-38.0375134972271,176.358886774093,"14-Aug-2020"
"GL051366_INT","lake rotoiti at site 4 (integrated)","ebop-00092","54730","Stratified","Volcanic","bay of plenty","boprc","kaituna",-38.047185493196,176.427293524685,"14-Aug-2020"
"HL508168_INT","lake rotoma at site 1 (integrated)","ebop-00095","40102","Stratified","Volcanic","bay of plenty","boprc","lake rotoma",-38.056091541784,176.5879539096,"14-Aug-2020"
"GI084907_INT","lake rotomahana at site 2 (integrated)","ebop-00096","54733","Stratified","Volcanic","bay of plenty","boprc","rotomahana",-38.2637533538028,176.439886853147,"14-Aug-2020"
"EK783777_INT","lake rotorua at site 2 (integrated)","ebop-00098","11133","Polymictic","Volcanic","bay of plenty","boprc","kaituna",-38.1001701618011,176.282668966356,"14-Aug-2020"
"EL805168_INT","lake rotorua at site 5 (integrated)","ebop-00097","11133","Polymictic","Volcanic","bay of plenty","boprc","kaituna",-38.0667878334008,176.283396143314,"14-Aug-2020"
"FJ164707_INT","lake tikitapu at site 1 (integrated)","ebop-00100","15312","Stratified","Volcanic","bay of plenty","boprc","tikitapu",-38.1952486848919,176.33051672887,"14-Aug-2020"
"SQ30079","lake sumner off charleys point","ecan-00326","54738","Stratified","Glacial","canterbury","ecan","6510000",-42.7000545016094,172.190079767718,"14-Aug-2020"
"SQ30140","lake sheppard mid lake","ecan-00364","39357","Polymictic","Glacial","canterbury","ecan","6512330",-42.7613209628524,172.251912416806,"14-Aug-2020"
"SQ30141","lake taylor mid lake","ecan-00327","39356","Stratified","Glacial","canterbury","ecan","6512340",-42.7696423149379,172.2374900068,"14-Aug-2020"
"SQ30147","lake katrine mid lake","ecan-00328","39364","Stratified","Glacial","canterbury","ecan","6512800",-42.7180229903476,172.200037837705,"14-Aug-2020"
"SQ32640","lake forsyth at catons bay","lawa-101984","47579","Brackish","Shoreline","canterbury","ecan","6760000",-43.7905937844029,172.758638446754,"14-Aug-2020"
"SQ32801","lake emma centre, surface","ecan-00342","41299","Polymictic","Glacial","canterbury","ecan","6881000",-43.6354061240519,171.107330848913,"14-Aug-2020"
"SQ32802","lake camp centre, surface","ecan-00343","41306","Polymictic","Glacial","canterbury","ecan","6881000",-43.6147393990935,171.055929666188,"14-Aug-2020"
"SQ32804","lake clearwater centre, surface","ecan-00344","41305","Polymictic","Glacial","canterbury","ecan","6881000",-43.6038440169452,171.052153456875,"14-Aug-2020"
"SQ32908","lake tekapo centre, surface","ecan-00345","47228","Stratified","Glacial","canterbury","ecan","7118400",-43.9346611422597,170.527998090914,"14-Aug-2020"
"SQ32909","lake ohau mid lake","ecan-00346","45514","Stratified","Glacial","canterbury","ecan","7116700",-44.2731125870855,169.878326750225,"14-Aug-2020"
"SQ33147","lake forsyth at recorder","ecan-00347","47579","Brackish","Shoreline","canterbury","ecan","6760000",-43.7999330328771,172.736459466584,"14-Aug-2020"
"SQ33593","lake ellesmere at kaituna lagoon","ecan-00372","48177","Icoll","Shoreline","canterbury","ecan","6770000",-43.7951118587767,172.663609005614,"14-Aug-2020"
"SQ30486","lake hawdon mid lake","ecan-00329","48669","Polymictic","Glacial","canterbury","ecan","6641610",-43.1040090329566,171.85058179225,"14-Aug-2020"
"SQ30497","lake pearson north basin","ecan-00330","48660","Polymictic","Glacial","canterbury","ecan","6641640",-43.099264145515,171.782031967847,"14-Aug-2020"
"SQ30521","lake sarah mid lake","ecan-00332","48673","Polymictic","Glacial","canterbury","ecan","6642710",-43.0482453648117,171.776197010399,"14-Aug-2020"
"SQ30525","lake grasmere mid lake","ecan-00333","48663","Polymictic","Glacial","canterbury","ecan","6642710",-43.0625263081479,171.776414981115,"14-Aug-2020"
"SQ30953","lake ellesmere off timber yard point","ecan-00369","48177","Icoll","Shoreline","canterbury","ecan","6830000",-43.794976180795,172.395786042931,"14-Aug-2020"
"SQ30954","lake ellesmere mid-lake","ecan-00334","48177","Icoll","Shoreline","canterbury","ecan","6830000",-43.7845987203961,172.454017354757,"14-Aug-2020"
