"CouncilSiteID","Date","Value","Method","Measurement","Censored","centype","QC"
6303,"11-Dec-19",0.005,"","NH4N",TRUE,"Left",10
44616,"11-Dec-19",0.005,"","NH4N",TRUE,"Left",10
45001,"11-Dec-19",0.005,"","NH4N",TRUE,"Left",10
7605,"26-Sep-19",0.006,"","NH4N",FALSE,"FALSE",10
6303,"20-Sep-19",0.005,"","NH4N",TRUE,"Left",10
44616,"20-Sep-19",0.005,"","NH4N",TRUE,"Left",10
45001,"20-Sep-19",0.005,"","NH4N",TRUE,"Left",10
7605,"12-Aug-19",0.023,"","NH4N",FALSE,"FALSE",10
6303,"07-Aug-19",0.005,"","NH4N",TRUE,"Left",10
44616,"07-Aug-19",0.005,"","NH4N",TRUE,"Left",10
45001,"07-Aug-19",0.005,"","NH4N",TRUE,"Left",10
7605,"28-Jun-19",0.005,"","NH4N",TRUE,"Left",10
6303,"21-May-19",0.005,"","NH4N",TRUE,"Left",10
44616,"21-May-19",0.005,"","NH4N",TRUE,"Left",10
45001,"21-May-19",0.03,"","NH4N",FALSE,"FALSE",10
7605,"08-Apr-19",0.064,"","NH4N",FALSE,"FALSE",10
6303,"05-Apr-19",0.005,"","NH4N",TRUE,"Left",10
44616,"05-Apr-19",0.005,"","NH4N",TRUE,"Left",10
45001,"05-Apr-19",0.005,"","NH4N",TRUE,"Left",10
6303,"21-Feb-19",0.005,"","NH4N",TRUE,"Left",10
44616,"21-Feb-19",0.005,"","NH4N",TRUE,"Left",10
45001,"21-Feb-19",0.005,"","NH4N",TRUE,"Left",10
7605,"19-Feb-19",0.005,"","NH4N",TRUE,"Left",10
6303,"31-Jan-19",0.005,"","NH4N",TRUE,"Left",10
44616,"31-Jan-19",0.005,"","NH4N",TRUE,"Left",10
45001,"31-Jan-19",0.27,"","NH4N",FALSE,"FALSE",10
7605,"30-Jan-19",0.005,"","NH4N",TRUE,"Left",10
6303,"29-Nov-18",0.005,"","NH4N",TRUE,"Left",10
44616,"29-Nov-18",0.005,"","NH4N",TRUE,"Left",10
45001,"29-Nov-18",0.007,"","NH4N",FALSE,"FALSE",10
7605,"27-Nov-18",0.01,"","NH4N",FALSE,"FALSE",10
7605,"17-Oct-18",0.005,"","NH4N",TRUE,"Left",10
6303,"03-Sep-18",0.012,"","NH4N",FALSE,"FALSE",10
44616,"03-Sep-18",0.01,"","NH4N",FALSE,"FALSE",10
45001,"03-Sep-18",0.005,"","NH4N",TRUE,"Left",10
6303,"23-Jul-18",0.065,"","NH4N",FALSE,"FALSE",10
7605,"23-Jul-18",0.026,"","NH4N",FALSE,"FALSE",10
7605,"15-Jun-18",0.005,"","NH4N",TRUE,"Left",10
6303,"14-Jun-18",0.019,"","NH4N",FALSE,"FALSE",10
44616,"14-Jun-18",0.025,"","NH4N",FALSE,"FALSE",10
45001,"14-Jun-18",0.013,"","NH4N",FALSE,"FALSE",10
7605,"09-May-18",0.005,"","NH4N",TRUE,"Left",10
6303,"08-May-18",0.023,"","NH4N",FALSE,"FALSE",10
44616,"08-May-18",0.017,"","NH4N",FALSE,"FALSE",10
7605,"21-Mar-18",0.005,"","NH4N",TRUE,"Left",10
6303,"20-Mar-18",0.039,"","NH4N",FALSE,"FALSE",10
44616,"20-Mar-18",0.008,"","NH4N",FALSE,"FALSE",10
45001,"20-Mar-18",0.005,"","NH4N",TRUE,"Left",10
6303,"16-Feb-18",0.009,"","NH4N",FALSE,"FALSE",10
45001,"16-Feb-18",0.005,"","NH4N",TRUE,"Left",10
7605,"15-Feb-18",0.005,"","NH4N",TRUE,"Left",10
7605,"10-Jan-18",0.005,"","NH4N",TRUE,"Left",10
6303,"09-Jan-18",0.005,"","NH4N",TRUE,"Left",10
44616,"09-Jan-18",0.005,"","NH4N",TRUE,"Left",10
45001,"09-Jan-18",0.005,"","NH4N",TRUE,"Left",10
7605,"14-Nov-17",0.005,"","NH4N",TRUE,"Left",10
6303,"13-Nov-17",0.006,"","NH4N",FALSE,"FALSE",10
44616,"13-Nov-17",0.007,"","NH4N",FALSE,"FALSE",10
45001,"13-Nov-17",0.005,"","NH4N",TRUE,"Left",10
6303,"16-Aug-17",0.012,"","NH4N",FALSE,"FALSE",10
44616,"16-Aug-17",0.009,"","NH4N",FALSE,"FALSE",10
45001,"16-Aug-17",0.031,"","NH4N",FALSE,"FALSE",10
7605,"15-Aug-17",0.005,"","NH4N",TRUE,"Left",10
7605,"23-May-17",0.005,"","NH4N",TRUE,"Left",10
6303,"22-May-17",0.029,"","NH4N",FALSE,"FALSE",10
44616,"22-May-17",0.029,"","NH4N",FALSE,"FALSE",10
45001,"22-May-17",0.063,"","NH4N",FALSE,"FALSE",10
7605,"21-Feb-17",0.005,"","NH4N",TRUE,"Left",10
44616,"21-Feb-17",0.005,"","NH4N",TRUE,"Left",10
6303,"20-Feb-17",0.0083,"","NH4N",FALSE,"FALSE",10
45001,"20-Feb-17",0.005,"","NH4N",TRUE,"Left",10
6303,"21-Nov-16",0.014,"","NH4N",FALSE,"FALSE",10
44616,"21-Nov-16",0.005,"","NH4N",TRUE,"Left",10
45001,"21-Nov-16",0.005,"","NH4N",TRUE,"Left",10
7605,"14-Nov-16",0.005,"","NH4N",TRUE,"Left",10
7605,"23-Aug-16",0.0071,"","NH4N",FALSE,"FALSE",10
6303,"22-Aug-16",0.058,"","NH4N",FALSE,"FALSE",10
45001,"22-Aug-16",0.024,"","NH4N",FALSE,"FALSE",10
7605,"16-Jun-16",0.005,"","NH4N",TRUE,"Left",10
6303,"15-Jun-16",0.0069,"","NH4N",FALSE,"FALSE",10
44616,"15-Jun-16",0.005,"","NH4N",TRUE,"Left",10
45001,"15-Jun-16",0.061,"","NH4N",FALSE,"FALSE",10
6303,"25-Feb-16",0.005,"","NH4N",TRUE,"Left",10
44616,"25-Feb-16",0.005,"","NH4N",TRUE,"Left",10
45001,"25-Feb-16",0.005,"","NH4N",TRUE,"Left",10
7605,"24-Feb-16",0.005,"","NH4N",TRUE,"Left",10
7605,"11-Nov-15",0.005,"","NH4N",TRUE,"Left",10
6303,"10-Nov-15",0.0085,"","NH4N",FALSE,"FALSE",10
44616,"10-Nov-15",0.005,"","NH4N",TRUE,"Left",10
45001,"10-Nov-15",0.014,"","NH4N",FALSE,"FALSE",10
7605,"19-Aug-15",0.005,"","NH4N",TRUE,"Left",10
6303,"18-Aug-15",0.0058,"","NH4N",FALSE,"FALSE",10
44616,"18-Aug-15",0.0067,"","NH4N",FALSE,"FALSE",10
45001,"18-Aug-15",0.051,"","NH4N",FALSE,"FALSE",10
