"CouncilSiteID","Date","Value","Method","Measurement","Censored","centype","QC"
"lrt00e300","04-Jul-14",0.034,"","NH4N",FALSE,"FALSE",""
"lrt00e300","04-Jul-14",0.05,"","TP",FALSE,"FALSE",""
"lrt00e300","04-Jul-14",1.06,"","TN",FALSE,"FALSE",""
"lrt00e300","04-Jul-14",7.2,"","pH",FALSE,"FALSE",""
"lrt00e300","12-Jun-07",0.005,"","NH4N",FALSE,"FALSE",""
"lrt00e300","12-Jun-07",0.025,"","TP",FALSE,"FALSE",""
"lrt00e300","12-Jun-07",0.62,"","TN",FALSE,"FALSE",""
"lrt00e300","12-Jun-07",7.3,"","pH",FALSE,"FALSE",""
"lrt00e300","15-Feb-18",0.019,"","TP",FALSE,"FALSE",""
"lrt00e300","15-Feb-18",0.032,"","NH4N",FALSE,"FALSE",""
"lrt00e300","15-Feb-18",0.15,"","TN",FALSE,"FALSE",""
"lrt00e300","15-Feb-18",7.6,"","pH",FALSE,"FALSE",""
"lrt00e300","16-Feb-10",0.024,"","NH4N",FALSE,"FALSE",""
"lrt00e300","16-Feb-10",0.028,"","TP",FALSE,"FALSE",""
"lrt00e300","16-Feb-10",0.41,"","TN",FALSE,"FALSE",""
"lrt00e300","16-Feb-10",7.7,"","pH",FALSE,"FALSE",""
"lrt00e300","16-Mar-04",0.003,"","NH4N",TRUE,"Left",""
"lrt00e300","16-Mar-04",0.017,"","TP",FALSE,"FALSE",""
"lrt00e300","16-Mar-04",0.88,"","TN",FALSE,"FALSE",""
"lrt00e300","16-Mar-04",7.7,"","pH",FALSE,"FALSE",""
"lrt00e300","17-Mar-09",0.013,"","NH4N",FALSE,"FALSE",""
"lrt00e300","17-Mar-09",0.019,"","TP",FALSE,"FALSE",""
"lrt00e300","17-Mar-09",0.55,"","TN",FALSE,"FALSE",""
"lrt00e300","17-Mar-09",7.9,"","pH",FALSE,"FALSE",""
"lrt00e300","17-Oct-19",0.066,"","TP",FALSE,"FALSE",""
"lrt00e300","17-Oct-19",0.138,"","NH4N",FALSE,"FALSE",""
"lrt00e300","17-Oct-19",0.96,"","TN",FALSE,"FALSE",""
"lrt00e300","17-Oct-19",7.2,"","pH",FALSE,"FALSE",""
"lrt00e300","18-Jun-08",0.003,"","NH4N",FALSE,"FALSE",""
"lrt00e300","18-Jun-08",0.024,"","TP",FALSE,"FALSE",""
"lrt00e300","18-Jun-08",0.94,"","TN",FALSE,"FALSE",""
"lrt00e300","18-Jun-08",7,"","pH",FALSE,"FALSE",""
"lrt00e300","18-Jun-13",0.027,"","NH4N",FALSE,"FALSE",""
"lrt00e300","18-Jun-13",0.028,"","TP",FALSE,"FALSE",""
"lrt00e300","18-Jun-13",0.95,"","TN",FALSE,"FALSE",""
"lrt00e300","18-Jun-13",7.3,"","pH",FALSE,"FALSE",""
"lrt00e300","18-Mar-08",0.006,"","NH4N",FALSE,"FALSE",""
"lrt00e300","18-Mar-08",0.02,"","TP",FALSE,"FALSE",""
"lrt00e300","18-Mar-08",0.24,"","TN",FALSE,"FALSE",""
"lrt00e300","18-Mar-08",8.2,"","pH",FALSE,"FALSE",""
"lrt00e300","18-Oct-05",0.015,"","TP",FALSE,"FALSE",""
"lrt00e300","18-Oct-05",0.027,"","NH4N",FALSE,"FALSE",""
"lrt00e300","18-Oct-05",0.83,"","TN",FALSE,"FALSE",""
"lrt00e300","18-Oct-05",7.4,"","pH",FALSE,"FALSE",""
"lrt00e300","18-Oct-06",0.008,"","NH4N",FALSE,"FALSE",""
"lrt00e300","18-Oct-06",0.011,"","TP",FALSE,"FALSE",""
"lrt00e300","18-Oct-06",0.63,"","TN",FALSE,"FALSE",""
"lrt00e300","18-Oct-06",7.7,"","pH",FALSE,"FALSE",""
"lrt00e300","18-Oct-17",0.044,"","TP",FALSE,"FALSE",""
"lrt00e300","18-Oct-17",0.057,"","NH4N",FALSE,"FALSE",""
"lrt00e300","18-Oct-17",0.84,"","TN",FALSE,"FALSE",""
"lrt00e300","18-Oct-17",7.4,"","pH",FALSE,"FALSE",""
"lrt00e300","19-Feb-09",0.019,"","TP",FALSE,"FALSE",""
"lrt00e300","19-Feb-09",0.059,"","NH4N",FALSE,"FALSE",""
"lrt00e300","19-Feb-09",0.37,"","TN",FALSE,"FALSE",""
"lrt00e300","19-Feb-09",7.9,"","pH",FALSE,"FALSE",""
"lrt00e300","19-Feb-14",0.014,"","NH4N",FALSE,"FALSE",""
"lrt00e300","19-Feb-14",0.022,"","TP",FALSE,"FALSE",""
"lrt00e300","19-Feb-14",0.28,"","TN",FALSE,"FALSE",""
"lrt00e300","19-Feb-14",8,"","pH",FALSE,"FALSE",""
"lrt00e300","19-Jun-17",0.004,"","NH4N",FALSE,"FALSE",""
"lrt00e300","19-Jun-17",0.026,"","TP",FALSE,"FALSE",""
"lrt00e300","19-Jun-17",0.8,"","TN",FALSE,"FALSE",""
"lrt00e300","19-Jun-17",7.1,"","pH",FALSE,"FALSE",""
"lrt00e300","19-Jun-19",0.022,"","NH4N",FALSE,"FALSE",""
"lrt00e300","19-Jun-19",0.024,"","TP",FALSE,"FALSE",""
"lrt00e300","19-Jun-19",0.8,"","TN",FALSE,"FALSE",""
"lrt00e300","19-Jun-19",7.2,"","pH",FALSE,"FALSE",""
"lrt00e300","19-Mar-18",0.052,"","TP",FALSE,"FALSE",""
"lrt00e300","19-Mar-18",0.054,"","NH4N",FALSE,"FALSE",""
"lrt00e300","19-Mar-18",1.18,"","TN",FALSE,"FALSE",""
"lrt00e300","19-Mar-18",7.2,"","pH",FALSE,"FALSE",""
"lrt00e300","19-Mar-19",0.02,"","TP",FALSE,"FALSE",""
"lrt00e300","19-Mar-19",0.067,"","NH4N",FALSE,"FALSE",""
"lrt00e300","19-Mar-19",0.41,"","TN",FALSE,"FALSE",""
"lrt00e300","19-Mar-19",7.3,"","pH",FALSE,"FALSE",""
"lrt00e300","19-Oct-04",0.022,"","TP",FALSE,"FALSE",""
"lrt00e300","19-Oct-04",0.03,"","NH4N",FALSE,"FALSE",""
"lrt00e300","19-Oct-04",0.97,"","TN",FALSE,"FALSE",""
"lrt00e300","19-Oct-04",7.5,"","pH",FALSE,"FALSE",""
"lrt00e300","19-Oct-07",0.042,"","TP",FALSE,"FALSE",""
"lrt00e300","19-Oct-07",0.066,"","NH4N",FALSE,"FALSE",""
"lrt00e300","19-Oct-07",1.06,"","TN",FALSE,"FALSE",""
"lrt00e300","19-Oct-07",7,"","pH",FALSE,"FALSE",""
"lrt00e300","19-Oct-10",0.004,"","NH4N",FALSE,"FALSE",""
"lrt00e300","19-Oct-10",0.023,"","TP",FALSE,"FALSE",""
"lrt00e300","19-Oct-10",0.87,"","TN",FALSE,"FALSE",""
