"CouncilSiteID","Date","Value","Method","Measurement","Censored","centype","QC"
"24200","01-Mar-18",0.01,"","NH4N",FALSE,"FALSE",""
"24200","01-Mar-18",0.069,"","CHLA",FALSE,"FALSE",""
"24200","01-Mar-18",0.091,"","TP",FALSE,"FALSE",""
"24200","01-Mar-18",0.85,"","Secchi",FALSE,"FALSE",""
"24200","01-Mar-18",1.402,"","TN",FALSE,"FALSE",""
"24200","01-Mar-18",130,"","ECOLI",FALSE,"FALSE",""
"24200","01-Mar-18",7.3,"","pH",FALSE,"FALSE",""
"24200","01-Sep-16",0.006,"","CHLA",FALSE,"FALSE",""
"24200","01-Sep-16",0.051,"","TP",FALSE,"FALSE",""
"24200","01-Sep-16",0.172,"","NH4N",FALSE,"FALSE",""
"24200","01-Sep-16",1.33,"","TN",FALSE,"FALSE",""
"24200","01-Sep-16",1.9,"","Secchi",FALSE,"FALSE",""
"24200","01-Sep-16",6.4,"","pH",FALSE,"FALSE",""
"24200","02-Mar-17",0.01,"","NH4N",FALSE,"FALSE",""
"24200","02-Mar-17",0.036,"","CHLA",FALSE,"FALSE",""
"24200","02-Mar-17",0.08,"","TP",FALSE,"FALSE",""
"24200","02-Mar-17",1.17,"","Secchi",FALSE,"FALSE",""
"24200","02-Mar-17",1.232,"","TN",FALSE,"FALSE",""
"24200","02-Mar-17",7.4,"","pH",FALSE,"FALSE",""
"24200","02-Nov-17",0.01,"","CHLA",FALSE,"FALSE",""
"24200","02-Nov-17",0.028,"","NH4N",FALSE,"FALSE",""
"24200","02-Nov-17",0.084,"","TP",FALSE,"FALSE",""
"24200","02-Nov-17",0.69,"","Secchi",FALSE,"FALSE",""
"24200","02-Nov-17",1.148,"","TN",FALSE,"FALSE",""
"24200","02-Nov-17",16,"","ECOLI",FALSE,"FALSE",""
"24200","02-Nov-17",6.6,"","pH",FALSE,"FALSE",""
"24200","03-Jul-14",0.021,"","CHLA",FALSE,"FALSE",""
"24200","03-Jul-14",0.074,"","TP",FALSE,"FALSE",""
"24200","03-Jul-14",0.25,"","NH4N",FALSE,"FALSE",""
"24200","03-Jul-14",1.34,"","Secchi",FALSE,"FALSE",""
"24200","03-Jul-14",1.58,"","TN",FALSE,"FALSE",""
"24200","03-Jul-14",7,"","pH",FALSE,"FALSE",""
"24200","03-Mar-16",0.054,"","NH4N",FALSE,"FALSE",""
"24200","03-Mar-16",0.068,"","CHLA",FALSE,"FALSE",""
"24200","03-Mar-16",0.069,"","TP",FALSE,"FALSE",""
"24200","03-Mar-16",1.02,"","Secchi",FALSE,"FALSE",""
"24200","03-Mar-16",1.194,"","TN",FALSE,"FALSE",""
"24200","03-Mar-16",7.2,"","pH",FALSE,"FALSE",""
"24200","03-May-18",0.047,"","CHLA",FALSE,"FALSE",""
"24200","03-May-18",0.1,"","TP",FALSE,"FALSE",""
"24200","03-May-18",0.2,"","NH4N",FALSE,"FALSE",""
"24200","03-May-18",1.741,"","TN",FALSE,"FALSE",""
"24200","03-May-18",140,"","ECOLI",FALSE,"FALSE",""
"24200","03-May-18",3.05,"","Secchi",FALSE,"FALSE",""
"24200","03-May-18",7.5,"","pH",FALSE,"FALSE",""
"24200","03-Sep-15",0.014,"","NH4N",FALSE,"FALSE",""
"24200","03-Sep-15",0.054,"","TP",FALSE,"FALSE",""
"24200","03-Sep-15",0.058,"","CHLA",FALSE,"FALSE",""
"24200","03-Sep-15",0.98,"","Secchi",FALSE,"FALSE",""
"24200","03-Sep-15",1.088,"","TN",FALSE,"FALSE",""
"24200","03-Sep-15",6.5,"","pH",FALSE,"FALSE",""
"24200","04-Jan-18",0.01,"","NH4N",FALSE,"FALSE",""
"24200","04-Jan-18",0.053,"","CHLA",FALSE,"FALSE",""
"24200","04-Jan-18",0.062,"","TP",FALSE,"FALSE",""
"24200","04-Jan-18",0.83,"","Secchi",FALSE,"FALSE",""
"24200","04-Jan-18",1.393,"","TN",FALSE,"FALSE",""
"24200","04-Jan-18",51,"","ECOLI",FALSE,"FALSE",""
"24200","04-Jan-18",7.1,"","pH",FALSE,"FALSE",""
"24200","04-May-17",0.019,"","CHLA",FALSE,"FALSE",""
"24200","04-May-17",0.142,"","TP",FALSE,"FALSE",""
"24200","04-May-17",0.47,"","NH4N",FALSE,"FALSE",""
"24200","04-May-17",0.57,"","Secchi",FALSE,"FALSE",""
"24200","04-May-17",1.729,"","TN",FALSE,"FALSE",""
"24200","04-May-17",33,"","ECOLI",FALSE,"FALSE",""
"24200","04-May-17",6.7,"","pH",FALSE,"FALSE",""
"24200","04-Sep-14",0.01,"","CHLA",FALSE,"FALSE",""
"24200","04-Sep-14",0.059,"","TP",FALSE,"FALSE",""
"24200","04-Sep-14",0.35,"","NH4N",FALSE,"FALSE",""
"24200","04-Sep-14",0.941,"","TN",FALSE,"FALSE",""
"24200","04-Sep-14",1.08,"","Secchi",FALSE,"FALSE",""
"24200","04-Sep-14",6.8,"","pH",FALSE,"FALSE",""
"24200","05-Mar-15",0.01,"","NH4N",FALSE,"FALSE",""
"24200","05-Mar-15",0.13,"","CHLA",FALSE,"FALSE",""
"24200","05-Mar-15",0.33,"","TP",FALSE,"FALSE",""
"24200","05-Mar-15",0.95,"","Secchi",FALSE,"FALSE",""
"24200","05-Mar-15",1.8,"","TN",FALSE,"FALSE",""
"24200","05-Mar-15",7.2,"","pH",FALSE,"FALSE",""
"24200","05-May-16",0.01,"","NH4N",FALSE,"FALSE",""
"24200","05-May-16",0.04,"","CHLA",FALSE,"FALSE",""
"24200","05-May-16",0.098,"","TP",FALSE,"FALSE",""
"24200","05-May-16",1.062,"","TN",FALSE,"FALSE",""
"24200","05-May-16",1.08,"","Secchi",FALSE,"FALSE",""
"24200","05-May-16",7.4,"","pH",FALSE,"FALSE",""
"24200","05-Nov-15",0.01,"","NH4N",FALSE,"FALSE",""
"24200","05-Nov-15",0.12,"","CHLA",FALSE,"FALSE",""
"24200","05-Nov-15",0.154,"","TP",FALSE,"FALSE",""
"24200","05-Nov-15",0.62,"","Secchi",FALSE,"FALSE",""
"24200","05-Nov-15",1.644,"","TN",FALSE,"FALSE",""
"24200","05-Nov-15",6.8,"","pH",FALSE,"FALSE",""
"24200","06-Jan-17",0.037,"","CHLA",FALSE,"FALSE",""
"24200","06-Jan-17",0.061,"","TP",FALSE,"FALSE",""
"24200","06-Jan-17",0.063,"","NH4N",FALSE,"FALSE",""
"24200","06-Jan-17",0.81,"","Secchi",FALSE,"FALSE",""
"24200","06-Jan-17",1.391,"","TN",FALSE,"FALSE",""
"24200","06-Jan-17",7.3,"","pH",FALSE,"FALSE",""
"24200","06-Jul-16",0.025,"","CHLA",FALSE,"FALSE",""
"24200","06-Jul-16",0.062,"","TP",FALSE,"FALSE",""
"24200","06-Jul-16",0.29,"","NH4N",FALSE,"FALSE",""
"24200","06-Jul-16",1.23,"","Secchi",FALSE,"FALSE",""
"24200","06-Jul-16",1.97,"","TN",FALSE,"FALSE",""
"24200","06-Jul-16",6.4,"","pH",FALSE,"FALSE",""
"24200","06-Jul-17",0.01,"","NH4N",FALSE,"FALSE",""
"24200","06-Jul-17",0.034,"","CHLA",FALSE,"FALSE",""
"24200","06-Jul-17",0.094,"","TP",FALSE,"FALSE",""
"24200","06-Jul-17",0.71,"","Secchi",FALSE,"FALSE",""
"24200","06-Jul-17",1.345,"","TN",FALSE,"FALSE",""
"24200","06-Jul-17",35,"","ECOLI",FALSE,"FALSE",""
"24200","06-Jul-17",6.6,"","pH",FALSE,"FALSE",""
"24200","06-Mar-14",0.01,"","NH4N",FALSE,"FALSE",""
"24200","06-Mar-14",0.087,"","CHLA",FALSE,"FALSE",""
"24200","06-Mar-14",0.2,"","TP",FALSE,"FALSE",""
"24200","06-Mar-14",0.98,"","Secchi",FALSE,"FALSE",""
"24200","06-Mar-14",1.462,"","TN",FALSE,"FALSE",""
"24200","06-Mar-14",7.2,"","pH",FALSE,"FALSE",""
"24200","06-May-15",0.057,"","CHLA",FALSE,"FALSE",""
"24200","06-May-15",0.065,"","NH4N",FALSE,"FALSE",""
"24200","06-May-15",0.178,"","TP",FALSE,"FALSE",""
"24200","06-May-15",0.82,"","Secchi",FALSE,"FALSE",""
"24200","06-May-15",1.343,"","TN",FALSE,"FALSE",""
"24200","06-May-15",7.3,"","pH",FALSE,"FALSE",""
"24200","06-Nov-14",0.01,"","NH4N",FALSE,"FALSE",""
"24200","06-Nov-14",0.076,"","CHLA",FALSE,"FALSE",""
"24200","06-Nov-14",0.156,"","TP",FALSE,"FALSE",""
"24200","06-Nov-14",0.9,"","Secchi",FALSE,"FALSE",""
"24200","06-Nov-14",1.342,"","TN",FALSE,"FALSE",""
"24200","06-Nov-14",6.8,"","pH",FALSE,"FALSE",""
"24200","07-Jan-16",0.013,"","NH4N",FALSE,"FALSE",""
"24200","07-Jan-16",0.049,"","CHLA",FALSE,"FALSE",""
"24200","07-Jan-16",0.105,"","TP",FALSE,"FALSE",""
"24200","07-Jan-16",0.78,"","Secchi",FALSE,"FALSE",""
"24200","07-Jan-16",0.833,"","TN",FALSE,"FALSE",""
"24200","07-Jan-16",7.2,"","pH",FALSE,"FALSE",""
"24200","07-Sep-17",0.01,"","NH4N",FALSE,"FALSE",""
"24200","07-Sep-17",0.011,"","CHLA",FALSE,"FALSE",""
"24200","07-Sep-17",0.065,"","TP",FALSE,"FALSE",""
"24200","07-Sep-17",0.58,"","Secchi",FALSE,"FALSE",""
"24200","07-Sep-17",1.514,"","TN",FALSE,"FALSE",""
"24200","07-Sep-17",40,"","ECOLI",FALSE,"FALSE",""
"24200","07-Sep-17",6.6,"","pH",FALSE,"FALSE",""
"24200","08-May-14",0.032,"","CHLA",FALSE,"FALSE",""
"24200","08-May-14",0.084,"","NH4N",FALSE,"FALSE",""
"24200","08-May-14",0.113,"","TP",FALSE,"FALSE",""
"24200","08-May-14",0.83,"","Secchi",FALSE,"FALSE",""
"24200","08-May-14",1.533,"","TN",FALSE,"FALSE",""
"24200","08-May-14",7.2,"","pH",FALSE,"FALSE",""
"24200","09-Jan-15",0.01,"","NH4N",FALSE,"FALSE",""
"24200","09-Jan-15",0.039,"","CHLA",FALSE,"FALSE",""
"24200","09-Jan-15",0.2,"","TP",FALSE,"FALSE",""
"24200","09-Jan-15",0.97,"","Secchi",FALSE,"FALSE",""
"24200","09-Jan-15",1.49,"","TN",FALSE,"FALSE",""
"24200","09-Jan-15",7.2,"","pH",FALSE,"FALSE",""
"24200","09-Jul-15",0.042,"","CHLA",FALSE,"FALSE",""
"24200","09-Jul-15",0.055,"","TP",FALSE,"FALSE",""
"24200","09-Jul-15",0.102,"","NH4N",FALSE,"FALSE",""
"24200","09-Jul-15",1.078,"","TN",FALSE,"FALSE",""
"24200","09-Jul-15",1.22,"","Secchi",FALSE,"FALSE",""
"24200","09-Jul-15",6.9,"","pH",FALSE,"FALSE",""
"24200","09-Jul-19",0.037,"","CHLA",FALSE,"FALSE",""
"24200","09-Jul-19",0.041,"","NH4N",FALSE,"FALSE",""
"24200","09-Jul-19",0.062,"","TP",FALSE,"FALSE",""
"24200","09-Jul-19",0.95,"","Secchi",FALSE,"FALSE",""
"24200","09-Jul-19",1.388,"","TN",FALSE,"FALSE",""
"24200","09-Jul-19",6.9,"","pH",FALSE,"FALSE",""
"24200","09-Jul-19",70,"","ECOLI",FALSE,"FALSE",""
"24200","09-Nov-16",0.024,"","CHLA",FALSE,"FALSE",""
"24200","09-Nov-16",0.08,"","TP",FALSE,"FALSE",""
"24200","09-Nov-16",0.17,"","NH4N",FALSE,"FALSE",""
"24200","09-Nov-16",1.14,"","Secchi",FALSE,"FALSE",""
"24200","09-Nov-16",1.543,"","TN",FALSE,"FALSE",""
"24200","09-Nov-16",6.9,"","pH",FALSE,"FALSE",""
"24200","09-Oct-19",0.01,"","NH4N",FALSE,"FALSE",""
"24200","09-Oct-19",0.085,"","TP",FALSE,"FALSE",""
"24200","09-Oct-19",0.106,"","CHLA",FALSE,"FALSE",""
