Station_no,Station_name,Timestamp,Sample_depth,Parametertype_name,value_sign,Value,Unit_name,Value_quality
6303,Lake Tomorata @ Buoy / 6303,11/12/2019,1,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,11/12/2019,3,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,11/12/2019,5,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,26/09/2019,14,NH3+NH4 as N (mg/l),,0.006,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,20/09/2019,1,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,20/09/2019,3,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,20/09/2019,6,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,12/08/2019,12,NH3+NH4 as N (mg/l),,0.023,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,7/08/2019,1,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,7/08/2019,3,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,7/08/2019,6,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,28/06/2019,14,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,21/05/2019,1,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,21/05/2019,3,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,21/05/2019,6,NH3+NH4 as N (mg/l),,0.03,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,8/04/2019,15,NH3+NH4 as N (mg/l),,0.064,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,5/04/2019,1,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,5/04/2019,3,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,5/04/2019,4,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,21/02/2019,1,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,21/02/2019,2,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,21/02/2019,5,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,19/02/2019,5,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,31/01/2019,1,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,31/01/2019,2,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,31/01/2019,6,NH3+NH4 as N (mg/l),,0.27,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,30/01/2019,6,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,29/11/2018,2,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,29/11/2018,1,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,29/11/2018,3,NH3+NH4 as N (mg/l),,0.007,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,27/11/2018,10,NH3+NH4 as N (mg/l),,0.01,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,17/10/2018,14,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,3/09/2018,2,NH3+NH4 as N (mg/l),,0.012,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,3/09/2018,4,NH3+NH4 as N (mg/l),,0.01,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,3/09/2018,6,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,23/07/2018,1,NH3+NH4 as N (mg/l),,0.065,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,23/07/2018,14,NH3+NH4 as N (mg/l),,0.026,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,15/06/2018,14,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
