LAWAID,ORC,Site Name,Date Time,Measurement,ReportedLabValue,RawValue,Depthfrom,Depthto,Samplelevel,Method,DetectionLimit,QualityCode,SampleFrequency,Laketype
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,17/02/2004,Ammoniacal nitrogen (mg/m3 N),<0.0100,,0.1,0.1,Epilimnion,,0.01,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,17/02/2004,Chlorophyll a (mg/m3),<1.900,,0.1,0.1,Epilimnion,,2,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,17/02/2004,Conductivity (uS/cm @ 25 deg C),0.061,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,17/02/2004,Dissolved oxygen (% saturation),,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,17/02/2004,Dissolved oxygen (g/m3 O2),9.75,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,17/02/2004,Dissolved reactive phosphorus (mg/m3 P),<0.00500,,0.1,0.1,Epilimnion,,0.005,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,17/02/2004,E. coli (MPN/100 ml),1,,0.1,0.1,Epilimnion,,2,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,17/02/2004,Nitrate/nitrite (mg/m3 N),0.02,,0.1,0.1,Epilimnion,,0.005,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,17/02/2004,pH,,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,17/02/2004,Suspended Solids  (mg/m3),<1.000,,0.1,0.1,Epilimnion,APHA 2540 D,1,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,17/02/2004,Temperature (deg C),16.5,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,17/02/2004,Total nitrogen (mg/m3 N),0.07,,0.1,0.1,Epilimnion,,0.05,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,17/02/2004,Total phosphorus (mg/m3 P),<0.005000,,0.1,0.1,Epilimnion,,0.005,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,17/02/2004,Turbidity (NTU),0.4,,0.1,0.1,Epilimnion,APHA 2130 D,0.05,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,14/04/2004,Ammoniacal nitrogen (mg/m3 N),<0.0100,,0.1,0.1,Epilimnion,,0.01,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,14/04/2004,Chlorophyll a (mg/m3),<1.900,,0.1,0.1,Epilimnion,,2,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,14/04/2004,Conductivity (uS/cm @ 25 deg C),0.067,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,14/04/2004,Dissolved oxygen (% saturation),,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,14/04/2004,Dissolved oxygen (g/m3 O2),10.02,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,14/04/2004,Dissolved reactive phosphorus (mg/m3 P),<0.00500,,0.1,0.1,Epilimnion,,0.005,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,14/04/2004,E. coli (MPN/100 ml),<1.00,,0.1,0.1,Epilimnion,,2,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,14/04/2004,Nitrate/nitrite (mg/m3 N),0.022,,0.1,0.1,Epilimnion,,0.005,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,14/04/2004,pH,7.9,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,14/04/2004,Suspended Solids  (mg/m3),<1.000,,0.1,0.1,Epilimnion,APHA 2540 D,1,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,14/04/2004,Temperature (deg C),12.6,,0.1,0.1,Epilimnion,,,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,14/04/2004,Total nitrogen (mg/m3 N),<0.050,,0.1,0.1,Epilimnion,,0.05,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,14/04/2004,Total phosphorus (mg/m3 P),<0.005000,,0.1,0.1,Epilimnion,,0.005,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,14/04/2004,Turbidity (NTU),0.4,,0.1,0.1,Epilimnion,APHA 2130 D,0.05,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,23/06/2004,Ammoniacal nitrogen (mg/m3 N),<0.0100,,0.1,0.1,Epilimnion,,0.01,,Bimonthly,
ORC-00027,OTA7520643,Lake Dunstan at Dead Mans Point,23/06/2004,Chlorophyll a (mg/m3),<1.900,,0.1,0.1,Epilimnion,,2,,Bimonthly,
