Value,Type
N _Tot__LabResult,Measurement
Ammoniacal N_LabResult,Measurement
P _Tot__LabResult,Measurement
Chloro a_LabResult,Measurement
pH_LabResult,Measurement
Water Clarity_LabResult,Measurement
Nitrite Nitrate _as N__LabResult,MeasurementB
DRP_LabResult,MeasurementB
Turbidity_ Nephelom_LabResult,MeasurementB
E coli_LabResult,MeasurementB
FK427028_INT,Site
FI680541_INT,Site
GK015589_INT,Site
GI617624_INT,Site
HL030557_INT,Site
GL051366_INT,Site
FL274353_INT,Site
FL479468_INT,Site
HL508168_INT,Site
GI084907_INT,Site
EL805168_INT,Site
EK783777_INT,Site
FJ988648_INT,Site
FJ164707_INT,Site
