Value,Type
Total Ammoniacal-N,Measurement
Total Phosphorus,Measurement
Total Nitrogen,Measurement
Secchi Depth,Measurement
E. Coli,Measurement
Chlorophyll a WATER,Measurement
pH (Lab),Measurement
pH (Field),Measurement
Total Phosphorus [Total Phosphorus],Measurement
Dissolved Reactive Phosphorus,MeasurementB
Total Oxidised Nitrogen,MeasurementB
TON,MeasurementB
NNN,MeasurementB
Nitrate Nitrite Nitrogen,MeasurementB
Nitrate Nitrogen,MeasurementB
WQ Sample,MeasurementB
Cyanotox,MeasurementB
Cyanoall,MeasurementB
