Value,Type
Ammoniacal-N (HRC),Measurement
TN (HRC),Measurement
TP (HRC),Measurement
E. coli by MPN (HRC),Measurement
Chlorophyll A (HRC),Measurement
Field pH (HRC),Measurement
pH (-500 mm),Measurement
pH (-2000 mm),Measurement
Black Disc (HRC),Measurement
DRP,MeasurementB
Dissolved Reactive Phosphate,MeasurementB
Nitrate Nitrogen,MeasurementB
Secchi Disk,MeasurementB
Secchi Depth,MeasurementB
TON,MeasurementB
Total Oxidised Nitrogen,MeasurementB
WQ Sample,MeasurementB
Cyanotox,measurementB
Cyanoall,measurementB
