"LAWAID","Parameter","Trend"
"ecan-00005","MCI",-2
"ecan-00013","MCI",-1
"ecan-00014","MCI",1
"ecan-00020","MCI",NA
"ecan-00031","MCI",-2
"ecan-00033","MCI",-2
"ecan-00035","MCI",0
"ecan-00040","MCI",NA
"ecan-00044","MCI",NA
"ecan-00046","MCI",2
"ecan-00052","MCI",-2
"ecan-00053","MCI",1
"ecan-00054","MCI",-2
"ecan-00055","MCI",1
"ecan-00057","MCI",-1
"ecan-00062","MCI",-1
"ecan-00065","MCI",2
"ecan-00070","MCI",1
"ecan-00071","MCI",-2
"ecan-00072","MCI",-1
"ecan-00080","MCI",2
"ecan-00081","MCI",-2
"ecan-00084","MCI",-2
"ecan-00086","MCI",-1
"ecan-00088","MCI",-2
"ecan-00090","MCI",-1
"ecan-00091","MCI",1
"ecan-00102","MCI",NA
"ecan-00104","MCI",NA
"ecan-00106","MCI",0
"ecan-00107","MCI",1
"ecan-00117","MCI",-1
"ecan-00122","MCI",2
"ecan-00123","MCI",-2
"ecan-00124","MCI",-2
"ecan-00128","MCI",2
"ecan-00129","MCI",-1
"ecan-00130","MCI",NA
"ecan-00133","MCI",0
"ecan-00134","MCI",-2
"ecan-00145","MCI",NA
"ecan-00148","MCI",0
"ecan-00154","MCI",NA
"ecan-00160","MCI",NA
"ecan-00170","MCI",NA
"ecan-00176","MCI",-1
"ecan-00177","MCI",-2
"ecan-00178","MCI",NA
"ecan-00179","MCI",0
"ecan-00182","MCI",2
"ecan-00183","MCI",-2
"ecan-10033","MCI",-2
"ecan-10038","MCI",-2
"es-00001","MCI",NA
"es-00002","MCI",-1
"es-00004","MCI",NA
"es-00006","MCI",NA
"es-00007","MCI",NA
"es-00008","MCI",NA
"es-00009","MCI",NA
"es-00011","MCI",NA
"es-00012","MCI",NA
"es-00013","MCI",1
"es-00014","MCI",0
"es-00015","MCI",NA
"es-00016","MCI",-1
"es-00017","MCI",-1
"es-00018","MCI",0
"es-00019","MCI",NA
"es-00021","MCI",-1
"es-00022","MCI",0
"es-00024","MCI",-2
"es-00025","MCI",-2
"es-00026","MCI",-2
"es-00027","MCI",0
"es-00028","MCI",-2
"es-00029","MCI",NA
"es-00030","MCI",NA
"es-00033","MCI",NA
"es-00034","MCI",-1
"es-00035","MCI",NA
"es-00036","MCI",NA
"es-00037","MCI",NA
"es-00038","MCI",NA
"es-00040","MCI",NA
"es-00042","MCI",NA
"es-00043","MCI",-1
"es-00044","MCI",NA
"es-00046","MCI",NA
"es-00047","MCI",NA
"es-00048","MCI",NA
"es-00053","MCI",NA
"es-00054","MCI",NA
"es-00061","MCI",NA
"es-00062","MCI",NA
"es-00064","MCI",NA
"es-00065","MCI",NA
"es-00068","MCI",NA
"es-00072","MCI",NA
"es-00106","MCI",NA
"es-00112","MCI",0
"es-00113","MCI",NA
"es-00121","MCI",NA
"es-00130","MCI",0
"es-00131","MCI",NA
"es-00135","MCI",-2
"es-00163","MCI",NA
"es-00164","MCI",NA
"es-00165","MCI",NA
"es-00166","MCI",-2
"es-00167","MCI",NA
"gdc-00002","MCI",NA
"gdc-00003","MCI",NA
"gdc-00004","MCI",NA
"gdc-00005","MCI",NA
"gdc-00006","MCI",NA
"gdc-00008","MCI",NA
"gdc-00009","MCI",NA
"gdc-00010","MCI",NA
"gdc-00011","MCI",NA
"gdc-00013","MCI",NA
"gdc-00014","MCI",NA
"gdc-00015","MCI",NA
"gdc-00016","MCI",NA
"gdc-00017","MCI",NA
"gdc-00018","MCI",NA
"gdc-00021","MCI",NA
"gdc-00022","MCI",NA
"gdc-00023","MCI",NA
"gdc-00024","MCI",NA
"gdc-00027","MCI",NA
"gdc-00028","MCI",NA
"gdc-00029","MCI",NA
"gdc-00030","MCI",NA
"gdc-00031","MCI",NA
"gw-00002","MCI",0
"gw-00003","MCI",NA
