"LAWAID","SiteName","CollectionDate","Metric","Value"
"arc-00001","Cascades LTB","2004-02-10","MCI",144.8
"arc-00001","Cascades LTB","2005-03-16","MCI",144.8
"arc-00001","Cascades LTB","2006-03-03","MCI",103.3
"arc-00001","Cascades LTB","2007-02-01","MCI",105.6
"arc-00001","Cascades LTB","2008-02-01","MCI",105.4
"arc-00001","Cascades LTB","2009-02-02","MCI",102.3
"arc-00001","Cascades LTB","2010-01-26","MCI",91
"arc-00001","Cascades LTB","2011-01-28","MCI",97.4
"arc-00001","Cascades LTB","2012-01-19","MCI",115.9
"arc-00001","Cascades LTB","2013-02-20","MCI",103.3
"arc-00001","Cascades LTB","2014-01-20","MCI",105.7
"arc-00001","Cascades LTB","2015-01-21","MCI",96.1
"arc-00001","Cascades LTB","2016-02-11","MCI",100.7
"arc-00001","Cascades LTB","2017-02-09","MCI",102.1
"arc-00001","Cascades LTB","2018-03-29","MCI",102.9
"arc-00001","Cascades LTB","2019-01-30","MCI",112.5
"arc-00003","Kumeu @ Weza","2004-03-17","MCI",93.3
"arc-00003","Kumeu @ Weza","2005-02-14","MCI",85.1
"arc-00003","Kumeu @ Weza","2006-03-15","MCI",70.8
"arc-00003","Kumeu @ Weza","2007-02-22","MCI",68.2
"arc-00003","Kumeu @ Weza","2008-03-06","MCI",62.4
"arc-00003","Kumeu @ Weza","2009-03-02","MCI",68.4
"arc-00003","Kumeu @ Weza","2010-01-27","MCI",64.6
"arc-00003","Kumeu @ Weza","2011-01-28","MCI",63.4
"arc-00003","Kumeu @ Weza","2012-03-15","MCI",52.7
"arc-00003","Kumeu @ Weza","2013-02-20","MCI",55.9
"arc-00003","Kumeu @ Weza","2014-01-21","MCI",71
"arc-00003","Kumeu @ Weza","2015-01-21","MCI",55
"arc-00003","Kumeu @ Weza","2016-02-09","MCI",59.6
"arc-00003","Kumeu @ Weza","2017-01-26","MCI",60.8
"arc-00003","Kumeu @ Weza","2018-04-04","MCI",49.9
"arc-00003","Kumeu @ Weza","2019-01-30","MCI",62.9
"arc-00008","Matakana LTB","2004-03-10","MCI",100.7
"arc-00008","Matakana LTB","2005-02-24","MCI",114.4
"arc-00008","Matakana LTB","2006-04-28","MCI",103.2
"arc-00008","Matakana LTB","2007-02-15","MCI",94.3
"arc-00008","Matakana LTB","2008-02-21","MCI",92.6
"arc-00008","Matakana LTB","2009-02-26","MCI",91.9
"arc-00008","Matakana LTB","2010-02-12","MCI",93
"arc-00008","Matakana LTB","2011-01-27","MCI",94.2
"arc-00008","Matakana LTB","2012-02-08","MCI",93.6
"arc-00008","Matakana LTB","2013-02-07","MCI",86.9
"arc-00008","Matakana LTB","2014-01-22","MCI",90.8
"arc-00008","Matakana LTB","2015-01-15","MCI",96.8
"arc-00008","Matakana LTB","2016-02-17","MCI",81.8
"arc-00008","Matakana LTB","2017-01-31","MCI",92.1
"arc-00008","Matakana LTB","2018-03-15","MCI",86.7
"arc-00008","Matakana LTB","2019-02-12","MCI",88.6
"arc-00009","Ngakaroa LTB","2004-03-26","MCI",52.8
"arc-00009","Ngakaroa LTB","2005-02-23","MCI",75.6
"arc-00009","Ngakaroa LTB","2006-03-16","MCI",83.8
"arc-00009","Ngakaroa LTB","2007-02-09","MCI",57.4
"arc-00009","Ngakaroa LTB","2008-03-04","MCI",68.2
"arc-00009","Ngakaroa LTB","2009-02-12","MCI",67
"arc-00009","Ngakaroa LTB","2010-02-15","MCI",82.4
"arc-00009","Ngakaroa LTB","2011-01-20","MCI",61.9
"arc-00009","Ngakaroa LTB","2012-01-24","MCI",76.5
"arc-00009","Ngakaroa LTB","2013-02-14","MCI",71
"arc-00009","Ngakaroa LTB","2014-02-07","MCI",72.1
"arc-00009","Ngakaroa LTB","2015-01-28","MCI",83.2
"arc-00009","Ngakaroa LTB","2016-01-19","MCI",81.8
"arc-00009","Ngakaroa LTB","2017-01-24","MCI",75.5
"arc-00009","Ngakaroa LTB","2018-02-05","MCI",76.8
"arc-00009","Ngakaroa LTB","2019-03-04","MCI",72.6
"arc-00010","Oakley LTB","2004-03-26","MCI",52.3
"arc-00010","Oakley LTB","2005-02-22","MCI",65.3
"arc-00010","Oakley LTB","2006-04-13","MCI",56.8
"arc-00010","Oakley LTB","2007-02-15","MCI",58.9
"arc-00010","Oakley LTB","2008-02-08","MCI",64.5
"arc-00010","Oakley LTB","2009-03-03","MCI",57.2
"arc-00010","Oakley LTB","2010-01-29","MCI",62.9
"arc-00010","Oakley LTB","2011-02-03","MCI",69.5
"arc-00010","Oakley LTB","2012-02-01","MCI",67.7
"arc-00010","Oakley LTB","2013-02-07","MCI",63.5
"arc-00010","Oakley LTB","2014-01-31","MCI",70.2
"arc-00010","Oakley LTB","2015-01-06","MCI",69.6
"arc-00010","Oakley LTB","2016-01-27","MCI",69.7
"arc-00010","Oakley LTB","2017-01-13","MCI",69.5
"arc-00010","Oakley LTB","2018-01-30","MCI",62.2
"arc-00010","Oakley LTB","2019-02-08","MCI",67.6
"arc-00013","Opanuku Stream","2004-03-17","MCI",103.2
"arc-00013","Opanuku Stream","2005-02-23","MCI",90
"arc-00013","Opanuku Stream","2006-03-03","MCI",83.3
"arc-00013","Opanuku Stream","2007-02-01","MCI",104.8
"arc-00013","Opanuku Stream","2008-02-01","MCI",84
"arc-00013","Opanuku Stream","2009-02-02","MCI",80
"arc-00013","Opanuku Stream","2010-01-26","MCI",92.3
"arc-00013","Opanuku Stream","2011-01-28","MCI",85.6
"arc-00013","Opanuku Stream","2012-02-07","MCI",83.6
"arc-00013","Opanuku Stream","2013-02-13","MCI",83.6
"arc-00013","Opanuku Stream","2014-01-21","MCI",90.8
"arc-00013","Opanuku Stream","2015-01-21","MCI",85.3
